z_comb,z_12,observed_overlap,expected_overlap_mean,expected_overlap_std,empirical_p,obs_exp
2,1.0,209,345.21,16.848913911584926,0.9999999999999997,0.6054285797051071
2,1.5,97,181.59,11.990909056447723,0.9999999999991339,0.5341703838317088
2,2.0,28,72.54,7.822301451618954,0.9999999937942883,0.38599393438103113
3,1.0,123,247.52,15.114549282065937,0.9999999999999999,0.49692954104718806
3,1.5,87,170.09,10.622706811354627,0.9999999999999974,0.5114939149861838
3,2.0,28,72.52,8.522300158994637,0.9999999124230722,0.3861003861003861
4,1.0,76,173.03,10.655942004346683,1.0,0.43923019129630697
4,1.5,64,134.38,11.464536623867533,0.999999999584607,0.4762613484149427
4,2.0,28,72.75,7.596545267422554,0.9999999980787627,0.3848797250859107
5,1.0,54,118.24,7.659138332736914,1.0,0.4566982408660352
5,1.5,46,103.81,9.1199725876781,0.9999999998842454,0.4431172334071862
5,2.0,24,65.8,6.392182725798755,0.9999999999690833,0.364741641337386
9,1.0,16,37.38,4.894445831756646,0.9999937367413284,0.4280363830925628
9,1.5,11,31.79,4.643909990514459,0.9999962120405806,0.34602076124567477
9,2.0,7,26.12,4.64818244048144,0.9999805093246855,0.2679938744257274
12,1.0,11,20.7,4.2296571965113205,0.9890854951181137,0.5314009661835749
12,1.5,7,17.42,3.9954474092396706,0.9954459299355657,0.40183696900114807
12,2.0,3,13.33,3.218866260036288,0.9993344860076592,0.2250562640660165
