,d1_seeds,d2_seeds,d1_name,d2_name,z_d1,z_d2,z_both,sum_seeds
HTRA2,0,1,brain_malform,generalIEM,2.5282815158883802,12.791483831551746,32.340472132097354,1
ARF1,1,0,brain_malform,generalIEM,16.67876372359178,1.5020676847721883,25.052632011157865,1
VLDLR,1,0,brain_malform,generalIEM,9.900832885137177,2.259792527257479,22.3738281674581,1
GYG1,0,1,brain_malform,generalIEM,1.7918490299976522,11.401976693529836,20.430620878357274,1
PIGW,0,0,brain_malform,generalIEM,3.0870222796575444,4.6741371470230515,14.42916551103511,0
PPP1R3D,0,0,brain_malform,generalIEM,2.5777190179627993,4.638290664917901,11.956210057798192,0
SMAD7,0,0,brain_malform,generalIEM,2.5618954975235546,4.564922365427886,11.694854054534277,0
SLITRK5,0,0,brain_malform,generalIEM,3.368859345434026,3.4340011633492162,11.568666911380324,0
NDFIP2,0,0,brain_malform,generalIEM,3.70427585136143,3.1076408247995135,11.511558862009753,0
TMCO4,0,0,brain_malform,generalIEM,2.441467919673103,4.667014193926474,11.394365435130512,0
NEO1,0,0,brain_malform,generalIEM,2.931276383023903,3.8657387447400398,11.331548685396946,0
ENDOD1,0,0,brain_malform,generalIEM,3.481179576367271,3.045467711694787,10.601819998437861,0
FKRP,0,0,brain_malform,generalIEM,3.4504548637914945,2.8964870905371978,9.99419796945335,0
LARGE2,0,0,brain_malform,generalIEM,3.583866511873026,2.7861775516616456,9.98528842353255,0
GXYLT2,0,0,brain_malform,generalIEM,3.362154242815943,2.946404656916198,9.90626691830345,0
OTOR,0,0,brain_malform,generalIEM,4.407685619663986,2.240542334843101,9.875606229536306,0
TMEM106A,0,0,brain_malform,generalIEM,2.9067920616293406,3.386336054775577,9.843374762030868,0
TUBGCP2,0,0,brain_malform,generalIEM,2.650766867739644,3.686550731132372,9.772186534327053,0
SMAD6,0,0,brain_malform,generalIEM,2.262307268334714,4.030498287213118,9.118225570172852,0
BMPR1B,0,0,brain_malform,generalIEM,2.4068865695995916,3.4028913757090256,8.19037355000033,0
LRRC8A,0,0,brain_malform,generalIEM,2.672839050712715,2.9504020170003877,7.885949726340196,0
GYG2,0,0,brain_malform,generalIEM,2.614423496123565,2.9838489256210265,7.801044740026667,0
SMAD5,0,0,brain_malform,generalIEM,2.4926919515114907,3.084691291703338,7.689185155726494,0
HOOK2,0,0,brain_malform,generalIEM,2.157263307127763,3.4476883624116943,7.437571598642154,0
THEM4,0,0,brain_malform,generalIEM,2.8948722917017586,2.5252023890792157,7.310138427084505,0
TAB2,0,0,brain_malform,generalIEM,1.7874210141407707,4.063816034033809,7.263750176834235,0
SLC17A9,0,0,brain_malform,generalIEM,2.2696971205437655,3.1799021099739213,7.217414662618854,0
POMGNT1,0,0,brain_malform,generalIEM,2.57863794805614,2.7493231624363457,7.089509038128075,0
