,d1_seeds,d2_seeds,d1_name,d2_name,z_d1,z_d2,z_both,sum_seeds
TUBG1,1,0,brain_malform,mitochondrial,18.215102127803828,3.222827989563088,58.70414097023634,1
RXYLT1,1,0,brain_malform,mitochondrial,15.078538654011957,3.1047913075629925,46.81571574372891,1
CDK5,1,0,brain_malform,mitochondrial,17.236656802061216,2.034769050732707,35.07261579893556,1
CCDC150,0,0,brain_malform,mitochondrial,4.864862753401599,2.899021465094944,14.103341546852128,0
C6orf136,0,0,brain_malform,mitochondrial,3.993648920754683,3.1564527647285634,12.605764177271363,0
SCFD2,0,0,brain_malform,mitochondrial,2.5140946577438226,4.635319086795899,11.653630953051545,0
SSX2,0,0,brain_malform,mitochondrial,2.9398580284267153,3.8255647386598697,11.246617210215367,0
SSX6P,0,0,brain_malform,mitochondrial,2.9398580284267277,3.825564738659844,11.246617210215339,0
BAGE,0,0,brain_malform,mitochondrial,2.9398580284267277,3.825564738659844,11.246617210215339,0
DCTN3,0,0,brain_malform,mitochondrial,3.441979610989042,2.9119529999726184,10.022882854064127,0
HADH,0,0,brain_malform,mitochondrial,1.6277637415031458,6.004987283438909,9.77470056816933,0
MARCH5,0,0,brain_malform,mitochondrial,1.8208677726311466,5.033726518300578,9.16575039341231,0
NOLC1,0,0,brain_malform,mitochondrial,2.2957735633155134,3.4438976555231307,7.90640919231428,0
COPZ1,0,0,brain_malform,mitochondrial,2.2788311285888483,3.4020200357534285,7.75262915755786,0
CCNJL,0,0,brain_malform,mitochondrial,2.066744193269252,3.643001866779823,7.5291529542362445,0
C7orf25,0,0,brain_malform,mitochondrial,1.8570262591587203,4.0110410847766005,7.448608620994626,0
SRP72,0,0,brain_malform,mitochondrial,2.186062280075261,3.3374132802223464,7.295793284916319,0
APEX1,0,0,brain_malform,mitochondrial,1.8860052666881186,3.7861099678965706,7.140623339713316,0
CRIPT,0,0,brain_malform,mitochondrial,2.4598416407295423,2.81063872500285,6.913726172809,0
DEF8,0,0,brain_malform,mitochondrial,1.7416799461792605,3.8763997672173094,6.751447737936341,0
RPS3A,0,0,brain_malform,mitochondrial,2.2330167816912505,2.9816547283792953,6.658085045680034,0
NIPSNAP1,0,0,brain_malform,mitochondrial,2.2191453039421636,2.8978145600416045,6.430671572611554,0
ZADH2,0,0,brain_malform,mitochondrial,1.7191302926908683,3.452508750637419,5.93531237900109,0
MYBPHL,0,0,brain_malform,mitochondrial,2.1559562881637366,2.7426744609763984,5.913086250528153,0
COQ8A,0,0,brain_malform,mitochondrial,1.5805933756151391,3.622916231384237,5.72635739573449,0
TUBG2,0,0,brain_malform,mitochondrial,2.7531634957012083,2.03533299143614,5.603604493618321,0
CEP57,0,0,brain_malform,mitochondrial,2.39277979157252,2.2351028534128834,5.348108939732424,0
SSNA1,0,0,brain_malform,mitochondrial,1.9886922779453666,2.680547205320449,5.33078352788881,0
MED12,0,0,brain_malform,mitochondrial,1.7601948288746112,3.0095259139570114,5.29735195111127,0
CCT8,0,0,brain_malform,mitochondrial,2.1466026267177485,2.4288455487973475,5.213766234940097,0
C17orf53,0,0,brain_malform,mitochondrial,2.507413945941509,2.0658482567147947,5.179936729085631,0
UBC,0,0,brain_malform,mitochondrial,2.1006087625157877,2.402066902373921,5.045802783275813,0
HAUS1,0,0,brain_malform,mitochondrial,2.610943385911681,1.9305954957301419,5.040675540447497,0
METAP2,0,0,brain_malform,mitochondrial,2.148111621188732,2.341716556817729,5.030268549230228,0
DCTN6,0,0,brain_malform,mitochondrial,3.076304590959217,1.6190325132130954,4.980637153309685,0
METAP1,0,0,brain_malform,mitochondrial,1.6037501153501963,3.1022291442363445,4.975200347911779,0
MAEA,0,0,brain_malform,mitochondrial,1.989833663240303,2.4963859685788297,4.967392836718905,0
MINDY3,0,0,brain_malform,mitochondrial,1.8646709433659765,2.6601114453910806,4.960232518336017,0
HEATR9,0,0,brain_malform,mitochondrial,2.3121050323131014,2.1094318360482274,4.877227963448571,0
HEMK1,0,0,brain_malform,mitochondrial,2.3121050323130814,2.1094318360482323,4.877227963448541,0
GEN1,0,0,brain_malform,mitochondrial,2.0203501416887857,2.399224973896459,4.847274515954984,0
PFDN1,0,0,brain_malform,mitochondrial,2.140790167838791,2.2148154193950824,4.741455073418741,0
PAFAH1B3,0,0,brain_malform,mitochondrial,2.360664463665638,2.000372340113749,4.722207897406201,0
DPYSL5,0,0,brain_malform,mitochondrial,1.8115340682115426,2.584626461000679,4.682138887703762,0
SAP18,0,0,brain_malform,mitochondrial,1.7360381629754087,2.6921971643105005,4.673757019497206,0
VAPB,0,0,brain_malform,mitochondrial,2.329988064015996,1.9617683565210025,4.570896855058212,0
VAPA,0,0,brain_malform,mitochondrial,2.005689677649955,2.248524314706424,4.509842007951614,0
ARL2,0,0,brain_malform,mitochondrial,1.7239055034710307,2.6134944160303633,4.505417407085551,0
NCAPD2,0,0,brain_malform,mitochondrial,2.2562829948884597,1.9691105754662144,4.442870706479448,0
RPS6,0,0,brain_malform,mitochondrial,2.41645307249817,1.8240118478302312,4.407639033962426,0
HTRA2,0,0,brain_malform,mitochondrial,2.5282815158883802,1.7180057825732262,4.343602264269239,0
LIPH,0,0,brain_malform,mitochondrial,1.6346506443068998,2.6429245696631107,4.32025835065434,0
NCOA4,0,0,brain_malform,mitochondrial,1.8755213670520716,2.259989575663829,4.238658738472456,0
PRRC1,0,0,brain_malform,mitochondrial,1.536861000484892,2.7151936651251165,4.1728752526944275,0
RECQL4,0,0,brain_malform,mitochondrial,1.8186032263643275,2.2519953409589264,4.0954859928253375,0
GALNT6,0,0,brain_malform,mitochondrial,2.1829129606467985,1.855984904825653,4.051453503508733,0
NTRK1,0,0,brain_malform,mitochondrial,2.5027633249591505,1.615185175265615,4.042426219672499,0
SMC4,0,0,brain_malform,mitochondrial,2.083298235849766,1.9364948112232607,4.034296223953644,0
RASL10B,0,0,brain_malform,mitochondrial,2.4887445778687236,1.5622641792025547,3.8880765051888897,0
RPS24,0,0,brain_malform,mitochondrial,1.789254649724654,2.1515431475758624,3.8496585808833292,0
AC139530.2,0,0,brain_malform,mitochondrial,1.7196607343597423,2.1926979960312147,3.770696646084174,0
SSX7,0,0,brain_malform,mitochondrial,1.9013632611171742,1.961289331291909,3.7291234789395062,0
COPE,0,0,brain_malform,mitochondrial,1.972324778735169,1.8523680369451176,3.6534713786038786,0
GDI2,0,0,brain_malform,mitochondrial,1.6912209668836973,2.1595854565492925,3.6523362038932654,0
ANP32B,0,0,brain_malform,mitochondrial,2.308385623116173,1.5654108900503714,3.613571992861769,0
BOD1,0,0,brain_malform,mitochondrial,1.889850811277195,1.856005058955487,3.5075726664016056,0
RAD51,0,0,brain_malform,mitochondrial,1.896359652893078,1.8280513843386683,3.466642888675188,0
SLC25A22,0,0,brain_malform,mitochondrial,1.5590378407026264,2.210296557828379,3.445935972829204,0
KNSTRN,0,0,brain_malform,mitochondrial,1.7354950982720865,1.8991044888066413,3.2958865314304426,0
CTNNBIP1,0,0,brain_malform,mitochondrial,2.1637336542315864,1.5184973558794184,3.2856238327779757,0
POLR3F,0,0,brain_malform,mitochondrial,2.048122801566958,1.5559436494267254,3.186763666344181,0
MTERF1,0,0,brain_malform,mitochondrial,1.5097983152493515,2.104133759085679,3.1768176045268426,0
PFKP,0,0,brain_malform,mitochondrial,1.682333025983654,1.7922173817239344,3.015106491016128,0
C21orf58,0,0,brain_malform,mitochondrial,1.5577016712999028,1.9281682054859788,3.0035108362328433,0
