,OR_p,log_OR,log_OR_CI_lower,log_OR_CI_upper,num_genes_in_term,MP_description,MPO_term_type
MP:0014062,2.3515709689409864e-05,1.9890353799196419,1.0671122907629593,2.9109584690763244,66,nervous system inclusion bodies,brain
MP:0001081,5.287969590618737e-05,1.4913838373398196,0.768305590908096,2.214462083771543,170,abnormal cranial ganglia morphology,brain
MP:0004793,0.00015026269027391219,2.9748737967858023,1.4367025818585226,4.513045011713082,11,abnormal synaptic vesicle clustering,brain
MP:0011452,0.00015026269027391219,2.9748737967858023,1.4367025818585226,4.513045011713082,11,decreased susceptibility to dopaminergic neuron neurotoxicity,brain
MP:0008236,0.00023477228321016006,2.2490874373816077,1.0506798873451704,3.447494987418045,31,decreased susceptibility to neuronal excitotoxicity,brain
MP:0000778,0.0009719569502158847,1.210180983950373,0.49109769764307354,1.9292642702576726,222,abnormal nervous system tract morphology,brain
MP:0003204,0.0012072718328139968,1.6820451422265084,0.6636365799612731,2.7004537044917436,70,decreased neuron apoptosis,brain
MP:0003634,0.0037129975986206296,0.9102824954333588,0.29540092569784693,1.5251640651688707,410,abnormal glial cell morphology,brain
MP:0004792,0.003903730458538027,1.7301211625807742,0.5550811308519155,2.905161194309633,50,abnormal synaptic vesicle number,brain
MP:0004770,0.00421396845984675,2.1269304974777405,0.6701983077993832,3.5836626871560977,23,abnormal synaptic vesicle recycling,brain
MP:0000921,0.004606993631333657,1.4641173120551159,0.4512997984300895,2.476934825680142,86,demyelination,brain
MP:0003224,0.005392696705388801,0.8725537852686553,0.25795579597263196,1.4871517745646787,425,neuron degeneration,brain
MP:0000920,0.006546344562869974,1.1453570329828153,0.3197626523002849,1.9709514136653459,176,abnormal myelination,brain
MP:0004769,0.00918176910870267,1.5544320421538647,0.38499478897506534,2.7238692953326638,59,abnormal synaptic vesicle morphology,brain
MP:0002882,0.013257506210632741,0.49900621617295826,0.10412424242020568,0.8938881899257108,1654,abnormal neuron morphology,brain
MP:0002752,0.03141759999215972,0.5218655942475454,0.046512468480460256,0.9972187200146305,1041,abnormal somatic nervous system morphology,brain
MP:0012205,0.04731192416978444,2.0762202353400925,0.024633285417243744,4.127807185262942,12,abnormal neuronal stem cell self-renewal,brain
MP:0012203,0.04731192416978444,2.0762202353400925,0.024633285417243744,4.127807185262942,12,abnormal neuronal stem cell morphology,brain
MP:0004753,0.04735824478935333,1.0163200764128888,0.011847991010558667,2.020792161815219,132,abnormal miniature excitatory postsynaptic currents,brain
MP:0002910,0.06411873375491499,0.9478822565202414,-0.05560801250014191,1.9513725255406247,141,abnormal excitatory postsynaptic currents,brain
MP:0001038,0.07693639287535786,1.8348968404927923,-0.19837034141778975,3.8681640224033744,15,abnormal cholinergic neuron morphology,brain
MP:0002917,0.07693639287535786,1.8348968404927923,-0.19837034141778975,3.8681640224033744,15,decreased synaptic depression,brain
MP:0002916,0.07693639287535786,1.8348968404927923,-0.19837034141778975,3.8681640224033744,15,increased synaptic depression,brain
