z_comb,z_12,observed_overlap,expected_overlap_mean,expected_overlap_std,empirical_p,obs_exp
2,1.0,514,393.73,16.745659139012716,3.430932280388439e-13,1.30546313463541
2,1.5,247,186.1,12.784756548327387,9.513873481295062e-07,1.3272434175174637
2,2.0,88,70.6,8.052328855678958,0.015352863470589125,1.246458923512748
3,1.0,343,268.43,13.550095940619757,1.8639263526597578e-08,1.2778005439034386
3,1.5,229,172.1,10.137553945602459,9.954288902127855e-09,1.3306217315514237
3,2.0,88,69.4,8.246211251235321,0.012048432312365104,1.2680115273775214
4,1.0,235,181.77,11.98153162162501,4.442453789096797e-06,1.2928426032898717
4,1.5,189,134.98,9.82342099270921,1.9086448324267066e-08,1.4002074381389837
4,2.0,88,70.27,8.03847622376281,0.013704541324052126,1.252312508894265
5,1.0,156,122.06,9.355020042736413,0.00014281338217030388,1.2780599705063083
5,1.5,136,101.47,9.75033845566399,0.0001989931358772158,1.3402976249137677
5,2.0,78,64.76,8.398952315616514,0.05746831088925048,1.204447189623224
9,1.0,50,40.85,6.251999680102359,0.0716609669214382,1.2239902080783354
9,1.5,40,32.78,5.849068301875094,0.1085298071630389,1.2202562538133008
9,2.0,32,26.59,4.752041666483997,0.12746463701878796,1.2034599473486274
12,1.0,27,23.73,4.190119330043,0.2175755660401703,1.1378002528445006
12,1.5,22,19.18,4.196141084377406,0.25077719333596593,1.1470281543274243
12,2.0,14,13.88,3.824343080844082,0.4874840677144971,1.0086455331412103
