,d1_seeds,d2_seeds,d1_name,d2_name,z_d1,z_d2,z_both,sum_seeds
TUBB4A,1,0,CD_all,brain_malform,18.367048593766867,3.506213352581725,64.39879102698278,1
RTTN,0,1,CD_all,brain_malform,2.383413358558239,23.664038062897735,56.401184436541094,1
GAN,1,0,CD_all,brain_malform,10.094782924048278,5.399090078153519,54.50264232634263,1
TUBB2B,0,1,CD_all,brain_malform,2.9583043253642747,14.930639445787985,44.16937525292905,1
TUBG1,0,1,CD_all,brain_malform,2.3456545791392194,18.215102127803828,42.72633771557159,1
KIF1A,1,0,CD_all,brain_malform,15.086540532274428,2.721362324084863,41.05594300531082,1
ERCC5,1,0,CD_all,brain_malform,17.74642835668387,2.1597336723373872,38.327558885653204,1
RXYLT1,0,1,CD_all,brain_malform,2.3745668536912454,15.078538654011957,35.804998089919,1
POLR3A,1,0,CD_all,brain_malform,18.58035413626027,1.8711334166318179,34.7663215172098,1
CCDC73,0,0,CD_all,brain_malform,4.51221285992602,6.500084294925329,29.329763946165226,0
BSCL2,1,0,CD_all,brain_malform,9.645262186738542,2.5347784281381354,24.448602524681316,1
NPC1,1,0,CD_all,brain_malform,14.428601036177499,1.518710938276889,21.912874217676023,1
TCP11X2,0,0,CD_all,brain_malform,3.4755850060648754,6.298175936141393,21.889845849211635,0
DCDC1,0,0,CD_all,brain_malform,2.7614767618337566,7.537239864599802,20.813912734459365,0
SERPINI1,1,0,CD_all,brain_malform,12.074361801871401,1.6999187714668447,20.525434280483427,1
SETBP1,1,0,CD_all,brain_malform,12.08880725229494,1.5412470045646909,18.631837966359488,1
GABBR2,1,0,CD_all,brain_malform,11.470364665969313,1.581705108554187,18.142734389143104,1
TMEM53,0,0,CD_all,brain_malform,3.3348611108217456,5.150787636213614,17.177161378110245,0
MAP6D1,0,0,CD_all,brain_malform,3.7024965574110005,3.6897120110874457,13.661146018889287,0
POMGNT2,0,0,CD_all,brain_malform,3.2157378747917056,4.0460819424299626,13.011138946782824,0
B3GALNT2,0,0,CD_all,brain_malform,4.6220186300592445,2.6244532122033326,12.130271640522631,0
FKRP,0,0,CD_all,brain_malform,3.5064838200397253,3.4504548637914945,12.09896415166225,0
TUBG2,0,0,CD_all,brain_malform,4.229728645264826,2.7531634957012083,11.645134502864845,0
DYNC1I2,0,0,CD_all,brain_malform,2.8387523131655716,4.096389018928518,11.628633803109377,0
HEPACAM2,0,0,CD_all,brain_malform,3.2132001450815335,3.022740493009984,9.712670190683507,0
AC104831.1,0,0,CD_all,brain_malform,4.784672901896226,2.025573966697358,9.691708869243296,0
C1orf87,0,0,CD_all,brain_malform,3.0569325136899,2.9834123486434736,9.120090210312183,0
TUBA4B,0,0,CD_all,brain_malform,3.4179289944683244,2.6048680601333896,8.903254069494372,0
SIRT2,0,0,CD_all,brain_malform,2.9484680789812576,2.92816687072754,8.63360654827059,0
LRPAP1,0,0,CD_all,brain_malform,3.710506533341306,2.29681545862351,8.52234876510184,0
HADH,0,0,CD_all,brain_malform,5.2316900620459545,1.6277637415031458,8.515955389780748,0
GYG2,0,0,CD_all,brain_malform,3.1968302805853313,2.614423496123565,8.357868198681578,0
DDHD2,0,0,CD_all,brain_malform,4.902899807262816,1.650622148163698,8.09283501209553,0
POMK,0,0,CD_all,brain_malform,3.4347409087061105,2.2572763106578195,7.753159286469615,0
IRF2BP2,0,0,CD_all,brain_malform,3.2446739483491127,2.365029545737127,7.673749754129192,0
TUBB4B,0,0,CD_all,brain_malform,2.7690434028580513,2.651033423193725,7.3408266112507805,0
POMGNT1,0,0,CD_all,brain_malform,2.6476026425177634,2.57863794805614,6.827208645370019,0
ADGRA2,0,0,CD_all,brain_malform,3.0337479213283145,2.246788211460629,6.816189066183645,0
