,OR_p,log_OR,log_OR_CI_lower,log_OR_CI_upper,num_genes_in_term,MP_description,MPO_term_type
MP:0003634,4.547347263689509e-09,1.3049769188603193,0.8687271002446347,1.741226737476004,410,abnormal glial cell morphology,brain
MP:0000136,1.544962840270825e-08,1.914612077616158,1.251202791253505,2.5780213639788108,99,abnormal microglial cell morphology,brain
MP:0014062,2.969954440777012e-08,2.114807818167799,1.367054155915542,2.862561480420056,66,nervous system inclusion bodies,brain
MP:0000952,3.531960822041767e-08,1.3429446212998553,0.8654868108759819,1.8204024317237286,324,abnormal CNS glial cell morphology,brain
MP:0003691,8.14143232836586e-07,1.9954703407560288,1.2024669696743226,2.788473711837735,64,abnormal microglial cell physiology,brain
MP:0000921,1.3125934763127601e-06,1.8174572267379077,1.0811467019872247,2.5537677514885906,86,demyelination,brain
MP:0010762,1.7704538161545003e-06,2.32979765651893,1.3741012715705812,3.285494041467279,34,abnormal microglial cell activation,brain
MP:0003202,2.3312219685478045e-06,1.3294095076701034,0.7776527377150736,1.881166277625133,239,abnormal neuron apoptosis,brain
MP:0003224,2.6214576949239396e-06,1.1110645035995734,0.6475824431609759,1.574546564038171,424,neuron degeneration,brain
MP:0001081,6.571958337854486e-06,1.4291302152415177,0.8076566319966402,2.0506037984863954,170,abnormal cranial ganglia morphology,brain
MP:0000920,1.1115559268125298e-05,1.3917618433020245,0.7709954352104659,2.012528251393583,176,abnormal myelination,brain
MP:0003204,6.415697288468862e-05,1.7218668345457555,0.8775291371820347,2.5662045319094764,70,decreased neuron apoptosis,brain
MP:0003690,6.48238355857063e-05,1.4811344405233111,0.7543973425476611,2.207871538498961,117,abnormal glial cell physiology,brain
MP:0008235,6.94338937382886e-05,2.1385789331206064,1.084956835033547,3.1922010312076656,32,increased susceptibility to neuronal excitotoxicity,brain
MP:0004980,0.00044219626233880834,2.1845916986753684,0.9659533612118758,3.403230036138861,23,increased neuronal precursor cell number,brain
MP:0002882,0.0006006023660633127,0.5597045702855485,0.2400043699775633,0.8794047705935337,1654,abnormal neuron morphology,brain
MP:0003203,0.0007290128878711566,1.1723763515769292,0.49223315115877475,1.8525195519950837,176,increased neuron apoptosis,brain
MP:0002752,0.0009024875950052235,0.6369777612904226,0.26085638570758274,1.0130991368732625,1041,abnormal somatic nervous system morphology,brain
MP:0011452,0.0010188578456293174,2.575029184155678,1.0387873767220437,4.111270991589312,11,decreased susceptibility to dopaminergic neuron neurotoxicity,brain
MP:0011451,0.0020687837784933213,2.374250351359005,0.8634778057167201,3.88502289700129,13,increased susceptibility to dopaminergic neuron neurotoxicity,brain
MP:0002206,0.00268472168712001,0.6027497664227415,0.20918417034055176,0.9963153625049312,966,abnormal CNS synaptic transmission,brain
MP:0003635,0.005382574717988726,0.549736312355428,0.16260506700875438,0.9368675577021015,1052,abnormal synaptic transmission,brain
MP:0021009,0.00601651596421904,0.5425165050449507,0.1554181078591274,0.929614902230774,1059,abnormal synaptic physiology,brain
MP:0006069,0.007299202571342172,0.7215553110806265,0.19442607850056415,1.2486845436606888,454,abnormal retina neuronal layer morphology,brain
MP:0000965,0.007805955472217272,0.6936050337912985,0.18260421357093026,1.2046058540116666,498,abnormal sensory neuron morphology,brain
MP:0020448,0.01184233313445615,1.8813952934760731,0.41625891310406704,3.3465316738480793,20,increased microglial cell activation,brain
MP:0004811,0.014845016916080513,0.5848298147266302,0.11431240558215316,1.0553472238711072,658,abnormal neuron physiology,brain
MP:0004859,0.025835162611656883,1.1507483860682157,0.13874811490471073,2.1627486572317207,79,abnormal synaptic plasticity,brain
MP:0000811,0.03088704429056469,1.5933886159576023,0.1465745001088703,3.0402027318063345,26,hippocampal neuron degeneration,brain
MP:0001900,0.036699918761978784,1.246819896272802,0.07706371331247652,2.4165760792331277,54,impaired synaptic plasticity,brain
MP:0021010,0.04270747826150148,1.2082452319842165,0.03970461083760335,2.37678585313083,56,impaired synaptic physiology,brain
MP:0006092,0.04471854208391599,1.4754432382461555,0.0347883219011611,2.91609815459115,29,abnormal olfactory sensory neuron morphology,brain
MP:0008236,0.05556162255446872,1.403876031583815,-0.03336940853426018,2.8411214717018902,31,decreased susceptibility to neuronal excitotoxicity,brain
MP:0008946,0.07495745019362597,0.4933711226397435,-0.04966041871564808,1.0364026639951351,525,abnormal neuron number,brain
MP:0008948,0.08612045742837669,0.5120572958817853,-0.07272182212578981,1.0968364138893603,441,decreased neuron number,brain
MP:0004562,0.09135935835689417,1.7732776253642566,-0.2853739601671421,3.8319292108956553,11,abnormal inner hair cell synaptic ribbon morphology,brain
MP:0003407,0.09135935835689417,1.7732776253642566,-0.2853739601671421,3.8319292108956553,11,abnormal central nervous system regeneration,brain
MP:0005192,0.09135935835689417,1.7732776253642566,-0.2853739601671421,3.8319292108956553,11,increased motor neuron number,brain
MP:0003871,0.10594637648358071,0.9582161897529105,-0.20346321482470375,2.119895594330525,71,abnormal myelin sheath morphology,brain
MP:0012203,0.10869194155736872,1.6779133754309594,-0.37223881621880883,3.7280655670807277,12,abnormal neuronal stem cell morphology,brain
MP:0003246,0.10869194155736872,1.6779133754309594,-0.37223881621880883,3.7280655670807277,12,loss of GABAergic neurons,brain
MP:0012205,0.10869194155736872,1.6779133754309594,-0.37223881621880883,3.7280655670807277,12,abnormal neuronal stem cell self-renewal,brain
MP:0001025,0.10869194155736872,1.6779133754309594,-0.37223881621880883,3.7280655670807277,12,abnormal sympathetic neuron morphology,brain
MP:0004979,0.1223613341775143,0.9148812883709212,-0.24577028951971402,2.0755328662615566,74,abnormal neuronal precursor cell number,brain
MP:0010170,0.1460538980458461,1.5107511417383268,-0.5262558132322948,3.5477580967089484,14,abnormal glial cell apoptosis,brain
MP:0009823,0.1460538980458461,1.5107511417383268,-0.5262558132322948,3.5477580967089484,14,abnormal sphingomyelin level,brain
