,abnormal glial cell morphology:-log(OR_p),abnormal glial cell morphology:log_OR,abnormal glial cell morphology:num_genes,abnormal glial cell morphology:gene_ids,neuron degeneration:-log(OR_p),neuron degeneration:log_OR,neuron degeneration:num_genes,neuron degeneration:gene_ids,abnormal sphingomyelin level:-log(OR_p),abnormal sphingomyelin level:log_OR,abnormal sphingomyelin level:num_genes,abnormal sphingomyelin level:gene_ids,abnormal CNS glial cell morphology:-log(OR_p),abnormal CNS glial cell morphology:log_OR,abnormal CNS glial cell morphology:num_genes,abnormal CNS glial cell morphology:gene_ids,abnormal neuron morphology:-log(OR_p),abnormal neuron morphology:log_OR,abnormal neuron morphology:num_genes,abnormal neuron morphology:gene_ids,abnormal cranial ganglia morphology:-log(OR_p),abnormal cranial ganglia morphology:log_OR,abnormal cranial ganglia morphology:num_genes,abnormal cranial ganglia morphology:gene_ids,decreased susceptibility to dopaminergic neuron neurotoxicity:-log(OR_p),decreased susceptibility to dopaminergic neuron neurotoxicity:log_OR,decreased susceptibility to dopaminergic neuron neurotoxicity:num_genes,decreased susceptibility to dopaminergic neuron neurotoxicity:gene_ids,demyelination:-log(OR_p),demyelination:log_OR,demyelination:num_genes,demyelination:gene_ids,nervous system inclusion bodies:-log(OR_p),nervous system inclusion bodies:log_OR,nervous system inclusion bodies:num_genes,nervous system inclusion bodies:gene_ids,abnormal myelination:-log(OR_p),abnormal myelination:log_OR,abnormal myelination:num_genes,abnormal myelination:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C251,7.537052457192385,1.3545731629084372,19,ASAH1 ATP13A2 B4GALNT1 B4GAT1 CERS6 CTSB CTSD CTSF FUCA1 GNPTAB HEXA INPP5A NOTCH3 PNKP PRNP SCARB2 SMPD3 TUBB4A VPS13A,6.316248867709223,1.2576586351789363,18,ATP8A2 ATP8B1 CAPZB CASP3 CTSB CTSD DRAM2 FUCA1 GNPTAB GPNMB GPX1 INPP5A MAN2C1 MCOLN3 PRNP PRSS56 SCARB2 TUBB4A,5.443324092010162,3.032420549731876,3,ASAH1 ELOVL1 SPTLC2,5.1624031986389225,1.2640790127624069,14,ASAH1 ATP13A2 B4GALNT1 B4GAT1 CERS6 CTSD FUCA1 GNPTAB HEXA PNKP PRNP SCARB2 SMPD3 TUBB4A,3.9094154906272083,0.6774283086355215,39,ASAH1 ATP13A2 ATP8A2 ATP8B1 B4GALNT1 B4GAT1 CAPZB CASP3 CDK5 CLCN6 CMTM6 COLQ CTSB CTSD CTSF DNM2 DRAM2 ECPAS ERC2 FUCA1 GALT GNPTAB GPNMB GPX1 HEXA INPP5A KLC1 MAN2C1 MCOLN3 MICU1 PINK1 PNKP PRNP PRSS56 SCARB2 SNCG SORT1 TUBB4A VAMP2,3.5489765369134303,1.3360852455731482,8,ATP8A2 ATP8B1 CASP3 CTSD DNM2 GPX1 MCOLN3 SCARB2,3.497038367975476,2.8236438930400656,2,PLA2G4A SNCG,3.0666012384719883,1.5511445167130908,5,ATP8A2 DNM2 GNPTAB SCARB2 TUBB4A,2.6586241521178744,1.592218961693936,4,ATP13A2 KLC1 PINK1 PRNP,2.5044075797951955,1.1556958220656082,7,ATP8A2 DNM2 GNPTAB HEXA PNKP SCARB2 TUBB4A,CD_1A_lyso-PD systems map,7,7,0.02834008097165992,0.02834008097165992,0.004048582995951417,0.9392712550607287
C256,2.200113396146076,2.1040363276515075,2,B4GAT1 CTSF,-0.0,0.0,0,,-0.0,0.0,0,,0.8730033504126495,1.5621017989794996,1,B4GAT1,1.0738320039833886,1.1369939973907055,3,B4GAT1 CTSF KLC1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,2.615897716065271,3.1792283540001307,1,KLC1,-0.0,0.0,0,,antigen processing and presentation of peptide antigen,0,1,0.0,0.07692307692307693,0.0,0.9230769230769231
C261,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.14719934384732594,0.3940208494092836,1,PINK1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,3.259523322628966,3.7184915996462413,1,PINK1,-0.0,0.0,0,,C261,0,1,0.0,0.125,0.0,0.875
C264,1.2047662723248636,2.014848686004502,1,GNPTAB,1.1738778847687459,1.9804306693240346,1,GNPTAB,-0.0,0.0,0,,1.431455496251593,2.255573531930459,1,GNPTAB,1.05146764253172,1.424361960447225,2,GNPTAB MICU1,-0.0,0.0,0,,-0.0,0.0,0,,3.04458059900683,3.6033642834523754,1,GNPTAB,-0.0,0.0,0,,2.1025888165932405,2.8764123431940316,1,GNPTAB,C264,1,0,0.14285714285714285,0.0,0.0,0.8571428571428572
C267,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.21334681330438932,0.5482298059928752,1,GALT,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C267,0,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C272,-0.0,0.0,0,,1.1738778847687459,1.9804306693240346,1,MCOLN3,-0.0,0.0,0,,-0.0,0.0,0,,0.21334681330438932,0.5482298059928752,1,MCOLN3,2.1443800606984973,2.911621473341503,1,MCOLN3,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C272,1,0,0.14285714285714285,0.0,0.0,0.8571428571428572
C273,-0.0,0.0,0,,1.1738778847687459,1.9804306693240346,1,MCOLN3,-0.0,0.0,0,,-0.0,0.0,0,,0.21334681330438932,0.5482298059928752,1,MCOLN3,2.1443800606984973,2.911621473341503,1,MCOLN3,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C273,1,0,0.14285714285714285,0.0,0.0,0.8571428571428572
C275,-0.0,0.0,0,,1.3136621652034681,2.1628066020186028,1,GPNMB,-0.0,0.0,0,,-0.0,0.0,0,,1.2424275232274749,1.6475637817261983,2,CMTM6 GPNMB,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C275,0,1,0.0,0.16666666666666666,0.0,0.8333333333333334
C284,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.40481136954526753,0.953811457426152,1,SORT1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C284,0,1,0.0,0.2,0.0,0.8
C285,1.514819564272789,2.42042246023611,1,PRNP,1.481445544225232,2.3860045262768494,1,PRNP,-0.0,0.0,0,,1.7583484572951773,2.661146800765569,1,PRNP,1.4675563835794827,1.93530412074755,2,PINK1 PRNP,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,7.984045351961856,5.274654171841883,2,PINK1 PRNP,-0.0,0.0,0,,C285,0,1,0.0,0.2,0.0,0.8
