,OR_p,log_OR,log_OR_CI_lower,log_OR_CI_upper,num_genes_in_term,MP_description,MPO_term_type
MP:0002882,7.824288146021926e-09,1.2212039150585081,0.8065413191200822,1.6358665109969341,1654,abnormal neuron morphology,brain
MP:0003871,1.543782900550439e-07,2.481680684962363,1.554719732260896,3.4086416376638304,71,abnormal myelin sheath morphology,brain
MP:0014062,1.0160786925356557e-05,2.3128332948766275,1.2857933603496239,3.339873229403631,66,nervous system inclusion bodies,brain
MP:0003634,2.799967070498072e-05,1.3982251181382885,0.7440426587858779,2.0524075774906994,410,abnormal glial cell morphology,brain
MP:0011731,6.640645979899003e-05,3.024622206293788,1.5384257582589937,4.510818654328583,17,decreased myelin sheath thickness,brain
MP:0000921,9.375626385775651e-05,2.0321746070509246,1.0125181481664691,3.05183106593538,86,demyelination,brain
MP:0006009,0.00010108762610225267,1.808135831561037,0.896635893858119,2.719635769263955,134,abnormal neuronal migration,brain
MP:0000952,0.00015825521886991985,1.3978400011234378,0.6726146235139269,2.1230653787329485,324,abnormal CNS glial cell morphology,brain
MP:0004811,0.00030988483880946374,1.105533308581526,0.504793225342532,1.70627339182052,658,abnormal neuron physiology,brain
MP:0000778,0.00046976266021203373,1.4835000707506225,0.6521450219667221,2.314855119534523,221,abnormal nervous system tract morphology,brain
MP:0011723,0.0009822584052689503,1.9693690875546048,0.7981287312613647,3.140609443847845,68,ectopic neuron,brain
MP:0000920,0.0009963244671419272,1.5240201612797488,0.6165409458823036,2.431499376677194,176,abnormal myelination,brain
MP:0003648,0.0023220556409636168,2.2352008871979905,0.7967674793553476,3.6736342950406335,35,abnormal radial glial cell morphology,brain
MP:0003861,0.003592564070641548,0.7653623649668297,0.2502035049103283,1.2805212250233313,1315,abnormal nervous system development,brain
MP:0004101,0.006278308470094861,1.9935565023350943,0.5638200824664967,3.423292922203692,44,abnormal brain interneuron morphology,brain
MP:0000937,0.009465673887618648,1.3346126459814727,0.32650715655369855,2.342718135409247,168,abnormal motor neuron morphology,brain
MP:0021105,0.00953436478578623,2.728977236194952,0.6656552451668296,4.792299227223074,11,abnormal ventral interneuron 3 morphology,brain
MP:0001081,0.010130531895409262,1.3223833640158258,0.31441784427435526,2.3303488837572965,170,abnormal cranial ganglia morphology,brain
MP:0009937,0.013809094969033906,1.0395905498189677,0.21205129713083948,1.867129802507096,339,abnormal neuron differentiation,brain
MP:0002752,0.016305582358268764,0.7086655162706599,0.1304152025884613,1.2869158299528585,1041,abnormal somatic nervous system morphology,brain
MP:0003690,0.01764009886508432,1.4049245607652203,0.24457885513102262,2.565270266399418,117,abnormal glial cell physiology,brain
MP:0009823,0.01789996234588221,2.4664524194272044,0.4247255469099529,4.508179291944456,14,abnormal sphingomyelin level,brain
MP:0003240,0.02503756905650481,2.3232445265973283,0.2911891468594665,4.3552999063351905,16,loss of hippocampal neurons,brain
MP:0003691,0.02686028272951132,1.6030190618314712,0.18363815478581014,3.0223999688771324,64,abnormal microglial cell physiology,brain
MP:0003241,0.033355870048130544,2.1979743229933604,0.17334596214606757,4.222602683840654,18,loss of cortex neurons,brain
MP:0021101,0.03793378327422293,2.1407623745298814,0.11923665776026393,4.162288091299499,19,abnormal ventral interneuron morphology,brain
MP:0014371,0.03793378327422293,2.1407623745298814,0.11923665776026393,4.162288091299499,19,abnormal miniature excitatory postsynaptic current amplitude,brain
MP:0013438,0.03793378327422293,2.1407623745298814,0.11923665776026393,4.162288091299499,19,dysmyelination,brain
MP:0020448,0.04277677712864989,2.086641615769966,0.06789599067538221,4.10538724086455,20,increased microglial cell activation,brain
MP:0014489,0.053213756166466,1.9864510736341483,-0.027519752415260168,4.000421899683557,22,abnormal cochlear sensory neuron innervation pattern,brain
MP:0004859,0.05498492715344959,1.3855427639405775,-0.02957998257552963,2.8006655104566844,79,abnormal synaptic plasticity,brain
MP:0003224,0.055358542442905126,0.8076122408221451,-0.018509038394498134,1.6337335200387884,424,neuron degeneration,brain
MP:0008917,0.05878530642510904,1.9398775119094447,-0.07202796630270702,3.9517829901215964,23,abnormal oligodendrocyte physiology,brain
MP:0009808,0.06457728487929638,1.8953722003814653,-0.11464567228142242,3.905390073044353,24,decreased oligodendrocyte number,brain
MP:0008571,0.08973096636883442,1.7348153257981807,-0.2690380112476971,3.7386686628440584,28,abnormal synaptic bouton morphology,brain
MP:0006092,0.09646322981709546,1.698394118328867,-0.3041909392092097,3.700979175866944,29,abnormal olfactory sensory neuron morphology,brain
MP:0000136,0.1091957036533275,1.1535625161611147,-0.2579211720922141,2.5650462044144433,99,abnormal microglial cell morphology,brain
MP:0010762,0.13230233572598987,1.5338232075015288,-0.4635650504413642,3.5312114654444215,34,abnormal microglial cell activation,brain
MP:0002206,0.13464241924235887,0.4960729852909527,-0.1538315348055539,1.1459775053874592,966,abnormal CNS synaptic transmission,brain
MP:0004100,0.14749140789212734,1.4748755435712972,-0.5208468815871234,3.470597968729718,36,abnormal spinal cord interneuron morphology,brain
MP:0001105,0.17899215742000052,1.3664475966580039,-0.626452556441724,3.359347749757732,40,abnormal PNS glial cell morphology,brain
MP:0014379,0.1823009056140824,1.932303050622168,-0.9073409627329245,4.77194706397726,11,decreased excitatory postsynaptic current frequency,brain
MP:0000954,0.1823009056140824,1.932303050622168,-0.9073409627329245,4.77194706397726,11,decreased oligodendrocyte progenitor number,brain
MP:0004562,0.1823009056140824,1.932303050622168,-0.9073409627329245,4.77194706397726,11,abnormal inner hair cell synaptic ribbon morphology,brain
MP:0014375,0.1823009056140824,1.932303050622168,-0.9073409627329245,4.77194706397726,11,increased miniature excitatory postsynaptic current frequency,brain
MP:0005192,0.1823009056140824,1.932303050622168,-0.9073409627329245,4.77194706397726,11,increased motor neuron number,brain
MP:0010050,0.1823009056140824,1.932303050622168,-0.9073409627329245,4.77194706397726,11,hypermyelination,brain
MP:0010160,0.1823009056140824,1.932303050622168,-0.9073409627329245,4.77194706397726,11,increased oligodendrocyte number,brain
MP:0004793,0.1823009056140824,1.932303050622168,-0.9073409627329245,4.77194706397726,11,abnormal synaptic vesicle clustering,brain
MP:0006277,0.1823009056140824,1.932303050622168,-0.9073409627329245,4.77194706397726,11,abnormal parasympathetic nervous system physiology,brain
MP:0011452,0.1823009056140824,1.932303050622168,-0.9073409627329245,4.77194706397726,11,decreased susceptibility to dopaminergic neuron neurotoxicity,brain
MP:0003407,0.1823009056140824,1.932303050622168,-0.9073409627329245,4.77194706397726,11,abnormal central nervous system regeneration,brain
MP:0003247,0.1823009056140824,1.932303050622168,-0.9073409627329245,4.77194706397726,11,abnormal glutaminergic neuron morphology,brain
MP:0020387,0.1823009056140824,1.932303050622168,-0.9073409627329245,4.77194706397726,11,abnormal radial glial cell number,brain
MP:0000940,0.18706161439168356,1.341076190924806,-0.6512060575674454,3.333358439417057,41,abnormal motor neuron innervation pattern,brain
MP:0009939,0.19116893357567954,0.939544427572562,-0.46924794410346515,2.348336799248589,122,abnormal hippocampus neuron morphology,brain
MP:0001045,0.20198557759432978,1.8452381561992208,-0.9892770003704108,4.679753312768852,12,abnormal enteric ganglia morphology,brain
MP:0003246,0.20198557759432978,1.8452381561992208,-0.9892770003704108,4.679753312768852,12,loss of GABAergic neurons,brain
MP:0014382,0.20198557759432978,1.8452381561992208,-0.9892770003704108,4.679753312768852,12,increased miniature inhibitory postsynaptic current frequency,brain
MP:0012205,0.20198557759432978,1.8452381561992208,-0.9892770003704108,4.679753312768852,12,abnormal neuronal stem cell self-renewal,brain
MP:0001025,0.20198557759432978,1.8452381561992208,-0.9892770003704108,4.679753312768852,12,abnormal sympathetic neuron morphology,brain
MP:0012203,0.20198557759432978,1.8452381561992208,-0.9892770003704108,4.679753312768852,12,abnormal neuronal stem cell morphology,brain
MP:0004191,0.20198557759432978,1.8452381561992208,-0.9892770003704108,4.679753312768852,12,neuronal intranuclear inclusions,brain
MP:0020393,0.20198557759432978,1.8452381561992208,-0.9892770003704108,4.679753312768852,12,increased neuronal precursor proliferation,brain
MP:0014345,0.22155411188941077,1.7651419282280987,-1.0650261670970598,4.595310023553257,13,abnormal neuron mitochondrial morphology,brain
MP:0011451,0.22155411188941077,1.7651419282280987,-1.0650261670970598,4.595310023553257,13,increased susceptibility to dopaminergic neuron neurotoxicity,brain
MP:0011003,0.22155411188941077,1.7651419282280987,-1.0650261670970598,4.595310023553257,13,reduced AMPA-mediated synaptic currents,brain
MP:0003635,0.22167346428496382,0.40507436033087885,-0.2445757750301547,1.0547244956919124,1052,abnormal synaptic transmission,brain
MP:0021009,0.22985629161077248,0.3979824073786915,-0.25164886017047283,1.047613674927856,1059,abnormal synaptic physiology,brain
MP:0010149,0.2409589397319134,1.6909804329122178,-1.1354562888637982,4.517417154688234,14,abnormal synaptic dopamine release,brain
MP:0010170,0.2409589397319134,1.6909804329122178,-1.1354562888637982,4.517417154688234,14,abnormal glial cell apoptosis,brain
MP:0014325,0.2409589397319134,1.6909804329122178,-1.1354562888637982,4.517417154688234,14,abnormal oligodendrocyte progenitor morphology,brain
MP:0010387,0.26016396598924785,1.6219340353982226,-1.2012648403735402,4.445132911169985,15,abnormal Bergmann glial cell morphology,brain
MP:0020338,0.26016396598924785,1.6219340353982226,-1.2012648403735402,4.445132911169985,15,abnormal hippocampal pyramidal neuron dendrite morphology,brain
MP:0002916,0.26016396598924785,1.6219340353982226,-1.2012648403735402,4.445132911169985,15,increased synaptic depression,brain
MP:0002917,0.26016396598924785,1.6219340353982226,-1.2012648403735402,4.445132911169985,15,decreased synaptic depression,brain
MP:0002948,0.26016396598924785,1.6219340353982226,-1.2012648403735402,4.445132911169985,15,abnormal neuron specification,brain
MP:0001038,0.26016396598924785,1.6219340353982226,-1.2012648403735402,4.445132911169985,15,abnormal cholinergic neuron morphology,brain
MP:0004494,0.26016396598924785,1.6219340353982226,-1.2012648403735402,4.445132911169985,15,abnormal synaptic glutamate release,brain
MP:0003243,0.2790016917401673,1.0975402473990563,-0.8895367341450011,3.084617228943114,52,abnormal dopaminergic neuron morphology,brain
MP:0014385,0.2791419829809445,1.557341985368419,-1.2630207261895254,4.377704696926363,16,decreased miniature inhibitory postsynaptic current amplitude,brain
MP:0004297,0.2791419829809445,1.557341985368419,-1.2630207261895254,4.377704696926363,16,abnormal proprioceptive neuron morphology,brain
MP:0011827,0.2791419829809445,1.557341985368419,-1.2630207261895254,4.377704696926363,16,impaired neuron differentiation,brain
MP:0012204,0.2791419829809445,1.557341985368419,-1.2630207261895254,4.377704696926363,16,abnormal neuronal stem cell physiology,brain
MP:0001900,0.29607214321134967,1.0589666992072537,-0.9273949460667756,3.045328344481283,54,impaired synaptic plasticity,brain
MP:0021010,0.3131781865931472,1.021818148655374,-0.9638799549455539,3.007516252256302,56,impaired synaptic physiology,brain
MP:0003244,0.31634133433610967,1.4394518833307757,-1.3761775399773186,4.2550813066388695,18,loss of dopaminergic neurons,brain
MP:0000953,0.32173712442592306,1.003745999400838,-0.9816380296496798,2.989130028451356,57,abnormal oligodendrocyte morphology,brain
MP:0000965,0.32929386315144193,0.4476407430622782,-0.45171987894440413,1.3470013650689605,498,abnormal sensory neuron morphology,brain
MP:0014376,0.3345372949990608,1.385331124570861,-1.4283029533923486,4.198965202534071,19,decreased miniature excitatory postsynaptic current frequency,brain
MP:0011269,0.35245345449021226,1.333984289827253,-1.4778527668899333,4.145821346544439,20,increased excitatory postsynaptic current amplitude,brain
