,z
UBE2Q1,-0.4403410485467279
RNF14,-0.3132656815189934
UBE2Q2,-0.5249542745242739
TMCO1,-0.5063678322747186
UBAC1,-0.05581519399754059
RAB4A,-0.25263982295611037
ZNF706,-0.45800182146989304
MIB2,0.19265215027320068
RNF114,-0.6203819170128198
RNF115,-0.618888124821306
RNF111,-0.8772531675030052
EEF1AKNMT,-1.0795626141374277
UNKL,0.07441353699081582
MMAB,-0.3326023345459555
UBE4A,-0.5563717889036267
DDX41,-0.44746296062009056
ATMIN,-0.9446480793979268
TSG101,-0.594370446043376
FBXW11,-0.6042697317931516
UBE2D4,2.486740027923602
RPS27A,-0.9432991132324862
UBE2D2,-0.8544812488186815
ATP6V1H,-0.10878004350579777
UBE2D1,-0.6820119659328938
MFSD11,1.7283060779493287
CCT3,0.952446268534151
LNX1,-0.14596811184456152
MRFAP1L1,-1.0809598848758823
GTF2B,-0.9130553694401129
FBXL13,-0.24766682711049406
FBXL12,0.04403888275701262
FBXL15,0.19224923359201998
FBXL14,-0.39137578442845433
FBXL16,-0.20021754019562954
FBXL19,0.20293604538114068
FBXL18,-0.08036851572478909
CCDC51,-0.12142832143581898
PPP1R11,0.12841238074829942
AKTIP,-0.5665051938088026
RNF41,-0.19885799950308342
ANAPC1,-0.8826754587135921
ANAPC2,2.2947687903785057
ANAPC5,-0.7648982456916066
ANAPC4,-0.8900087766728126
ANAPC7,-0.766031120639355
ZNRF1,-0.4594788979870402
LRR1,-0.8946725959518083
ZNRF2,-0.5651364924389906
FBXO30,-0.4343048939501848
FBXO5,-1.0251163413308493
FBXO32,-0.2110173242085691
EMC7,-0.10805534215451744
KLHL25,-0.0731591525436391
KLHL21,-0.2844153055495819
KLHL20,-0.7024348904129608
KLHL22,0.6243765498670326
MKRN1,-0.32335093407673904
SPSB2,-0.05342424182004624
SPSB1,-0.11051030157513572
TRIM50,4.4732500161362925
SPSB4,-0.019083905428527555
ARF1,1.1823977755947883
CDC34,0.14910387154646948
AREL1,-0.13069305099513295
LONRF1,-0.5073583989278092
CIAO2B,-0.41579438602331453
RNF25,0.1540949777901235
UBE2V1,-0.03624983440907698
UBE2V2,-1.0338907162435986
RNF26,-0.4518548788123897
PSMD8,-0.3987520452610124
LMO7,-0.6728110138700322
MGRN1,0.5541220965412488
DHX8,-0.9044916539072667
SPCS1,0.06365384384922826
ITCH,-0.7038139886831322
PSMD4,-0.800728465559735
FLAD1,-0.23109180575442112
CBLL2,-0.054787085114246306
ARIH2,-0.3395964468276521
TRIP12,-1.2218722471978851
MEX3C,-0.7354048212642834
E2F6,-1.0603461782486845
SNW1,-1.2898802292144815
PRCC,-0.6660108892083954
C3AR1,1.6172049403598423
BTRC,-0.3240890776834819
TRIM11,-0.5373782441844258
HUWE1,-0.7939668478352577
UFC1,0.03902324986592203
LRRC41,-0.1683256958626551
USP25,-0.6069079967126881
MOAP1,-0.6968419402805008
ASB2,-0.22362328744148502
ASB1,0.20355010043332394
ASB6,0.21915075921570312
ASB7,-0.19393652111502901
ASB4,0.21404017715083765
ASB5,0.05502015938529907
ASB8,-0.012461071498896692
ASB9,0.011546973778934601
PIP4K2C,-0.23112968402844697
ZMPSTE24,3.268803954268436
MRPL34,-0.14427925440901737
UBE2R2,-0.4217213877039545
IMPA1,-0.774818158969966
RNF19B,-0.3915283458179508
RNF19A,-0.5066912637077297
RFX5,-0.6125589511609337
TRAIP,-0.8116101724138708
UBA52,-0.9532359202558038
KAT7,-0.07207709985693801
EXOSC7,-0.8771806418037319
ADAR,-0.63202094772301
STK24,-0.5618947777163878
GPR161,-0.06179159377457819
UBE2E1,-1.0090071482701632
UBE2E3,-0.695083079219827
UBE2E2,-0.3553732616265652
DLGAP3,-0.8563378770741573
JTB,-0.365331299562762
TRIM9,-0.29182455150383174
FBXL20,-0.3278549217068766
TRIM4,-0.27626536896773907
FBXW12,-0.16252196344300715
PI4KB,0.4658176538667221
RNPEP,0.6022022932954253
ELOB,-0.31361084151964236
FBXW8,-0.32802267203704677
SKP2,-1.0086342086688065
ZBTB16,2.162437911398304
SKP1,-0.8574108894297514
DEDD,-0.541259639308371
WDR26,-0.8695937186867246
FBXW9,-0.2558682460608676
FBXO21,-0.4454634684507555
FBXO27,-0.1421769863919128
HNRNPAB,-1.0980532459100871
DDX19B,-0.4908187220030726
FBXO28,-0.6696665206266265
FBXW4,2.339982362411461
FBXW5,-0.17999736550885928
FBXW7,-0.5766807890785768
KLHL11,-0.1002479465647597
KLHL12,-0.6887748524975333
LRSAM1,0.24807327235229257
SH3RF1,-0.26394436748061917
CSTB,-0.2307802540307489
GNB1,-0.6507810934765808
UBE2D3,-0.8842618410621712
TRIM69,-0.37236190389179225
JOSD1,-0.3704792414675828
TRIM63,-0.1291011386495287
PIP5K1A,-0.41699690774451015
KEAP1,-0.2789864730539851
ATP6V0C,0.5596676048156254
ERCC3,-0.9750495983067236
RNF34,-0.11345135156788115
TOR1A,-0.2577818823241554
TOR1B,-0.08301052343977365
RLIM,-0.6505715119259736
TMEM248,0.35104315534343433
MFSD5,0.5602332321309894
PSME3,-0.8302676792967026
KBTBD13,-0.2684436994666391
DDX23,-0.8095318950803577
ERP44,-0.4201219132193528
ILF2,-1.014816399736157
ASB10,0.04746161543580633
UBE2J1,-0.6263894946657802
UBE2J2,-0.10154689802605382
WWP1,-0.6415453930169168
BTBD1,-0.7089129613362184
FBXO10,-0.3065608330732788
FBXO17,-0.05638386240165283
FBXO15,-0.23734826731011713
ASB13,2.7925910137717596
CAPRIN1,-1.056488658973808
PPP1R7,0.11490312978209856
CERS2,1.3526225460990986
ASB17,-0.39856477817256386
EIF4ENIF1,-0.9888252308390005
CUL5,-1.0844169531314163
CUL7,3.3645086733463696
CUL1,-0.9193340886293755
CUL2,-1.0493766090457939
CUL3,-1.1722210330792577
TRIM27,-0.4745149746290949
TRIM21,-0.2141555529310417
IRF2BPL,-1.2346012403645168
RNF138,-1.019954217347337
TOR1AIP1,-0.6682527612234723
DZIP3,-0.4108984704405237
RBBP6,-0.8737829960403088
RNF182,-0.30453629336807225
RBX1,-0.9477356836491401
RNF217,-0.31321020852360715
RNF213,-0.31427999928529676
SLBP,-0.9562155532758734
SMURF1,-0.605668732842286
UBE2F-SCLY,0.3613609035456887
SMURF2,-0.5998866799594196
CDC16,-1.1003683504859787
UBAP2L,-0.6873759845586891
RNF130,1.1108068137992224
B4GALT1,0.3366347172114434
B4GALT3,1.478049934158927
PJA2,-0.8484901782832259
RIC8A,-0.03596808044494791
HERC1,-0.8106047197802134
HERC3,-0.19251275359542885
HERC2,-0.6741347386432094
HERC5,-0.5984529982353763
HERC4,-0.7318539984047924
HERC6,-0.30400505311016984
MRPL9,-0.8526987498226503
UBE2I,-0.6479710095386856
UBE2H,-0.6793980758813688
UBE2K,-1.0260443618537358
UBE2M,3.038848335405656
UBE2O,-0.45845804470764395
UBE2N,-0.7478447343785066
UBE2A,-0.8924158992579423
UBE2C,-0.8726785952260587
UBE2B,-0.7660950841800003
UBE2F,-0.24431218673291014
