Cluster,genes,Top pathway,p_value,recall,intersection_size,num_d1_seeds,num_d2_seeds,num_both_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C184,UROS ATP5PF SLC2A11 RNF128 GATM GLUL GALM APOM DHRS3 GPD2 UGT8 KIAA1191 FAM83C NLGN1 SLC7A7 TTPAL PALMD SHPK GALNS TK2 SLC25A13 GAPDH CCT2 STS GK FABP1 MTHFR SELENBP1 KYAT1 IDH1 GAS2 CAT HSD17B14 CYP27A1 RHCE NAA20 HBA1 PKLR SLURP1 CCT3 CP APOC4 APOE HSPA5 NAA80 SBDS SLC25A12 CYB5D2 SLC25A5 CCT4 CCT5 PEPD FAM156A GK3P ITGA7 ASMTL BHMT HSPD1 MANBA GLDC ALAS2 KCNAB1 APOH SPSB3 UGT2A2 MT-CO1 ATP5F1B GPX1 CCT7 CMBL FECH IDH2 MSH2 MTCH1 CBS THBS3 HBG2 MBL2 GJB1 GCLC ATP5F1A TOR2A HBD SERPIND1 FAAH2 FBF1 SLC25A21 DHCR24 EPHX1 MAGEA11 METTL7A CA2 SERPINI1 FABP4 ACSBG1 PON3 ALDH4A1 VDAC1 SERPINA5 PRKN EHHADH RDH11 ACO2 ABHD14A NDUFA10 SLC25A22 ABCC2 GCH1 HPX HSPA4 FXN FAXDC2 MAOA CROT GPM6B ALDOC AP4M1 PROC PALM AGA SDR39U1 CYP7A1 SERPINF2 AGL DDC TCP1 ATF5 MT-CO3 AOX1 CTSF GSTP1 TGM1 COMT HPN MIR4435-2HG MAN2C1 SLC25A6 TOR1A H6PD G6PC2 PRSS3P2 APOD AKR7A2 MT-TP QPRT TTR ECHDC2 PANK4 TYRP1 WASL PTGDS C1orf115 STEAP3 ELOVL6 NAA60 GYS1 VPS11 BDH2 ACKR1 AQP3 PINK1 DHCR7 EDNRB IREB2 PCK2 PAH ATL1 PODXL MTX1 FGG NDUFV1 ASS1 GM2A ADH1B CKMT1B CYTOR PLAAT3 PTS FBP1 NANOS3 GALC,protein folding chaperone,1.0112051191489975e-08,0.16129032258064516,10.0,8,1,1,0.04419889502762431,0.0055248618784530384,0.0,0.9502762430939227
C185,RNF128 GATM GLUL GALM APOM DHRS3 FAM83C SLC7A7 TTPAL PALMD SLC25A13 FABP1 SELENBP1 GAS2 CAT HSD17B14 CYP27A1 RHCE PKLR CP APOC4 APOE SBDS PEPD FAM156A ITGA7 BHMT MANBA APOH SPSB3 CMBL CBS MBL2 GJB1 GCLC FAAH2 SERPIND1 FBF1 EPHX1 MAGEA11 METTL7A SERPINI1 FABP4 PON3 SERPINA5 ALDH4A1 EHHADH ABCC2 HPX FXN FAXDC2 MAOA CROT GPM6B PROC PALM AGA CYP7A1 SERPINF2 AGL DDC AOX1 ATF5 CTSF HPN MIR4435-2HG MAN2C1 H6PD G6PC2 PRSS3P2 APOD MT-TP TTR ECHDC2 TYRP1 PTGDS C1orf115 STEAP3 BDH2 ACKR1 EDNRB PCK2 PAH FGG ASS1 GM2A ADH1B CYTOR PLAAT3 FBP1 NANOS3 GALC,carboxylic acid catabolic process,9.942890003855657e-07,0.043824701195219126,11.0,4,1,1,0.043478260869565216,0.010869565217391304,0.0,0.9456521739130435
C186,PRKN UROS NAA80 ATP5PF NDUFA10 SLC25A12 SLC25A22 ACO2 SLC25A5 CCT4 CCT5 HSPA4 ASMTL HSPD1 GLDC FXN MT-CO1 ATP5F1B ALDOC NAA60 GYS1 CCT7 FECH IDH2 MSH2 SLC25A13 GAPDH CCT2 VDAC1 ATL1 TCP1 MTX1 MT-CO3 ATP5F1A TOR2A NDUFV1 KYAT1 SLC25A21 SLC25A6 TOR1A CKMT1B NAA20 PTS CCT3 GCH1 HSPA5,protein folding chaperone,5.8678873057680575e-15,0.16129032258064516,10.0,4,0,0,0.08695652173913043,0.0,0.0,0.9130434782608696
C207,BHMT PCK2 ATF5 CMBL CBS,C207,,,,1,0,0,0.2,0.0,0.0,0.8
C187,TTR SBDS RNF128 ABCC2 MT-TP TYRP1 HPX APOM BHMT FAM83C APOH CROT TTPAL PROC CMBL AGA CBS MBL2 CYP7A1 SERPINF2 CP SLC25A13 GJB1 PAH DDC FABP1 FGG SERPIND1 HPN FBF1 GAS2 SERPINI1 PON3 PRSS3P2 SERPINA5 APOC4 APOE,negative regulation of coagulation,8.057838452810747e-06,0.09433962264150944,5.0,3,1,1,0.08108108108108109,0.02702702702702703,0.0,0.8918918918918919
C189,PRKN NAA80 ATP5PF SLC25A12 CCT4 CCT5 HSPA4 NAA60 CCT7 FECH IDH2 CCT2 ATL1 TCP1 TOR2A SLC25A21 SLC25A6 TOR1A NAA20 PTS CCT3 GCH1 HSPA5,protein folding chaperone,5.727509477022786e-16,0.14516129032258066,9.0,2,0,0,0.08695652173913043,0.0,0.0,0.9130434782608696
C195,SLC25A13 TTR CROT TTPAL PRSS3P2 AGA FBF1,C195,,,,1,0,0,0.14285714285714285,0.0,0.0,0.8571428571428572
C188,SBDS RNF128 ABCC2 TYRP1 HPX APOM APOH PROC MBL2 SERPINF2 CP GJB1 PAH DDC FABP1 FGG SERPIND1 HPN GAS2 SERPINI1 PON3 SERPINA5 APOC4 MT-TP,Complement and coagulation cascades,1.353810940610015e-07,0.06976744186046512,6.0,1,0,0,0.041666666666666664,0.0,0.0,0.9583333333333334
C205,TOR1A ATL1 TOR2A GCH1 HSPA5,ribonucleoside triphosphate phosphatase activity,1.689073369195627e-06,0.006775067750677507,5.0,1,0,0,0.2,0.0,0.0,0.8
C231,CCT3 SLC25A12 ATP5PF PTS,C231,,,,1,0,0,0.25,0.0,0.0,0.75
