,z
UBE2Q1,-0.7020669010060495
RNF14,0.8253974235594057
UBE2Q2,-0.7113402614611751
TMCO1,-0.321430572780479
UBAC1,-0.06426011668473643
RAB4A,0.4833155158775865
ZNF706,-0.9377487728365129
MIB2,1.6160370277017366
RNF114,-0.4721980130499438
RNF115,-0.3574122402996462
RNF111,0.34965785499832697
EEF1AKNMT,-1.3866968875249004
UNKL,-0.4673431145913741
MMAB,0.0963974531353154
UBE4A,0.3868794925121921
DDX41,0.8559192660801574
ATMIN,1.0622286466092707
TSG101,0.406594860277885
FBXW11,0.2084625617773096
UBE2D4,0.14431005502850772
RPS27A,0.6360532122910794
UBE2D2,-0.6876840623780337
ATP6V1H,1.4082568968484668
UBE2D1,0.6481044345214809
MFSD11,-0.35410026660985233
CCT3,-0.9398428434051145
LNX1,-0.5244760165976953
MRFAP1L1,-0.5569905388510616
GTF2B,0.4902509486505847
FBXL13,-0.31324875046400924
FBXL12,-0.35224025513953067
FBXL15,-0.4962251099586224
FBXL14,-0.31469732549182966
FBXL16,2.606193256837285
FBXL19,-0.5178010182521444
FBXL18,-0.5336086248616773
CCDC51,-0.8950361849960982
PPP1R11,-0.3947317396225562
AKTIP,-0.6722016211388294
RNF41,1.1771611332325687
ANAPC1,-0.8902740171562675
ANAPC2,-1.070634432752095
ANAPC5,-0.3284378625131095
ANAPC4,-1.0047182280020013
ANAPC7,-0.24622361520400726
ZNRF1,-0.341703465877287
LRR1,-1.2764456693599242
ZNRF2,-0.31106567580744293
FBXO30,-0.4183762198258634
FBXO5,-1.2710672230730073
FBXO32,1.7672706351323573
EMC7,-0.1090724348777862
KLHL25,-0.45542089576364264
KLHL21,-0.34303166455500445
KLHL20,-0.6448581052547944
KLHL22,-0.5381193974127506
MKRN1,1.0785825100371615
SPSB2,-0.3897279402951885
SPSB1,-0.4474820442603156
TRIM50,2.13498341896418
SPSB4,-0.3620841196237688
ARF1,1.5684339455335143
CDC34,-0.7650816069057473
AREL1,-0.42206868754770493
LONRF1,-0.5712961506626856
CIAO2B,-1.119106206949806
RNF25,-0.35939792100187495
UBE2V1,0.30703719298398
UBE2V2,-1.0639830765261258
RNF26,-0.2180116028306389
PSMD8,-1.050376352086753
LMO7,-0.5329638040843854
MGRN1,-0.5377970534883559
DHX8,1.0461683866136893
SPCS1,-0.41184326846628644
ITCH,0.32470422966811163
PSMD4,-0.3978116226968867
FLAD1,-1.334477156251234
CBLL2,-1.034295512622236
ARIH2,0.6259616891556586
TRIP12,0.8684794801355236
MEX3C,-1.1155031873164623
E2F6,-1.6080653304528174
SNW1,-0.18624450028691453
PRCC,0.01015256369060869
C3AR1,0.302213397063839
BTRC,0.1566173016642994
TRIM11,-0.5247100058243092
HUWE1,-0.5499882608135096
UFC1,-0.9475120439728347
LRRC41,-0.5019570441699803
USP25,0.5908666816696188
MOAP1,0.427147472014045
ASB2,-0.4687723059624335
ASB1,-0.5838826451633832
ASB6,-0.610016742352561
ASB7,0.3641438783324169
ASB4,-0.7533179611580106
ASB5,-0.4851296255744502
ASB8,-0.4999536162205025
ASB9,0.5240276553004456
PIP4K2C,-0.23521361060691826
ZMPSTE24,0.20615481668421787
MRPL34,-0.8720133124514389
UBE2R2,0.49086698073873497
IMPA1,0.41760376481076195
RNF19B,1.6752715478457716
RNF19A,3.4511524757616088
RFX5,1.8961637022372158
TRAIP,0.08282012891906362
UBA52,0.441720057412546
KAT7,-0.23649928626098943
EXOSC7,-1.0318412731162752
ADAR,1.8435770391379533
STK24,0.17740892245003329
GPR161,-0.04273107551792533
UBE2E1,0.23208137796000558
UBE2E3,-0.4064614165550721
UBE2E2,0.4098325590483658
DLGAP3,-0.9637752948575851
JTB,-1.0675617541580684
TRIM9,1.051698606371151
FBXL20,-0.3069541905305211
TRIM4,1.381307415369863
FBXW12,-0.5149197333548011
PI4KB,0.5968744551389944
RNPEP,1.2469640248012108
ELOB,-1.5336622378898503
FBXW8,-0.3770667956217351
SKP2,-1.6681597078981594
ZBTB16,-0.7714658354797621
SKP1,0.07945931739286603
DEDD,-0.33303022482112743
WDR26,-0.010358132495621012
FBXW9,-0.39230371962563254
FBXO21,-0.7499884155098987
FBXO27,-0.2615921094754129
HNRNPAB,-1.561163651222783
DDX19B,-0.779125747466089
FBXO28,0.5185514280361817
FBXW4,-0.5762890628680676
FBXW5,0.8562888728724938
FBXW7,1.5120056170192688
KLHL11,0.8514163644042223
KLHL12,-0.6089254586744606
LRSAM1,-0.250376192481536
SH3RF1,-0.36904986428518544
CSTB,0.5945624110055845
GNB1,-0.9761267162273237
UBE2D3,0.07915034968393153
TRIM69,-0.5418966167889282
JOSD1,-0.4001338183081382
TRIM63,0.5839116895034678
PIP5K1A,-0.6429397867954622
KEAP1,0.19763799665077358
ATP6V0C,0.2490616127296605
ERCC3,-0.994741184264954
RNF34,-0.4772481921150742
TOR1A,0.9338725098244548
TOR1B,-0.010647414845776979
RLIM,0.3537509997096524
TMEM248,-0.6762782451276835
MFSD5,1.3274945963133686
PSME3,-0.626005050307873
KBTBD13,-0.15458998363015322
DDX23,-0.22517869933010368
ERP44,-0.03523006152191262
ILF2,-1.9313316908087828
ASB10,-0.2543908102088322
UBE2J1,0.012455767794636224
UBE2J2,0.1043920062940393
WWP1,0.16129621391874346
BTBD1,1.0242822973313186
FBXO10,-0.2935294142407079
FBXO17,-0.3951924089295311
FBXO15,-0.2896860357119935
ASB13,3.212438864691676
CAPRIN1,-0.27994541018367264
PPP1R7,-0.8137052046019602
CERS2,0.5106308590079657
ASB17,-0.7237255494909822
EIF4ENIF1,-0.7037833286021408
CUL5,-0.1701073741546684
CUL7,0.5552162318035861
CUL1,-0.2984779109024849
CUL2,0.6827841432532477
CUL3,-0.14434267786566873
TRIM27,-0.12681405522402137
TRIM21,1.4848392384143856
IRF2BPL,3.6193986946685457
RNF138,-0.1728358424152676
TOR1AIP1,1.5283801138298587
DZIP3,-0.9058447241749695
RBBP6,-0.32954151646381735
RNF182,-0.45613325312158254
RBX1,-1.3102436365898622
RNF217,-0.26609457342864196
RNF213,0.7046923819417015
SLBP,-0.39604518634343383
SMURF1,0.7169422940010726
UBE2F-SCLY,-0.3738566564821043
SMURF2,0.9825172499943853
CDC16,-0.8592935456665592
UBAP2L,0.029415665889924607
RNF130,-0.2730773713766821
B4GALT1,0.6225606568251281
B4GALT3,-0.5876144974980115
PJA2,0.1812746144206031
RIC8A,0.39097650090430464
HERC1,-0.27055048579148977
HERC3,0.671437272953278
HERC2,0.7615059312344657
HERC5,-0.24913306547541436
HERC4,-0.12031785406356973
HERC6,1.6460312571008697
MRPL9,-1.0762723398382597
UBE2I,0.3733361695666091
UBE2H,-0.6893371208732035
UBE2K,0.2748925755278121
UBE2M,-0.8384029273559095
UBE2O,-0.8902563047360041
UBE2N,0.004141301667471001
UBE2A,0.6027264907296155
UBE2C,-1.8104615314832428
UBE2B,0.9535611169155952
UBE2F,-0.6125375445932517
UBA5,-0.6930259861939652
RBCK1,0.8191051774672552
UBE2S,-0.9995340277473371
UBE2U,-0.9549856291164194
UBE2T,-1.8087611221136468
UBE2W,-0.7954860359555302
DPF2,-0.6599524927300044
UBA1,0.5362821111020795
FBXO2,0.1689203414466873
FBXO4,-0.2848014316028158
FBXO6,0.29728626585024054
FBXO7,-0.4708211095480178
FBXO9,-0.5540653985821393
HACE1,1.0352495544659808
SRPRB,-0.5729396664457377
ASB11,-0.5453969763021933
FHL3,-0.5166591572407492
FBXO44,-0.42359445081338687
FBXO41,-0.27949219339226195
FBXO40,-0.7014163511753674
NDUFA8,1.382396383692806
DET1,-0.6266523893693917
TP53,-0.3388518200796494
MAEA,0.021962961824084182
TRIM71,-0.45304956729992674
BIRC6,0.501953528951353
PEX19,-0.29550767687994556
MAP2K1,-0.018574595369305676
ADPGK,-0.07520901283677275
ANGEL2,-0.11612657159675623
RCHY1,0.706570547323504
LYPD3,-0.917824193693836
NSF,1.11929175614368
APEX1,-1.7070146860223292
UBE2Z,0.13407863562493344
MAD2L1BP,0.6931918330962457
POGK,-0.6497302155724975
PPP1CA,2.8216101503362423
MYLIP,-0.32166548002257334
M6PR,1.0173467463243806
HECTD2,-0.3512087699791248
HECTD3,-0.43453317089936344
ASB12,-0.40920843084830044
HECTD1,0.304050754133561
ASB14,-0.3711754105237575
ASB15,-0.6774198804341132
ASB16,-0.5187464597619873
UBE2QL1,1.1189563942927743
ASB18,-0.4768648852484385
DHX16,-0.21575940105150007
AC022826.2,-0.6443686757343998
STUB1,2.087763760819008
ANAPC11,-0.007547516352479706
ANAPC10,-1.305261658210922
ANAPC13,-0.9902339260608877
CSNK1D,0.20259655622816145
UBR4,1.0455003366832865
WSB1,-0.4753628979640509
SCAMP3,-0.15148321027272757
CHTOP,2.52613881124403
KLHL5,0.794276080349351
KLHL2,0.6086615612716813
KLHL3,0.8676744928507969
UBR2,0.7312027821623943
UBR1,0.4742880830294917
FBXO22,-0.8456206541149685
KLHL9,0.09146438845512757
FBXL8,-0.30583542433438493
SOCS1,1.574464887319789
SOCS3,0.24709253469327505
FBXL3,-0.47524268233357364
FZR1,-1.1110718852359822
FBXL5,0.1601392485357933
FBXL4,-0.15628002448160064
FBXL7,-0.3561571886135644
SUPT4H1,-1.2004919126717208
TMEM189-UBE2V1,-0.39383042887922465
UBB,0.7024593708282634
UBC,1.634193460013328
RNF6,0.7053633049425455
RNF7,-0.8677620184357238
RNF4,0.11898774582275726
TRIM39,-0.550750775089899
TRIM32,0.3110208214471767
TRIM37,-0.6883463490354953
TRIM36,-0.7228450732274173
UBE2L6,1.3019873904388075
UBE2L3,0.2825334902286527
KBTBD7,-0.5399103290432826
KBTBD6,-0.4780887489497029
UBE3B,1.302261899389407
UBE3C,1.1880648362439763
UBE3A,-0.0978830434577403
CCNF,-0.7037422911895114
UBE3D,-0.3623937585969446
KBTBD8,-0.3913604115278823
NGRN,-1.1835763252458353
HTR2C,-0.7647932026656366
PCBP1,-0.6472792863957461
RNF220,-0.5563369234512368
ECPAS,0.061325646018945586
ARPC5,0.29544277782039957
TRIM41,-0.6327079998210081
TAF7,-0.30602651623127697
SLC25A44,-0.3377632585412588
CDC27,0.0545725739557953
CDC26,-1.1010596081031472
CDC23,-0.35853719866698125
CDC20,-1.4357856744591706
KLHL42,0.47694679402839896
KLHL41,1.4585064639829033
HECW2,0.12505538554432818
RNF126,-0.12275474413967596
BTBD6,-0.13053922113632452
RNF123,-0.21452151478196613
DTX3L,0.9238540026662595
COP1,-0.6660254167178051
NEDD4,-0.6313585987747052
PFDN2,-1.0030763317819713
SIAH1,0.36907478152526907
SIAH2,-0.717796496867292
TCEAL1,2.4239973446186567
RNF144B,-0.37555081372983184
PSMB4,-0.8752896122533332
KCTD6,0.8122664965550078
HAX1,1.3628064298661864
VHL,0.3886400934329018
UBOX5,0.7261313149826644
LTN1,0.5981581973027336
UBE2G2,0.5737832504790492
UBE2G1,-0.046218445600527236
PJA1,0.46713919027513906
UFL1,0.39835497425835203
RFXANK,-0.7852522880488422
RRAGA,0.35319376871865227
TRAF7,-0.6586794647970653
USP11,2.8195337066380803
C1QTNF2,2.3436422912860726
NEDD4L,0.42328185355216574
SCFD1,0.676723954157303
RNF11,0.832130993182512
UBL3,0.7856377418496152
HSPA4,3.1235942174883045
SUMO1,-0.5047630599976128
HSPA9,0.24695128878420403
SEC23IP,-0.21461971181057543
ANKIB1,1.3609701042058866
COMMD8,0.3598119663553361
C6orf120,0.9787919091239464
CDC73,-0.6649433575247777
PIK3CA,0.8479063953033188
RMND5A,-0.9366541474924379
PRKAG1,-0.5602719635268999
FAM114A2,-0.2422101857383083
ABCD3,-0.3128397982495947
HBS1L,-1.2565971992954428
RAB9A,1.5142423655104431
WRB,-0.4011728540649236
NIPSNAP2,0.3543854749533976
SP3,0.9759688842839227
AP5M1,0.04829925861537633
TMEM9B,0.9549973668172489
DHX29,-1.8037735641487982
TMEM184C,-0.37480858385417926
GPI,1.595598150312719
SNAP23,1.1792938595235054
PTER,-0.2601424757700204
ARHGAP12,0.42028710850760737
TCF12,-0.7274952336264779
CTCF,1.1621859846790252
ATP6V1D,0.9146279751804461
RPS6KC1,0.8367046015414501
ATP6V1A,0.07601672571934782
ALDH3A2,-0.4157490431222551
PUM2,0.6316619307038623
ISCA1,-0.03233227997505122
SPTSSA,0.5538180806058887
ARNTL,0.7139743566037792
RWDD2A,0.0862933955007426
BUB3,-1.097785626516989
XPO7,-0.9084795198747738
RWDD2B,-0.3707084807212383
APOO,-0.9980571945240937
CETN3,-1.2354652040667573
CTNNB1,-0.7817520571530526
JAK2,0.8654249753678157
TMED10,0.2156719769533136
KIF1BP,1.1496871656360657
TSPYL1,0.7785757178643168
ZNF226,-0.28437254801328027
CHUK,0.6313349929223492
INSIG2,0.9681410278533259
CSGALNACT2,0.6080883838241931
SLC39A6,-1.0899676807032292
PREPL,1.3770614068161136
RPS6KA3,0.4903949887781621
CSNK1A1,0.7157179075845435
C5orf15,2.098933896784655
GFM2,-0.763813217239686
ATAD1,-0.8114761699101941
SLC35B3,-0.3405611413167146
TTC37,-1.194904276166919
MINDY3,1.043981615314229
MINDY2,-0.3028990908776842
EMC2,0.503197651599065
MINPP1,0.5532261329914334
FBXO38,0.6148201073903594
ECHDC1,0.047814140823963215
SOAT1,0.13298745838891485
SMAD4,0.957556292296821
RAP1B,0.44505344393093843
RAP1A,-0.39045316112908873
AP1AR,1.0325025277536768
DCTN4,1.8101516943580749
LRIF1,-0.0768585852754831
NCOA4,0.8093028117761019
CCNDBP1,-0.20575066749433335
CRYZL1,-0.5510632311193061
ALAS1,-0.041616898726128074
CRBN,-0.8867783862389569
TM9SF3,0.6683395999832109
TM9SF2,-0.0005511658738181733
TOGARAM1,0.4230904598478038
AUH,-0.8050774561588881
TMEM59,1.6754940612774565
CIAO2A,2.187209248774264
TCEA1P2,-0.778746990788936
PRKAR1A,0.15395534368071817
SAR1B,2.065215889354479
SCAF8,0.05357170439497793
CAPZA2,0.9939954353343702
PEX7,0.5537885463820762
PRRC1,-0.649982474689939
SUCLA2,-0.9040610115522347
ATP6V1E1,0.5027203780782006
TBCA,-1.4281249109830485
MORC3,1.3679424640314843
ACTR10,0.09830932191767773
CPEB4,3.5790857537036183
TMEM251,0.3878437892127827
CAT,-0.2544918831545727
EI24,-0.6218535975463108
RAB2A,0.30225494920529056
C10orf88,-0.5702091471786674
EPS8,0.6827529170844429
EPS15,1.3802655679343223
TOB1,0.47811799226935864
PRMT2,-0.5391992295207061
CLIP1,1.7103417415023354
HNF1A,-1.1187591804446038
ETNK1,0.24553734482602557
ATP6V1B2,0.9379088657945027
CDC37L1,-0.6153674036354458
ARIH1,-0.11409018080466643
CD46,0.7171303093123036
HIKESHI,-0.26273868267925565
FPGT,0.7109694737263932
LPIN2,0.07303169226863487
CGRRF1,0.5094185183795067
RAB21,0.9887518679250932
LACTB2,0.7058399906163866
DMXL1,0.07883894034929084
NCK1,0.16685506409387849
EXOC5,1.074086524864293
MBD4,-0.3250968276193001
PPP3CB,1.7945227796332348
SPG11,1.5581889927598163
BZW1,-0.724402354735605
MPC2,-0.10432214947982484
MARCH5,1.0675560860492024
MARCH7,0.2875145350610882
RCBTB1,-0.6330955256616645
SLC25A12,-1.1547808131790287
ADSS,-1.109618967536021
B3GNT2,-0.5473194370736705
NFE2L2,1.1603170015060214
DYNLT3,1.2979552986660243
TTC5,-1.0823848851382867
RARS,-0.5528450736998379
GMCL1,0.4464821454825014
ZNF263,-0.6434500485672189
MTMR6,1.0366623355059703
TSNAX,0.6892308500003945
UTP14C,0.0790938823999099
SEC24A,2.6272678022588885
TERF2IP,1.190697033842186
SIGLEC10,0.8803579637662564
SIGLEC11,1.3979140450633247
SH3BGRL,1.2817090128128101
HTATIP2,-0.29930109630963947
SYPL1,-0.1032161760555381
OSBPL11,3.8606005975499786
SCARB2,1.2812062729951854
MRPL42,-0.4483408582711462
RNF103,1.5871402877262673
APC,-1.0018763830903619
UQCRFS1,-0.4652231582031118
YIPF5,0.3339747444490614
YIPF6,0.5403400407382324
SNX2,0.19170725398561408
SNX1,0.027708748366438923
ARFIP1,0.7704983992526486
COPS2,-0.32025470295891684
SERINC1,0.9699975976958956
COPS4,-0.4524885803512691
ALG5,-1.1798495900482013
MED7,-0.4275882347390465
BLCAP,1.1394424362520728
SUB1,-0.9074496517198694
RAB11A,1.2831075383894481
DERL1,1.6191444257778786
C11orf58,-0.4867626857355041
MAP1LC3B,1.7038674871945534
OGA,-0.628615505978507
TCF7L2,-0.10880354474235963
TCF7L1,-0.9663679578554072
DLD,-0.1887223780929292
DNAJB9,3.6084773318530314
C12orf29,0.5157005659531986
RFK,0.13925035884345557
HAT1,-1.152379857666019
C18orf32,1.3301108786364146
KDM3B,1.1458279603051849
RALB,1.1728079226111066
MMUT,-0.38689717093642556
TMEM126B,-1.4030542260852799
CCDC47,0.7686045260447314
ZNF236,-0.6377463902235583
AIDA,0.3185687835360391
STXBP3,0.31851596376285557
PRKAR2B,0.8098899876612117
AL136295.5,1.1340110275652415
FECH,-0.9128734919307842
BET1,0.12441709360378625
TMEM14B,-1.3016485817675678
TMEM14A,0.899371760873649
PSEN2,1.7446013393880424
PSEN1,1.1698747901734319
DNAJB6,1.1025511574627118
ETF1,-1.547482356379699
NDFIP1,1.2157982417496287
CHPT1,-0.3369506678869492
TRAPPC11,0.05232573135954042
TRAPPC13,0.8665639015775086
RAB14,1.3402977428499445
THAP1,0.8751574150236056
HNRNPA1,-0.8631650512415552
RAB6A,0.48826095380498236
RTCA,-2.1608737870015187
ACOX1,1.1160676662396132
STX7,1.073067810685944
SHOC2,0.677355690267824
SGPP1,0.21022068093835208
RNF141,-0.5924304530771336
ATP6V1G1,0.4194045163500376
TBCEL,-0.0202995843483331
GRSF1,-1.263659204063134
CAB39,0.8940845220432663
PRKN,1.5559165361685061
NFYB,0.08634255118628119
MEGF9,1.420321833174036
RNF38,-0.015417667464461443
SMARCA2,-0.7808144295387339
RNF31,1.92112998509329
IMPACT,0.9585461839403295
NPTN,1.1614688885116498
GABARAPL2,1.2821809289955093
DDHD2,0.7880316458843591
MTX2,-0.5638253096539222
FEM1B,1.3958585918217912
ARL6IP5,1.2264663168400285
PCMTD2,-0.9783419239296389
COPA,0.9444681769888438
MAT2B,0.69539634639984
MFSD1,1.8260011478576714
MOGAT2,-1.0174265219469585
GLRX,0.7129270617994151
VTN,0.07806788256368913
CTNNA1,-0.06444421779024939
VAMP3,0.17899595139068575
VAMP4,0.2549433085159695
VAMP7,0.27462288339265295
WDR47,0.1695961317389839
ROCK1,0.7704179219899021
CUL4A,0.0014800864101584094
DCAF6,0.5367787982944875
WBP4,0.24331050040877253
PCCB,-1.3039220347339966
NDUFB5,-0.7195891980024076
FAM3C,0.9044220162462472
NARS,-0.005446586933113221
SLC30A5,-0.6904774250336062
TOPORS,0.7856129332835027
TENT5A,0.31194963812167315
CUL9,-0.2762587734241791
CLINT1,0.8243403999920516
PPP3R1,-0.5783380036176913
KLHDC10,-0.31917803643429205
SEC62,0.006703130474908764
ANKRD46,-0.12753181546708212
ZNF200,0.6475245282940288
CLCN3,-0.5195403080890214
IDH1,0.1740683539720682
SH3GLB1,1.2069154616519877
TRIM23,-0.06517913717451426
USP21,-0.6258967513437474
GHITM,1.543705592355213
PTPN11,1.6793123885187853
JKAMP,1.3030035114091658
PGGT1B,1.3585193434413723
CCDC28A,1.9396948745917253
KIN,-0.048099025757264234
KPNA1,-1.5552742297200364
COPB1,0.07885431255105918
RNF216,2.1246358198334496
MED21,-1.4713562782157388
KAT2B,-0.21351968096242974
IARS2,-2.226235257426377
PPM1B,0.8922647433261576
PPM1A,0.6844503987795432
CLDND1,1.1388503957582383
VPS37A,2.4263629409070027
PNPLA7,0.017887279691656006
ARMC1,0.4435837827318212
UNC50,0.6006672614912543
GSPT2,0.1482316165101333
GSPT1,-1.4899968941980375
BECN1,2.0088738754676916
RNF144A,0.3215301202277053
MAN2A1,0.49667700001586357
UBA6,0.7887850090918236
UBA7,1.0237886099845155
ATG12,1.8117070749164033
UBA3,-0.2883154797904903
RWDD3,-1.1822725205852713
MRPS27,-0.7847425746467002
UEVLD,0.7625142311237476
VPS26C,1.3663409373934121
PHF7,-1.2341064030350077
BAG2,0.8916996672296545
FBXO3,0.28384658915121164
RHOT1,0.7881190663927677
FBXO8,-0.23004258527464924
BCAS2,-0.18970905237727578
CAPN7,0.3424600510035744
OPTN,11.48916137878688
SNX13,-0.46742209308858945
SEC23A,1.9337788700332073
ADIPOR1,0.41889788570283587
SNX19,-0.081731901188968
ERC2,3.682727734278282
