Cluster,genes,Top pathway,p_value,recall,intersection_size,num_d1_seeds,num_d2_seeds,num_both_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C188,DCTN4 NACAD TBC1D20 KDELR3 NUPR1 TUBA4A PDIA3 TUBB7P KDELR1 COG5 EPB41L3 CLCN4 COG4 STX5 TFG COG8 MCCC1 SEC31A PFN2 ENPP4 DCTN2 USO1 NDUFA5 COPG1 IBTK MFSD12 COPG2 SEC24A SOD1 AIMP1 TRIP13 ANK3 SLC39A9 GRID2IP AKR1C2 SLC52A3 AHCY LMAN2L SPPL2C SLC7A14 GOLGB1 BLOC1S1 ERP27 SPTA1 STS CMAS TMEM147 COG3 PDZK1 SPTBN2 SPTAN1 FOLR1 NEK9 BET1 GLRA2 TMED10 COG1 COG7 TRAPPC3L DYNC1LI1 AP000295.1 SLC23A2 TMEM59 IFNGR1 AC026464.3 QPRT SLC19A1 HIGD1A GSTM4 ARF3 OCIAD1 GOT2 ALG2 UAP1 TLK1 DCTN3 SLC30A9 ISOC1 HM13 EXOC5 LRIF1 NAGA NTRK1 CARNS1 NOX5 MMUT TRAPPC10 TMED7 ACYP2 BET1L AKR1C1 GRIA1 ATG7 MAP2K6 AC007192.1 SEC22B VASP ROCK2 PRRT4 BCAP31 NXNL1 TMEM115 DLST YIPF5 DNPEP COPB1 CTU2 COPZ2 DYNC1I1 MGST1 COPA SCRN2 COPE SLC23A3 KDELR2 DUS1L DCTN5 GORASP1 GOSR2 USP21 EMC2 GCH1 MICU1 DYNC2LI1 ANO4 HACD3 SLC5A6 SEC16A CAMKV DYNC1LI2 TRAK2 GABRB3 GABARAPL2 SPTBN4 DHFR DYNC2H1 RRP12 CYFIP2 RASAL2 EPDR1 PFN1 GPX8 TTC33 ARFGAP2 SLC37A2 VSIG2 TMED2 SESN2 SCFD1 GABRB1 SLC52A2 NXNL2 TRAPPC1 FMNL3 DYNC1H1 DYNC1I2 ANKRD17 IL22RA1 TXNDC17 ARCN1 PRPF4 GLRB TSPAN31 GOSR1 MYPOP ATL1 UMAD1 COG2 DUOX2 HOMER1 NDUFV1 COPB2 ANO10 COA3 SLC7A11 POC1B KIAA0586 COG6 SLC31A1 LMAN1 BEX4,COPI-mediated anterograde transport,5.7745817842659686e-68,0.4803921568627451,49.0,2,7,7,0.011049723756906077,0.03867403314917127,0.0,0.9502762430939227
C193,AKR1C1 SOD1 NXNL2 DUOX2 AKR1C2 MAP2K6 NXNL1 GPX8 ERP27 NOX5 PDIA3,C193,,,,0,1,1,0.0,0.09090909090909091,0.0,0.9090909090909091
C189,NACAD TUBA4A PDIA3 TUBB7P EPB41L3 CLCN4 MCCC1 PFN2 ENPP4 NDUFA5 IBTK MFSD12 SOD1 AIMP1 TRIP13 SLC39A9 GRID2IP AKR1C2 SLC52A3 AHCY SLC7A14 BLOC1S1 STS CMAS TMEM147 PDZK1 NEK9 GLRA2 AP000295.1 SLC23A2 TMEM59 IFNGR1 SLC19A1 HIGD1A GSTM4 OCIAD1 GOT2 UAP1 TLK1 SLC30A9 ISOC1 EXOC5 LRIF1 NAGA NTRK1 CARNS1 NOX5 MMUT AKR1C1 GRIA1 ATG7 MAP2K6 AC007192.1 VASP ROCK2 PRRT4 DLST DNPEP CTU2 MGST1 SLC23A3 SCRN2 DUS1L USP21 EMC2 GCH1 ANO4 HACD3 SLC5A6 CAMKV TRAK2 GABRB3 GABARAPL2 DHFR RRP12 CYFIP2 RASAL2 PFN1 TTC33 SLC37A2 VSIG2 SESN2 SCFD1 GABRB1 SLC52A2 FMNL3 IL22RA1 ANKRD17 TXNDC17 PRPF4 GLRB TSPAN31 MYPOP ATL1 COG2 DUOX2 HOMER1 NDUFV1 ANO10 COA3 SLC7A11 POC1B KIAA0586 SLC31A1 BEX4,water-soluble vitamin metabolic process,9.588872277242565e-06,0.1111111111111111,7.0,1,6,6,0.009523809523809525,0.05714285714285714,0.0,0.9333333333333333
C190,LMAN2L DCTN4 SPPL2C DYNC2LI1 TBC1D20 KDELR3 SLC7A14 GOLGB1 BLOC1S1 SEC16A SPTA1 DYNC1LI2 TRAPPC10 TMED7 ACYP2 KDELR1 DCTN5 SPTBN4 DYNC2H1 SPTBN2 COG3 SPTAN1 COG5 FOLR1 BET1L GRIA1 BET1 GORASP1 COG4 TMED10 STX5 TFG SEC22B ARFGAP2 COG7 COG1 COG8 SEC31A TMED2 DYNC1LI1 SESN2 TRAPPC3L TRAPPC1 DYNC1H1 DYNC1I2 USO1 DCTN2 COPG1 ARCN1 AC026464.3 TMEM115 GOSR1 COPG2 UMAD1 SEC24A COG2 ARF3 YIPF5 ANK3 COPB1 COPB2 ALG2 COPZ2 DYNC1I1 SLC7A11 POC1B COPA COPE DCTN3 COG6 LMAN1 KDELR2 GOSR2 HM13 BEX4,COPI-mediated anterograde transport,1.8445499719409494e-86,0.47058823529411764,48.0,1,1,1,0.013333333333333334,0.013333333333333334,0.0,0.9733333333333334
C196,PDZK1 SLC52A2 DNPEP SLC5A6 MFSD12 DUS1L TMEM147,C196,,,,1,1,1,0.14285714285714285,0.14285714285714285,0.0,0.7142857142857143
C197,OCIAD1 SLC23A2 TRIP13 SLC52A3 TXNDC17 SLC23A3 SCRN2,C197,,,,0,1,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C199,PFN2 GRID2IP NAGA FMNL3 PFN1 VASP MYPOP,C199,,,,0,1,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C215,MAP2K6 SOD1 NOX5 DUOX2,C215,,,,0,1,1,0.0,0.25,0.0,0.75
C222,TUBB7P MGST1 TUBA4A GSTM4,C222,,,,0,1,1,0.0,0.25,0.0,0.75
C226,EMC2 SCFD1 EXOC5 USP21,C226,,,,0,1,1,0.0,0.25,0.0,0.75
