,z
UBE2Q1,-0.32302086892151544
RNF14,1.108782829428195
UBE2Q2,-0.44138660458693507
TMCO1,-0.7856082962030803
UBAC1,-0.23485646160188148
RAB4A,-0.3730804456115866
ZNF706,-0.4147710500622219
MIB2,0.1527192219872822
RNF114,-0.5555069059662636
RNF115,-0.1676557135978971
RNF111,-1.018708189013352
EEF1AKNMT,-0.9434027041087998
UNKL,-0.3581932119656467
MMAB,-0.44476807624157305
UBE4A,-0.8360608123033477
DDX41,-0.07717066273975653
ATMIN,-0.7872046148969478
TSG101,-0.6153384889109184
FBXW11,-0.9352763203808402
UBE2D4,-0.5935124533356904
RPS27A,1.3414872497214017
UBE2D2,0.5784889047763211
ATP6V1H,0.0285793780367263
UBE2D1,-0.7846995293919456
MFSD11,-0.6079360697285573
CCT3,1.7555843817403751
LNX1,-0.4302869137163817
MRFAP1L1,-1.188591387135652
GTF2B,-1.196002457292264
FBXL13,-0.3763007627520713
FBXL12,1.9741849671389882
FBXL15,-0.10507685576375005
FBXL14,-0.4768114071004143
FBXL16,-0.29832223842325994
FBXL19,-0.5509573905508275
FBXL18,0.40550143132510363
CCDC51,-0.5263548204954925
PPP1R11,-0.0716529436193298
AKTIP,0.3915241060885566
RNF41,-0.24317651831792716
ANAPC1,-1.18860599311725
ANAPC2,0.7401537017991489
ANAPC5,-0.9780602522703767
ANAPC4,-1.1892589924121337
ANAPC7,-0.7400043101463133
ZNRF1,-0.29812345131532675
LRR1,-1.1536101667417444
ZNRF2,-0.44826384415285886
FBXO30,-0.6870839177312681
FBXO5,-1.1893667197337425
FBXO32,-0.24513210454806822
EMC7,-0.1483362116691728
KLHL25,-0.3728991639145659
KLHL21,-0.5808368405216052
KLHL20,-0.8203603326512778
KLHL22,1.3323902121951419
MKRN1,1.8764241838791593
SPSB2,-0.21064378929840571
SPSB1,-0.13587676354719383
TRIM50,-0.3252910214014015
SPSB4,-0.4803479217927144
ARF1,0.16660116548509438
CDC34,0.24790435045929127
AREL1,-0.2919283583280446
LONRF1,-0.4937168042259263
CIAO2B,-0.45390725388275127
RNF25,-0.3148189002601467
UBE2V1,-0.5886187081139939
UBE2V2,-1.4729106301258579
RNF26,-0.7827172431769318
PSMD8,-0.3980973239883041
LMO7,-0.3623184225938082
MGRN1,1.1887510102109233
DHX8,2.0569281970620104
SPCS1,-0.5698656099453747
ITCH,3.5177617403350547
PSMD4,-0.3812618292150215
FLAD1,-0.617622014807509
CBLL2,-0.6979466462561269
ARIH2,3.044722328552513
TRIP12,-1.31447911648089
MEX3C,-0.9893731642693995
E2F6,-0.9025710355836516
SNW1,-1.0298866353240084
PRCC,-0.34747446450885955
C3AR1,1.0774054837135774
BTRC,-0.6947597502329466
TRIM11,-0.3384895053295497
HUWE1,-0.3165391308169148
UFC1,-0.36666327469299864
LRRC41,-0.391853989218366
USP25,-0.6797056405199189
MOAP1,0.500508908570229
ASB2,-0.3197011724145824
ASB1,-0.04560363302558271
ASB6,0.36064040862931146
ASB7,-0.5287193349073337
ASB4,-0.5795590616750997
ASB5,-0.43871806281987236
ASB8,-0.6328811921500894
ASB9,-0.42624754518907004
PIP4K2C,0.44985645789702117
ZMPSTE24,-0.9029546257469571
MRPL34,-0.4546246120554793
UBE2R2,-0.540651540852874
IMPA1,-1.0583181981265475
RNF19B,0.030100410913887224
RNF19A,-0.2009609068676489
RFX5,-0.44145766319912505
TRAIP,-0.8263964612315078
UBA52,1.2342958892978693
KAT7,-0.21276471008100398
EXOSC7,-0.9760375777744817
ADAR,-0.37188000635795965
STK24,-0.38791989672587934
GPR161,0.2713335473645854
UBE2E1,-1.007078909566972
UBE2E3,-0.9036468526072683
UBE2E2,-0.500452529192438
DLGAP3,-0.9610536210889613
JTB,-0.4101666395484848
TRIM9,-0.26057701579140574
FBXL20,-0.4950389778974713
TRIM4,-0.4715443811563609
FBXW12,-0.5341203129674547
PI4KB,0.8156345287988283
RNPEP,1.015071185006007
ELOB,-0.7001908355050884
FBXW8,-0.33124488133412255
SKP2,-0.8876173302818702
ZBTB16,0.5181110256387577
SKP1,-0.42233124824339857
DEDD,0.022789505052896786
WDR26,-0.6141379299173602
FBXW9,-0.20959357661717706
FBXO21,-0.7100572900428156
FBXO27,-0.331590347809394
HNRNPAB,-1.3826194638106026
DDX19B,-0.36254192710058036
FBXO28,-0.9941201366636381
FBXW4,2.960782939259295
FBXW5,-0.34648974212522293
FBXW7,1.460405855886574
KLHL11,-0.5290183236051484
KLHL12,-0.6155598317494563
LRSAM1,0.48946857893845735
SH3RF1,-0.02901867851722663
CSTB,-0.04291511686500577
GNB1,0.41436262611528524
UBE2D3,0.3747089646352491
TRIM69,-0.248523984911626
JOSD1,0.25234835712914994
TRIM63,-0.06175078000862975
PIP5K1A,1.3709630108371849
KEAP1,-0.25915512021360443
ATP6V0C,1.8390098183588202
ERCC3,-1.1958784739996677
RNF34,-0.01353426533511842
TOR1A,2.354241087231341
TOR1B,0.06596662536330164
RLIM,-0.5286758684611481
TMEM248,-0.08863125750526585
MFSD5,1.3962315613939877
PSME3,-1.0588576841625057
KBTBD13,-0.39075615778837275
DDX23,-1.0098170733027423
ERP44,-0.3352402958707346
ILF2,-1.6640397670371314
ASB10,-0.4580037377247988
UBE2J1,-0.7700183621056005
UBE2J2,-0.4226261194139975
WWP1,-0.7779183859424654
BTBD1,-0.9345376197501698
FBXO10,-0.4396982001940013
FBXO17,-0.48492023297766973
FBXO15,-0.4516977856620149
ASB13,-0.20376605890932534
CAPRIN1,-1.3672861202252506
PPP1R7,-0.5055706039779214
CERS2,1.3043801360581573
ASB17,-0.7399934004520504
EIF4ENIF1,-0.046241622954670714
CUL5,-1.0051822370007386
CUL7,-0.0053299706699159455
CUL1,-0.8974638348558609
CUL2,-0.8028635630213853
CUL3,-0.9113384286619634
TRIM27,0.5755140063438874
TRIM21,1.228566011923668
IRF2BPL,0.16799077566096796
RNF138,-1.3882489831119593
TOR1AIP1,-0.5872919957249686
DZIP3,-0.9776045682594537
RBBP6,-0.9535632813719548
RNF182,-0.3451618959894149
RBX1,-1.0289165384218646
RNF217,-0.1115513541407205
RNF213,-0.21801694330416357
SLBP,-1.5318912605030912
SMURF1,-0.3261781609704176
UBE2F-SCLY,1.1489869061325348
SMURF2,-0.5217015378785753
CDC16,-0.9550528597886438
UBAP2L,-0.42999116011837873
RNF130,0.10478902595297272
B4GALT1,1.063761399900568
B4GALT3,0.27421935356321586
PJA2,-0.9262403847515068
RIC8A,0.08402760650370691
HERC1,-0.5339375664606504
HERC3,-0.4545791587064332
HERC2,-0.43226405464570994
HERC5,1.2386587128818483
HERC4,-0.8918711992154175
HERC6,-0.25161442258458055
MRPL9,-1.0625103283827215
UBE2I,0.7854477860776297
UBE2H,-0.4118968771199617
UBE2K,-1.211086386419103
UBE2M,0.0070771949428873274
UBE2O,-0.10067575672135899
UBE2N,-1.2720782914166784
UBE2A,-0.9095765763942768
UBE2C,-1.0755881974429617
UBE2B,-0.8142845152881696
UBE2F,-0.32877168437463844
