,OR_p,log_OR,log_OR_CI_lower,log_OR_CI_upper,num_genes_in_term,MP_description,MPO_term_type
MP:0001081,3.780475575380188e-09,1.9772227869075634,1.3196728830577924,2.6347726907573343,170,abnormal cranial ganglia morphology,brain
MP:0014062,2.4383619648766456e-08,2.4279275598972454,1.5747583967199903,3.2810967230745005,66,nervous system inclusion bodies,brain
MP:0003224,1.0501087806394164e-07,1.4623370148270745,0.9233715478331586,2.00130248182099,424,neuron degeneration,brain
MP:0003634,5.525399508805222e-07,1.4199266241880633,0.8641157299524681,1.9757375184236583,410,abnormal glial cell morphology,brain
MP:0002882,5.924145778105235e-07,0.966255984310413,0.5870107540437679,1.3455012145770582,1654,abnormal neuron morphology,brain
MP:0003202,1.2073399197195678e-06,1.6149358713581972,0.9629094409287546,2.2669623017876397,239,abnormal neuron apoptosis,brain
MP:0003691,1.7750011658628443e-06,2.2563878662580175,1.3307046405740497,3.1820710919419852,64,abnormal microglial cell physiology,brain
MP:0002752,2.5401078839300887e-06,1.047362237998973,0.6110512848346075,1.4836731911633387,1041,abnormal somatic nervous system morphology,brain
MP:0003204,4.478157238627838e-06,2.1592152513692353,1.2367840095108793,3.0816464932275913,70,decreased neuron apoptosis,brain
MP:0000920,4.889217571740838e-06,1.6924337914921797,0.9665076683060794,2.41835991467828,176,abnormal myelination,brain
MP:0000952,1.0072188696009362e-05,1.399464035587151,0.7782827648470996,2.0206453063272027,324,abnormal CNS glial cell morphology,brain
MP:0003690,2.1887734961933926e-05,1.8099947403241146,0.9742426162450318,2.6457468644031974,117,abnormal glial cell physiology,brain
MP:0000921,3.368729098799521e-05,1.9382920864616766,1.022210416999809,2.854373755923544,86,demyelination,brain
MP:0011452,4.504562183887008e-05,3.205077358689712,1.6653923031323563,4.7447624142470675,11,decreased susceptibility to dopaminergic neuron neurotoxicity,brain
MP:0008236,5.117864558104092e-05,2.4805129225246247,1.2801420361208353,3.680883808928414,31,decreased susceptibility to neuronal excitotoxicity,brain
MP:0000136,0.00012199628234267955,1.7887461221351515,0.8762512258665351,2.701241018403768,99,abnormal microglial cell morphology,brain
MP:0001038,0.0002024229692199189,2.837137974775816,1.3407094970187825,4.33356645253285,15,abnormal cholinergic neuron morphology,brain
MP:0002916,0.0002024229692199189,2.837137974775816,1.3407094970187825,4.33356645253285,15,increased synaptic depression,brain
MP:0003871,0.0002632219935204138,1.8996164166460323,0.8792988442058007,2.919933989086264,71,abnormal myelin sheath morphology,brain
MP:0000938,0.0005027934753287928,2.0984470231882737,0.9163346898076921,3.2805593565688556,44,motor neuron degeneration,brain
MP:0003203,0.0010916702218317195,1.380538949549269,0.5520032810850469,2.2090746180134913,176,increased neuron apoptosis,brain
MP:0000953,0.0023179096023401733,1.8223362124975555,0.6498031759600318,2.9948692490350792,57,abnormal oligodendrocyte morphology,brain
MP:0000811,0.002660585877707264,2.223443103890345,0.7729734342296819,3.6739127735510078,26,hippocampal neuron degeneration,brain
MP:0006069,0.004286140021356359,0.9410932043932281,0.2953239471617799,1.5868624616246763,454,abnormal retina neuronal layer morphology,brain
MP:0009937,0.006068508203921081,1.0054208826558497,0.28729110664581436,1.723550658665885,339,abnormal neuron differentiation,brain
MP:0008235,0.006463516005300918,1.9999773703255883,0.5605850776463026,3.4393696630048742,32,increased susceptibility to neuronal excitotoxicity,brain
MP:0003861,0.006702791987819786,0.6367762036353604,0.17645216950489467,1.097100237765826,1315,abnormal nervous system development,brain
MP:0000937,0.00736822194156869,1.2345652990792022,0.33159887821021994,2.1375317199481847,168,abnormal motor neuron morphology,brain
MP:0010762,0.00828157275535087,1.9353314320333954,0.4987218277299219,3.371941036336869,34,abnormal microglial cell activation,brain
MP:0000965,0.010330565785363585,0.8441826501568457,0.19901728195554014,1.4893480183581511,498,abnormal sensory neuron morphology,brain
MP:0002206,0.012609751145326729,0.6604940537934851,0.14155630557528387,1.1794318020116865,966,abnormal CNS synaptic transmission,brain
MP:0004811,0.013059545509559524,0.7498613473912545,0.15775114097007226,1.3419715538124368,658,abnormal neuron physiology,brain
MP:0003635,0.013404003228958069,0.6371248077396494,0.13214424061468633,1.1421053748646126,1052,abnormal synaptic transmission,brain
MP:0021009,0.014474547518253897,0.6299868235567665,0.12503085893862043,1.1349427881749126,1059,abnormal synaptic physiology,brain
MP:0008946,0.01650129173026121,0.788843428813486,0.14399773508033797,1.433689122546634,525,abnormal neuron number,brain
MP:0003407,0.02244936430266971,2.400581280322463,0.33938228091062017,4.461780279734306,11,abnormal central nervous system regeneration,brain
MP:0000954,0.02244936430266971,2.400581280322463,0.33938228091062017,4.461780279734306,11,decreased oligodendrocyte progenitor number,brain
MP:0005192,0.02244936430266971,2.400581280322463,0.33938228091062017,4.461780279734306,11,increased motor neuron number,brain
MP:0002751,0.02696350663874127,1.3095728122612815,0.14923714016829503,2.469908484354268,93,abnormal autonomic nervous system morphology,brain
MP:0001025,0.027731605126139897,2.3052174510103596,0.2525072977452343,4.357927604275485,12,abnormal sympathetic neuron morphology,brain
MP:0003246,0.027731605126139897,2.3052174510103596,0.2525072977452343,4.357927604275485,12,loss of GABAergic neurons,brain
MP:0004981,0.035157266629741966,1.5290065710512089,0.1063920285283606,2.951621113574057,50,decreased neuronal precursor cell number,brain
MP:0014325,0.039918180736749666,2.138056058696055,0.09847465589746163,4.177637461494648,14,abnormal oligodendrocyte progenitor morphology,brain
MP:0006006,0.04285163981283444,1.4682206632474877,0.04726165617388456,2.8891796703210906,53,increased sensory neuron number,brain
MP:0008948,0.045393066308122336,0.7312179814757922,0.014993391747147644,1.4474425712044368,441,decreased neuron number,brain
MP:0010387,0.04676981581183446,2.0638944283983562,0.029493928716700424,4.098294928080012,15,abnormal Bergmann glial cell morphology,brain
MP:0014385,0.05408941380085877,1.9948478958880749,-0.0350517920560236,4.024747583832173,16,decreased miniature inhibitory postsynaptic current amplitude,brain
MP:0004297,0.05408941380085877,1.9948478958880749,-0.0350517920560236,4.024747583832173,16,abnormal proprioceptive neuron morphology,brain
MP:0004769,0.060795919771201176,1.3566723781021999,-0.06149399396371846,2.774838750168118,59,abnormal synaptic vesicle morphology,brain
MP:0003241,0.07001689306257768,1.8695774222481223,-0.1528873305850036,3.892042175081248,18,loss of cortex neurons,brain
MP:0002915,0.07624282509181253,1.0457527472509085,-0.11033084793302916,2.201836342434846,120,abnormal synaptic depression,brain
MP:0009939,0.08109693460252315,1.0286952675038332,-0.1271496557498113,2.1845401907574775,122,abnormal hippocampus neuron morphology,brain
MP:0020448,0.08747227067819759,1.7582444449308383,-0.2583312605300092,3.774820150391686,20,increased microglial cell activation,brain
MP:0004858,0.09670435120202932,1.70689747511857,-0.3071701714024284,3.7209651216395683,21,abnormal nervous system regeneration,brain
MP:0014551,0.09670435120202932,1.70689747511857,-0.3071701714024284,3.7209651216395683,21,impaired neuronal migration,brain
MP:0004753,0.10780803499191324,0.9474665743124842,-0.20729538493508182,2.10222853356005,132,abnormal miniature excitatory postsynaptic currents,brain
