,d1_seeds,d2_seeds,d1_name,d2_name,z_d1,z_d2,z_both,sum_seeds
SNCA,0,1,CD_1E_mineral_abs,PD,3.8004518324757415,13.703513218794367,52.079541923722594,1
GCH1,0,1,CD_1E_mineral_abs,PD,3.3904571565362582,15.21122694842923,51.57301326699907,1
SYNJ1,0,1,CD_1E_mineral_abs,PD,2.2590321664749005,12.392109716407685,27.994174459851116,1
STEAP2,0,0,CD_1E_mineral_abs,PD,3.4696210291890615,7.478058628469506,25.946029474846508,0
JAKMIP3,0,0,CD_1E_mineral_abs,PD,2.9061681479300603,7.144196996938504,20.76223775504027,0
ATP8B1,0,0,CD_1E_mineral_abs,PD,7.298227452907417,2.6315866926500107,19.205918245004142,0
NEIL1,0,0,CD_1E_mineral_abs,PD,6.122355775642848,3.0737545564260498,18.818618961443548,0
MT1A,0,0,CD_1E_mineral_abs,PD,6.745457991355094,2.4777439446188985,16.713517691761243,0
GALNT2,0,0,CD_1E_mineral_abs,PD,4.9796389354091675,3.3023125342976294,16.444324072678196,0
MACO1,0,0,CD_1E_mineral_abs,PD,6.77127167774213,2.28713891843474,15.486838981458922,0
TMEM9,0,0,CD_1E_mineral_abs,PD,3.1744721225810797,4.8578612477792475,15.421145106442161,0
PNPLA7,0,0,CD_1E_mineral_abs,PD,4.063223381947428,3.684661864662997,14.971604243068699,0
MBD5,0,0,CD_1E_mineral_abs,PD,3.9998847644177506,3.687405706894976,14.74919790723628,0
ATP8A1,0,0,CD_1E_mineral_abs,PD,5.017596785106288,2.926444896415231,14.683720504043766,0
ATP8B4,0,0,CD_1E_mineral_abs,PD,4.638400052438137,2.79040675270525,12.943022828071765,0
MT1G,0,0,CD_1E_mineral_abs,PD,6.626188633116438,1.9280094020185423,12.775353984196887,0
ATP8B3,0,0,CD_1E_mineral_abs,PD,3.61324595798541,3.430651706039673,12.3957884101036,0
TP53TG3C,0,0,CD_1E_mineral_abs,PD,1.5538761840947932,7.968541184409433,12.382126368432333,0
SLC40A1,0,0,CD_1E_mineral_abs,PD,4.580167028514902,2.571557192645784,11.778161465696565,0
IRAK1BP1,0,0,CD_1E_mineral_abs,PD,1.7742344719426397,6.562373838783762,11.6431898825447,0
AKR7A3,0,0,CD_1E_mineral_abs,PD,3.8869144885305538,2.9877529760508725,11.613140330762418,0
ATP8A2,0,0,CD_1E_mineral_abs,PD,4.358645372099117,2.6071799166361274,11.363772677875819,0
EHHADH,0,0,CD_1E_mineral_abs,PD,3.614733380558712,3.1382529681263422,11.343947760523745,0
ATP10A,0,0,CD_1E_mineral_abs,PD,5.708593053161604,1.9686054525390686,11.237967410780582,0
PDZD11,0,0,CD_1E_mineral_abs,PD,3.5986359428861285,3.104587121880618,11.17227880462099,0
KIAA0895,0,0,CD_1E_mineral_abs,PD,2.580601718272431,4.32533695271132,11.161971972274072,0
ATP8B2,0,0,CD_1E_mineral_abs,PD,5.136550338907005,2.116260197778523,10.870277036114677,0
ASS1,0,0,CD_1E_mineral_abs,PD,2.577787482337706,4.171809716057138,10.75403886474691,0
DNAJC16,0,0,CD_1E_mineral_abs,PD,5.1008981556716275,2.0370008972734426,10.390534120003554,0
TYR,0,0,CD_1E_mineral_abs,PD,2.960529513422674,3.4465587200946084,10.203638810584364,0
SCARF2,0,0,CD_1E_mineral_abs,PD,3.1776259731268484,3.1031646522395766,9.860696597845623,0
MT1X,0,0,CD_1E_mineral_abs,PD,6.430033356751421,1.5157964347112272,9.746621637238068,0
PANX1,0,0,CD_1E_mineral_abs,PD,6.022873236392333,1.6086324682620612,9.688589440287307,0
NQO1,0,0,CD_1E_mineral_abs,PD,4.011537587767215,2.414359431052339,9.685293608046726,0
DOP1B,0,0,CD_1E_mineral_abs,PD,2.4507704576482188,3.931494831253904,9.635191386833737,0
C16orf89,0,0,CD_1E_mineral_abs,PD,2.4524254274674697,3.8439529325809763,9.427007913849735,0
RANBP10,0,0,CD_1E_mineral_abs,PD,5.24485553026105,1.7442112599504889,9.148136072694914,0
GSTM3,0,0,CD_1E_mineral_abs,PD,4.514552161663023,2.0050788162116753,9.052032904033153,0
UGDH,0,0,CD_1E_mineral_abs,PD,5.599651515301203,1.577438873485363,8.833107978207336,0
TINAGL1,0,0,CD_1E_mineral_abs,PD,2.790547612777169,3.1629092753985977,8.826248927894323,0
SMIM20,0,0,CD_1E_mineral_abs,PD,2.108208364014037,4.179580389536057,8.811426335288962,0
KDSR,0,0,CD_1E_mineral_abs,PD,2.1214681581509565,4.100444514895228,8.698962472614973,0
AKR1B1,0,0,CD_1E_mineral_abs,PD,2.3042668009449776,3.5286187859427853,8.130879121638733,0
NME2P1,0,0,CD_1E_mineral_abs,PD,2.1194447445857487,3.7212573118632366,7.886999252879828,0
TFRC,0,0,CD_1E_mineral_abs,PD,2.768543886207431,2.8413484679275487,7.866397929465666,0
SLC30A4,0,0,CD_1E_mineral_abs,PD,3.3490913219593565,2.3303416311780922,7.80452693417916,0
DNAJB2,0,0,CD_1E_mineral_abs,PD,3.0608784703721117,2.5001118153453223,7.6525384291134335,0
DPY19L3,0,0,CD_1E_mineral_abs,PD,2.7770958164443424,2.753911458820661,7.647875991148994,0
PIGY,0,0,CD_1E_mineral_abs,PD,1.8738631630811147,4.074092655631751,7.634292150367651,0
SEPT3,0,0,CD_1E_mineral_abs,PD,4.247053628048152,1.7743499813981551,7.535759525924206,0
UBE3C,0,0,CD_1E_mineral_abs,PD,2.9299835612951615,2.527897508249971,7.406698143811415,0
PNPLA1,0,0,CD_1E_mineral_abs,PD,2.4221080781693556,3.0288967191887104,7.3363152114876335,0
AP4E1,0,0,CD_1E_mineral_abs,PD,3.63431286861825,2.0176481391835246,7.3327645965783494,0
SPTLC3,0,0,CD_1E_mineral_abs,PD,1.7728202002185869,4.102315494129399,7.272667775662292,0
LZTS2,0,0,CD_1E_mineral_abs,PD,3.707495609520841,1.9524883675323266,7.238842050266615,0
ARF1,0,0,CD_1E_mineral_abs,PD,2.7242146447953397,2.5859791720999756,7.044762331770482,0
HOMER2,0,0,CD_1E_mineral_abs,PD,4.035025021679334,1.7250218324725344,6.960506256969812,0
ADRB2,0,0,CD_1E_mineral_abs,PD,3.9450840418690976,1.7499369111736873,6.903648182549015,0
MFSD4A,0,0,CD_1E_mineral_abs,PD,2.3901284368657914,2.8712152717029418,6.86257326926054,0
VPS13A,0,0,CD_1E_mineral_abs,PD,3.740097190099381,1.809035549308,6.7659687747567405,0
NFKB1,0,0,CD_1E_mineral_abs,PD,2.0567039510310505,3.181369434640796,6.543135085915145,0
HEXD,0,0,CD_1E_mineral_abs,PD,2.348605853089912,2.78586913988709,6.542908567881378,0
PNPLA5,0,0,CD_1E_mineral_abs,PD,2.1808161808192827,2.9873345004882563,6.514827416184479,0
RDH11,0,0,CD_1E_mineral_abs,PD,1.604465175999967,4.043485068481116,6.487630982053793,0
HAGH,0,0,CD_1E_mineral_abs,PD,3.392494245338963,1.9063317054177253,6.467219340336845,0
AARS,0,0,CD_1E_mineral_abs,PD,3.6134744369408214,1.7772019560357393,6.42187383741637,0
RHAG,0,0,CD_1E_mineral_abs,PD,2.0863134985009113,3.07806374581972,6.42180594214996,0
EIF2AK3,0,0,CD_1E_mineral_abs,PD,4.047587403100926,1.5772367881237481,6.384003755317047,0
GALNT18,0,0,CD_1E_mineral_abs,PD,1.514639887357124,4.090441032272655,6.195545144362413,0
CASP3,0,0,CD_1E_mineral_abs,PD,3.2997479683663364,1.8678926968759852,6.163575131642849,0
IYD,0,0,CD_1E_mineral_abs,PD,1.7622797516622737,3.4799638575331184,6.132669842647152,0
SH3GL3,0,0,CD_1E_mineral_abs,PD,2.120596242348091,2.8749358462203,6.096578152486597,0
COPA,0,0,CD_1E_mineral_abs,PD,3.296766502205449,1.8392857822834727,6.063695755014898,0
RABGAP1L,0,0,CD_1E_mineral_abs,PD,2.7278952154021154,2.2129105687548125,6.036588152619027,0
HSPA1B,0,0,CD_1E_mineral_abs,PD,3.4512488403730304,1.7479206921781811,6.032509261943972,0
C4orf3,0,0,CD_1E_mineral_abs,PD,1.8142006706412903,3.3228933401810794,6.028395326225992,0
MT1E,0,0,CD_1E_mineral_abs,PD,3.507563205291364,1.6528331384598607,5.797416700948054,0
VAMP4,0,0,CD_1E_mineral_abs,PD,3.0386706722452925,1.8893983653267783,5.741259400906678,0
IMPAD1,0,0,CD_1E_mineral_abs,PD,2.9527292126169207,1.9171532503528468,5.660834407380332,0
ST3GAL1,0,0,CD_1E_mineral_abs,PD,1.66482724212411,3.392088781710282,5.647241811494861,0
TBC1D5,0,0,CD_1E_mineral_abs,PD,3.1558072094468934,1.7663466763197428,5.574249575512403,0
DNAJC25-GNG10,0,0,CD_1E_mineral_abs,PD,2.120148276844835,2.5913435096375617,5.494032476671124,0
PRNP,0,0,CD_1E_mineral_abs,PD,2.9820743148605846,1.7907687257817198,5.340205421009284,0
SLC4A4,0,0,CD_1E_mineral_abs,PD,3.1171301209396094,1.6893930853550632,5.266058072467368,0
TOR2A,0,0,CD_1E_mineral_abs,PD,1.521123635459449,3.449874897591562,5.247686246104771,0
POC1B-GALNT4,0,0,CD_1E_mineral_abs,PD,2.3431694774060827,2.236450598338584,5.240382779753541,0
ATP13A1,0,0,CD_1E_mineral_abs,PD,2.991816466603815,1.7493353809973988,5.233690398480676,0
PKN2,0,0,CD_1E_mineral_abs,PD,2.103772189091091,2.486808527394112,5.231678619526303,0
SH3YL1,0,0,CD_1E_mineral_abs,PD,3.258114197505614,1.601874316185238,5.219089452182721,0
ITSN2,0,0,CD_1E_mineral_abs,PD,2.1488611703384857,2.41031756286984,5.179437819035891,0
IGF2R,0,0,CD_1E_mineral_abs,PD,2.1765063941665774,2.333594086704135,5.079082451100865,0
ZMPSTE24,0,0,CD_1E_mineral_abs,PD,3.0936225155498716,1.629724838952969,5.041753455935793,0
ATP1A4,0,0,CD_1E_mineral_abs,PD,2.867689108409573,1.7377793968255846,4.983411049095285,0
DNAJB7,0,0,CD_1E_mineral_abs,PD,1.741014461212421,2.8293297036496727,4.925903929591934,0
TP53,0,0,CD_1E_mineral_abs,PD,1.7316904835236213,2.843182872080488,4.923512722499138,0
OGFOD3,0,0,CD_1E_mineral_abs,PD,1.6426931555508522,2.993920548265162,4.9180927928982365,0
HSPA8,0,0,CD_1E_mineral_abs,PD,2.2029892344648183,2.2069746296181347,4.861941349785731,0
PDIA6,0,0,CD_1E_mineral_abs,PD,3.0766056714660883,1.5799590071506864,4.860910842083732,0
SYAP1,0,0,CD_1E_mineral_abs,PD,2.2761606025260415,2.115948974238524,4.816239692117118,0
IL31RA,0,0,CD_1E_mineral_abs,PD,2.111375304367031,2.246439418227866,4.743076710402957,0
PON1,0,0,CD_1E_mineral_abs,PD,1.8870880475788667,2.504827866593859,4.726830728291744,0
GAPDHS,0,0,CD_1E_mineral_abs,PD,3.03090783475342,1.5484636748744869,4.693250684008155,0
DNAJC30,0,0,CD_1E_mineral_abs,PD,1.9196706122931892,2.4319068133192396,4.668460041364524,0
SLC17A3,0,0,CD_1E_mineral_abs,PD,2.0478425516082135,2.2778637368416685,4.664706287069663,0
ATP2B1,0,0,CD_1E_mineral_abs,PD,2.9724697007961063,1.561810816844073,4.642435331444624,0
LCMT2,0,0,CD_1E_mineral_abs,PD,1.5463175722340317,2.932488729444475,4.5345588527182406,0
EPS15,0,0,CD_1E_mineral_abs,PD,1.708241016377927,2.5625815708360826,4.377506947116374,0
MARC1,0,0,CD_1E_mineral_abs,PD,2.4822001506817397,1.7306948900319843,4.295931116821508,0
FMR1,0,0,CD_1E_mineral_abs,PD,2.4970260915149214,1.7053236724622913,4.258237704616388,0
PIK3C2A,0,0,CD_1E_mineral_abs,PD,1.9806830859261297,2.094619218655114,4.14877685784599,0
VMA21,0,0,CD_1E_mineral_abs,PD,1.714345319503254,2.3981334482007037,4.111228852467076,0
HELZ,0,0,CD_1E_mineral_abs,PD,2.344496835487341,1.747484376850969,4.096971591590664,0
DNM2,0,0,CD_1E_mineral_abs,PD,1.576879194355969,2.592368851321744,4.087852505745741,0
SYT1,0,0,CD_1E_mineral_abs,PD,1.960345231226362,2.070668206467855,4.059224544001304,0
TRIB2,0,0,CD_1E_mineral_abs,PD,2.114102849307458,1.9127236081010364,4.0436944298240425,0
ANO10,0,0,CD_1E_mineral_abs,PD,1.8295553374782207,2.2078011344287005,4.0392943495845,0
AC004832.3,0,0,CD_1E_mineral_abs,PD,2.380992826261071,1.6879571724162414,4.019013918558993,0
NOX5,0,0,CD_1E_mineral_abs,PD,1.8457869770858852,2.1623742976626645,3.991282318210984,0
EVC2,0,0,CD_1E_mineral_abs,PD,2.1821696880579116,1.8187570356763008,3.968836473194885,0
HSPA1A,0,0,CD_1E_mineral_abs,PD,2.341237348363226,1.676816061947747,3.92582439056741,0
DHRS7,0,0,CD_1E_mineral_abs,PD,2.2616064118609547,1.7195127539679873,3.8888610696506882,0
VAMP7,0,0,CD_1E_mineral_abs,PD,2.0210331383738582,1.923748569256307,3.8879596083662937,0
SORL1,0,0,CD_1E_mineral_abs,PD,2.272041635831166,1.6653216580560513,3.7836801441547405,0
JMJD7-PLA2G4B,0,0,CD_1E_mineral_abs,PD,1.7776094953496608,2.098198919349234,3.7297783221675957,0
MARCKS,0,0,CD_1E_mineral_abs,PD,2.187534468108428,1.6602522051525883,3.6318589245243116,0
