z_comb,z_12,observed_overlap,expected_overlap_mean,expected_overlap_std,empirical_p,obs_exp
2,1.0,325,356.83,15.473238187270303,0.9801617014992566,0.9107978589244178
2,1.5,154,186.85,12.4678586774153,0.9957903440542345,0.8241905271608242
2,2.0,59,77.71,8.457298623082906,0.9865266947403374,0.7592330459400335
3,1.0,225,253.86,13.85353384519632,0.9813845481063199,0.8863152918931694
3,1.5,145,175.62,12.540159488618954,0.9926919736422971,0.825646281744676
3,2.0,59,76.14,7.8917932056028945,0.985067509283485,0.7748883635408458
4,1.0,158,177.07,11.561362376467576,0.9504732419332729,0.8923024792454962
4,1.5,116,141.03,10.35707970424096,0.9921691347234509,0.8225200311990356
4,2.0,59,76.74,8.54004683827905,0.9811117681335502,0.7688298149596039
5,1.0,104,121.58,9.803244360924602,0.9635362274998306,0.8554038493173219
5,1.5,82,104.83,8.573278252803883,0.9961267701555135,0.7822188304874559
5,2.0,52,71.47,8.042953437637197,0.9922557916721243,0.7275780047572408
9,1.0,39,36.05,5.5540525744720854,0.29765960389645774,1.0818307905686548
9,1.5,31,33.4,5.182663407939975,0.6783473330539884,0.9281437125748503
9,2.0,27,27.55,5.755649398634354,0.5380643023574416,0.9800362976406534
12,1.0,20,20.0,4.354308211415448,0.5,1.0
12,1.5,17,17.67,3.802775302328551,0.5699265274260376,0.9620826259196377
12,2.0,14,14.57,3.5021564785143453,0.5646450629384566,0.9608785175017158
