,OR_p,log_OR,log_OR_CI_lower,log_OR_CI_upper,num_genes_in_term,MP_description,MPO_term_type
MP:0020551,0.008803517886750538,1.9333666915115497,0.48683228538085244,3.379901097642247,27,abnormal postsynaptic density morphology,brain
MP:0006092,0.011667748441534979,1.8562979903656265,0.4137032065912709,3.298892774139982,29,abnormal olfactory sensory neuron morphology,brain
MP:0014375,0.04054614332693369,2.1526769441018514,0.09267795329127981,4.212675934912423,11,increased miniature excitatory postsynaptic current frequency,brain
MP:0014379,0.04054614332693369,2.1526769441018514,0.09267795329127981,4.212675934912423,11,decreased excitatory postsynaptic current frequency,brain
MP:0003246,0.049354935103449155,2.057312979169101,0.005807799956067949,4.1088181583821335,12,loss of GABAergic neurons,brain
MP:0012205,0.049354935103449155,2.057312979169101,0.005807799956067949,4.1088181583821335,12,abnormal neuronal stem cell self-renewal,brain
MP:0000938,0.05183100529582824,1.4136574183480128,-0.011216937492317003,2.8385317741883425,44,motor neuron degeneration,brain
MP:0012204,0.09145558539381375,1.7469428814184926,-0.28173828386098254,3.775624046697968,16,abnormal neuronal stem cell physiology,brain
MP:0014371,0.12867026234639817,1.564459917151023,-0.4536739802735026,3.5825938145755485,19,abnormal miniature excitatory postsynaptic current amplitude,brain
MP:0014551,0.15541407650073444,1.4589917820354952,-0.5538477575917815,3.471831321662772,21,impaired neuronal migration,brain
MP:0014377,0.15541407650073444,1.4589917820354952,-0.5538477575917815,3.471831321662772,21,abnormal excitatory postsynaptic current frequency,brain
MP:0003691,0.15628771336577066,1.023114542485045,-0.3913687063248765,2.4375977912949667,64,abnormal microglial cell physiology,brain
MP:0003690,0.16310844988589945,0.8213690648821164,-0.33290204403389256,1.9756401737981253,117,abnormal glial cell physiology,brain
MP:0009937,0.16748889392839483,-1.3855823639378002,-3.35302205375924,0.5818573258836397,339,abnormal neuron differentiation,brain
MP:0008917,0.18331259555006096,1.3635739711902737,-0.6449234418227032,3.3720713842032506,23,abnormal oligodendrocyte physiology,brain
MP:0002888,0.18331259555006096,1.3635739711902737,-0.6449234418227032,3.3720713842032506,23,abnormal NMDA-mediated synaptic currents,brain
MP:0004811,0.1904363722097705,-0.6628154739885925,-1.6550289258868647,0.3293979779096796,658,abnormal neuron physiology,brain
MP:0003871,0.2037578547202905,0.9157648099816598,-0.49649481289940756,2.328024432862727,71,abnormal myelin sheath morphology,brain
MP:0000811,0.22671428444092545,1.2355791313951006,-0.7676953080453441,3.2388535708355453,26,hippocampal neuron degeneration,brain
MP:0002752,0.23538320534012924,-0.4291669982234705,-1.138039282984757,0.2797052865378159,1041,abnormal somatic nervous system morphology,brain
MP:0008571,0.25634413136275125,1.1585104302491782,-0.8419211236332638,3.15894198413162,28,abnormal synaptic bouton morphology,brain
MP:0003245,0.2712936090198943,1.1220889517265906,-0.8770721518779261,3.1212500553311076,29,abnormal GABAergic neuron morphology,brain
MP:0002910,0.2844256585488416,0.6290149157757163,-0.5227149630806105,1.7807447946320432,141,abnormal excitatory postsynaptic currents,brain
MP:0014374,0.28630450782835504,1.0869437946653129,-0.9110337499239365,3.0849213392545622,30,abnormal miniature excitatory postsynaptic current frequency,brain
MP:0003202,0.30545562662362435,-1.0293471231018732,-2.997999735517438,0.9393054893136918,239,abnormal neuron apoptosis,brain
MP:0000921,0.31765465605300436,0.7182448646509751,-0.6904906487390414,2.126980378040992,86,demyelination,brain
MP:0001081,0.32800354890698546,-1.3869451556544927,-4.1660503055838864,1.392159994274901,170,abnormal cranial ganglia morphology,brain
MP:0003224,0.3341686813823468,0.37412374282490113,-0.3851494989629347,1.133396984612737,424,neuron degeneration,brain
MP:0000778,0.34446913229930254,-0.9497243505536552,-2.9187122877267826,1.0192635866194721,221,abnormal nervous system tract morphology,brain
MP:0004793,0.34764484597245127,1.3595468527528602,-1.477714214661506,4.196807920167227,11,abnormal synaptic vesicle clustering,brain
MP:0003407,0.34764484597245127,1.3595468527528602,-1.477714214661506,4.196807920167227,11,abnormal central nervous system regeneration,brain
MP:0011452,0.34764484597245127,1.3595468527528602,-1.477714214661506,4.196807920167227,11,decreased susceptibility to dopaminergic neuron neurotoxicity,brain
MP:0006277,0.34764484597245127,1.3595468527528602,-1.477714214661506,4.196807920167227,11,abnormal parasympathetic nervous system physiology,brain
MP:0010160,0.34764484597245127,1.3595468527528602,-1.477714214661506,4.196807920167227,11,increased oligodendrocyte number,brain
MP:0004562,0.34764484597245127,1.3595468527528602,-1.477714214661506,4.196807920167227,11,abnormal inner hair cell synaptic ribbon morphology,brain
MP:0010050,0.34764484597245127,1.3595468527528602,-1.477714214661506,4.196807920167227,11,hypermyelination,brain
MP:0003247,0.34764484597245127,1.3595468527528602,-1.477714214661506,4.196807920167227,11,abnormal glutaminergic neuron morphology,brain
MP:0021105,0.34764484597245127,1.3595468527528602,-1.477714214661506,4.196807920167227,11,abnormal ventral interneuron 3 morphology,brain
MP:0005192,0.34764484597245127,1.3595468527528602,-1.477714214661506,4.196807920167227,11,increased motor neuron number,brain
MP:0020387,0.34764484597245127,1.3595468527528602,-1.477714214661506,4.196807920167227,11,abnormal radial glial cell number,brain
MP:0000954,0.34764484597245127,1.3595468527528602,-1.477714214661506,4.196807920167227,11,decreased oligodendrocyte progenitor number,brain
MP:0002913,0.37670151454986656,0.8985684787806942,-1.093718198521031,2.890855156082419,36,abnormal PNS synaptic transmission,brain
MP:0004191,0.37852547758243127,1.272481687741811,-1.5596462075016926,4.104609582985315,12,neuronal intranuclear inclusions,brain
MP:0020393,0.37852547758243127,1.272481687741811,-1.5596462075016926,4.104609582985315,12,increased neuronal precursor proliferation,brain
MP:0012203,0.37852547758243127,1.272481687741811,-1.5596462075016926,4.104609582985315,12,abnormal neuronal stem cell morphology,brain
MP:0001025,0.37852547758243127,1.272481687741811,-1.5596462075016926,4.104609582985315,12,abnormal sympathetic neuron morphology,brain
MP:0014382,0.37852547758243127,1.272481687741811,-1.5596462075016926,4.104609582985315,12,increased miniature inhibitory postsynaptic current frequency,brain
MP:0001045,0.37852547758243127,1.272481687741811,-1.5596462075016926,4.104609582985315,12,abnormal enteric ganglia morphology,brain
MP:0011003,0.40854574408726985,1.1923851891535477,-1.6353919749987877,4.020162353305883,13,reduced AMPA-mediated synaptic currents,brain
