Cluster,genes,Top pathway,p_value,recall,intersection_size,num_d1_seeds,num_d2_seeds,num_both_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C173,STUB1 ACAP2 PHF20L1 QPCTL MOB1B DNPEP BECN1 POTEM SUPT20HL2 TOMM20L VPS4A C8orf82 COX19 SMIM11A IQGAP3 DCTN4 TMEM246 ARAF FASTK CHMP1B C1GALT1C1 HSPE1-MOB4 CMAS PEX12 NRBF2 MT1P3 KCNJ18 NDUFA6 CTAGE15 CLDN12 RTL8A GPBP1 MFN2 SERINC3 AZI2 NPRL2 DIP2B ASPH HNRNPD BIVM-ERCC5 DTX4 GK3P C16orf47 NBPF20 BCS1L SAR1B NDUFA5 PLEKHD1 MRPL23 GSKIP OSBPL11 SPAG7 NBPF9 POTEB3 FIG4 UBXN2B ABRAXAS2 SALL2 ZNF878 GOLGA6L10 ZNF90 DCTN6 DYNC1I2 ZHX1-C8orf76 ATG3 MIEF2 USP17L1 VPS37D ARMCX5 PRAMEF2 SMIM10 GPD2 IQCJ LMBRD1 GOLGA8J PLEKHB2 OTC CLPB PHYH ACYP2 GPR162 NUTM2A PPFIA3 TUBB2B BCL2L11 UBXN1 SERPINB8 BCKDHA SMIM2 ZNF181 CT83 TRIM49B SRP54 MRPL19 FLJ44635 GOLGA8H SMIM24 SCN3B UBC TRPT1 MDH2 TOMM20 TMEM183B UBQLN2 ITPRIPL1 YME1L1 CLSTN1 CHMP2B ZNF730 WDFY1 ACTR1B GPR179 CNEP1R1 PNMA3 NPPC PCBD1 ABHD14B ESRRA BLVRB CHCHD4 IFIT5 RPL36A-HNRNPH2 FAM89A TSPY8 MLST8 OGFRL1 ANKRD13B AC026464.4 KATNAL2 CHMP4C TRIM77 SPOPL SPAST AP2A2 ZNF727 CPTP UBD MICU1 AC010132.3 KIF2A CREBL2 VCP MTCH2 CCDC28A CLPSL2 TIMM44 ZNF735 MCCC1 PEX10 FER1L6 C4orf51 GOLPH3 DDX1 ALG1L2 SQSTM1 PPP2R2C FAM173A,Macroautophagy,4.192713830288158e-08,0.08955223880597014,12.0,2,4,4,0.012738853503184714,0.025477707006369428,0.0,0.9617834394904459
C198,UBXN2B VCP AC010132.3 FAM89A UBXN1,C198,,,,0,1,1,0.0,0.2,0.0,0.8
C174,STUB1 QPCTL MOB1B DNPEP POTEM SUPT20HL2 C8orf82 IQGAP3 TMEM246 ARAF FASTK HSPE1-MOB4 PEX12 KCNJ18 CTAGE15 CLDN12 MFN2 NPRL2 DIP2B ASPH BIVM-ERCC5 DTX4 C16orf47 NBPF20 BCS1L PLEKHD1 MRPL23 SPAG7 NBPF9 POTEB3 SALL2 ZNF878 GOLGA6L10 ZNF90 ZHX1-C8orf76 USP17L1 PRAMEF2 SMIM10 IQCJ GOLGA8J CLPB NUTM2A PPFIA3 TUBB2B UBXN1 BCKDHA ZNF181 CT83 TRIM49B FLJ44635 GOLGA8H SMIM24 SCN3B UBC TRPT1 TMEM183B ZNF730 CLSTN1 GPR179 ACTR1B NPPC PCBD1 ABHD14B ESRRA BLVRB RPL36A-HNRNPH2 TSPY8 MLST8 ANKRD13B TRIM77 AP2A2 ZNF727 CPTP UBD MICU1 AC010132.3 VCP MTCH2 TIMM44 ZNF735 MCCC1 PEX10 FER1L6 C4orf51 ALG1L2 SQSTM1 PPP2R2C FAM173A,C174,,,,2,2,2,0.022727272727272728,0.022727272727272728,0.0,0.9545454545454546
C175,CNEP1R1 ACAP2 CHCHD4 BECN1 LMBRD1 VPS4A AC026464.4 TOMM20L SAR1B PLEKHB2 COX19 CHMP4C KATNAL2 PHYH ACYP2 SPAST DCTN4 NDUFA5 GSKIP OSBPL11 CHMP1B BCL2L11 C1GALT1C1 KIF2A CREBL2 CMAS NRBF2 FIG4 SRP54 MRPL19 MTCH2 NDUFA6 ABRAXAS2 CCDC28A DCTN6 GOLPH3 DDX1 DYNC1I2 SERINC3 TOMM20 ATG3 MIEF2 AZI2 YME1L1 CHMP2B VPS37D HNRNPD WDFY1,nuclear envelope organization,7.035815715767719e-06,0.08620689655172414,5.0,0,1,1,0.0,0.020833333333333332,0.0,0.9791666666666666
C178,CNEP1R1 ACAP2 PHF20L1 BECN1 OGFRL1 VPS4A SAR1B CHMP4C SPOPL SPAST GSKIP OSBPL11 C1GALT1C1 CHMP1B CMAS NRBF2 ABRAXAS2 GPBP1 GOLPH3 ATG3 AZI2 CHMP2B VPS37D WDFY1,nuclear envelope organization,1.7488945514983865e-07,0.08620689655172414,5.0,0,1,1,0.0,0.041666666666666664,0.0,0.9583333333333334
C179,SMIM2 ANKRD13B SCN3B PNMA3 PEX12 GPR162 UBQLN2 IFIT5 MIEF2 CLPSL2 ITPRIPL1 RTL8A SALL2 CPTP PEX10 ARMCX5 TOMM20L,C179,,,,2,1,1,0.11764705882352941,0.058823529411764705,0.0,0.8235294117647058
C213,PEX12 ACAP2 AZI2 SALL2,C213,,,,1,0,0,0.25,0.0,0.0,0.75
C177,STUB1 ACTR1B PCBD1 ABHD14B ESRRA BLVRB DNPEP ANKRD13B BCS1L MLST8 C8orf82 CLPB AP2A2 ARAF MICU1 CPTP FASTK MRPL23 SPAG7 BCKDHA TIMM44 SCN3B PEX10 MCCC1 FAM173A TRPT1 MFN2 SQSTM1 CLSTN1 DIP2B ASPH,C177,,,,1,1,1,0.03225806451612903,0.03225806451612903,0.0,0.935483870967742
C191,PEX12 CPTP SALL2 SCN3B PEX10 ANKRD13B,C191,,,,2,0,0,0.3333333333333333,0.0,0.0,0.6666666666666667
C184,VPS4A CHMP2B CHMP4C CNEP1R1 GSKIP CHMP1B C1GALT1C1 VPS37D WDFY1,nuclear envelope organization,1.0344042250626736e-07,0.06896551724137931,4.0,0,1,1,0.0,0.1111111111111111,0.0,0.8888888888888888
