,z
UBE2Q1,0.5338826793925634
RNF14,0.4376679855293407
UBE2Q2,-1.1622594180704693
TMCO1,-1.0381569361649625
UBAC1,-1.2695605756446748
RAB4A,0.5383282234452357
ZNF706,1.1282175996332373
MIB2,-0.923039735690765
RNF114,-1.2925107850865454
RNF115,1.033631671169942
RNF111,-0.2852758723541896
EEF1AKNMT,0.5698478982969049
UNKL,-1.0327779645144592
MMAB,2.5395836421369142
UBE4A,1.9609068418639775
DDX41,-0.4007525503391524
ATMIN,0.43432898059299463
TSG101,-1.1186340499763407
FBXW11,0.06783072482100447
UBE2D4,-1.2502285219336837
RPS27A,-0.32472978792240254
UBE2D2,-1.0177735367190488
ATP6V1H,-0.9820416867825509
UBE2D1,-0.7294104150864543
MFSD11,-0.0959455808741189
CCT3,-1.9616795143533006
LNX1,-0.16734487575623122
MRFAP1L1,-0.4081221864207741
GTF2B,-1.3499278977621478
FBXL13,-0.9364024527114647
FBXL12,1.1118562670606567
FBXL15,-1.1526212827471027
FBXL14,-0.9918269397493283
FBXL16,-0.9018658424695111
FBXL19,-1.105774958399774
FBXL18,0.06259985998066175
CCDC51,-1.2070824197575911
PPP1R11,-0.8053031736154587
AKTIP,0.9899543438491911
RNF41,-0.8479515615164164
ANAPC1,-2.0833826394556225
ANAPC2,0.2519201274844663
ANAPC5,-1.543572566229523
ANAPC4,-1.2482694791663405
ANAPC7,-1.3658702982883955
ZNRF1,-1.1414527064214994
LRR1,-1.908299704174568
ZNRF2,-1.1241809249959431
FBXO30,-1.129078202707087
FBXO5,-2.2063411742368726
FBXO32,-0.12864781955559038
EMC7,-0.5334729423166031
KLHL25,-0.8560410510215
KLHL21,-0.370366864621127
KLHL20,-0.91057771515017
KLHL22,-0.5883021191825678
MKRN1,-0.24861712482014878
SPSB2,-0.4892752761397924
SPSB1,-0.9943615834939799
TRIM50,-0.4527408398446955
SPSB4,-0.8049839623651607
ARF1,0.6559402669335862
CDC34,0.7713524957685212
AREL1,1.4777628103199394
LONRF1,-0.9902724689145818
CIAO2B,-1.7835463491835055
RNF25,-0.7352359289340008
UBE2V1,-0.910301661982023
UBE2V2,-2.2594249401660433
RNF26,-0.7748443620531557
PSMD8,-0.9693325335355814
LMO7,-0.4333116301696958
MGRN1,-0.4714906409082086
DHX8,-2.2974963429489796
SPCS1,-0.9429085759217479
ITCH,-0.11299274877270485
PSMD4,-1.4203518591555262
FLAD1,1.2111878114499066
CBLL2,-0.5582916978258483
ARIH2,0.49653289146947543
TRIP12,-1.265216185773322
MEX3C,-1.04491600016786
E2F6,-1.338113648371739
SNW1,-2.2353298313302976
PRCC,-1.2563890243683922
C3AR1,1.6385532113693673
BTRC,-0.5994371018884457
TRIM11,1.1151484065028257
HUWE1,-1.355114616792114
UFC1,-0.4920709886926718
LRRC41,2.9950148347559438
USP25,1.2038360421041308
MOAP1,-1.1023389034953373
ASB2,0.03894512182339774
ASB1,0.9558824466029482
