z_comb,z_12,observed_overlap,expected_overlap_mean,expected_overlap_std,empirical_p,obs_exp
2,1.0,321,263.61,13.749105425444958,1.4958990411880406e-05,1.2177079776943212
2,1.5,159,133.9,11.44333867365639,0.014138717024408332,1.1874533233756535
2,2.0,56,53.45,6.9273010617411455,0.35639608061550737,1.0477081384471467
3,1.0,222,189.15,11.815561772510014,0.0027160058606420616,1.1736716891356067
3,1.5,146,122.66,9.359722218100279,0.006321612600304155,1.190282080547856
3,2.0,56,51.29,6.753214049621113,0.24276195968752967,1.091830766231234
4,1.0,147,127.32,10.330421094998984,0.028386589113727097,1.1545711592836947
4,1.5,113,98.55,8.537417642355328,0.04527064710716628,1.1466260781329274
4,2.0,56,52.15,6.50903218612414,0.2770974890576262,1.0738255033557047
5,1.0,95,87.4,8.88819441731559,0.19625708269381537,1.0869565217391304
5,1.5,82,74.78,7.615221598876819,0.17153899331812344,1.0965498796469644
5,2.0,47,47.63,6.567579462785358,0.5382102291980233,0.9867730422002938
9,1.0,20,25.27,4.8184126016770294,0.8629613627101522,0.7914523149980214
9,1.5,16,23.57,4.974444692626505,0.9359676296583461,0.6788290199406024
9,2.0,13,20.38,4.337695240562665,0.9555627034277729,0.6378802747791953
12,1.0,10,11.88,3.2039975031201258,0.7213198982955009,0.8417508417508417
12,1.5,6,11.07,3.2225921243620026,0.9421715738732053,0.5420054200542005
12,2.0,5,9.64,2.7586953438174353,0.9537111667119724,0.5186721991701244
