z_comb,z_12,observed_overlap,expected_overlap_mean,expected_overlap_std,empirical_p,obs_exp
2,1.0,304,281.57,14.840656993543108,0.06534473432056648,1.0796604751926697
2,1.5,143,136.6,10.949885844153812,0.2794483793255591,1.0468521229868228
2,2.0,55,53.6,7.1693793315739685,0.42258886368317605,1.0261194029850746
3,1.0,224,197.62,13.87427835961208,0.028627427633704867,1.1334885133083696
3,1.5,133,125.94,9.19545539927197,0.22131175200003828,1.0560584405272353
3,2.0,55,54.58,7.004541383987964,0.47609330867254895,1.007695126419934
4,1.0,144,131.94,10.022794021628897,0.11443838508706433,1.0914051841746248
4,1.5,104,102.23,10.407550144006034,0.43247799853957586,1.0173139000293456
4,2.0,55,54.48,6.629449449237848,0.46873986884916596,1.0095447870778267
5,1.0,90,88.98,9.014410685119689,0.45495496315820194,1.0114632501685772
5,1.5,76,76.07,8.91544166040023,0.5031322814696403,0.9990797949257264
5,2.0,50,50.48,6.837367914629137,0.5279837390526482,0.9904912836767037
9,1.0,34,24.98,4.789530248364655,0.029831591261247514,1.3610888710968774
9,1.5,31,22.99,4.693602028293409,0.043950218201597196,1.3484123531970422
9,2.0,27,19.9,4.559605246071199,0.05971715984964202,1.35678391959799
12,1.0,18,12.98,3.8392186705109674,0.09551168318309344,1.386748844375963
12,1.5,16,11.45,2.9576172842340505,0.06197535627678166,1.3973799126637556
12,2.0,15,9.5,2.947880594596735,0.0310383704821753,1.5789473684210527
