,d1_seeds,d2_seeds,d1_name,d2_name,z_d1,z_d2,z_both,sum_seeds
B4GALT3,0,1,CD_1H_other_IEMs,AD,2.589020146119271,11.725818491115655,30.358380303236302,1
EPHA1,0,1,CD_1H_other_IEMs,AD,2.1038857246335017,9.850115840929421,20.72351810371773,1
CD200R1L,0,0,CD_1H_other_IEMs,AD,4.224077905463577,4.717727246083497,19.92804742418483,0
OPLAH,0,0,CD_1H_other_IEMs,AD,4.381460560764757,3.249004031809317,14.235383027138207,0
ST6GAL2,0,0,CD_1H_other_IEMs,AD,5.683492599312861,2.3529059247221973,13.372723410037992,0
CHST11,0,0,CD_1H_other_IEMs,AD,4.490166627043018,2.973346868139338,13.350822877942132,0
AC006538.2,0,0,CD_1H_other_IEMs,AD,2.3634865180815017,5.582955433364098,13.195239897805912,0
SLC39A5,0,0,CD_1H_other_IEMs,AD,5.174591601753692,2.5082466721411056,12.97915216478801,0
MC1R,0,0,CD_1H_other_IEMs,AD,4.070630865807353,3.1502119157542796,12.823349858103484,0
NDUFAF7,0,0,CD_1H_other_IEMs,AD,4.408500108578298,2.8724689308273232,12.663279593440043,0
PDK4,0,0,CD_1H_other_IEMs,AD,3.3865931534885343,3.4749718930478912,11.76831602156108,0
EVI2A,0,0,CD_1H_other_IEMs,AD,3.3742163046931766,3.3353548538978726,11.25420872995973,0
A4GALT,0,0,CD_1H_other_IEMs,AD,4.406139717889579,2.5516220838663597,11.242803408767744,0
FUT4,0,0,CD_1H_other_IEMs,AD,4.975520695431464,2.2545258953734453,11.217440250816729,0
MAP3K5,0,0,CD_1H_other_IEMs,AD,4.218600990201973,2.5590207164059056,10.795487328177316,0
ITSN2,0,0,CD_1H_other_IEMs,AD,3.324571462532026,3.178655527543626,10.567667456091222,0
ST6GAL1,0,0,CD_1H_other_IEMs,AD,5.174742172781964,1.9827770307496981,10.260359920243864,0
SLC25A44,0,0,CD_1H_other_IEMs,AD,5.018872673232332,2.03617125717569,10.219284280660194,0
