z_comb,z_12,observed_overlap,expected_overlap_mean,expected_overlap_std,empirical_p,obs_exp
2,1.0,228,249.06,13.975564389318953,0.9340838905819581,0.9154420621536979
2,1.5,117,129.12,9.4945036731785,0.8991155363138371,0.9061338289962825
2,2.0,39,51.13,6.231620976920853,0.9742040880716157,0.7627615881087424
3,1.0,162,177.08,10.995162572695323,0.9148923340184838,0.9148407499435283
3,1.5,105,118.44,9.812563375591516,0.9146054500935107,0.8865248226950355
3,2.0,39,50.41,6.190468479848678,0.9673468918521807,0.7736560206308273
4,1.0,109,123.36,10.432180980025223,0.9156680818916918,0.8835927367055771
4,1.5,88,99.05,9.157920069535441,0.8862080150936902,0.8884401817264008
4,2.0,39,53.77,7.2178320844973936,0.979637591223988,0.7253115119955365
5,1.0,74,86.63,8.758601486538817,0.925350369784464,0.8542075493478011
5,1.5,64,73.59,7.576404160286066,0.8972026329892873,0.8696833808941432
5,2.0,36,48.32,5.956307581043813,0.980698577587323,0.7450331125827815
9,1.0,12,26.05,5.167929953085665,0.9967229508995338,0.4606525911708253
9,1.5,10,24.79,5.038442219575412,0.9983345771454651,0.40338846308995563
9,2.0,10,21.38,3.9693324375768775,0.9979279594214046,0.4677268475210477
12,1.0,3,12.37,3.422440649594964,0.996907531457168,0.2425222312045271
12,1.5,3,11.8,3.0000000000000004,0.9983232817725268,0.2542372881355932
12,2.0,3,10.55,2.9912372022292044,0.9941992506942243,0.2843601895734597
