,d1_seeds,d2_seeds,d1_name,d2_name,z_d1,z_d2,z_both,sum_seeds
FYN,0,1,CD_1H_other_IEMs,PD,2.2945297291323152,13.850067749613949,31.77939220198591,1
MUC19,0,1,CD_1H_other_IEMs,PD,3.397786496241836,8.892906207605472,30.21619662454707,1
VPS35,0,1,CD_1H_other_IEMs,PD,1.6189425753987325,17.304117689279373,28.014372856884712,1
HMGCLL1,0,0,CD_1H_other_IEMs,PD,5.461742613109815,3.338186416364826,18.232315000764114,0
HOGA1,0,0,CD_1H_other_IEMs,PD,3.632397736913846,4.96591958289767,18.03819505461365,0
ST3GAL1,0,0,CD_1H_other_IEMs,PD,5.083075029797898,3.392088781710282,17.24224178516911,0
ST3GAL3,0,0,CD_1H_other_IEMs,PD,4.96664511310784,3.2067453324509065,15.926766034398671,0
GALNT5,0,0,CD_1H_other_IEMs,PD,3.860134740087001,4.106756167636946,15.85263215176193,0
GALNT14,0,0,CD_1H_other_IEMs,PD,3.6563385255148924,4.273668723966848,15.625979600728057,0
NOMO3,0,0,CD_1H_other_IEMs,PD,5.870467162827329,2.6544450575259027,15.582832545735112,0
B3GNTL1,0,0,CD_1H_other_IEMs,PD,4.1347410304245615,3.752802629406752,15.516867010893277,0
GALNT13,0,0,CD_1H_other_IEMs,PD,3.6867879728831907,4.204191773179513,15.499963665052684,0
ST3GAL2,0,0,CD_1H_other_IEMs,PD,4.812486109561815,3.1548079092610353,15.182469241654484,0
ST6GAL1,0,0,CD_1H_other_IEMs,PD,5.174742172781964,2.8793879848494845,14.900090437002303,0
GALNT6,0,0,CD_1H_other_IEMs,PD,4.463316993360241,3.268531460448291,14.588492010751423,0
B4GALNT2,0,0,CD_1H_other_IEMs,PD,5.403858625870478,2.669540803769803,14.42582109956466,0
ST6GALNAC4,0,0,CD_1H_other_IEMs,PD,4.658202063731689,3.0856768847517837,14.37370643255993,0
GALNT18,0,0,CD_1H_other_IEMs,PD,3.4840865212933867,4.090441032272655,14.251450466686563,0
GALNT9,0,0,CD_1H_other_IEMs,PD,3.0963324560487147,4.402808295304415,13.632558222511573,0
GALNT16,0,0,CD_1H_other_IEMs,PD,4.166824919819159,3.2343662136770464,13.477037738970655,0
PNPLA7,0,0,CD_1H_other_IEMs,PD,3.5416101641227695,3.684661864662997,13.049635911246027,0
ACSM2A,0,0,CD_1H_other_IEMs,PD,3.926287460006469,3.2568352802447205,12.787271520131501,0
ACMSD,0,1,CD_1H_other_IEMs,PD,1.5949973717198218,7.962955498057758,12.700893090524028,1
ALDH8A1,0,0,CD_1H_other_IEMs,PD,3.2277983216191863,3.880847693677827,12.52659367211298,0
ST6GALNAC1,0,0,CD_1H_other_IEMs,PD,5.389057502350529,2.3178762092313834,12.491168174878192,0
HOXB13,0,0,CD_1H_other_IEMs,PD,3.815671452315442,3.2458786809146893,12.385206620445484,0
ALDH4A1,0,0,CD_1H_other_IEMs,PD,3.1293351363174757,3.897565843887403,12.196789741387724,0
ST3GAL4,0,0,CD_1H_other_IEMs,PD,4.452451273846996,2.7339766611855056,12.17289786776336,0
GALNTL6,0,0,CD_1H_other_IEMs,PD,3.966029818904595,3.0494999232058944,12.09440762818185,0
LRRC3B,0,0,CD_1H_other_IEMs,PD,4.9818705854351375,2.419623385701252,12.054250573056045,0
ST6GALNAC6,0,0,CD_1H_other_IEMs,PD,4.475918524907448,2.6701771993516883,11.95149559136371,0
ACSM3,0,0,CD_1H_other_IEMs,PD,3.0773126884267983,3.84818441317685,11.842066722075353,0
OGDHL,0,0,CD_1H_other_IEMs,PD,3.333299053198136,3.4995486776303566,11.665042293766057,0
GALNT10,0,0,CD_1H_other_IEMs,PD,3.169253957410138,3.650464116026744,11.56924784610146,0
VASH2,0,0,CD_1H_other_IEMs,PD,2.208795338945928,5.1050140495869085,11.275931237981041,0
RFTN1,0,0,CD_1H_other_IEMs,PD,5.12942124677714,2.1836649611449186,11.200937447539523,0
CD200,0,0,CD_1H_other_IEMs,PD,5.085744048009427,2.1769390226756085,11.071354677451934,0
KMO,0,0,CD_1H_other_IEMs,PD,3.091940656564708,3.5536448285311533,10.987658924326393,0
NHLRC3,0,0,CD_1H_other_IEMs,PD,6.3190751332903305,1.7321221827551645,10.94541021286873,0
GALNT12,0,0,CD_1H_other_IEMs,PD,2.9778959586088947,3.649687622446206,10.868390021067462,0
NUDC,0,0,CD_1H_other_IEMs,PD,5.797481961605055,1.838405837333228,10.658124680048825,0
ST6GALNAC2,0,0,CD_1H_other_IEMs,PD,2.939186615230287,3.606759797514609,10.600940121205639,0
FRK,0,0,CD_1H_other_IEMs,PD,3.7932628730515443,2.7211828599470764,10.322161913421466,0
DCAKD,0,0,CD_1H_other_IEMs,PD,3.2880325547759353,3.121385042224643,10.263215634825283,0
SMIM8,0,0,CD_1H_other_IEMs,PD,3.022780760425935,3.380414680363758,10.218252458064955,0
ST8SIA6,0,0,CD_1H_other_IEMs,PD,6.465260782113464,1.5416217801797352,9.966986836247987,0
GALNT8,0,0,CD_1H_other_IEMs,PD,2.9642750166378846,3.3147174692363213,9.825734181270382,0
GALNT4,0,0,CD_1H_other_IEMs,PD,2.2827474643467105,4.292709498778582,9.799171723513847,0
MUC3B,0,0,CD_1H_other_IEMs,PD,3.5899832844184947,2.7174858077747897,9.755728625555985,0
HSPA8,0,0,CD_1H_other_IEMs,PD,4.418415204834091,2.2069746296181347,9.751330260187851,0
GALNT11,0,0,CD_1H_other_IEMs,PD,2.4019159185761585,3.9740359475682445,9.545300203458055,0
MUC7,0,0,CD_1H_other_IEMs,PD,2.796436034824293,3.3119889104799656,9.261765136204625,0
ALDH1L1,0,0,CD_1H_other_IEMs,PD,2.895974865409994,3.1218774408131313,9.040878601485305,0
MUC21,0,0,CD_1H_other_IEMs,PD,3.5776890589830117,2.4998685032012773,8.943752192799447,0
RNF144B,0,0,CD_1H_other_IEMs,PD,5.669369961985518,1.56897341788495,8.895090766510686,0
HEXA,0,0,CD_1H_other_IEMs,PD,3.381702792822991,2.621732580885103,8.86592039081418,0
MUC12,0,0,CD_1H_other_IEMs,PD,2.4986030330024587,3.538722592087262,8.841863001543555,0
STUB1,0,0,CD_1H_other_IEMs,PD,4.308816980193688,2.0082015597488803,8.652972980297426,0
AATK,0,0,CD_1H_other_IEMs,PD,2.661194153258918,3.229158714541361,8.593418291082553,0
GALNT3,0,0,CD_1H_other_IEMs,PD,2.554169117022898,3.3517827805612876,8.561020065078777,0
DNAJC25,0,0,CD_1H_other_IEMs,PD,2.873323577610299,2.95522126918698,8.491306949810383,0
UGT2B7,0,0,CD_1H_other_IEMs,PD,2.5624979006712243,3.2834766996771725,8.413902149825635,0
MUCL1,0,0,CD_1H_other_IEMs,PD,2.639095633183363,3.1832302487257556,8.40084904882933,0
SPTLC3,0,0,CD_1H_other_IEMs,PD,2.0385701997389454,4.102315494129399,8.362858116259538,0
MUC15,0,0,CD_1H_other_IEMs,PD,3.5151392081892383,2.3314376089674105,8.195327750728314,0
GATC,0,0,CD_1H_other_IEMs,PD,1.7074930401059407,4.793918658715994,8.185582744591567,0
ST6GALNAC3,0,0,CD_1H_other_IEMs,PD,5.284240841801303,1.5356482128665052,8.114735005068368,0
LRRC31,0,0,CD_1H_other_IEMs,PD,1.603809462623508,5.051789748961538,8.102108202568951,0
HSPA1A,0,0,CD_1H_other_IEMs,PD,4.781857073972103,1.676816061947747,8.018294747574878,0
ITSN2,0,0,CD_1H_other_IEMs,PD,3.324571462532026,2.41031756286984,8.013272985156814,0
AGXT2,0,0,CD_1H_other_IEMs,PD,3.0642982672594985,2.6081631371461413,7.992189781887019,0
CANT1,0,0,CD_1H_other_IEMs,PD,2.099682301348922,3.804217109899445,7.987647336144612,0
MUC3A,0,0,CD_1H_other_IEMs,PD,3.0727045017385692,2.5700855473856485,7.897113431305117,0
ALDH6A1,0,0,CD_1H_other_IEMs,PD,2.5692494321452064,3.06223750282394,7.867651965224162,0
GCNT1,0,0,CD_1H_other_IEMs,PD,2.492309901518367,3.125585607406044,7.7899279573813835,0
TYR,0,0,CD_1H_other_IEMs,PD,2.2571231075572555,3.4465587200946084,7.7793073286785,0
DDC,0,0,CD_1H_other_IEMs,PD,3.9360773242989917,1.9763894107078497,7.779221543471814,0
GLYATL1,0,0,CD_1H_other_IEMs,PD,1.5110658267179666,5.138245843159767,7.764227702874369,0
B4GALT5,0,0,CD_1H_other_IEMs,PD,2.1683773175165055,3.570564668591464,7.742331438099569,0
CTSA,0,0,CD_1H_other_IEMs,PD,3.220627427371861,2.384559624889833,7.679778130123752,0
MAST2,0,0,CD_1H_other_IEMs,PD,3.446115165763856,2.225094790290708,7.6679329020829545,0
UBA52,0,0,CD_1H_other_IEMs,PD,4.1235057573160026,1.8352825261760422,7.567798062988367,0
