,OR_p,log_OR,log_OR_CI_lower,log_OR_CI_upper,num_genes_in_term,MP_description,MPO_term_type
MP:0009937,8.769197661550504e-09,1.9572941231039591,1.290468162328171,2.624120083879747,339,abnormal neuron differentiation,brain
MP:0000778,1.1693404775510424e-08,2.150198732305963,1.411381953497782,2.889015511114144,221,abnormal nervous system tract morphology,brain
MP:0003648,8.887652098792862e-07,3.0147544150918355,1.8125042646968672,4.217004565486803,35,abnormal radial glial cell morphology,brain
MP:0000968,1.7221657735662545e-05,2.2440013978219184,1.2207367907216162,3.2672660049222206,97,abnormal sensory neuron innervation pattern,brain
MP:0002882,0.00023869120407057004,0.9742236657655585,0.45451968740495297,1.4939276441261642,1654,abnormal neuron morphology,brain
MP:0000965,0.000488940878586419,1.302014082589638,0.5701274269151432,2.033900738264133,498,abnormal sensory neuron morphology,brain
MP:0003634,0.0006332699033347542,1.356439563977709,0.5783851691633678,2.13449395879205,410,abnormal glial cell morphology,brain
MP:0000952,0.0007887757635852481,1.4316796945184986,0.595728463945297,2.2676309250917,324,abnormal CNS glial cell morphology,brain
MP:0000940,0.0010608261944529372,2.3995283195960324,0.963008717543393,3.836047921648672,41,abnormal motor neuron innervation pattern,brain
MP:0004101,0.0014831069709414595,2.325259838092297,0.8911911642815817,3.759328511903012,44,abnormal brain interneuron morphology,brain
MP:0003861,0.0017291502371792682,0.9166288760805088,0.34323332566935993,1.4900244264916576,1315,abnormal nervous system development,brain
MP:0009967,0.00579622559212791,1.639168726243847,0.47475958751933667,2.803577864968357,129,abnormal neuron proliferation,brain
MP:0002752,0.006236054071631516,0.885248779026254,0.25088327539638133,1.5196142826561267,1041,abnormal somatic nervous system morphology,brain
MP:0010149,0.007381554135120353,2.794954734777459,0.7502508876985909,4.839658581856327,14,abnormal synaptic dopamine release,brain
MP:0010387,0.008932094884875744,2.72079333668543,0.6812573804868891,4.760329292883972,15,abnormal Bergmann glial cell morphology,brain
MP:0011723,0.009896636886567367,1.87198971122762,0.44956437337190014,3.29441504908334,68,ectopic neuron,brain
MP:0011731,0.012541444829230843,2.587155083620541,0.5560449932784839,4.618265173962598,17,decreased myelin sheath thickness,brain
MP:0003241,0.014599554284767263,2.5264770273014348,0.4988465876780226,4.554107466924847,18,loss of cortex neurons,brain
MP:0001046,0.03353865241524383,2.181262419522753,0.16994993888458954,4.192574900160916,25,abnormal enteric neuron morphology,brain
MP:0000136,0.03977940400536464,1.4852712314123497,0.06939943958407424,2.9011430232406252,99,abnormal microglial cell morphology,brain
MP:0008571,0.04389657541128555,2.0633190032293136,0.05643251014352968,4.070205496315097,28,abnormal synaptic bouton morphology,brain
MP:0001044,0.06805326307317054,1.8623274693065746,-0.13810374732350583,3.862758685936655,34,abnormal enteric nervous system morphology,brain
MP:0004100,0.07699918345398073,1.8033800002510745,-0.1953879196685988,3.8021479201707478,36,abnormal spinal cord interneuron morphology,brain
MP:0001105,0.09603385678483375,1.694952443212463,-0.3009975109407843,3.6909023973657105,40,abnormal PNS glial cell morphology,brain
