,OR_p,log_OR,log_OR_CI_lower,log_OR_CI_upper,num_genes_in_term,MP_description,MPO_term_type
MP:0000811,0.0014991514379512527,2.3512680013045237,0.8997336345339115,3.802802368075136,26,hippocampal neuron degeneration,brain
MP:0000920,0.004318441320663778,1.3165125690622546,0.41237933070332,2.220645807421189,176,abnormal myelination,brain
MP:0003634,0.010392503941935145,0.9400685697644438,0.2210407325442003,1.6590964069846872,410,abnormal glial cell morphology,brain
MP:0000921,0.010456774492819754,1.5195567847011304,0.3563250978121666,2.6827884715900945,86,demyelination,brain
MP:0010050,0.016278931407852235,2.5276060754618292,0.46566714049130686,4.589545010432351,11,hypermyelination,brain
MP:0000136,0.020374683961507743,1.3733495427574898,0.2128148979968718,2.5338841875181077,99,abnormal microglial cell morphology,brain
MP:0006069,0.022914136188840226,0.8337902177454755,0.11541788596905811,1.552162549521893,454,abnormal retina neuronal layer morphology,brain
MP:0011451,0.024693046104352682,2.345177331787447,0.2988225531783102,4.391532110396584,13,increased susceptibility to dopaminergic neuron neurotoxicity,brain
MP:0002912,0.025429282389450834,1.3223079876487098,0.16262709745539317,2.4819888778420265,104,abnormal excitatory postsynaptic potential,brain
MP:0001081,0.02945819646132564,1.1164421549662862,0.11144216158719056,2.121442148345382,170,abnormal cranial ganglia morphology,brain
MP:0014325,0.029565489049839036,2.265081026365003,0.22475184828079264,4.305410204449213,14,abnormal oligodendrocyte progenitor morphology,brain
MP:0010170,0.029565489049839036,2.265081026365003,0.22475184828079264,4.305410204449213,14,abnormal glial cell apoptosis,brain
MP:0002916,0.03486020354204856,2.190919453589501,0.15576927500778748,4.226069632171215,15,increased synaptic depression,brain
MP:0000952,0.03692471077806765,0.8773886262410304,0.05324706417567504,1.7015301883063858,324,abnormal CNS glial cell morphology,brain
MP:0003690,0.042125137429072826,1.2005297193665125,0.04272029054759896,2.358339148185426,117,abnormal glial cell physiology,brain
MP:0009937,0.04817415142510778,0.8304798352207747,0.0066683648334103784,1.654291305608139,339,abnormal neuron differentiation,brain
MP:0009939,0.049972819155388294,1.1573351837162171,0.00013732309737246595,2.314533044335062,122,abnormal hippocampus neuron morphology,brain
MP:0003691,0.05284440826127624,1.4001473965091833,-0.017191895149232694,2.817486688167599,64,abnormal microglial cell physiology,brain
MP:0014062,0.058351155869167275,1.368291211764662,-0.0483648758959776,2.7849472994253013,66,nervous system inclusion bodies,brain
MP:0003204,0.07022273974830762,1.3074515824221375,-0.10795781507010993,2.722860979914385,70,decreased neuron apoptosis,brain
MP:0004858,0.0744256715276375,1.833922845572511,-0.18090204530425158,3.8487477364492735,21,abnormal nervous system regeneration,brain
MP:0014489,0.08213449091730657,1.7850790606625644,-0.22747479486925615,3.797632916194385,22,abnormal cochlear sensory neuron innervation pattern,brain
MP:0000939,0.09009937293054042,1.2225715964021369,-0.19121883833116815,2.636362031135442,76,decreased motor neuron number,brain
MP:0008917,0.09011010577817499,1.7385054214118192,-0.27198163065537617,3.7489924734790145,23,abnormal oligodendrocyte physiology,brain
MP:0001046,0.10678940447445807,1.651386788563233,-0.35547823635601894,3.658251813482485,25,abnormal enteric neuron morphology,brain
MP:0004183,0.12432576338519691,1.5712368135256902,-0.43255830632303516,3.5750319333744156,27,abnormal sympathetic nervous system physiology,brain
MP:0003202,0.13434944790249068,0.7651085359356404,-0.23650570058573472,1.7667227724570156,239,abnormal neuron apoptosis,brain
MP:0011448,0.15196396043723306,1.4618765989373124,-0.5381010500812784,3.461854247955903,30,decreased dopaminergic neuron number,brain
MP:0008236,0.16147561954582745,1.427921400631968,-0.5709520665291357,3.4267948677930717,31,decreased susceptibility to neuronal excitotoxicity,brain
MP:0008235,0.17111515303674318,1.3950779283011983,-0.602762042240722,3.392917898843119,32,increased susceptibility to neuronal excitotoxicity,brain
MP:0010762,0.19073069242808116,1.3324502636687257,-0.6635092515993926,3.3284097789368436,34,abnormal microglial cell activation,brain
MP:0001044,0.19073069242808116,1.3324502636687257,-0.6635092515993926,3.3284097789368436,34,abnormal enteric nervous system morphology,brain
MP:0011270,0.2107225197448852,1.2735024444784848,-0.7207900445926059,3.2677949335495757,36,decreased excitatory postsynaptic current amplitude,brain
MP:0002272,0.21731734017352466,-1.7488746465366063,-4.527306109079327,1.0295568160061146,351,abnormal nervous system electrophysiology,brain
MP:0003407,0.23163835880319728,1.7324061349426767,-1.1062479075582772,4.571060177443631,11,abnormal central nervous system regeneration,brain
MP:0010160,0.23163835880319728,1.7324061349426767,-1.1062479075582772,4.571060177443631,11,increased oligodendrocyte number,brain
MP:0021105,0.23163835880319728,1.7324061349426767,-1.1062479075582772,4.571060177443631,11,abnormal ventral interneuron 3 morphology,brain
MP:0003247,0.23163835880319728,1.7324061349426767,-1.1062479075582772,4.571060177443631,11,abnormal glutaminergic neuron morphology,brain
MP:0004793,0.23163835880319728,1.7324061349426767,-1.1062479075582772,4.571060177443631,11,abnormal synaptic vesicle clustering,brain
MP:0006277,0.23163835880319728,1.7324061349426767,-1.1062479075582772,4.571060177443631,11,abnormal parasympathetic nervous system physiology,brain
MP:0014379,0.23163835880319728,1.7324061349426767,-1.1062479075582772,4.571060177443631,11,decreased excitatory postsynaptic current frequency,brain
MP:0005192,0.23163835880319728,1.7324061349426767,-1.1062479075582772,4.571060177443631,11,increased motor neuron number,brain
MP:0000954,0.23163835880319728,1.7324061349426767,-1.1062479075582772,4.571060177443631,11,decreased oligodendrocyte progenitor number,brain
MP:0004562,0.23163835880319728,1.7324061349426767,-1.1062479075582772,4.571060177443631,11,abnormal inner hair cell synaptic ribbon morphology,brain
MP:0014375,0.23163835880319728,1.7324061349426767,-1.1062479075582772,4.571060177443631,11,increased miniature excitatory postsynaptic current frequency,brain
MP:0011452,0.23163835880319728,1.7324061349426767,-1.1062479075582772,4.571060177443631,11,decreased susceptibility to dopaminergic neuron neurotoxicity,brain
MP:0020387,0.23163835880319728,1.7324061349426767,-1.1062479075582772,4.571060177443631,11,abnormal radial glial cell number,brain
MP:0004191,0.25508219861751324,1.645341163076706,-1.1881822307350371,4.47886455688845,12,neuronal intranuclear inclusions,brain
MP:0012205,0.25508219861751324,1.645341163076706,-1.1881822307350371,4.47886455688845,12,abnormal neuronal stem cell self-renewal,brain
