,d1_seeds,d2_seeds,d1_name,d2_name,z_d1,z_d2,z_both,sum_seeds
TCP11X2,0,0,CD_2_leukodys,brain_malform,7.880006427513751,6.298175936141393,49.629666858406615,0
TUBB4A,1,0,CD_2_leukodys,brain_malform,10.93240675386422,3.506213352581725,38.33135053625336,1
TUBB2B,0,1,CD_2_leukodys,brain_malform,2.2342345072676006,14.930639445787985,33.35854986535032,1
TUBA1A,0,1,CD_2_leukodys,brain_malform,1.8141628740443783,17.54510258907203,31.829673738394376,1
POLR3A,1,0,CD_2_leukodys,brain_malform,14.674321056641515,1.8711334166318179,27.457612495465867,1
DCX,0,1,CD_2_leukodys,brain_malform,2.223985617635844,10.303829888148815,22.915569477809314,1
NFIA,0,1,CD_2_leukodys,brain_malform,2.066217149467359,9.879799871763984,20.413811928344156,1
WSCD1,0,0,CD_2_leukodys,brain_malform,3.421632984520229,4.654598964370487,15.926329346203756,0
HEPACAM2,0,0,CD_2_leukodys,brain_malform,4.963504716854206,3.022740493009984,15.003386694881263,0
NCOA7,0,0,CD_2_leukodys,brain_malform,4.4895108484388375,3.305202845609587,14.838744031655159,0
KPTN,0,0,CD_2_leukodys,brain_malform,3.3303554734375265,3.54851939456702,11.817830988295492,0
IL34,0,0,CD_2_leukodys,brain_malform,5.476405464267355,2.079251259270298,11.386822957852639,0
CERS5,0,0,CD_2_leukodys,brain_malform,6.8166692884347695,1.6654611909026071,11.3528981511058,0
C1orf87,0,0,CD_2_leukodys,brain_malform,3.7647582451021626,2.9834123486434736,11.231826238095126,0
MPHOSPH9,0,0,CD_2_leukodys,brain_malform,1.6626816955442523,5.855600253587443,9.735999358064124,0
B3GALNT2,0,0,CD_2_leukodys,brain_malform,3.5822444491383667,2.6244532122033326,9.401432951438744,0
FMNL2,0,0,CD_2_leukodys,brain_malform,4.7443960881480995,1.9543169699981913,9.272053787460866,0
SNAP25,0,0,CD_2_leukodys,brain_malform,3.5813820262285354,2.4885121017383485,8.912312513217918,0
POLR3GL,0,0,CD_2_leukodys,brain_malform,3.2487313239461733,2.6768885955867145,8.69649183119684,0
NTM,0,0,CD_2_leukodys,brain_malform,3.8523451751097286,2.25252843424914,8.677517045477146,0
