z_comb,z_12,observed_overlap,expected_overlap_mean,expected_overlap_std,empirical_p,obs_exp
2,1.0,579,394.71,17.604144398408007,6.023224772259424e-26,1.4668997491829445
2,1.5,324,187.44,12.261582279624436,4.1327402001101337e-29,1.7285531370038412
2,2.0,117,65.19,7.11856024769054,1.6920552553162915e-13,1.7947537965945697
3,1.0,407,260.21,14.808305102205317,1.8333674731544557e-23,1.564121286653088
3,1.5,303,171.77,12.420833305378508,2.1576179126868214e-26,1.7639867264365139
3,2.0,117,66.05,7.927641515608537,6.512481801721341e-11,1.7713853141559426
4,1.0,270,170.38,10.96793508368827,5.288900196247832e-20,1.584693039089095
4,1.5,229,130.04,9.558158818517297,2.018181270227432e-25,1.7609966164257154
4,2.0,117,64.32,7.3646181163723625,4.2413573386929236e-13,1.8190298507462688
5,1.0,187,113.05,9.593096476112393,6.356862183909778e-15,1.6541353383458648
5,1.5,165,93.86,9.431882102740683,2.3051757717069043e-14,1.7579373535052205
5,2.0,108,59.94,7.127159321917815,7.745742830351829e-12,1.8018018018018018
9,1.0,55,36.31,6.265293289224376,0.0014267210647286176,1.5147342329936655
9,1.5,46,28.79,5.310922707025588,0.0005966191046072733,1.5977770059048282
9,2.0,41,23.57,4.405122018741364,3.798697802401319e-05,1.7394993635977938
12,1.0,32,20.5,3.8301436004411116,0.001338866941807032,1.5609756097560976
12,1.5,26,17.11,3.7706630716625957,0.00919487982262637,1.5195791934541205
12,2.0,22,12.73,3.2057916339026153,0.0019161751125864664,1.7282010997643362
