,OR_p,log_OR,log_OR_CI_lower,log_OR_CI_upper,num_genes_in_term,MP_description,MPO_term_type
MP:0014062,3.11671827852124e-10,2.2870670150031316,1.5747406904978376,2.9993933395084253,66,nervous system inclusion bodies,brain
MP:0000136,1.0419263614025369e-08,1.9372637833814972,1.2738942454755595,2.600633321287435,100,abnormal microglial cell morphology,brain
MP:0011975,1.564598220126338e-08,3.559232297342593,2.3254922862246894,4.792972308460497,11,neuronal cytoplasmic inclusions,brain
MP:0000952,1.160988009149919e-05,1.1531226756604145,0.6376863706763851,1.6685589806444439,334,abnormal CNS glial cell morphology,brain
MP:0003634,2.965489126503687e-05,1.0362829611927697,0.5499255787788988,1.5226403436066407,421,abnormal glial cell morphology,brain
MP:0003224,0.0007023067306767812,0.8864921495534315,0.3737573386915519,1.399226960415311,429,neuron degeneration,brain
MP:0002882,0.0008076520714161525,0.5528149269423448,0.22939822600764737,0.8762316278770422,1681,abnormal neuron morphology,brain
MP:0009823,0.0024524074539619867,2.320195885344292,0.818950844249891,3.8214409264386933,14,abnormal sphingomyelin level,brain
MP:0001081,0.0026287174357252268,1.1032823229636115,0.38442947351394374,1.8221351724132793,172,abnormal cranial ganglia morphology,brain
MP:0002752,0.0032199584753198674,0.582799329387802,0.19505432524831218,0.9705443335272919,1055,abnormal somatic nervous system morphology,brain
MP:0002206,0.005621846314850261,0.5656219391482527,0.16526981541794927,0.965974062878556,995,abnormal CNS synaptic transmission,brain
MP:0003690,0.006164114629360415,1.1577772990250974,0.32927525572936944,1.9862793423208254,122,abnormal glial cell physiology,brain
MP:0009939,0.007367450212216496,1.1320809313856532,0.3040828564857375,1.9600790062855689,125,abnormal hippocampus neuron morphology,brain
MP:0003871,0.017813943679368765,1.2249581510377663,0.21170156470618573,2.238214737369347,76,abnormal myelin sheath morphology,brain
MP:0003635,0.020294410304487365,0.4735828420322594,0.07364256857154239,0.8735231154929765,1083,abnormal synaptic transmission,brain
MP:0004859,0.0218728144165167,1.1839734799452906,0.17177053594571112,2.19617642394487,79,abnormal synaptic plasticity,brain
MP:0021009,0.02221409542536022,0.46657490821524483,0.06666447381623575,0.8664853426142539,1090,abnormal synaptic physiology,brain
MP:0003243,0.027176049552446728,1.3200514555151859,0.14880789270666184,2.4912950183237097,52,abnormal dopaminergic neuron morphology,brain
MP:0014380,0.027592529691837432,1.626399950909617,0.17944590051678544,3.0733540013024485,26,abnormal miniature inhibitory postsynaptic current amplitude,brain
MP:0000811,0.027592529691837432,1.626399950909617,0.17944590051678544,3.0733540013024485,26,hippocampal neuron degeneration,brain
MP:0001900,0.03201226010829003,1.27993780787674,0.1100074214269453,2.449868194326535,54,impaired synaptic plasticity,brain
MP:0000921,0.03370454244278423,1.0943626646029347,0.08432183037945928,2.10440349882641,86,demyelination,brain
MP:0021010,0.037361033475650854,1.2413632022912147,0.07264819647930443,2.410078208103125,56,impaired synaptic physiology,brain
MP:0003202,0.039956127322162395,0.7483431975252,0.034330853402964046,1.4623555416474359,241,abnormal neuron apoptosis,brain
MP:0004811,0.052439702370265996,0.49027600701632856,-0.005171340576002437,0.9857233546086596,663,abnormal neuron physiology,brain
MP:0008235,0.055488592464283934,1.4029318647591538,-0.032917686740355556,2.838781416258663,32,increased susceptibility to neuronal excitotoxicity,brain
MP:0004753,0.06200889275106864,0.8574113810576893,-0.043063635465427574,1.7578863975808061,135,abnormal miniature excitatory postsynaptic currents,brain
MP:0003691,0.0680021225238991,1.0840331241246268,-0.08017197997963765,2.2482382282288915,65,abnormal microglial cell physiology,brain
MP:0003203,0.06965227659097989,0.7608247283382674,-0.06114504711030855,1.5827945037868434,178,increased neuron apoptosis,brain
MP:0014372,0.08552026638257708,1.80618345041999,-0.25256584728005826,3.8649327481200384,11,decreased miniature excitatory postsynaptic current amplitude,brain
MP:0003407,0.08552026638257708,1.80618345041999,-0.25256584728005826,3.8649327481200384,11,abnormal central nervous system regeneration,brain
MP:0005192,0.08552026638257708,1.80618345041999,-0.25256584728005826,3.8649327481200384,11,increased motor neuron number,brain
MP:0004562,0.08552026638257708,1.80618345041999,-0.25256584728005826,3.8649327481200384,11,abnormal inner hair cell synaptic ribbon morphology,brain
MP:0010050,0.08552026638257708,1.80618345041999,-0.25256584728005826,3.8649327481200384,11,hypermyelination,brain
MP:0020874,0.08552026638257708,1.80618345041999,-0.25256584728005826,3.8649327481200384,11,abnormal nervous system dopamine level,brain
MP:0010055,0.09446343237482369,0.9913346007387123,-0.17052021823675223,2.1531894197141765,71,abnormal sensory neuron physiology,brain
MP:0001025,0.10194839253504567,1.7108192297066829,-0.33943107917848137,3.761069538591847,12,abnormal sympathetic neuron morphology,brain
MP:0001105,0.10909501150362702,1.1661102096793456,-0.26032114820643115,2.5925415675651227,40,abnormal PNS glial cell morphology,brain
MP:0011451,0.1193161580416483,1.6237538088874945,-0.4193870035727634,3.6668946213477525,13,increased susceptibility to dopaminergic neuron neurotoxicity,brain
MP:0005423,0.15487676358095437,0.8407979726666195,-0.3176668581190045,1.9992628034522435,82,abnormal somatic nervous system physiology,brain
MP:0002916,0.15634932141395574,1.4694950326381218,-0.5624234572026641,3.5014135224789076,15,increased synaptic depression,brain
MP:0014345,0.15634932141395574,1.4694950326381218,-0.5624234572026641,3.5014135224789076,15,abnormal neuron mitochondrial morphology,brain
MP:0000937,0.17330356768900856,0.6232283578643756,-0.27383880164272134,1.5202955173714725,169,abnormal motor neuron morphology,brain
MP:0003240,0.17578173692056476,1.400448108557983,-0.6269640595838237,3.4278602766997897,16,loss of hippocampal neurons,brain
MP:0004297,0.17578173692056476,1.400448108557983,-0.6269640595838237,3.4278602766997897,16,abnormal proprioceptive neuron morphology,brain
MP:0011827,0.1956875586456489,1.335855531905386,-0.6876053726674303,3.359316436478202,17,impaired neuron differentiation,brain
MP:0000920,0.2132016794479078,0.5693126343990098,-0.32707513117331477,1.4657003999713343,178,abnormal myelination,brain
MP:0003244,0.21597679325741215,1.275176851651766,-0.7447912256183655,3.2951449289218977,18,loss of dopaminergic neurons,brain
MP:0002751,0.22873687368257867,0.7098393180205118,-0.4460576078900882,1.8657362439311118,93,abnormal autonomic nervous system morphology,brain
MP:0011731,0.23656891303339578,1.217964376452164,-0.7988938876362734,3.2348226405406013,19,decreased myelin sheath thickness,brain
MP:0014376,0.23656891303339578,1.217964376452164,-0.7988938876362734,3.2348226405406013,19,decreased miniature excitatory postsynaptic current frequency,brain
MP:0014371,0.2783824486606775,1.1124957293063424,-0.899064819617565,3.12405627823025,21,abnormal miniature excitatory postsynaptic current amplitude,brain
MP:0004858,0.2783824486606775,1.1124957293063424,-0.899064819617565,3.12405627823025,21,abnormal nervous system regeneration,brain
MP:0020448,0.2783824486606775,1.1124957293063424,-0.899064819617565,3.12405627823025,21,increased microglial cell activation,brain
MP:0009435,0.2815854856518377,0.7773700197240281,-0.6376257678452377,2.192365807293294,58,abnormal miniature inhibitory postsynaptic currents,brain
MP:0004769,0.30366020651287406,0.7421703458114486,-0.6719893591303217,2.156330050753219,60,abnormal synaptic vesicle morphology,brain
MP:0004980,0.3206444205357397,1.0170774063203378,-0.9901382492563573,3.024293061897033,23,increased neuronal precursor cell number,brain
MP:0002912,0.3374379742998851,0.5644979632090745,-0.5889109365872636,1.7179068630054126,107,abnormal excitatory postsynaptic potential,brain
MP:0014383,0.34182149902471104,0.9725715677727447,-1.0327520677968964,2.9778952033423858,24,decreased miniature inhibitory postsynaptic current frequency,brain
