,abnormal microglial cell morphology:-log(OR_p),abnormal microglial cell morphology:log_OR,abnormal microglial cell morphology:num_genes,abnormal microglial cell morphology:gene_ids,abnormal glial cell morphology:-log(OR_p),abnormal glial cell morphology:log_OR,abnormal glial cell morphology:num_genes,abnormal glial cell morphology:gene_ids,nervous system inclusion bodies:-log(OR_p),nervous system inclusion bodies:log_OR,nervous system inclusion bodies:num_genes,nervous system inclusion bodies:gene_ids,abnormal CNS glial cell morphology:-log(OR_p),abnormal CNS glial cell morphology:log_OR,abnormal CNS glial cell morphology:num_genes,abnormal CNS glial cell morphology:gene_ids,neuron degeneration:-log(OR_p),neuron degeneration:log_OR,neuron degeneration:num_genes,neuron degeneration:gene_ids,abnormal sphingomyelin level:-log(OR_p),abnormal sphingomyelin level:log_OR,abnormal sphingomyelin level:num_genes,abnormal sphingomyelin level:gene_ids,abnormal neuron morphology:-log(OR_p),abnormal neuron morphology:log_OR,abnormal neuron morphology:num_genes,abnormal neuron morphology:gene_ids,increased susceptibility to neuronal excitotoxicity:-log(OR_p),increased susceptibility to neuronal excitotoxicity:log_OR,increased susceptibility to neuronal excitotoxicity:num_genes,increased susceptibility to neuronal excitotoxicity:gene_ids,abnormal cranial ganglia morphology:-log(OR_p),abnormal cranial ganglia morphology:log_OR,abnormal cranial ganglia morphology:num_genes,abnormal cranial ganglia morphology:gene_ids,abnormal neuron apoptosis:-log(OR_p),abnormal neuron apoptosis:log_OR,abnormal neuron apoptosis:num_genes,abnormal neuron apoptosis:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C436,13.939879628816914,2.1429209199688835,16,ACP2 APOE ARSA CD81 CTSD GALC GRN HEXB HGSNAT IDUA NEU1 NPC1 PRNP PSEN1 SCARB2 SUMF1,13.519791124406959,1.414261682315475,34,ACP2 AGA APOE ARSA ASAH1 B4GALNT1 CANX CD81 CLN3 CTSB CTSD CTSF FUCA1 GALC GLB1 GRN HEXA HEXB HFE HGSNAT IDUA LRPAP1 MAN2B1 NEU1 NOTCH3 NPC1 PRNP PSEN1 SCARB2 SMPD1 SMPD3 SUMF1 TK2 TOR1A,11.74969615816507,2.277062790213435,12,APOE CLU GRN KLC1 LRPAP1 NR1H3 PINK1 PRNP PSEN1 SLC18A2 TMEM175 TREM2,10.941773697789518,1.4064485673740421,27,ACP2 AGA APOE ARSA ASAH1 B4GALNT1 CANX CD81 CLN3 CTSD FUCA1 GALC GRN HEXA HEXB HFE HGSNAT IDUA LRPAP1 NEU1 NPC1 PRNP PSEN1 SCARB2 SMPD3 SUMF1 TK2,10.286284794118794,1.269176532047224,31,AGA APOE ARSA ATP7A CASP3 CTSB CTSD FUCA1 GLB1 GPX1 GRN HEXB HFE HYOU1 IDUA KL MAN2C1 MCOLN3 MITF NAGLU NPC1 NPC2 PRNP PSEN1 SCARB2 SLC18A2 SLC1A3 SMPD1 TOR1A VEGFB VLDLR,9.866655343325876,3.4817116762343154,6,ACER1 ASAH1 GALC NPC1 SGMS1 SGMS2,8.499595322586314,0.7765805583926735,73,ACP2 AGA AGRN ALPL APOE ARSA ASAH1 ATF5 ATP6V1B1 ATP7A B2M B4GALNT1 BAX CANX CASP3 CD81 CLN3 CLU CST3 CTSB CTSD CTSF CYP11A1 DNM2 FMR1 FOS FUCA1 GALC GLB1 GM2A GPM6B GPX1 GRN HEXA HEXB HFE HGSNAT HSPA5 HYOU1 IDUA KL KLC1 LGALS1 LRPAP1 MAN2B1 MAN2C1 MANBA MAOA MCOLN3 MITF MMP3 NAGLU NEU1 NPC1 NPC2 PINK1 PLD2 POMK PRNP PSEN1 SCARB2 SLC18A2 SLC1A3 SMPD1 SNCG SUMF1 TK2 TMEM175 TOR1A TREM2 VAMP2 VEGFB VLDLR,8.186404439471913,2.497864103394603,7,GRN HYOU1 NDFIP1 PSEN1 SLC18A2 TMEM175 UCP2,6.853062231630886,1.4474446671950467,15,APOE ARSA B2M CASP3 CST3 CTSD DNM2 GPX1 IDUA MAFB MAN2B1 MCOLN3 NPC1 SCARB2 TFAP2A,6.496687269900706,1.2786578311313264,18,ATP7A BAX CASP3 CTSB DDIT3 GPX1 GRN HYOU1 NDFIP1 PINK1 PRNP PSEN1 SLC18A2 SLC1A3 SNCG SUMF1 TMEM175 UCP2,CD_1A_lyso-DLB systems map,26,2,0.06046511627906977,0.004651162790697674,0.002325581395348837,0.9325581395348838
C437,11.331558090825917,2.6289755477153083,8,ACP2 APOE ARSA CTSD GRN HGSNAT IDUA SUMF1,8.945803207137,1.7536912903051647,14,ACP2 APOE ARSA B4GALNT1 CLN3 CTSD GRN HEXA HGSNAT IDUA LRPAP1 MAN2B1 SUMF1 TK2,9.42519070555169,2.742666312234279,6,APOE GRN KLC1 LRPAP1 PINK1 TMEM175,9.877284297353965,1.9169502300528336,13,ACP2 APOE ARSA B4GALNT1 CLN3 CTSD GRN HEXA HGSNAT IDUA LRPAP1 SUMF1 TK2,3.3191229275434635,1.220280261224369,9,APOE ARSA CTSD GRN IDUA MAN2C1 MCOLN3 NAGLU VEGFB,-0.0,0.0,0,,5.215644334081515,1.0026622645674355,26,ACP2 AGRN ALPL APOE ARSA B4GALNT1 CLN3 CTSD DNM2 GRN HEXA HGSNAT IDUA KLC1 LRPAP1 MAN2B1 MAN2C1 MCOLN3 NAGLU PINK1 PLD2 SUMF1 TK2 TMEM175 VAMP2 VEGFB,2.7631925201151684,2.3060200469940195,2,GRN TMEM175,5.775505141808812,1.9002367395010307,7,APOE ARSA CTSD DNM2 IDUA MAN2B1 MCOLN3,1.188168587173228,0.9459951376510745,4,GRN PINK1 SUMF1 TMEM175,lysosomal lumen,12,2,0.09523809523809523,0.015873015873015872,0.0,0.8888888888888888
C438,1.0138103624616104,1.1960316517309213,2,APOE CD81,2.9206064818469364,1.1971654260979108,8,APOE CD81 CTSB CTSF FUCA1 HFE MAN2B1 NOTCH3,5.153777320985158,2.3560266159198857,4,APOE CLU NR1H3 TREM2,0.7673652455404899,0.7009021208496762,4,APOE CD81 FUCA1 HFE,2.7796959837315987,1.1621669343505268,8,APOE CTSB FUCA1 GPX1 HFE MITF NPC2 SLC1A3,-0.0,0.0,0,,3.6261608161833108,0.8742105421549144,22,APOE ATF5 B2M CD81 CLU CST3 CTSB CTSF FOS FUCA1 GM2A GPM6B GPX1 HFE LGALS1 MAN2B1 MITF MMP3 NPC2 SLC1A3 SNCG TREM2,0.9655492936020031,1.6385656576824328,1,UCP2,6.1426179063641095,1.97026164716881,7,APOE B2M CST3 GPX1 MAFB MAN2B1 TFAP2A,2.170070280060157,1.2505237619909373,5,CTSB GPX1 SLC1A3 SNCG UCP2,Mineral absorption,4,1,0.03389830508474576,0.00847457627118644,0.0,0.9576271186440678
C440,1.1847139559221165,1.8835875951632701,1,GALC,3.494650634443612,1.941080663585213,4,ASAH1 GALC SMPD1 SMPD3,-0.0,0.0,0,,2.6194211665396034,1.8551832294096764,3,ASAH1 GALC SMPD3,0.16001103499142574,0.40364284609578327,1,SMPD1,23.623634325811867,6.033938509710618,5,ACER1 ASAH1 GALC SGMS1 SGMS2,0.4165181809126162,0.4688374483555542,4,ASAH1 GALC POMK SMPD1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,Sphingolipid metabolism,3,0,0.1,0.0,0.0,0.9
C445,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.5176750851797212,1.063650421245276,1,KL,-0.0,0.0,0,,0.2202388389209684,0.3942179607342915,2,KL MANBA,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,"hydrolase activity, hydrolyzing O-glycosyl compounds",1,0,0.0625,0.0,0.0,0.9375
C446,1.8463742731352748,2.543581927221714,1,NPC1,0.5402229245746455,1.0980688103938636,1,NPC1,-0.0,0.0,0,,0.7087724663741588,1.33879593196089,1,NPC1,1.8012003116209359,1.8282117408267293,2,NPC1 VLDLR,4.712086901782639,4.568133752225405,1,NPC1,0.2202388389209684,0.3942179607342915,2,NPC1 VLDLR,-0.0,0.0,0,,1.2668877252399815,1.9948478958880749,1,NPC1,-0.0,0.0,0,,PPAR signaling pathway,1,0,0.0625,0.0,0.0,0.9375
C447,2.001235074531371,2.686789682713668,1,APOE,2.07524388730115,2.0169705984048854,2,AGA APOE,2.5193235324514527,3.0991322888045048,1,APOE,2.496333192216784,2.258349757217694,2,AGA APOE,2.0182006109459762,1.9824712168244698,2,AGA APOE,-0.0,0.0,0,,0.9583995290513704,1.0416255272421608,3,AGA APOE CST3,-0.0,0.0,0,,3.839619785463368,2.9172343377142873,2,APOE CST3,-0.0,0.0,0,,C447,1,1,0.07142857142857142,0.07142857142857142,0.0,0.8571428571428572
C449,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.04942669486916823,0.14258985742618258,1,POMK,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C449,0,0,0.0,0.0,0.1,0.9
C461,-0.0,0.0,0,,1.2047662723248636,2.014848686004502,1,GLB1,-0.0,0.0,0,,-0.0,0.0,0,,1.1738778847687459,1.9804306693240346,1,GLB1,-0.0,0.0,0,,0.21334681330438932,0.5482298059928752,1,GLB1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C461,1,0,0.14285714285714285,0.0,0.0,0.8571428571428572
C463,-0.0,0.0,0,,1.2047662723248636,2.014848686004502,1,FUCA1,-0.0,0.0,0,,1.431455496251593,2.255573531930459,1,FUCA1,1.1738778847687459,1.9804306693240346,1,FUCA1,-0.0,0.0,0,,0.21334681330438932,0.5482298059928752,1,FUCA1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,"hydrolase activity, hydrolyzing O-glycosyl compounds",1,0,0.14285714285714285,0.0,0.0,0.8571428571428572
