Cluster,genes,Top pathway,p_value,recall,intersection_size,num_d1_seeds,num_d2_seeds,num_both_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C241,SDCBP CSK APOE GLG1 PLP1 ILK TMEM140 B3GALT4 KLC1 IRF1 SEC11A BST2 TMEM51 LGALS8 ITM2C CTSV MICOS13 PSMB8 PTPRN SECTM1 ZFP92 TET2 GPM6B TRPM4 MICU1 NUCB1 NAGLU GORAB EDEM2 TMEM176A CLEC3A MCOLN1 TMEM127 PEPD TNS3 ATG3 CYB5R3 GM2A CTSE PPP1CA DRAM1 CD74 DPH1 C5orf15 IL10RB INPP1 ABHD14B CHCHD5 NINJ1 MITF MR1 CHFR GPR137B NPC2 SKAP2 RIN2 ARAF CTNS NGLY1 FAM102A MALAT1 KIR2DS4 CTSZ HS1BP3 RAB31 CD63 UGT8 FBXO45 IFITM2 CLCN6 ACP5 GSDMD SLC31A2 MFSD1 EVA1B NOTCH3 TMEM175 HLA-F TREM2 HLA-DMB TAPBP PSEN2 CTBS PINK1 HLA-DPA1 HLA-DMA DIP2B KIAA0930 GLMP LY96 RTN3 ORAI3 WBP1L CTSF OSBPL1A MPPED2 RAB7A TREX1 IGFBP4 ZDHHC24 SGCB MAN2B2 HLA-DQA1 CORO1B AP2A2 VAMP2 HLA-B ATP5F1A SMPDL3A MAP3K12 CPVL AP1S3 LITAF ADGRA2 ACP2 DOCK10 TLR1 SUSD4 AOAH RNASEH1P1 WIPI1 IFI30 DERL1 LMBRD1 DNPEP CISH CTSB ATP8B4 LRP10 IGFBP7 ATRN HLA-A TAFA3 ARHGEF40 CLN6 FKBP15 PLTP TMBIM1 LAMP1 IFI35 AIF1 ERC2 CHIA TCN2 CMTM6 BAX SLC40A1 IFIT3 TAPBPL GNPTG NEURL4 RRAGC PLEKHB2 FUCA1 UAP1L1 CLDN11 HLA-DRA PILRA TOM1 CTSK NPL SND1 LYZ CYBA GRN SLC25A1 TNFRSF1A CTSS CTSH TRADD HLA-DRB1 TXNDC11 DEFA1A3 FXYD5 MT1G SELENOK CD14 CLIP1 HLA-DPB1 MVP PAPSS2 GLT1D1 FAM72A REL TGM2 CTSA MAN2B1 DNAJB9 PSEN1 FOS SFXN1 CYBB VLDLR FTH1 CHMP2B CMAS LGMN QSOX1 CCDC28A ARHGAP17 DISC1 THEMIS2 ATP6AP2 SCPEP1 PLIN2 IFT27 ODAPH PLAAT3 ATG7 ATP8B2 CASP7 ACAP3 TLR2 RAB32 ASPH PRNP CCDC141 CTSC PHYH HLA-DQA2 SLC8B1 SERINC3 HLA-C MAFB CTSL TMEM246 AOC2 B2M TYMP ZFP91 LAMC1 LTBP2 DNM2 GMIP GIMAP8 BLVRB CDK5,antigen processing and presentation of peptide antigen,3.822024218417701e-27,0.35294117647058826,24.0,8,4,4,0.03375527426160337,0.016877637130801686,0.0,0.9493670886075949
C259,DOCK10 FKBP15 TMEM175 CTNS MCOLN1 ACP2,C259,,,,1,0,0,0.16666666666666666,0.0,0.0,0.8333333333333334
C292,ATG7 KIAA0930 IFI30 MAN2B1,C292,,,,1,0,0,0.25,0.0,0.0,0.75
C293,APOE VLDLR TMEM51 PLIN2,C293,,,,0,1,1,0.0,0.25,0.0,0.75
C242,SDCBP CSK GLG1 PLP1 ILK B3GALT4 SEC11A LGALS8 ITM2C MICOS13 PTPRN ZFP92 GPM6B TRPM4 MICU1 NUCB1 NAGLU GORAB EDEM2 CLEC3A MCOLN1 TMEM127 PEPD ATG3 CYB5R3 PPP1CA DPH1 C5orf15 IL10RB INPP1 ABHD14B CHCHD5 CHFR NPC2 MALAT1 CTNS ARAF NGLY1 HS1BP3 CD63 CLCN6 SLC31A2 MFSD1 EVA1B NOTCH3 TMEM175 PSEN2 CTBS PINK1 GLMP KIAA0930 ORAI3 RTN3 WBP1L MPPED2 RAB7A IGFBP4 ZDHHC24 SGCB MAN2B2 CORO1B AP2A2 VAMP2 ATP5F1A MAP3K12 ADGRA2 SUSD4 RNASEH1P1 WIPI1 DERL1 LMBRD1 DNPEP ATP8B4 LRP10 IGFBP7 ATRN TAFA3 ARHGEF40 CLN6 TMBIM1 LAMP1 ERC2 CHIA CMTM6 BAX SLC40A1 GNPTG RRAGC PLEKHB2 UAP1L1 CLDN11 TOM1 SND1 GRN SLC25A1 TXNDC11 DEFA1A3 SELENOK CLIP1 MVP FAM72A REL CTSA DNAJB9 PSEN1 FOS SFXN1 VLDLR FTH1 CHMP2B CMAS QSOX1 CCDC28A ARHGAP17 ATP6AP2 IFT27 ODAPH PLAAT3 ATG7 ATP8B2 CASP7 ACAP3 RAB32 ASPH PRNP PHYH SLC8B1 SERINC3 TMEM246 AOC2 ZFP91 LAMC1 LTBP2 DNM2 BLVRB CDK5,lysosome organization,3.812170276846632e-06,0.07964601769911504,9.0,5,2,2,0.03676470588235294,0.014705882352941176,0.0,0.9485294117647058
C243,APOE TMEM140 B3GALT4 IRF1 BST2 CTSV PSMB8 SECTM1 TMEM176A EDEM2 GM2A CTSE DRAM1 CD74 DPH1 NINJ1 MR1 RIN2 KIR2DS4 CTSZ RAB31 UGT8 IFITM2 ACP5 GSDMD EVA1B HLA-F TREM2 HLA-DMB TAPBP HLA-DMA HLA-DPA1 LY96 CTSF OSBPL1A TREX1 HLA-DQA1 HLA-B AP1S3 CPVL ACP2 TLR1 AOAH IFI30 CTSB ATP8B4 HLA-A PLTP IFI35 AIF1 TCN2 IFIT3 TAPBPL FUCA1 HLA-DRA PILRA CTSK NPL LYZ CYBA TRADD CTSS CTSH HLA-DRB1 FXYD5 MT1G CD14 HLA-DPB1 GLT1D1 CYBB LGMN THEMIS2 ACAP3 TLR2 CTSC HLA-DQA2 HLA-C MAFB CTSL B2M TYMP GMIP DNM2 GIMAP8 TGM2,antigen processing and presentation of peptide antigen,4.088714510567066e-39,0.35294117647058826,24.0,2,2,2,0.023529411764705882,0.023529411764705882,0.0,0.9529411764705882
C244,SDCBP CLIP1 PLP1 DERL1 LMBRD1 SEC11A LGALS8 DNAJB9 SLC31A2 CHMP2B MFSD1 CMAS CCDC28A TET2 ATP6AP2 SCPEP1 ERC2 GORAB CMTM6 CASP7 CTBS ATP5F1A ATG3 DIP2B LY96 ASPH PRNP PLEKHB2 SERINC3 C5orf15 IL10RB SGCB GPR137B CTSS SKAP2 SMPDL3A LITAF SELENOK,lytic vacuole,4.1079393265970725e-06,0.014285714285714285,11.0,0,1,1,0.0,0.02631578947368421,0.0,0.9736842105263158
C247,HLA-DPB1 CTSZ KLC1 CLCN6 CTSV ACAP3 HLA-DPA1 CTSE RTN3 CTSF HLA-DQA2 OSBPL1A CD74 HLA-DRA RAB7A TMEM246 CTSK HLA-DQA1 VAMP2 AP2A2 DNM2 HLA-DRB1 AP1S3,antigen processing and presentation of peptide antigen,3.762910384523412e-18,0.14705882352941177,10.0,0,1,1,0.0,0.043478260869565216,0.0,0.9565217391304348
C296,CHIA NAGLU SUSD4 CLN6,C296,,,,2,0,0,0.5,0.0,0.0,0.5
C277,HS1BP3 TAFA3 ORAI3 GRN,C277,,,,0,1,1,0.0,0.25,0.0,0.75
