,OR_p,log_OR,log_OR_CI_lower,log_OR_CI_upper,num_genes_in_term,MP_description,MPO_term_type
MP:0014062,2.6614239131574155e-12,2.5517581103612024,1.8367206072486195,3.266795613473785,66,nervous system inclusion bodies,brain
MP:0003690,1.250278630548729e-07,1.864394202862723,1.1731052213574222,2.5556831843680237,122,abnormal glial cell physiology,brain
MP:0003634,1.6485666872984154e-07,1.3104408338644493,0.8198302509859379,1.8010514167429608,421,abnormal glial cell morphology,brain
MP:0000136,1.956251279297404e-07,1.9489703672835414,1.2148586478529637,2.683082086714119,100,abnormal microglial cell morphology,brain
MP:0003691,1.2974958487488824e-06,2.098626782401185,1.2488093446084383,2.948444220193932,65,abnormal microglial cell physiology,brain
MP:0000952,5.683187408617915e-06,1.2761969965534092,0.7249882444645395,1.827405748642279,334,abnormal CNS glial cell morphology,brain
MP:0008235,6.337645979373547e-06,2.4315459708736844,1.3759638368314488,3.4871281049159197,32,increased susceptibility to neuronal excitotoxicity,brain
MP:0002882,9.11121175703885e-06,0.7706159348136552,0.4302301557517319,1.1110017138755786,1681,abnormal neuron morphology,brain
MP:0010762,1.3519892078027827e-05,2.329601582004411,1.2803271928288666,3.378875971179956,35,abnormal microglial cell activation,brain
MP:0003202,1.7363966769610638e-05,1.3568292924613594,0.7378523631551954,1.9758062217675234,241,abnormal neuron apoptosis,brain
MP:0000920,2.8417202983779178e-05,1.458846757306496,0.7757534963041193,2.1419400183088726,178,abnormal myelination,brain
MP:0002206,4.0537948811913025e-05,0.8500033387856227,0.44410256063013775,1.2559041169411076,995,abnormal CNS synaptic transmission,brain
MP:0003204,0.0001082115414710231,1.814811781880147,0.8960318368693881,2.733591726890906,70,decreased neuron apoptosis,brain
MP:0003871,0.00022135969630220932,1.7261951131599336,0.8101370680939773,2.64225315822589,76,abnormal myelin sheath morphology,brain
MP:0003635,0.00024857313544634206,0.7579836990938311,0.3524891460559874,1.1634782521316749,1083,abnormal synaptic transmission,brain
MP:0011975,0.00025903576551707726,2.8658551214155192,1.3282883356700441,4.403421907160994,11,neuronal cytoplasmic inclusions,brain
MP:0021009,0.000283285546946357,0.750977321435295,0.3455121995504057,1.1564424433201843,1090,abnormal synaptic physiology,brain
MP:0000921,0.0006173560069356685,1.593885499426614,0.6814805357107603,2.506290463142468,86,demyelination,brain
MP:0010170,0.000770973629710582,2.578011519820839,1.0755453922246245,4.080477647417053,14,abnormal glial cell apoptosis,brain
MP:0004811,0.0008762184197653904,0.8267263579618387,0.33977134062682174,1.3136813752968557,663,abnormal neuron physiology,brain
MP:0002752,0.0011012339618358962,0.697955623428852,0.2787577436541773,1.1171535032035267,1055,abnormal somatic nervous system morphology,brain
MP:0003224,0.0013196280125784409,0.9299800857839795,0.3624486499351851,1.497511521632774,429,neuron degeneration,brain
MP:0003244,0.0023512423546984337,2.2901140345834765,0.8145212326765092,3.765706836490444,18,loss of dopaminergic neurons,brain
MP:0003203,0.0024183830745091103,1.1869251885665904,0.42001245772073714,1.9538379194124436,178,increased neuron apoptosis,brain
MP:0006069,0.0042363286238534985,0.8270139449302061,0.26026076630869177,1.3937671235517204,473,abnormal retina neuronal layer morphology,brain
MP:0004858,0.004536929403456887,2.118102187610413,0.6554111685035355,3.5807932067172903,21,abnormal nervous system regeneration,brain
MP:0004859,0.005263142844634826,1.4437261440447706,0.4296853852421838,2.457766902847357,79,abnormal synaptic plasticity,brain
MP:0003243,0.008328000905085252,1.5788330373464188,0.40601286846140616,2.751653206231431,52,abnormal dopaminergic neuron morphology,brain
MP:0009808,0.00923093811182501,1.9268314568268288,0.476209877122314,3.3774530365313433,25,decreased oligodendrocyte number,brain
MP:0001900,0.01004380918516178,1.5387197871226217,0.36721102740437783,2.710228546840866,54,impaired synaptic plasticity,brain
MP:0001081,0.011897852407239506,1.058383400445324,0.2336272370443747,1.8831395638462736,172,abnormal cranial ganglia morphology,brain
MP:0021010,0.01199182819639509,1.5001455790376905,0.3298505608466198,2.6704405972287613,56,impaired synaptic physiology,brain
MP:0006009,0.014498053894395763,1.1259245645446185,0.22324151337728404,2.028607615711953,134,abnormal neuronal migration,brain
MP:0004769,0.01663763128892503,1.4271703352898317,0.2590504212165916,2.595290249363072,60,abnormal synaptic vesicle morphology,brain
