Cluster,genes,Top pathway,p_value,recall,intersection_size,num_d1_seeds,num_d2_seeds,num_both_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C289,LMAN2 ZBTB44 TMEM246 RNASEK DNM2 ELOVL1 ZFAND3 NPAT DNAH8 SORT1 WBP2 NEU4 RAB9A ACP2 NPC1 ZUP1 MFSD9 AC138894.1 NR1H2 FAM102A SLC18A2 KYNU SH3YL1 RAB7A CLCN6 MAPK1 OSTC VAMP3 CASP3 MEGF9 TFRC PTPRA FAM57A TLCD2 SNX10 P2RX4 TTC14 METTL7A RAB22A TPST2 TOM1L2 ATP8A1 COG5 TGM2 CTSF CDS2 HOMER2 PICALM ATP2B1 ITM2B ENPP4 ITFG1 PICK1 TMEM134 ATP8B3 SCAMP3 NPTN PRNP PSEN2 PINK1 WDTC1 ACVRL1 NINL REL KLC1 TCF25 MAGEA11 CTSD TMEM56 SPTLC2 KLB CTSA C5orf15 RERE PSEN1 PLD3 DISC1 PLIN3 ATP8A2 ATP7A AL691442.1 TCEANC SLC22A16 PLPP1 RELCH SIPA1 ACOT7 ATP13A2 CERS2 SNCG DNAJB2 TLCD1 SREBF1 ERC2 TMEM94 TGOLN2 MEX3B LAMP2 CLN8 ELOVL3 MTCH1 HEXD SLC2A8 TMEM230 AKT1S1 SGPP1 CREBL2 RTN4 CAPZB SLC35F6 TMEM14A TRIOBP CYP11A1 GBA TMEM43 NECAP2 PRAF2 TMEM11 CERS6 ADIPOR1 IQSEC1 CERS3 TMEM136 GNS TPD52L2 ATRN TECR FAM111B KCNIP3 TUBB4A FAM57B SOWAHC AP2S1 ATL3 IZUMO3 FNDC3A PLA2G4A EEF1AKMT3 MXD4 SNAPIN CD9 GCH1 TMCO3 ACER2 NME2P1 ERG28 PLP2 M6PR CD46 LAMP1 COL9A2 ARL6IP5 LINC00846 ATP6V0C RNF13 EMD MAD1L1 SLCO1B7 TBCK MBNL1 SELENOK CAPG FKBP15 CD164 OSBPL1A ITGB2 SLC22A4 TSPAN14 CTNS FMR1 FAM8A1 TMEM107 MCOLN1 CLN3 ARL8B BNIP3L PPIC SCARB2 COLQ CERS4 PMEL BIN3 CCDC92 TMEM53 CYB5B PORCN TSPAN31 LRATD1 MTSS1 CLN5 SUCLG2 PTPRN SPCS2 GLG1 CTSB TRAM1 DOCK10 STX4 TMEM168 SLC2A4 LPGAT1 PLAAT3 TMEM9 GALC TMEM128 SERINC1 PRSS56 HSD17B12 SPNS2 VAMP2 PLPPR2 PEX19 KCTD12 LMBRD1 LITAF PCDHA3 RMC1 ZBTB43 NDRG2 TMEM131 TRAM1L1 MFSD10 GXYLT1 AGA PCDHB10 GABARAPL2 ABCG1 STX8 CACUL1 NEU1 RTEL1-TNFRSF6B AP1S3 DRAM2 RNF146 PIGT ASPSCR1 TRAM2 GRN TMEM175 OVGP1 EBPL ARHGAP26 ATP1A1 PLBD1 HEXA WIPI1 PRKCH PLP1 FUNDC2 SPNS1 CPT1A MED23 KIAA0513 SLC50A1 ELOVL7 ASAH2 CERS1 MBOAT7 ASAH2B CD55 AC022335.1 MTMR12 AHR CLIP1 CCPG1 GTF2H2C IZUMO2 MIOX PARVG YIPF6 YIPF5 MFSD1 RIT1 PPT2 GTF2H2C_2 ANKRD11 CERS5 DNAJC3 IMPA2 FNTB IGF2R AP2A2 CYGB SLC39A1 SERINC3,Sphingolipid metabolism,8.451903826329452e-15,0.2962962962962963,16.0,11,15,15,0.03859649122807018,0.05263157894736842,0.010526315789473684,0.8982456140350877
C290,LMAN2 TMEM246 RNASEK DNM2 ZFAND3 SORT1 WBP2 NEU4 ACP2 MFSD9 AC138894.1 NR1H2 FAM102A SLC18A2 CLCN6 MAPK1 CASP3 PTPRA P2RX4 TOM1L2 ATP8A1 TGM2 CTSF ATP2B1 PICK1 ATP8B3 SCAMP3 ACVRL1 PSEN2 PINK1 WDTC1 NINL REL KLC1 TCF25 MAGEA11 CTSD KLB CTSA RERE PSEN1 PLD3 DISC1 PLIN3 ATP8A2 AL691442.1 TCEANC SIPA1 ACOT7 ATP13A2 CERS2 SNCG DNAJB2 SREBF1 TMEM94 TGOLN2 MEX3B MTCH1 HEXD SLC2A8 AKT1S1 SLC35F6 CAPZB TMEM43 TRIOBP GBA NECAP2 PRAF2 IQSEC1 GNS TPD52L2 FAM111B KCNIP3 TUBB4A AP2S1 MXD4 SNAPIN ACER2 NME2P1 PLP2 M6PR LAMP1 COL9A2 ATP6V0C EMD MAD1L1 SLCO1B7 CAPG FKBP15 ITGB2 SLC22A4 TSPAN14 CTNS MCOLN1 CLN3 COLQ PMEL BIN3 CCDC92 TMEM53 PORCN LRATD1 MTSS1 GLG1 CTSB DOCK10 STX4 SLC2A4 SPNS2 VAMP2 PLPPR2 LITAF PCDHA3 ZBTB43 NDRG2 MFSD10 PCDHB10 ABCG1 NEU1 RTEL1-TNFRSF6B AP1S3 PIGT ASPSCR1 GRN TMEM175 OVGP1 ARHGAP26 ATP1A1 LINC00846 HEXA PRKCH SPNS1 CPT1A KIAA0513 SLC50A1 MBOAT7 AC022335.1 MIOX PARVG PPT2 IMPA2 IGF2R AP2A2 CYGB SLC39A1,Lysosome,2.569284414452223e-15,0.13740458015267176,18.0,8,11,11,0.05517241379310345,0.07586206896551724,0.006896551724137931,0.8620689655172413
C292,NPAT RAB9A SH3YL1 RAB7A MAPK1 OSTC VAMP3 MEGF9 TFRC SNX10 METTL7A RAB22A TPST2 COG5 HOMER2 PICALM ATP2B1 ITM2B ENPP4 ITFG1 NPTN PRNP C5orf15 PSEN1 ATP7A PLPP1 RELCH ERC2 TGOLN2 LAMP2 TMEM230 SGPP1 CREBL2 RTN4 TMEM11 TMEM14A TMEM43 ADIPOR1 GNS ATRN FNDC3A EEF1AKMT3 GCH1 TMCO3 CD46 ARL6IP5 RNF13 MBNL1 CD164 OSBPL1A FMR1 FAM8A1 ARL8B BNIP3L PPIC SCARB2 TSPAN31 CLN5 SUCLG2 SPCS2 TRAM1 TMEM168 LPGAT1 TMEM9 GALC SERINC1 PEX19 KCTD12 LMBRD1 TMEM131 AGA GABARAPL2 STX8 CACUL1 DRAM2 RNF146 EBPL WIPI1 MED23 SLC50A1 CD55 MTMR12 AHR CLIP1 CCPG1 GTF2H2C MFSD1 YIPF6 YIPF5 RIT1 GTF2H2C_2 DNAJC3 FNTB SERINC3,trans-Golgi network,2.161069988118297e-08,0.04477611940298507,12.0,3,3,3,0.031914893617021274,0.031914893617021274,0.010638297872340425,0.925531914893617
C294,ZBTB44 CACUL1 NPAT AL691442.1 ATP7A ATP8A2 RELCH RTEL1-TNFRSF6B MAD1L1 TBCK MBNL1 ACOT7 ATP13A2 ASPSCR1 SNCG FMR1 MEX3B OSTC ATP1A1 FUNDC2 MED23 LRATD1 TTC14 SPCS2 ATL3 ATP8A1 TMEM168 COG5 TMEM128 TMEM9 ATP2B1 PRSS56 FAM111B PCDHA3 ATP8B3 CYGB GXYLT1 PCDHB10,Ion transport by P-type ATPases,1.4721083957896614e-11,0.12727272727272726,7.0,0,1,1,0.0,0.02631578947368421,0.02631578947368421,0.9473684210526316
C295,COL9A2 STX8 ZUP1 SELENOK CERS2 TRAM2 TLCD1 TMEM107 CLN8 CERS4 PLP1 ELOVL7 ELOVL3 FAM57A TLCD2 CERS1 PTPRN CERS6 CERS3 TMEM136 FAM57B SOWAHC ANKRD11 CERS5 ZBTB43 TMEM134 TRAM1L1 TMEM56,ceramide biosynthetic process,4.4716861719128816e-13,0.11428571428571428,8.0,0,1,1,0.0,0.03571428571428571,0.03571428571428571,0.9285714285714286
C306,MTMR12 GBA GTF2H2C GALC ACER2 ASAH2 ASAH2B GTF2H2C_2,Sphingolipid metabolism,8.796277896554641e-09,0.07407407407407407,4.0,1,0,0,0.125,0.0,0.125,0.75
C329,RMC1 NPC1 GCH1 SNX10 KYNU,C329,,,,1,1,1,0.2,0.2,0.0,0.6
C340,ELOVL3 HSD17B12 TECR ELOVL7,fatty acid derivative biosynthetic process,3.7218300870918457e-10,0.0784313725490196,4.0,0,1,1,0.0,0.25,0.0,0.75
C344,PRKCH NPC1 RMC1 ABCG1,C344,,,,1,1,1,0.25,0.25,0.0,0.5
C291,LMAN2 TMEM246 RNASEK DNM2 ZFAND3 SORT1 WBP2 NEU4 ACP2 MFSD9 AC138894.1 NR1H2 FAM102A SLC18A2 CLCN6 CASP3 PTPRA P2RX4 TOM1L2 TGM2 CTSF SCAMP3 PSEN2 PINK1 WDTC1 KLC1 TCF25 MAGEA11 CTSD CTSA RERE PSEN1 PLD3 PLIN3 SIPA1 ACOT7 CERS2 DNAJB2 SREBF1 TMEM94 TGOLN2 MTCH1 HEXD SLC2A8 AKT1S1 SLC35F6 CAPZB NECAP2 TRIOBP GBA PRAF2 IQSEC1 TPD52L2 KCNIP3 AP2S1 MXD4 SNAPIN ACER2 NME2P1 PLP2 M6PR LAMP1 ATP6V0C EMD MAD1L1 SLCO1B7 CAPG FKBP15 ITGB2 CTNS MCOLN1 CLN3 COLQ BIN3 CCDC92 TMEM53 GLG1 CTSB STX4 SPNS2 SLC2A4 VAMP2 PLPPR2 NDRG2 MFSD10 NEU1 AP1S3 PIGT ASPSCR1 GRN TMEM175 OVGP1 LINC00846 HEXA KIAA0513 SLC50A1 AC022335.1 MIOX IMPA2 IGF2R AP2A2 SLC39A1,Golgi Associated Vesicle Biogenesis,1.3959186441809024e-06,0.12727272727272726,7.0,7,10,10,0.06862745098039216,0.09803921568627451,0.0,0.8333333333333333
C356,CLCN6 GNS RERE ABCG1,C356,,,,1,1,1,0.25,0.25,0.0,0.5
C296,PCDHA3 ATP8B3 MEX3B AL691442.1 ATP1A1 ATP8A1 ATP8A2 RTEL1-TNFRSF6B MAD1L1 CYGB ACOT7 ATP2B1 ATP13A2 ASPSCR1 LRATD1 FAM111B PCDHB10,Ion transport by P-type ATPases,1.2173262632636184e-10,0.10909090909090909,6.0,0,1,1,0.0,0.058823529411764705,0.058823529411764705,0.8823529411764706
C354,SLC2A4 STX4 SNAPIN ASPSCR1,C354,,,,0,2,2,0.0,0.5,0.0,0.5
C324,CAPZB TOM1L2 ZFAND3 ATP6V0C PINK1,C324,,,,0,1,1,0.0,0.2,0.0,0.8
C299,CTNS GLG1 OVGP1 MCOLN1 CLN3 HEXA COLQ NEU4 NEU1 ACP2 HEXD SLC39A1 NME2P1,"hydrolase activity, hydrolyzing O-glycosyl compounds",6.79927293053949e-08,0.053763440860215055,5.0,4,0,0,0.3076923076923077,0.0,0.0,0.6923076923076923
C302,TMEM175 MXD4 CTSF WDTC1 LINC00846 IQSEC1 SIPA1 KIAA0513 CCDC92 FAM102A DNAJB2,C302,,,,0,1,1,0.0,0.09090909090909091,0.0,0.9090909090909091
C337,AC138894.1 PSEN2 KCNIP3 PSEN1,C337,,,,0,1,1,0.0,0.25,0.0,0.75
C342,BIN3 KLC1 TRIOBP SORT1,C342,,,,0,1,1,0.0,0.25,0.0,0.75
C312,AC022335.1 SPNS2 MFSD10 SLCO1B7 SLC2A8 MFSD9 SLC18A2,C312,,,,0,1,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C307,SPCS2 TMEM43 OSTC EBPL DRAM2 TMEM9 RNF146 TMEM230,C307,,,,0,1,1,0.0,0.125,0.0,0.875
C293,GABARAPL2 C5orf15 CD46 ARL6IP5 RNF13 PLPP1 RNF146 CD164 SH3YL1 OSBPL1A ERC2 RAB7A FAM8A1 VAMP3 LAMP2 ARL8B BNIP3L PPIC SCARB2 MEGF9 WIPI1 SLC50A1 TMEM230 SNX10 TSPAN31 METTL7A SGPP1 CREBL2 CLN5 SUCLG2 RTN4 TMEM11 RAB22A MTMR12 TPST2 CLIP1 ADIPOR1 CCPG1 GTF2H2C LPGAT1 GNS GALC HOMER2 SERINC1 PICALM ATRN MFSD1 YIPF6 YIPF5 PEX19 GTF2H2C_2 LMBRD1 ENPP4 ITFG1 ITM2B RIT1 KCTD12 FNDC3A NPTN PRNP TMEM131 FNTB SERINC3 TMCO3 AGA RAB9A,late endosome,5.329459530623908e-06,0.028037383177570093,9.0,3,2,2,0.045454545454545456,0.030303030303030304,0.015151515151515152,0.9090909090909091
C333,GTF2H2C MTMR12 GALC GTF2H2C_2,C333,,,,0,0,0,0.0,0.0,0.25,0.75
C308,FAM8A1 FNDC3A TMEM131 SH3YL1 CREBL2 ATRN OSBPL1A CLN5,C308,,,,1,0,0,0.125,0.0,0.0,0.875
C336,STX8 CLN8 TMEM107 SELENOK,C336,,,,0,0,0,0.0,0.0,0.25,0.75
