,abnormal microglial cell morphology:-log(OR_p),abnormal microglial cell morphology:log_OR,abnormal microglial cell morphology:num_genes,abnormal microglial cell morphology:gene_ids,abnormal CNS glial cell morphology:-log(OR_p),abnormal CNS glial cell morphology:log_OR,abnormal CNS glial cell morphology:num_genes,abnormal CNS glial cell morphology:gene_ids,abnormal glial cell morphology:-log(OR_p),abnormal glial cell morphology:log_OR,abnormal glial cell morphology:num_genes,abnormal glial cell morphology:gene_ids,abnormal neuron apoptosis:-log(OR_p),abnormal neuron apoptosis:log_OR,abnormal neuron apoptosis:num_genes,abnormal neuron apoptosis:gene_ids,nervous system inclusion bodies:-log(OR_p),nervous system inclusion bodies:log_OR,nervous system inclusion bodies:num_genes,nervous system inclusion bodies:gene_ids,abnormal sphingomyelin level:-log(OR_p),abnormal sphingomyelin level:log_OR,abnormal sphingomyelin level:num_genes,abnormal sphingomyelin level:gene_ids,abnormal neuron morphology:-log(OR_p),abnormal neuron morphology:log_OR,abnormal neuron morphology:num_genes,abnormal neuron morphology:gene_ids,neuron degeneration:-log(OR_p),neuron degeneration:log_OR,neuron degeneration:num_genes,neuron degeneration:gene_ids,increased neuron apoptosis:-log(OR_p),increased neuron apoptosis:log_OR,increased neuron apoptosis:num_genes,increased neuron apoptosis:gene_ids,abnormal somatic nervous system morphology:-log(OR_p),abnormal somatic nervous system morphology:log_OR,abnormal somatic nervous system morphology:num_genes,abnormal somatic nervous system morphology:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C289,11.838033399427506,2.220755074746414,12,ACP2 CERS6 CTSD GALC GNS GRN NEU1 NPC1 PLP1 PRNP PSEN1 SCARB2,11.351890174526224,1.5863250448571247,22,ACP2 AGA ATP13A2 ATP2B1 ATRN CERS1 CERS6 CLN3 CTSD GALC GNS GRN HEXA NDRG2 NEU1 NPC1 NR1H2 PLP1 PRNP PSEN1 SCARB2 TUBB4A,11.225443079828066,1.4825995779561616,25,ACP2 AGA ATP13A2 ATP2B1 ATRN CERS1 CERS6 CLN3 CLN8 CTSB CTSD CTSF GALC GNS GRN HEXA NDRG2 NEU1 NPC1 NR1H2 PLP1 PRNP PSEN1 SCARB2 TUBB4A,10.89868317234483,1.7112631896681982,18,ATP7A CASP3 CERS1 CTSB GRN MBOAT7 NDRG2 PINK1 PLA2G4A PLP2 PPT2 PRNP PSEN1 REL SLC18A2 SNCG TMEM175 TUBB4A,10.04422122563071,2.3581085580152106,9,ATP13A2 GRN KLC1 NR1H2 PINK1 PRNP PSEN1 SLC18A2 TMEM175,9.879042895406279,3.604354161742605,5,CERS4 ELOVL1 GALC NPC1 SPTLC2,9.172317907702634,0.9340270343096986,56,ACP2 ACVRL1 AGA ATP13A2 ATP2B1 ATP7A ATP8A2 ATRN CAPZB CASP3 CD46 CERS1 CERS2 CLCN6 CLN3 CLN5 CLN8 COLQ CTSB CTSD CTSF CYP11A1 DNM2 DRAM2 ERC2 FMR1 GALC GRN HEXA ITGB2 KLC1 MBNL1 MBOAT7 NEU1 NPC1 NPTN NR1H2 PINK1 PLP1 PRNP PRSS56 PSEN1 PTPRA RERE RNF13 RTN4 SCARB2 SLC18A2 SNCG SORT1 TECR TMEM175 TMEM43 TUBB4A VAMP2 WBP2,8.128676739715935,1.3152882190057458,22,AGA ATP7A ATP8A2 CAPZB CASP3 CD46 CERS1 CLN8 CTSB CTSD DRAM2 GRN ITGB2 NPC1 NR1H2 PLP1 PRNP PRSS56 PSEN1 SCARB2 SLC18A2 TUBB4A,7.862606776396011,1.6716759954741303,13,ATP7A CERS1 GRN MBOAT7 PINK1 PLP2 PPT2 PRNP PSEN1 REL SLC18A2 TMEM175 TUBB4A,6.847190818233708,0.9428210863204214,37,ATP2B1 ATP7A ATP8A2 CAPZB CASP3 CCPG1 CD46 CERS2 CLN3 CLN8 COLQ CTSD CYP11A1 DNM2 DRAM2 ERC2 FMR1 GALC GRN ITGB2 MBNL1 MCOLN1 MED23 NPC1 NPTN NR1H2 PLP1 PRNP PRSS56 PSEN1 SCARB2 SORT1 TECR TMEM107 TMEM43 TRIOBP WBP2,CD_1A_lyso-PD systems map,11,15,0.03859649122807018,0.05263157894736842,0.010526315789473684,0.8982456140350877
C290,6.2201575555463,2.143885586060115,6,ACP2 CTSD GNS GRN NEU1 PSEN1,8.274845045934255,1.7283091251241078,13,ACP2 ATP13A2 ATP2B1 CLN3 CTSD GNS GRN HEXA NDRG2 NEU1 NR1H2 PSEN1 TUBB4A,8.546649495371831,1.6471235043814652,15,ACP2 ATP13A2 ATP2B1 CLN3 CTSB CTSD CTSF GNS GRN HEXA NDRG2 NEU1 NR1H2 PSEN1 TUBB4A,13.127653190714312,2.1616212314415435,14,CASP3 CTSB GRN MBOAT7 NDRG2 PINK1 PLP2 PPT2 PSEN1 REL SLC18A2 SNCG TMEM175 TUBB4A,13.453684321436198,2.9308480260771894,8,ATP13A2 GRN KLC1 NR1H2 PINK1 PSEN1 SLC18A2 TMEM175,-0.0,0.0,0,,8.257890277551125,1.1527339200742297,34,ACP2 ACVRL1 ATP13A2 ATP2B1 ATP8A2 CAPZB CASP3 CERS2 CLCN6 CLN3 COLQ CTSB CTSD CTSF DNM2 GRN HEXA ITGB2 KLC1 MBOAT7 NEU1 NR1H2 PINK1 PSEN1 PTPRA RERE SLC18A2 SNCG SORT1 TMEM175 TMEM43 TUBB4A VAMP2 WBP2,4.23769131295822,1.2768778874362123,11,ATP8A2 CAPZB CASP3 CTSB CTSD GRN ITGB2 NR1H2 PSEN1 SLC18A2 TUBB4A,9.340887609000802,2.099250653030106,10,GRN MBOAT7 PINK1 PLP2 PPT2 PSEN1 REL SLC18A2 TMEM175 TUBB4A,3.2770911766773834,0.8799084076561723,18,ATP2B1 ATP8A2 CAPZB CASP3 CERS2 CLN3 COLQ CTSD DNM2 GRN ITGB2 MCOLN1 NR1H2 PSEN1 SORT1 TMEM43 TRIOBP WBP2,Lysosome,8,11,0.05517241379310345,0.07586206896551724,0.006896551724137931,0.8620689655172413
C292,6.4569968531219954,2.399506790121773,5,GALC GNS PRNP PSEN1 SCARB2,5.037821202144546,1.658302807656698,8,AGA ATP2B1 ATRN GALC GNS PRNP PSEN1 SCARB2,3.838328128109151,1.417013121606244,8,AGA ATP2B1 ATRN GALC GNS PRNP PSEN1 SCARB2,0.9538191870931294,0.9403592604340023,3,ATP7A PRNP PSEN1,1.96142646986798,1.8467201699452014,2,PRNP PSEN1,2.064317006621447,2.739424897862996,1,GALC,3.1258159969234525,0.8879275939441698,18,AGA ATP2B1 ATP7A ATRN CD46 CLN5 DRAM2 ERC2 FMR1 GALC MBNL1 NPTN PRNP PSEN1 RNF13 RTN4 SCARB2 TMEM43,2.7969824577286415,1.2498716105442433,7,AGA ATP7A CD46 DRAM2 PRNP PSEN1 SCARB2,1.4627603806219502,1.2512457831661177,3,ATP7A PRNP PSEN1,4.450467786549283,1.172155001635451,15,ATP2B1 ATP7A CCPG1 CD46 DRAM2 ERC2 FMR1 GALC MBNL1 MED23 NPTN PRNP PSEN1 SCARB2 TMEM43,trans-Golgi network,3,3,0.031914893617021274,0.031914893617021274,0.010638297872340425,0.925531914893617
C294,-0.0,0.0,0,,0.9143437226062218,1.1273129226560208,2,ATP13A2 ATP2B1,0.6542572826088429,0.8898503717008772,2,ATP13A2 ATP2B1,1.3451305856525893,1.4610123284997076,2,ATP7A SNCG,1.3519560448177566,2.0518822982390343,1,ATP13A2,-0.0,0.0,0,,1.925608321089879,1.0032303788555037,8,ATP13A2 ATP2B1 ATP7A ATP8A2 FMR1 MBNL1 PRSS56 SNCG,1.5169212935678043,1.3065366564240488,3,ATP7A ATP8A2 PRSS56,0.5168211496294851,1.0441179955626687,1,ATP7A,2.8532010823375455,1.340523059629131,7,ATP2B1 ATP7A ATP8A2 FMR1 MBNL1 MED23 PRSS56,Ion transport by P-type ATPases,0,1,0.0,0.02631578947368421,0.02631578947368421,0.9473684210526316
C295,3.5409783617650197,2.686041059610421,2,CERS6 PLP1,2.7111629927070773,1.9010337661934162,3,CERS1 CERS6 PLP1,3.6263547285444715,1.9939006330541797,4,CERS1 CERS6 CLN8 PLP1,0.5190865631444799,1.0518570895890456,1,CERS1,-0.0,0.0,0,,3.788130631871941,3.9797082797423418,1,CERS4,0.4869574149882626,0.5311893199130218,4,CERS1 CERS2 CLN8 PLP1,2.134658404771846,1.6435535257040073,3,CERS1 CLN8 PLP1,0.7375515081594333,1.359736387728658,1,CERS1,1.252766283579465,1.0343767839556417,4,CERS2 CLN8 PLP1 TMEM107,ceramide biosynthetic process,0,1,0.0,0.03571428571428571,0.03571428571428571,0.9285714285714286
C306,2.6686918377795688,3.2959437492878854,1,GALC,1.2748367858202707,2.0703375921416676,1,GALC,1.0621609698988834,1.8335062061102905,1,GALC,-0.0,0.0,0,,-0.0,0.0,0,,5.857170178507861,5.3306994493971125,1,GALC,0.139688592790623,0.37624411728264384,1,GALC,-0.0,0.0,0,,-0.0,0.0,0,,0.38562289957122214,0.8783335194356514,1,GALC,Sphingolipid metabolism,1,0,0.125,0.0,0.125,0.75
C329,3.2268519203278507,3.855719840731626,1,NPC1,1.7259616680242813,2.630115713347651,1,NPC1,1.488475200487928,2.3932850951415707,1,NPC1,-0.0,0.0,0,,-0.0,0.0,0,,6.499990649044635,5.890474807557069,1,NPC1,0.3951320402014821,0.9360350007915148,1,NPC1,1.4698723129178655,2.3739816154521547,1,NPC1,-0.0,0.0,0,,0.7021924188390212,1.4381182310461273,1,NPC1,C329,1,1,0.2,0.2,0.0,0.6
C340,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.5385849367819804,1.2237754316221157,1,TECR,-0.0,0.0,0,,-0.0,0.0,0,,0.8691626431750878,1.7258566050490316,1,TECR,fatty acid derivative biosynthetic process,0,1,0.0,0.25,0.0,0.75
C344,3.4552360482273556,4.143455341976196,1,NPC1,1.935489248385824,2.9178518910341262,1,NPC1,1.691301457306355,2.6810215287142913,1,NPC1,-0.0,0.0,0,,-0.0,0.0,0,,6.706174300057658,6.178210064425829,1,NPC1,0.5385849367819804,1.2237754316221157,1,NPC1,1.6721112022995561,2.661718072676212,1,NPC1,-0.0,0.0,0,,0.8691626431750878,1.7258566050490316,1,NPC1,C344,1,1,0.25,0.25,0.0,0.5
C291,6.065872419639082,2.313002697261682,5,ACP2 CTSD GRN NEU1 PSEN1,5.821020305462539,1.7005253382840237,9,ACP2 CLN3 CTSD GRN HEXA NDRG2 NEU1 NR1H2 PSEN1,6.743016191355798,1.6859720083566998,11,ACP2 CLN3 CTSB CTSD CTSF GRN HEXA NDRG2 NEU1 NR1H2 PSEN1,8.047698616588283,2.0426566803413753,9,CASP3 CTSB GRN NDRG2 PINK1 PLP2 PSEN1 SLC18A2 TMEM175,13.621869511598131,3.1485796959463013,7,GRN KLC1 NR1H2 PINK1 PSEN1 SLC18A2 TMEM175,-0.0,0.0,0,,7.4515354160488005,1.2604745654512524,26,ACP2 CAPZB CASP3 CERS2 CLCN6 CLN3 COLQ CTSB CTSD CTSF DNM2 GRN HEXA ITGB2 KLC1 NEU1 NR1H2 PINK1 PSEN1 PTPRA RERE SLC18A2 SORT1 TMEM175 VAMP2 WBP2,4.348921915576179,1.4389174161450295,9,CAPZB CASP3 CTSB CTSD GRN ITGB2 NR1H2 PSEN1 SLC18A2,5.087629425641288,1.9079262123069363,6,GRN PINK1 PLP2 PSEN1 SLC18A2 TMEM175,3.876812356426461,1.0752422979331016,15,CAPZB CASP3 CERS2 CLN3 COLQ CTSD DNM2 GRN ITGB2 MCOLN1 NR1H2 PSEN1 SORT1 TRIOBP WBP2,Golgi Associated Vesicle Biogenesis,7,10,0.06862745098039216,0.09803921568627451,0.0,0.8333333333333333
