,d1_seeds,d2_seeds,d1_name,d2_name,z_d1,z_d2,z_both,sum_seeds
ATP13A2,1,1,CD_1A_lyso,PD,10.57808615025272,11.047744418018146,116.86399221976954,2
GALC,1,1,CD_1A_lyso,PD,8.031891526247636,12.249042455784746,98.38298030526504,2
CTSB,0,1,CD_1A_lyso,PD,4.797419033457247,16.474584270945325,79.03548414972849,1
CLN8,1,1,CD_1A_lyso,PD,8.767681823802146,8.834163533209862,77.45513503861986,2
GRN,0,1,CD_1A_lyso,PD,4.33777009812177,15.58208162412315,67.59148773561411,1
LMBRD1,0,1,CD_1A_lyso,PD,3.330353624385563,14.073777410198247,46.87065560684939,1
TMEM175,0,1,CD_1A_lyso,PD,4.006660822752647,9.665431486792706,38.726105673132196,1
GCH1,0,1,CD_1A_lyso,PD,2.1955391058332725,17.079324159089186,37.49832409248328,1
ASPSCR1,0,1,CD_1A_lyso,PD,2.8233306123121373,13.127063923754818,37.06204142571526,1
MFSD10,0,1,CD_1A_lyso,PD,2.8313133292876245,12.94122685040406,36.64066807888392,1
CTSD,1,0,CD_1A_lyso,PD,11.411273097787394,2.852845913690113,32.554603827024685,1
BIN3,0,1,CD_1A_lyso,PD,2.405206323286021,13.33387834868284,32.070728518178534,1
MCOLN1,1,0,CD_1A_lyso,PD,9.267838108784913,3.366027866915068,31.195801340227458,1
CLN3,1,0,CD_1A_lyso,PD,8.861495923725558,3.3578673987080663,29.755728266062473,1
PINK1,0,1,CD_1A_lyso,PD,2.6501152151926233,10.768432120958959,28.53758580752231,1
SREBF1,0,1,CD_1A_lyso,PD,2.0078320900107327,12.883423445794369,25.867751023662585,1
ABCG1,0,1,CD_1A_lyso,PD,2.1331105456052124,11.562951525425628,24.665053837207285,1
TMEM136,0,0,CD_1A_lyso,PD,6.307481273628854,3.7769292670788333,23.822910623920492,0
AL691442.1,0,0,CD_1A_lyso,PD,6.449773678463545,3.6846250910465184,23.764997927238177,0
CTSA,1,0,CD_1A_lyso,PD,10.06638175833526,2.257285423509691,22.722696810574032,1
ELOVL7,0,1,CD_1A_lyso,PD,2.5843863065662362,8.556426136339986,22.113110539902507,1
KCNIP3,0,1,CD_1A_lyso,PD,2.609409014273739,8.353802048068742,21.798486367688998,1
STX4,0,1,CD_1A_lyso,PD,1.712123267442963,12.492556360259075,21.388796414242137,1
TLCD2,0,0,CD_1A_lyso,PD,6.101075886161544,3.4967075651647455,21.333678206785272,0
GTF2H2C_2,0,0,CD_1A_lyso,PD,4.745049296243039,4.4358061061413965,21.048118642216807,0
SPNS2,0,0,CD_1A_lyso,PD,5.108253117470562,4.117439486525576,21.032923093040665,0
RMC1,0,0,CD_1A_lyso,PD,5.159346356878424,4.063354209777703,20.9642517389232,0
CLN5,1,0,CD_1A_lyso,PD,8.09733333469545,2.46199606315246,19.93560279205338,1
