,d1_seeds,d2_seeds,d1_name,d2_name,z_d1,z_d2,z_both,sum_seeds
GRN,0,1,CD_1B_otherlipid,FTLD,3.175068993147247,11.060350129540312,35.11737474965558,1
FIZ1,0,0,CD_1B_otherlipid,FTLD,5.449970212822841,5.58374866214538,30.43126388458171,0
NSG1,0,0,CD_1B_otherlipid,FTLD,5.38658154651047,4.515801100275373,24.324730874455,0
CSF1R,0,1,CD_1B_otherlipid,FTLD,1.776064392647274,12.651708831540608,22.470249561840323,1
APOE,0,1,CD_1B_otherlipid,FTLD,2.1538003295668315,10.21478338405306,22.000603819027276,1
TSPAN5,0,0,CD_1B_otherlipid,FTLD,7.921050941855419,2.406440382843791,19.061536861043724,0
PAQR6,0,0,CD_1B_otherlipid,FTLD,5.286328297145766,3.3470853306167614,17.693791896200878,0
ABHD14B,0,0,CD_1B_otherlipid,FTLD,5.3845632684425215,3.024323947727037,16.284663640802084,0
TMEM176B,0,0,CD_1B_otherlipid,FTLD,4.609612785125406,3.4740882568643445,16.014201645495916,0
TMEM176A,0,0,CD_1B_otherlipid,FTLD,4.487213200079791,3.3973754098410143,15.244747784665089,0
ALDH5A1,0,0,CD_1B_otherlipid,FTLD,4.239863052713382,3.4243903611004702,14.51894617009772,0
VLDLR,0,0,CD_1B_otherlipid,FTLD,3.654924727109237,3.413892588170735,12.477520436200171,0
CYP46A1,0,0,CD_1B_otherlipid,FTLD,4.128614190020879,2.946413532707947,12.164604720807576,0
LAG3,0,0,CD_1B_otherlipid,FTLD,3.0317691094972714,3.9981776350975697,12.121551448371665,0
CYB561A3,0,0,CD_1B_otherlipid,FTLD,2.543208285890616,4.372659816346153,11.120584676312475,0
CYB561D1,0,0,CD_1B_otherlipid,FTLD,2.988521847453197,3.5492406537872734,10.606983235712335,0
MT1G,0,0,CD_1B_otherlipid,FTLD,6.151996235644521,1.65672088128382,10.192140625171733,0
DBF4B,0,0,CD_1B_otherlipid,FTLD,4.9261355113212675,2.057001901121126,10.133070111968136,0
DYNC1I1,0,0,CD_1B_otherlipid,FTLD,2.740191473792538,3.6587966076725698,10.025803268685436,0
RAB20,0,0,CD_1B_otherlipid,FTLD,2.915324881141548,3.427439931411002,9.992100910660575,0
IFT27,0,0,CD_1B_otherlipid,FTLD,4.576252322942224,2.1594542506867023,9.882207530992481,0
USP11,0,0,CD_1B_otherlipid,FTLD,3.608092773555929,2.7026371319163314,9.751365505211238,0
FAM173A,0,0,CD_1B_otherlipid,FTLD,4.32975689336643,2.2062831743166895,9.552669782716055,0
TMEM159,0,0,CD_1B_otherlipid,FTLD,2.54590244404547,3.7380697975708674,9.516761033648226,0
SNCAIP,0,0,CD_1B_otherlipid,FTLD,3.3693034103799935,2.788326960565928,9.394719537489264,0
CTSF,0,0,CD_1B_otherlipid,FTLD,3.043849152612455,3.0825383335773093,9.382781694554701,0
GPIHBP1,0,0,CD_1B_otherlipid,FTLD,2.3460264671504953,3.979288972168158,9.335517249146589,0
C8orf82,0,0,CD_1B_otherlipid,FTLD,1.9050894526863185,4.754564730172217,9.057871119565462,0
ZNF551,0,0,CD_1B_otherlipid,FTLD,5.904789080280096,1.522729851896196,8.991398601693186,0
ASB13,0,0,CD_1B_otherlipid,FTLD,2.7925910137717596,3.193053896851809,8.91689361883726,0
TRIM50,0,0,CD_1B_otherlipid,FTLD,4.4732500161362925,1.9290948151270149,8.629323412895358,0
KCTD16,0,0,CD_1B_otherlipid,FTLD,2.011182933735092,4.273125392464339,8.594036863034345,0
AP2A2,0,0,CD_1B_otherlipid,FTLD,3.843100906522431,2.204446430312708,8.471910074714906,0
DERL1,0,0,CD_1B_otherlipid,FTLD,4.909145368610905,1.720929185354361,8.448291539989699,0
DPP10,0,0,CD_1B_otherlipid,FTLD,1.5981746088840219,5.137000110975942,8.209823143196152,0
DGKQ,0,0,CD_1B_otherlipid,FTLD,3.146536610639386,2.599259652427693,8.178665656921542,0
PCNX2,0,0,CD_1B_otherlipid,FTLD,2.6984418128258985,2.9813872320435455,8.045099967171572,0
OPTC,0,0,CD_1B_otherlipid,FTLD,4.235322684770997,1.8932214139955617,8.018403601989625,0
GLG1,0,0,CD_1B_otherlipid,FTLD,5.193577961874406,1.5015312507736123,7.798319613083545,0
CLDN11,0,0,CD_1B_otherlipid,FTLD,2.3041413432731015,3.3189286190727794,7.647280646577894,0
KLC4,0,0,CD_1B_otherlipid,FTLD,3.3490924190774978,2.2562961362978378,7.556544285268937,0
FAM131C,0,0,CD_1B_otherlipid,FTLD,1.5346816953735454,4.830533506619867,7.413331351498094,0
STX1A,0,0,CD_1B_otherlipid,FTLD,3.845578120736909,1.9211958558349704,7.388108748849383,0
CARNS1,0,0,CD_1B_otherlipid,FTLD,2.161107101405768,3.404223880440461,7.356892402794981,0
PHYHIP,0,0,CD_1B_otherlipid,FTLD,2.5874337750424456,2.804320476794488,7.255993517701193,0
DOC2A,0,0,CD_1B_otherlipid,FTLD,2.5261649241801205,2.8720878461472448,7.2553675761012,0
ITPRIPL1,0,0,CD_1B_otherlipid,FTLD,1.9031246765190164,3.808058907054425,7.247210875653312,0
PLD4,0,0,CD_1B_otherlipid,FTLD,3.4144318039177293,2.1168064534925204,7.227691277543157,0
GM2A,0,0,CD_1B_otherlipid,FTLD,4.144097406438431,1.6942146376259395,7.020990485735682,0
PAQR7,0,0,CD_1B_otherlipid,FTLD,3.59012327413026,1.9421714924392712,6.97263507735853,0
FAM234A,0,0,CD_1B_otherlipid,FTLD,1.9733251167737373,3.531843195620639,6.969474886424627,0
REEP6,0,0,CD_1B_otherlipid,FTLD,1.882003056372505,3.660001174870936,6.888133397434061,0
CDK5,0,0,CD_1B_otherlipid,FTLD,2.7060794076046664,2.542926213140284,6.881360260437037,0
ZFP92,0,0,CD_1B_otherlipid,FTLD,2.7060794076046535,2.5429262131402517,6.881360260436917,0
PLAAT3,0,0,CD_1B_otherlipid,FTLD,3.443975411688854,1.9960715489205114,6.874421334453927,0
PCSK2,0,0,CD_1B_otherlipid,FTLD,2.120548896010694,3.2276120774787618,6.84430922764837,0
PINK1,0,0,CD_1B_otherlipid,FTLD,3.610586757638481,1.8698192488000778,6.7511446188950925,0
SPTBN4,0,0,CD_1B_otherlipid,FTLD,2.058977830637196,3.2392555975545516,6.669555463132265,0
TLN2,0,0,CD_1B_otherlipid,FTLD,2.790459760708291,2.37344626441339,6.623006295048975,0
KIF1A,0,0,CD_1B_otherlipid,FTLD,1.7337487086079968,3.7739761451830707,6.5431262680285345,0
TRPT1,0,0,CD_1B_otherlipid,FTLD,1.6690005398093533,3.860167199968712,6.44262114050214,0
CNNM2,0,0,CD_1B_otherlipid,FTLD,3.7589101450498505,1.6128404602730193,6.062522368467123,0
HPCAL4,0,0,CD_1B_otherlipid,FTLD,2.3467076752112446,2.577576451032706,6.0488184410822115,0
CETP,0,0,CD_1B_otherlipid,FTLD,2.353584779945153,2.563164196856101,6.032624242220862,0
GABRG2,0,0,CD_1B_otherlipid,FTLD,2.6786787307432838,2.23392389847382,5.983964432940941,0
