,abnormal sensory neuron morphology:-log(OR_p),abnormal sensory neuron morphology:log_OR,abnormal sensory neuron morphology:num_genes,abnormal sensory neuron morphology:gene_ids,neuron degeneration:-log(OR_p),neuron degeneration:log_OR,neuron degeneration:num_genes,neuron degeneration:gene_ids,abnormal somatic nervous system morphology:-log(OR_p),abnormal somatic nervous system morphology:log_OR,abnormal somatic nervous system morphology:num_genes,abnormal somatic nervous system morphology:gene_ids,nervous system inclusion bodies:-log(OR_p),nervous system inclusion bodies:log_OR,nervous system inclusion bodies:num_genes,nervous system inclusion bodies:gene_ids,abnormal sphingomyelin level:-log(OR_p),abnormal sphingomyelin level:log_OR,abnormal sphingomyelin level:num_genes,abnormal sphingomyelin level:gene_ids,abnormal retina neuronal layer morphology:-log(OR_p),abnormal retina neuronal layer morphology:log_OR,abnormal retina neuronal layer morphology:num_genes,abnormal retina neuronal layer morphology:gene_ids,abnormal excitatory postsynaptic potential:-log(OR_p),abnormal excitatory postsynaptic potential:log_OR,abnormal excitatory postsynaptic potential:num_genes,abnormal excitatory postsynaptic potential:gene_ids,decreased sensory neuron number:-log(OR_p),decreased sensory neuron number:log_OR,decreased sensory neuron number:num_genes,decreased sensory neuron number:gene_ids,abnormal synaptic transmission:-log(OR_p),abnormal synaptic transmission:log_OR,abnormal synaptic transmission:num_genes,abnormal synaptic transmission:gene_ids,abnormal synaptic physiology:-log(OR_p),abnormal synaptic physiology:log_OR,abnormal synaptic physiology:num_genes,abnormal synaptic physiology:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C246,8.588253997470432,1.3620483442733615,22,CACNA1D CARNS1 CASP3 CLN8 CTSD EPHB2 EPHB3 FAM151B GAS2 GRN HEPH IGF1R KCNV2 LDLR MERTK MYO7A NF1 NPC1 NR1H2 RET SOX11 TYR,6.682317969830426,1.2996284701147616,18,CACNA1D CASP3 CLN8 CTSB CTSD DCTN1 FAM151B GRN HEPH HSD17B4 KIF1A MERTK MYO7A NF1 NPC1 NR1H2 PLA2G6 PRKN,6.020912910931167,0.9578312182173327,31,CACNA1D CACNB4 CARNS1 CASP3 CLN8 CTSD CYP11A1 DCTN1 EPHB2 EPHB3 FAM151B GAS2 GRN HEPH IGF1R KCNV2 LDLR MERTK MYO7A NF1 NPC1 NR1H2 PLA2G6 RET RXRA RXRB SBF1 SNTA1 SOX11 SPTLC3 TYR,5.853196519122153,2.0905693536160026,6,GRN LDLR NR1H2 PINK1 PLA2G6 PRKN,5.605889428859387,3.0834976765393822,3,CERS4 NPC1 PNPLA1,4.997163276230739,1.131493616782409,17,AAK1 CASP3 CLN8 CTSD FAM151B GRN HEPH IQSEC3 KCNV2 LDLR MERTK MPP2 MYO7A NF1 NR1H2 SOX11 TYR,4.920450642309345,1.7361092054835137,7,ASIC1 CACNA1B CD47 GRN RXRB STX1A VAMP2,4.913406707825704,1.4487147551926416,10,CARNS1 CASP3 GAS2 IGF1R KCNV2 MERTK MYO7A NR1H2 SOX11 TYR,4.148982283499201,0.8098586489149469,28,AAK1 ADGRL1 ASIC1 CACNA1B CACNB4 CALB2 CD47 DOC2A FAM53B FITM2 GRN IQSEC3 MBOAT1 MBOAT2 NPC1 PICK1 PINK1 PRKN RET RPH3A RXRB SBF1 SPNS1 STX1A SYNJ1 TMEM222 TYR VAMP2,4.087011018242913,0.802846097816369,28,AAK1 ADGRL1 ASIC1 CACNA1B CACNB4 CALB2 CD47 DOC2A FAM53B FITM2 GRN IQSEC3 MBOAT1 MBOAT2 NPC1 PICK1 PINK1 PRKN RET RPH3A RXRB SBF1 SPNS1 STX1A SYNJ1 TMEM222 TYR VAMP2,CD_1B_otherlipid-PD systems map,0,22,0.0,0.09361702127659574,0.00425531914893617,0.902127659574468
C261,0.6649214964532588,1.2979548297963674,1,CLN8,0.7821834493055984,1.4573645128179216,1,CLN8,0.20817368598481006,0.521489623281834,1,CLN8,-0.0,0.0,0,,5.342316186381861,4.973864909767123,1,CERS4,0.7074736906585135,1.357112076969564,1,CLN8,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,ceramide biosynthetic process,0,1,0.0,0.09090909090909091,0.0,0.9090909090909091
C277,2.4645578064539513,2.3499427973855154,2,CASP3 GAS2,2.7490438649233284,2.5096890183645444,2,CASP3 DCTN1,2.588038276369148,2.133052134796996,3,CASP3 DCTN1 GAS2,-0.0,0.0,0,,-0.0,0.0,0,,0.8645264142966649,1.580364691431443,1,CASP3,-0.0,0.0,0,,4.337898817108832,3.2804277477005597,2,CASP3 GAS2,-0.0,0.0,0,,-0.0,0.0,0,,C277,0,2,0.0,0.2222222222222222,0.0,0.7777777777777778
C247,8.830124081041424,1.6355526536418417,16,CACNA1D CARNS1 CTSD EPHB2 EPHB3 FAM151B GRN IGF1R KCNV2 MERTK MYO7A NF1 NPC1 NR1H2 RET SOX11,8.00702824949118,1.644780428728767,14,CACNA1D CTSB CTSD DCTN1 FAM151B GRN KIF1A MERTK MYO7A NF1 NPC1 NR1H2 PLA2G6 PRKN,6.651987747461924,1.2200074485065215,22,CACNA1D CACNB4 CARNS1 CTSD DCTN1 EPHB2 EPHB3 FAM151B GRN IGF1R KCNV2 MERTK MYO7A NF1 NPC1 NR1H2 PLA2G6 RET RXRB SBF1 SNTA1 SOX11,6.781353564988931,2.4788475174227758,5,GRN NR1H2 PINK1 PLA2G6 PRKN,1.6596693033560976,2.387136180995965,1,NPC1,5.087780561003823,1.3663224862506826,12,AAK1 CTSD FAM151B GRN IQSEC3 KCNV2 MERTK MPP2 MYO7A NF1 NR1H2 SOX11,8.233631764093596,2.3346757467240975,7,ASIC1 CACNA1B CD47 GRN RXRB STX1A VAMP2,4.588126815886329,1.661722168648204,7,CARNS1 IGF1R KCNV2 MERTK MYO7A NR1H2 SOX11,7.933221160645535,1.2988694284792732,24,AAK1 ADGRL1 ASIC1 CACNA1B CACNB4 CALB2 CD47 DOC2A FAM53B GRN IQSEC3 NPC1 PICK1 PINK1 PRKN RET RPH3A RXRB SBF1 SPNS1 STX1A SYNJ1 TMEM222 VAMP2,7.856059224917655,1.2918839949617436,24,AAK1 ADGRL1 ASIC1 CACNA1B CACNB4 CALB2 CD47 DOC2A FAM53B GRN IQSEC3 NPC1 PICK1 PINK1 PRKN RET RPH3A RXRB SBF1 SPNS1 STX1A SYNJ1 TMEM222 VAMP2,presynaptic endocytosis,0,15,0.0,0.11278195488721804,0.007518796992481203,0.8796992481203008
C249,2.247003799893082,1.3037998936175956,5,CARNS1 CASP3 GAS2 LDLR MERTK,0.8969323652682291,0.9097144425141455,3,CASP3 HSD17B4 MERTK,2.9761435590062515,1.1982473253803256,9,CARNS1 CASP3 CYP11A1 GAS2 LDLR MERTK RXRA RXRB SPTLC3,1.0003173271692611,1.6729074863827655,1,LDLR,-0.0,0.0,0,,0.7585417850014471,0.8090189528358849,3,CASP3 LDLR MERTK,2.0531376269453174,1.9030323912516351,2,CD47 RXRB,3.8517541240529,1.995342788108502,4,CARNS1 CASP3 GAS2 MERTK,0.03442420840955235,-0.05687564839200121,3,CD47 FITM2 RXRB,0.038749186574567565,-0.06373210941363361,3,CD47 FITM2 RXRB,Fatty acid metabolism,0,3,0.0,0.05454545454545454,0.0,0.9454545454545454
C250,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,3.5767391684639724,3.841344914685653,1,PNPLA1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.04375933981533798,0.08802330186479956,2,MBOAT1 MBOAT2,0.04020662687533755,0.08117329004382157,2,MBOAT1 MBOAT2,Glycerophospholipid metabolism,0,2,0.0,0.0625,0.0,0.9375
C285,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C285,0,1,0.0,0.2,0.0,0.8
C288,-0.0,0.0,0,,1.4698723129178655,2.3739816154521547,1,PRKN,-0.0,0.0,0,,7.984045351961856,5.274654171841883,2,PINK1 PRKN,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,2.0544731539165912,2.3921320541925795,2,PINK1 PRKN,2.044949651096076,2.385282644489732,2,PINK1 PRKN,C288,0,3,0.0,0.6,0.0,0.4
C267,-0.0,0.0,0,,-0.0,0.0,0,,0.3162514728319702,0.7447458125776905,1,SBF1,-0.0,0.0,0,,-0.0,0.0,0,,0.8645264142966649,1.580364691431443,1,AAK1,-0.0,0.0,0,,-0.0,0.0,0,,1.2657620201161606,1.5446086129336791,2,AAK1 SBF1,1.257232267336047,1.537759114143883,2,AAK1 SBF1,C267,0,1,0.0,0.1111111111111111,0.0,0.8888888888888888
C305,1.5177360348319178,2.5023098866866844,1,NF1,1.6721112022995561,2.661718072676212,1,NF1,0.8691626431750878,1.7258566050490316,1,NF1,-0.0,0.0,0,,-0.0,0.0,0,,1.5741725492944325,2.5614665502840746,1,NF1,-0.0,0.0,0,,-0.0,0.0,0,,2.286557132609024,2.7976535495685146,2,SPNS1 SYNJ1,2.2773772502968024,2.7908041621311224,2,SPNS1 SYNJ1,C305,0,1,0.0,0.25,0.0,0.75
