z_comb,z_12,observed_overlap,expected_overlap_mean,expected_overlap_std,empirical_p,obs_exp
2,1.0,484,379.4,17.88966181905069,2.5033043960987126e-09,1.2756984712704271
2,1.5,262,190.05,12.793259944204994,9.326300649130889e-09,1.3785845830044725
2,2.0,121,77.82,8.368249518268442,1.234881242811737e-07,1.5548702133127732
3,1.0,361,270.69,12.498555916584923,2.4938330852094307e-13,1.333628874358122
3,1.5,246,179.57,11.621751158926093,5.452842656856729e-09,1.3699392994375452
3,2.0,121,77.66,8.14397937129018,5.1394583876972644e-08,1.5580736543909348
4,1.0,271,190.81,12.47853757457179,6.540208343347419e-11,1.4202609926104501
4,1.5,214,143.64,10.717760960200595,2.6050674204119e-11,1.4898357003620164
4,2.0,121,76.61,7.6640655007639396,3.4783797843650813e-09,1.5794282730714007
5,1.0,212,137.94,9.39448774548139,1.593641032877087e-15,1.536900101493403
5,1.5,182,112.28,9.922781868004558,1.0607496556897476e-12,1.6209476309226933
5,2.0,112,70.89,7.412010523467975,1.4580284849773867e-08,1.5799125405557906
9,1.0,71,49.89,7.5629293266564375,0.0026252734445907206,1.4231308879534976
9,1.5,64,41.77,6.0808798705450515,0.00012823009975872337,1.5322001436437633
9,2.0,56,33.42,6.071540167041638,0.00010001029993164794,1.6756433273488929
12,1.0,40,30.65,5.6113723811559675,0.04783091481907898,1.3050570962479608
12,1.5,38,26.05,4.486368241685027,0.003865190940343829,1.45873320537428
12,2.0,34,20.76,3.8421868772874648,0.0002845233990463018,1.6377649325626202
