,abnormal neuron morphology:-log(OR_p),abnormal neuron morphology:log_OR,abnormal neuron morphology:num_genes,abnormal neuron morphology:gene_ids,abnormal sensory neuron innervation pattern:-log(OR_p),abnormal sensory neuron innervation pattern:log_OR,abnormal sensory neuron innervation pattern:num_genes,abnormal sensory neuron innervation pattern:gene_ids,abnormal sensory neuron morphology:-log(OR_p),abnormal sensory neuron morphology:log_OR,abnormal sensory neuron morphology:num_genes,abnormal sensory neuron morphology:gene_ids,abnormal somatic nervous system morphology:-log(OR_p),abnormal somatic nervous system morphology:log_OR,abnormal somatic nervous system morphology:num_genes,abnormal somatic nervous system morphology:gene_ids,ectopic neuron:-log(OR_p),ectopic neuron:log_OR,ectopic neuron:num_genes,ectopic neuron:gene_ids,abnormal glial cell morphology:-log(OR_p),abnormal glial cell morphology:log_OR,abnormal glial cell morphology:num_genes,abnormal glial cell morphology:gene_ids,abnormal synaptic glutamate release:-log(OR_p),abnormal synaptic glutamate release:log_OR,abnormal synaptic glutamate release:num_genes,abnormal synaptic glutamate release:gene_ids,abnormal neuronal migration:-log(OR_p),abnormal neuronal migration:log_OR,abnormal neuronal migration:num_genes,abnormal neuronal migration:gene_ids,abnormal nervous system development:-log(OR_p),abnormal nervous system development:log_OR,abnormal nervous system development:num_genes,abnormal nervous system development:gene_ids,abnormal neuron physiology:-log(OR_p),abnormal neuron physiology:log_OR,abnormal neuron physiology:num_genes,abnormal neuron physiology:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C127,9.707822259516155,1.372537919978214,30,B4GAT1 CDK5 CLU CTSF DCTN1 DVL1 EPHA5 EPHB2 EPHB3 ERBB2 FKRP GPNMB IGF1R KCNMA1 KIF1A KIF21B MAPK8IP2 MAPK8IP3 MYCN MYO7A NF1 NF2 NPC1 NPHP4 PINK1 PLD2 POMK SIRT2 VAPB VLDLR,7.9299245149039885,2.468446907265884,6,EPHA5 EPHB2 EPHB3 ERBB2 KCNMA1 MYO7A,7.196585599724011,1.6166390448975303,13,DVL1 EPHA5 EPHB2 EPHB3 ERBB2 GPNMB IGF1R KCNMA1 MYO7A NF1 NPC1 NPHP4 VLDLR,7.194722365723951,1.3480830415025675,20,CDK5 COL18A1 DCTN1 DVL1 EPHA5 EPHB2 EPHB3 ERBB2 FKRP GPNMB IGF1R KCNMA1 MAPK8IP3 MYCN MYO7A NF1 NPC1 NPHP4 VAPB VLDLR,5.313170405038889,2.3973591085047907,4,B4GAT1 FKRP MYCN POMK,5.237702721294414,1.5211529975665297,10,B4GAT1 CTSF ERBB2 FKRP IGF1R MAPK8IP3 MYO7A NF1 NF2 NPC1,4.741562773252198,3.2821849581394638,2,ADGRL1 MAPK8IP2,4.441231839719906,1.9255599901476605,5,B4GAT1 FKRP MAPK8IP3 POMK VLDLR,4.315477942295279,1.0315713551259318,19,B4GAT1 CDK5 COL18A1 DCTN1 DVL1 EPHB2 EPHB3 ERBB2 FHOD3 FKRP IGF1R MAPK8IP3 MYCN NF1 POMK SPINT2 TCTN1 TPBG VLDLR,4.180594989700626,1.230815953724269,12,B4GAT1 FKRP KCNMA1 KIF1A MAPK8IP3 MYCN MYO7A NF1 PINK1 POMK TRPV1 VLDLR,CD_1B_otherlipid-brain_malform systems map,1,4,0.00909090909090909,0.03636363636363636,0.0,0.9545454545454546
C128,3.054876756030808,1.212588747201485,10,B4GAT1 CLU CTSF FKRP GPNMB KCNMA1 MYCN PINK1 POMK SIRT2,0.9208477939159548,1.5821416528780663,1,KCNMA1,0.41936245416566637,0.6367365530338756,2,GPNMB KCNMA1,1.1546054134299695,0.8665429020821414,5,COL18A1 FKRP GPNMB KCNMA1 MYCN,9.7615092661632,3.4535739854545238,4,B4GAT1 FKRP MYCN POMK,1.459481666032195,1.2707959889448155,3,B4GAT1 CTSF FKRP,-0.0,0.0,0,,4.183154925376918,2.4193229864561667,3,B4GAT1 FKRP POMK,1.2104054154974961,0.8276330449568441,6,B4GAT1 COL18A1 FHOD3 FKRP MYCN POMK,3.3644923007722096,1.5615246642749074,6,B4GAT1 FKRP KCNMA1 MYCN PINK1 POMK,C128,1,2,0.024390243902439025,0.04878048780487805,0.0,0.9268292682926829
C129,6.476848876669143,1.7757392564497767,13,CDK5 DVL1 EPHA5 EPHB2 EPHB3 ERBB2 IGF1R NF1 NF2 NPC1 PLD2 VAPB VLDLR,8.612161074550983,3.223756368733085,4,EPHA5 EPHB2 EPHB3 ERBB2,10.124173888604625,2.5234082993103257,9,DVL1 EPHA5 EPHB2 EPHB3 ERBB2 IGF1R NF1 NPC1 VLDLR,7.6136700447281305,2.026071488334754,11,CDK5 DVL1 EPHA5 EPHB2 EPHB3 ERBB2 IGF1R NF1 NPC1 VAPB VLDLR,-0.0,0.0,0,,4.399020168280388,1.9905276283078903,5,ERBB2 IGF1R NF1 NF2 NPC1,-0.0,0.0,0,,0.7626724626597938,1.3879578532262808,1,VLDLR,3.9709261774311155,1.4953616276830033,9,CDK5 DVL1 EPHB2 EPHB3 ERBB2 IGF1R NF1 TPBG VLDLR,0.2967550197837475,0.4858388502674824,2,NF1 VLDLR,transmembrane receptor protein tyrosine kinase activity,0,2,0.0,0.05555555555555555,0.0,0.9444444444444444
C163,0.5491384224666892,1.2415517964475047,1,NPHP4,-0.0,0.0,0,,1.5235866224355832,2.508491736820721,1,NPHP4,0.8794781802590359,1.7400162310758827,1,NPHP4,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.705823841958708,1.4906269513831116,1,TCTN1,-0.0,0.0,0,,C163,1,0,0.25,0.0,0.0,0.75
C137,0.461386706231409,0.7309233791217462,2,CLU KCNMA1,2.2104713663984574,2.8746768439978077,1,KCNMA1,0.6062622095973081,1.2087719522467157,1,KCNMA1,0.9481567523424573,1.2297587414117466,2,COL18A1 KCNMA1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.6860427018960562,0.9801626180648917,2,COL18A1 FHOD3,0.4221801955175461,0.920901643310998,1,KCNMA1,C137,0,1,0.0,0.08333333333333333,0.0,0.9166666666666666
C131,1.5500134796910343,1.1179953876744335,5,B4GAT1 CLU CTSF FKRP PINK1,-0.0,0.0,0,,-0.0,0.0,0,,0.32770921922544566,0.5360486245613227,2,COL18A1 FKRP,5.066786031630562,3.345748735282962,2,B4GAT1 FKRP,2.7910267701806166,1.964976817558056,3,B4GAT1 CTSF FKRP,-0.0,0.0,0,,3.4101360448862943,2.6490719505452756,2,B4GAT1 FKRP,0.6353215945900424,0.7440211797384713,3,B4GAT1 COL18A1 FKRP,1.7502030407419382,1.4755781642365804,3,B4GAT1 FKRP PINK1,C131,1,2,0.045454545454545456,0.09090909090909091,0.0,0.8636363636363636
C136,2.1455645010900453,1.6485420686783385,4,CDK5 IGF1R NPC1 VLDLR,-0.0,0.0,0,,3.7689557336343076,2.51219641790415,3,IGF1R NPC1 VLDLR,3.337278065437496,2.1480888053960125,4,CDK5 IGF1R NPC1 VLDLR,-0.0,0.0,0,,2.3368587919477695,2.1994008567588157,2,IGF1R NPC1,-0.0,0.0,0,,1.8208864602853891,2.546696608980893,1,VLDLR,2.7076867114327596,1.898092052320976,4,CDK5 IGF1R TPBG VLDLR,0.4221801955175461,0.920901643310998,1,VLDLR,C136,0,2,0.0,0.16666666666666666,0.0,0.8333333333333334
C143,2.1424857260260395,2.0536343999951576,3,B4GAT1 CTSF FKRP,-0.0,0.0,0,,-0.0,0.0,0,,0.47791068613359977,1.0467002693965188,1,FKRP,7.659797553118896,4.732843544696611,2,B4GAT1 FKRP,5.3825594749225445,3.5239367195044276,3,B4GAT1 CTSF FKRP,-0.0,0.0,0,,5.795330858239765,4.036169589080036,2,B4GAT1 FKRP,1.3411209332013068,1.6735955537346552,2,B4GAT1 FKRP,2.3874351861707375,2.404359919452424,2,B4GAT1 FKRP,C143,0,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C152,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.7118845562773235,1.4522779014161333,1,COL18A1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.5495485186873221,1.202887740971713,1,COL18A1,-0.0,0.0,0,,C152,0,1,0.0,0.2,0.0,0.8
C135,1.793462198542576,1.4252819468679885,4,B4GAT1 CTSF FKRP PINK1,-0.0,0.0,0,,-0.0,0.0,0,,0.10099721918976941,0.27311644773268995,1,FKRP,6.2088734202159275,3.8570013445379328,2,B4GAT1 FKRP,3.9192457790124764,2.511955424721239,3,B4GAT1 CTSF FKRP,-0.0,0.0,0,,4.4046381861168165,3.1603260692294466,2,B4GAT1 FKRP,0.5278186278726921,0.7977267363594152,2,B4GAT1 FKRP,2.712489071532396,2.0225627148284655,3,B4GAT1 FKRP PINK1,C135,1,1,0.07142857142857142,0.07142857142857142,0.0,0.8571428571428572
