,d1_seeds,d2_seeds,d1_name,d2_name,z_d1,z_d2,z_both,sum_seeds
CDK5,0,1,CD_1B_otherlipid,brain_malform,2.7060794076046664,17.236656802061216,46.643762028006755,1
VLDLR,0,1,CD_1B_otherlipid,brain_malform,3.654924727109237,9.900832885137177,36.18679893086416,1
B4GAT1,0,1,CD_1B_otherlipid,brain_malform,3.9438969071705126,8.444811805099887,33.30546715977048,1
BSCL2,1,0,CD_1B_otherlipid,brain_malform,10.122013400242196,2.5347784281381354,25.657061216259056,1
ZFP92,0,0,CD_1B_otherlipid,brain_malform,2.7060794076046535,8.962462687178098,24.25313571919772,0
COL18A1,0,1,CD_1B_otherlipid,brain_malform,1.964407405675259,10.767484284275623,21.151725868523,1
TMEM25,0,0,CD_1B_otherlipid,brain_malform,6.353597506460793,2.8245195706043744,17.945860500741663,0
AC104831.1,0,0,CD_1B_otherlipid,brain_malform,8.152477716359755,2.025573966697358,16.513446626338645,0
DBF4B,0,0,CD_1B_otherlipid,brain_malform,4.9261355113212675,2.8208578695785325,13.895928123720866,0
MCF2L,0,0,CD_1B_otherlipid,brain_malform,3.691028640068414,3.7543695685046403,13.857485602751922,0
PRRG1,0,0,CD_1B_otherlipid,brain_malform,3.120316264266425,4.222077277256606,13.174216397213492,0
SRPK3,0,0,CD_1B_otherlipid,brain_malform,4.648773439157175,2.6076444982646483,12.122348482297035,0
GCHFR,0,0,CD_1B_otherlipid,brain_malform,5.511937885067813,2.1155282519598613,11.660660318908846,0
TMEM53,0,0,CD_1B_otherlipid,brain_malform,2.1062158125154524,5.150787636213614,10.848670366302203,0
LRRC75A,0,0,CD_1B_otherlipid,brain_malform,3.5700968628099115,3.022003379895075,10.788844785964358,0
LRRN3,0,0,CD_1B_otherlipid,brain_malform,3.570096862809922,3.022003379895024,10.788844785964207,0
MSANTD1,0,0,CD_1B_otherlipid,brain_malform,4.495630988399667,2.329988064016042,10.474766543191866,0
VAPB,0,0,CD_1B_otherlipid,brain_malform,4.495630988399707,2.329988064015996,10.474766543191752,0
DCTN1,0,0,CD_1B_otherlipid,brain_malform,2.8374436214614094,3.6410018992945474,10.33113761488219,0
SOX13,0,0,CD_1B_otherlipid,brain_malform,4.11373622189833,2.5043782154201635,10.302351378107026,0
RAB42P1,0,0,CD_1B_otherlipid,brain_malform,1.5549973565563604,6.559454053664273,10.199933713900847,0
MOSPD3,0,0,CD_1B_otherlipid,brain_malform,4.067554382811353,2.4062336839569705,9.787486367247483,0
KIF1C,0,0,CD_1B_otherlipid,brain_malform,4.754907438436029,2.055117569340213,9.77189381731635,0
SPINT2,0,0,CD_1B_otherlipid,brain_malform,5.12727225014833,1.8461815387289842,9.465875372261266,0
AC011479.1,0,0,CD_1B_otherlipid,brain_malform,5.1272722501483,1.8461815387289777,9.465875372261177,0
LARGE2,0,0,CD_1B_otherlipid,brain_malform,2.6314001039643444,3.583866511873026,9.430586711937014,0
NDFIP2,0,0,CD_1B_otherlipid,brain_malform,2.500220643322205,3.70427585136143,9.261506952133782,0
DYNC1I1,0,0,CD_1B_otherlipid,brain_malform,2.740191473792538,3.3551691870962252,9.193805999612517,0
NPHP4,0,0,CD_1B_otherlipid,brain_malform,3.5536134939589665,2.58181532395192,9.174773774105583,0
MAPK8IP3,0,0,CD_1B_otherlipid,brain_malform,2.8456064736766717,3.121407642676577,8.882297794984307,0
CLU,0,0,CD_1B_otherlipid,brain_malform,3.420681842868591,2.553170108607189,8.73358263226744,0
MATK,0,0,CD_1B_otherlipid,brain_malform,3.517575308320821,2.443941148743756,8.59674703981026,0
SLC17A9,0,0,CD_1B_otherlipid,brain_malform,3.7862921755350842,2.2696971205437655,8.59373644834937,0
SLC9A3R2,0,0,CD_1B_otherlipid,brain_malform,3.7954104191816995,2.204280366940223,8.366148671482582,0
TUBGCP6,0,0,CD_1B_otherlipid,brain_malform,3.554053832275142,2.350518153194572,8.353868050193457,0
SIRT2,0,0,CD_1B_otherlipid,brain_malform,2.721712841666056,2.92816687072754,7.969629374600256,0
NPC1,0,0,CD_1B_otherlipid,brain_malform,5.186703110929857,1.518710938276889,7.877102748163942,0
KLC4,0,0,CD_1B_otherlipid,brain_malform,3.3490924190774978,2.3026522072635625,7.7117950511184645,0
AP2A2,0,0,CD_1B_otherlipid,brain_malform,3.843100906522431,1.999817361142468,7.685499913485915,0
FHOD3,0,0,CD_1B_otherlipid,brain_malform,1.7849407846093446,4.16647147748659,7.436904868077369,0
TFAP4,0,0,CD_1B_otherlipid,brain_malform,4.529995409384251,1.6325299579372834,7.395353215138159,0
NF2,0,0,CD_1B_otherlipid,brain_malform,3.5879704704693434,2.049732360157514,7.354379180610594,0
TRPV1,0,0,CD_1B_otherlipid,brain_malform,3.706599202759602,1.9241517436871922,7.1320593191394455,0
MYO7A,0,0,CD_1B_otherlipid,brain_malform,2.9161497193348036,2.4444389612443396,7.1283499907637395,0
ARHGEF4,0,0,CD_1B_otherlipid,brain_malform,2.37191709420944,3.0021552533717966,7.120863364943237,0
ARHGEF11,0,0,CD_1B_otherlipid,brain_malform,3.0147699384428863,2.337593350454375,7.047306161253836,0
ERFE,0,0,CD_1B_otherlipid,brain_malform,4.047157059369194,1.7282345613668664,6.994436705281736,0
APOC4,0,0,CD_1B_otherlipid,brain_malform,3.7798546611519592,1.8399448851222833,6.954724250292169,0
TUBG2,0,0,CD_1B_otherlipid,brain_malform,2.516138102036615,2.7531634957012083,6.927339572670131,0
TPBG,0,0,CD_1B_otherlipid,brain_malform,2.0442030722376323,3.382612779633689,6.914747436317464,0
FKRP,0,0,CD_1B_otherlipid,brain_malform,1.9733770332131764,3.4504548637914945,6.809048382344834,0
MAP6D1,0,0,CD_1B_otherlipid,brain_malform,1.8281523149192915,3.6897120110874457,6.7453555544550285,0
CFAP44,0,0,CD_1B_otherlipid,brain_malform,3.7516951731317394,1.7581998795036105,6.596230001334501,0
CYP46A1,0,0,CD_1B_otherlipid,brain_malform,4.128614190020879,1.5957146860138682,6.5880902959015675,0
PINK1,0,0,CD_1B_otherlipid,brain_malform,3.610586757638481,1.817130927218278,6.560908862709649,0
TCTN1,0,0,CD_1B_otherlipid,brain_malform,2.547692539099029,2.5704920905712787,6.548823520961513,0
EPHB2,0,0,CD_1B_otherlipid,brain_malform,1.995046196968915,3.2534234708485927,6.490730122645893,0
DLK2,0,0,CD_1B_otherlipid,brain_malform,3.992897578463664,1.6232091688507102,6.481307959644018,0
CTSF,0,0,CD_1B_otherlipid,brain_malform,3.043849152612455,2.0643460319028137,6.283557919906263,0
ARL2,0,0,CD_1B_otherlipid,brain_malform,3.5983384285107003,1.7239055034710307,6.203195420260896,0
KIF21B,0,0,CD_1B_otherlipid,brain_malform,2.409248739652592,2.56677433055023,6.183997820850767,0
USP6,0,0,CD_1B_otherlipid,brain_malform,2.9697532633192703,2.0795887041653356,6.175865340556898,0
TNS2,0,0,CD_1B_otherlipid,brain_malform,3.137116354225775,1.9437921347119884,6.09790209502041,0
