,d1_seeds,d2_seeds,d1_name,d2_name,z_d1,z_d2,z_both,sum_seeds
IMMP2L,0,1,CD_1C_aminoacids,FTLD,3.3368664679200317,12.205828841700379,40.729220975041194,1
OTC,1,0,CD_1C_aminoacids,FTLD,10.892795197271305,2.9439362796637836,32.06769496819442,1
CHCHD10,0,1,CD_1C_aminoacids,FTLD,2.546198995387842,11.015506577697638,28.04767178182189,1
CLPB,1,0,CD_1C_aminoacids,FTLD,10.23210139097461,2.198821293251002,22.498562413178163,1
ZNF577,0,0,CD_1C_aminoacids,FTLD,4.194807622187741,5.009401008062206,21.013473531214295,0
MCCC1,1,0,CD_1C_aminoacids,FTLD,11.074257772928574,1.8910052632289003,20.941479734961494,1
APOE,0,1,CD_1C_aminoacids,FTLD,1.8322980052291915,10.21478338405306,18.716527218448714,1
ALDH18A1,0,0,CD_1C_aminoacids,FTLD,4.757159367161897,3.72003990420059,17.696822676483883,0
MCEE,0,0,CD_1C_aminoacids,FTLD,3.614161021516897,4.137481259127748,14.953523493996158,0
ALDH5A1,0,0,CD_1C_aminoacids,FTLD,3.9212396931210702,3.4243903611004702,13.427855408688359,0
CARNS1,0,0,CD_1C_aminoacids,FTLD,3.832280009367728,3.404223880440461,13.045939124424212,0
STH,0,0,CD_1C_aminoacids,FTLD,4.1067834707476845,3.031753311214526,12.450754385880375,0
DDX1,0,0,CD_1C_aminoacids,FTLD,2.058573539979654,5.947857025941098,12.244101093184423,0
ERMN,0,0,CD_1C_aminoacids,FTLD,3.7149468686744562,3.133953286860934,11.642469949596046,0
PITRM1,0,0,CD_1C_aminoacids,FTLD,3.7432009836274864,2.9397279826543294,11.003992676268933,0
KIAA1191,0,0,CD_1C_aminoacids,FTLD,3.52353068316245,3.0476303752702525,10.738419138202627,0
TMEM144,0,0,CD_1C_aminoacids,FTLD,2.645199589723178,3.968369562607611,10.497129538879602,0
PAQR6,0,0,CD_1C_aminoacids,FTLD,3.043827103930373,3.3470853306167614,10.187949048499052,0
GPD2,0,0,CD_1C_aminoacids,FTLD,2.862164027050661,3.451423094106242,9.878539022082775,0
CTSV,0,0,CD_1C_aminoacids,FTLD,3.9112975568119968,2.4981092263454165,9.770848513654336,0
MRPL19,0,0,CD_1C_aminoacids,FTLD,3.2049533093347264,3.002459286664962,9.622741826939652,0
HSPA4L,0,0,CD_1C_aminoacids,FTLD,3.115728283806522,3.0398514017893055,9.471350991123844,0
LGI3,0,0,CD_1C_aminoacids,FTLD,4.4567218272310605,2.0956333485894043,9.339654886531715,0
HSPH1,0,0,CD_1C_aminoacids,FTLD,2.893893109388064,3.115493616213122,9.015905508301657,0
TNIP3,0,0,CD_1C_aminoacids,FTLD,2.9558267071527142,3.048935405831224,9.012124700939431,0
PEPD,0,0,CD_1C_aminoacids,FTLD,3.7920656794953027,2.349516487027341,8.90952083386475,0
SYNGAP1,0,0,CD_1C_aminoacids,FTLD,3.379050525947235,2.6324181401495363,8.895073900985333,0
FOXQ1,0,0,CD_1C_aminoacids,FTLD,2.198557943130993,3.8015446609292467,8.357916210453213,0
TXNDC11,0,0,CD_1C_aminoacids,FTLD,2.4687785948214,3.24888134376782,8.020768718608581,0
HSPA4,0,0,CD_1C_aminoacids,FTLD,2.605743025276428,3.0009749336213254,7.81976950231316,0
DNAJA3,0,0,CD_1C_aminoacids,FTLD,2.5139562009460907,3.1071994304962796,7.811363275872283,0
EEF2,0,0,CD_1C_aminoacids,FTLD,2.7282442403524803,2.857872144626035,7.796973218239771,0
ATP5F1A,0,0,CD_1C_aminoacids,FTLD,4.630214248267876,1.660261396884054,7.687365975701674,0
UGT8,0,0,CD_1C_aminoacids,FTLD,3.378607440392634,2.2581301834779213,7.629335439273689,0
CTAG1B,0,0,CD_1C_aminoacids,FTLD,3.4137639799866255,2.176870101511129,7.431320741648521,0
GK3P,0,0,CD_1C_aminoacids,FTLD,2.689823692739963,2.7501845983123103,7.397511691948989,0
EIF2B2,0,0,CD_1C_aminoacids,FTLD,1.925239707169394,3.736204876684283,7.193089982712511,0
TIGD6,0,0,CD_1C_aminoacids,FTLD,2.4710774810214895,2.869405123106828,7.090522383636977,0
OSBPL1A,0,0,CD_1C_aminoacids,FTLD,1.7526085205033173,3.9932391753303356,6.998585003091586,0
RETREG1,0,0,CD_1C_aminoacids,FTLD,2.28673588163566,3.0046853863276937,6.870921885941843,0
HSPA6,0,0,CD_1C_aminoacids,FTLD,2.310538915746952,2.9400162038795217,6.793021851990259,0
HSPA1L,0,0,CD_1C_aminoacids,FTLD,2.5057880363736804,2.648539338111894,6.63667818730585,0
ST20-MTHFS,0,0,CD_1C_aminoacids,FTLD,4.326929942668625,1.5329203629322108,6.6328390180978385,0
MTHFSD,0,0,CD_1C_aminoacids,FTLD,4.326929942668607,1.5329203629321428,6.632839018097517,0
EFS,0,0,CD_1C_aminoacids,FTLD,2.53397858994648,2.606713693337125,6.605356689036589,0
SCGB1D2,0,0,CD_1C_aminoacids,FTLD,2.334547262967099,2.770568981934354,6.468024233636388,0
CMAS,0,0,CD_1C_aminoacids,FTLD,2.729412440117785,2.313553788038236,6.3146424899531866,0
SOD1,0,0,CD_1C_aminoacids,FTLD,3.467958840676648,1.8112853842423184,6.281463161271548,0
SELENOK,0,0,CD_1C_aminoacids,FTLD,2.6466856859768604,2.3297172075261696,6.166029185533496,0
HSPA2,0,0,CD_1C_aminoacids,FTLD,2.429623803700768,2.5297943753460412,6.146448632809057,0
CKB,0,0,CD_1C_aminoacids,FTLD,3.700648948773844,1.632835808977238,6.042552120011905,0
DNPEP,0,0,CD_1C_aminoacids,FTLD,2.4110191466320012,2.4728248131446287,5.962027970758401,0
BCS1L,0,0,CD_1C_aminoacids,FTLD,1.5342339826581428,3.8268786846808993,5.871327325547531,0
HSPA1A,0,0,CD_1C_aminoacids,FTLD,2.1374635034955203,2.733048366857201,5.841791137445303,0
ABHD14A-ACY1,0,0,CD_1C_aminoacids,FTLD,3.1228046229476853,1.8667985509595697,5.829647145048584,0
TAT,0,0,CD_1C_aminoacids,FTLD,3.624851271674864,1.5579758942942985,5.647430901671472,0
CHDH,0,0,CD_1C_aminoacids,FTLD,1.5951246272831652,3.4707693735537446,5.536309703375742,0
IMMT,0,0,CD_1C_aminoacids,FTLD,3.440846703591826,1.6067847628778167,5.528700054729709,0
