z_comb,z_12,observed_overlap,expected_overlap_mean,expected_overlap_std,empirical_p,obs_exp
2,1.0,380,263.44,13.160790249829223,4.124186651255306e-19,1.4424536896447009
2,1.5,226,138.62,11.228339146997653,3.566668242956013e-15,1.6303563699321886
2,2.0,114,58.66,7.707424991526028,3.483294055043056e-13,1.943402659393113
3,1.0,300,196.32,11.041630314405566,3.002357699986605e-21,1.528117359413203
3,1.5,222,133.48,11.86632209237555,4.3337752246545806e-14,1.66317051243632
3,2.0,114,59.69,7.968305968021056,4.688586162458903e-12,1.909867649522533
4,1.0,223,137.88,10.495980182908122,2.5357539532988493e-16,1.6173484189149987
4,1.5,189,108.97,9.767758187015072,1.2709853906672088e-16,1.7344223180691933
4,2.0,114,59.2,7.282856582413249,2.6457177147979772e-14,1.9256756756756757
5,1.0,158,98.21,9.030276850684038,1.783167308513585e-11,1.6087974747989005
5,1.5,145,83.5,9.448280266799879,3.7795895109091536e-11,1.7365269461077844
5,2.0,106,55.72,7.051354479814497,4.998616399178746e-13,1.9023689877961236
9,1.0,59,29.73,5.141702052822587,6.2534912966923124e-09,1.984527413387151
9,1.5,56,26.55,4.858754984561374,6.754497081780436e-10,2.109227871939736
9,2.0,48,23.55,4.75473448259732,1.3573884930114025e-07,2.038216560509554
12,1.0,27,15.07,3.3652785917364993,0.00019628720347297592,1.7916390179163901
12,1.5,24,13.48,3.3361055139188864,0.0008069648032547836,1.7804154302670623
12,2.0,20,11.8,3.4554305086341994,0.008820311400127567,1.694915254237288
