,d1_seeds,d2_seeds,d1_name,d2_name,z_d1,z_d2,z_both,sum_seeds
SLC52A2,0,1,CD_1D_vitaminreposn,ALS,5.541248145478162,17.700762869169143,98.08431942233223,1
SCFD1,0,1,CD_1D_vitaminreposn,ALS,3.4301921400537045,19.914510658041888,68.310597932231,1
SLC5A6,1,0,CD_1D_vitaminreposn,ALS,10.747238742648742,5.0718476097623695,54.50835712844855,1
PFN1,0,1,CD_1D_vitaminreposn,ALS,2.2033870097124932,20.513141789049513,45.19839014638219,1
TUBA4A,0,1,CD_1D_vitaminreposn,ALS,1.8187901507232138,18.62112974233974,33.86792737070662,1
COG3,0,1,CD_1D_vitaminreposn,ALS,3.1296940974708964,9.389649289142316,29.386729957550504,1
SOD1,0,1,CD_1D_vitaminreposn,ALS,1.745198544225548,15.292462563578901,26.68838340358159,1
FOLR1,1,0,CD_1D_vitaminreposn,ALS,10.564264960108796,2.4626992276216497,26.01660715765039,1
SLC52A3,0,1,CD_1D_vitaminreposn,ALS,2.177533480821696,11.113943432474944,24.200983928172594,1
SLC23A2,0,0,CD_1D_vitaminreposn,ALS,4.329903605137575,5.253002467778878,22.744994323032344,0
MFSD12,0,0,CD_1D_vitaminreposn,ALS,2.8297745950599036,7.949381992238629,22.494959208063555,0
ATL1,0,0,CD_1D_vitaminreposn,ALS,5.973889131598654,3.6022369366338216,21.519364085200017,0
SLC19A3,1,0,CD_1D_vitaminreposn,ALS,12.2304160183809,1.5535797276154706,19.000926386460087,1
SH3BGRL2,0,0,CD_1D_vitaminreposn,ALS,5.01734346896999,3.5386444662328507,17.754594701660192,0
NXNL1,0,0,CD_1D_vitaminreposn,ALS,3.6334750993457265,4.2772948594280615,15.54144436429134,0
ANO10,0,0,CD_1D_vitaminreposn,ALS,4.329718319054693,3.553586905939415,15.38603032499877,0
NXNL2,0,0,CD_1D_vitaminreposn,ALS,3.6512197918788565,4.191064211958483,15.302496599737974,0
ARCN1,0,0,CD_1D_vitaminreposn,ALS,2.926330839009488,4.687323159659176,13.71665831451404,0
NEK9,0,0,CD_1D_vitaminreposn,ALS,3.549635085400098,3.776105341405447,13.403796006019489,0
AC026464.3,0,0,CD_1D_vitaminreposn,ALS,1.633656114356659,7.9723013766261825,13.023998889419373,0
IBTK,0,0,CD_1D_vitaminreposn,ALS,3.378736658646119,3.8373060244374146,12.965246535210293,0
SLC19A1,0,0,CD_1D_vitaminreposn,ALS,3.4815441448228213,3.6247966629858737,12.61988959819177,0
ALG2,0,0,CD_1D_vitaminreposn,ALS,4.467022257274023,2.785125047107706,12.441215574721484,0
HM13,0,0,CD_1D_vitaminreposn,ALS,4.301958281056086,2.877668711771607,12.379610744741862,0
