z_comb,z_12,observed_overlap,expected_overlap_mean,expected_overlap_std,empirical_p,obs_exp
2,1.0,225,264.24,13.85793635430615,0.997684143298057,0.8514986376021798
2,1.5,114,141.39,9.646652269051684,0.9977395597229889,0.8062805007426268
2,2.0,52,59.76,7.2623962987432735,0.8573565060854194,0.8701472556894244
3,1.0,171,197.43,12.227227813368,0.9846743041898595,0.866129767512536
3,1.5,110,134.22,10.508644060962384,0.989410250753569,0.8195499925495455
3,2.0,52,59.88,6.978939747554782,0.8705745656185564,0.8684034736138945
4,1.0,123,140.3,11.32121901563608,0.9367566400596422,0.8766928011404134
4,1.5,96,108.73,9.790663920286509,0.9032369129002983,0.8829209969649591
4,2.0,52,60.81,6.534056932717989,0.9112222676888815,0.8551225127446144
5,1.0,89,99.75,8.704452883438453,0.891584762658749,0.8922305764411027
5,1.5,79,85.58,8.419239870677162,0.7827584720418492,0.9231128768403832
5,2.0,52,57.8,6.958448102845923,0.7977240091132125,0.8996539792387543
9,1.0,22,28.78,4.702297310889646,0.9253274316219308,0.7644197359277276
9,1.5,20,28.11,5.612298994173421,0.9257767613684389,0.7114905727499111
9,2.0,16,24.45,4.78826690985371,0.9611954534314984,0.65439672801636
12,1.0,13,13.87,3.410733059035843,0.6006682361864975,0.9372746935832733
12,1.5,12,13.78,3.1034819155264946,0.7168635986819911,0.8708272859216256
12,2.0,10,11.8,2.7676705006196096,0.7422722238549762,0.847457627118644
