,abnormal nervous system dopamine level:-log(OR_p),abnormal nervous system dopamine level:log_OR,abnormal nervous system dopamine level:num_genes,abnormal nervous system dopamine level:gene_ids,abnormal neuron morphology:-log(OR_p),abnormal neuron morphology:log_OR,abnormal neuron morphology:num_genes,abnormal neuron morphology:gene_ids,abnormal miniature excitatory postsynaptic currents:-log(OR_p),abnormal miniature excitatory postsynaptic currents:log_OR,abnormal miniature excitatory postsynaptic currents:num_genes,abnormal miniature excitatory postsynaptic currents:gene_ids,abnormal NMDA-mediated synaptic currents:-log(OR_p),abnormal NMDA-mediated synaptic currents:log_OR,abnormal NMDA-mediated synaptic currents:num_genes,abnormal NMDA-mediated synaptic currents:gene_ids,abnormal glial cell morphology:-log(OR_p),abnormal glial cell morphology:log_OR,abnormal glial cell morphology:num_genes,abnormal glial cell morphology:gene_ids,abnormal myelination:-log(OR_p),abnormal myelination:log_OR,abnormal myelination:num_genes,abnormal myelination:gene_ids,abnormal synaptic depression:-log(OR_p),abnormal synaptic depression:log_OR,abnormal synaptic depression:num_genes,abnormal synaptic depression:gene_ids,abnormal CNS glial cell morphology:-log(OR_p),abnormal CNS glial cell morphology:log_OR,abnormal CNS glial cell morphology:num_genes,abnormal CNS glial cell morphology:gene_ids,abnormal nervous system development:-log(OR_p),abnormal nervous system development:log_OR,abnormal nervous system development:num_genes,abnormal nervous system development:gene_ids,motor neuron degeneration:-log(OR_p),motor neuron degeneration:log_OR,motor neuron degeneration:num_genes,motor neuron degeneration:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C137,5.110785545138196,3.5192681072042102,2,GCH1 PAH,4.033126528789049,0.8933707186829078,24,ACP2 AGA ATL1 ATRN CARNS1 CD46 CLN5 CTSB DYNC1H1 ERBB3 ERBIN GLRB HHAT HOMER1 IGF1R NSF PARK7 SH3GL2 SLC12A5 SLC19A2 SLC7A5 TYR VAMP7 WASF1,3.9040619000070893,1.783445085807653,5,HOMER1 SH3GL2 SLC12A5 SLC7A5 TYR,3.46921738204711,2.6713278485079766,2,TYR WASF1,3.3920937151933566,1.2363379822088323,9,ACP2 AGA ASS1 ATRN CTSB DYNC1H1 ERBB3 IGF1R MAP2K1,2.9092226736708477,1.4953690688844894,5,ATRN ERBB3 ERBIN IGF1R PAH,2.901097588766278,1.6667008140229544,4,NSF PARK7 SH3GL2 WASF1,2.658892218062897,1.2036306528116878,7,ACP2 AGA ASS1 ATRN DYNC1H1 IGF1R MAP2K1,2.2750834308310512,0.7317478648114673,17,ACP2 AGO2 ASS1 CDK8 CRKL DYNC1H1 DYNC2H1 ERBB3 GRHL2 HHAT IGF1R NCKAP1 STK11 TFRC TRAPPC10 VAMP7 WASF1,2.1325538495453498,1.9534713674221766,2,DYNC1H1 ERBB3,CD_1D_vitaminreposn-PD systems map,0,11,0.0,0.088,0.0,0.912
C163,-0.0,0.0,0,,0.5385849367819804,1.2237754316221157,1,SLC7A5,3.0382456206092265,3.8388636838137735,1,SLC7A5,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C163,0,1,0.0,0.25,0.0,0.75
C169,-0.0,0.0,0,,0.5385849367819804,1.2237754316221157,1,PARK7,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,3.198874104518185,3.958382580385635,1,PARK7,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C169,0,1,0.0,0.25,0.0,0.75
C138,-0.0,0.0,0,,1.3111814239708108,0.8969673210786873,6,ERBB3 ERBIN HHAT IGF1R SH3GL2 WASF1,0.8778654654076904,1.534832304042192,1,SH3GL2,2.896651177512474,3.3476154522708015,1,WASF1,1.9579372936150623,1.549454959277087,3,ERBB3 IGF1R MAP2K1,4.151688321867575,2.4332910693150485,3,ERBB3 ERBIN IGF1R,2.9274063782949744,2.389893523073143,2,SH3GL2 WASF1,1.175208576112784,1.3439153629642746,2,IGF1R MAP2K1,6.861226208165915,1.983330644261141,11,AGO2 CDK8 CRKL ERBB3 GRHL2 HHAT IGF1R NCKAP1 STK11 TFRC WASF1,2.007562893978938,2.653295313589596,1,ERBB3,RAC3 GTPase cycle,0,3,0.0,0.0967741935483871,0.0,0.9032258064516129
C139,-0.0,0.0,0,,2.426331512819378,1.2751508612266793,7,ACP2 AGA ATRN CD46 CLN5 CTSB VAMP7,-0.0,0.0,0,,-0.0,0.0,0,,3.741402507939652,2.0365146677608736,4,ACP2 AGA ATRN CTSB,0.7659386676826677,1.397530434386816,1,ATRN,-0.0,0.0,0,,2.7992987162750778,1.9419099274931977,3,ACP2 AGA ATRN,0.02339327337312742,0.048367907667385523,2,ACP2 VAMP7,-0.0,0.0,0,,C139,0,2,0.0,0.07407407407407407,0.0,0.9259259259259259
C140,4.56365710358208,4.493866116429416,1,PAH,0.009156515326583377,0.01940548670319231,2,CARNS1 TYR,1.183820767632715,1.8919895760269316,1,TYR,3.4034770649849,3.704769846449121,1,TYR,0.32446798374272245,0.7341324270599934,1,ASS1,0.9340401499344014,1.6113730847845105,1,PAH,-0.0,0.0,0,,0.46406668961956554,0.970967399582797,1,ASS1,0.1900651713883366,-0.47094787585007936,1,ASS1,-0.0,0.0,0,,L-amino acid biosynthetic process,0,2,0.0,0.09090909090909091,0.0,0.9090909090909091
C172,7.127072304392954,6.440733865174867,1,GCH1,1.6942673830633477,2.323041490583309,2,ATL1 SH3GL2,3.0382456206092265,3.8388636838137735,1,SH3GL2,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,3.198874104518185,3.958382580385635,1,SH3GL2,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C172,0,2,0.0,0.5,0.0,0.5
C143,-0.0,0.0,0,,0.08894541974844229,-0.24314537427270366,1,DYNC1H1,-0.0,0.0,0,,-0.0,0.0,0,,0.6152115935622116,1.2141407156847492,1,DYNC1H1,-0.0,0.0,0,,-0.0,0.0,0,,0.7887448218074253,1.4509736381166576,1,DYNC1H1,0.5149043475654884,0.7830812794788446,2,DYNC1H1 DYNC2H1,3.058851447019644,3.490449835306098,1,DYNC1H1,COPI-mediated anterograde transport,0,1,0.0,0.07142857142857142,0.0,0.9285714285714286
C147,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.8764409965560946,1.1887752598200834,2,AGO2 CDK8,-0.0,0.0,0,,C147,0,2,0.0,0.2,0.0,0.8
C149,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.32897327979300023,0.782673535482795,1,CDK8,-0.0,0.0,0,,C149,0,1,0.0,0.14285714285714285,0.0,0.8571428571428572
