,d1_seeds,d2_seeds,d1_name,d2_name,z_d1,z_d2,z_both,sum_seeds
ARF1,0,1,CD_1E_mineral_abs,brain_malform,2.7242146447953397,16.67876372359178,45.43653239288997,1
TUBA1A,0,1,CD_1E_mineral_abs,brain_malform,2.130713901033436,17.54510258907203,37.3835939815935,1
MACO1,0,0,CD_1E_mineral_abs,brain_malform,6.77127167774213,3.2379046430169427,21.924732004490366,0
DCTN4,0,0,CD_1E_mineral_abs,brain_malform,4.3244886968049,3.612205885751839,15.620943523465957,0
LRP8,0,0,CD_1E_mineral_abs,brain_malform,4.150894619820872,3.639351409431445,15.106564185046494,0
RANBP10,0,0,CD_1E_mineral_abs,brain_malform,5.24485553026105,2.776326118910668,14.561429398576813,0
SURF4,0,0,CD_1E_mineral_abs,brain_malform,4.32124259767621,3.0609308833200966,13.22702492154547,0
KIAA1107,0,0,CD_1E_mineral_abs,brain_malform,6.418957354598888,1.9271377415905986,12.370214979708063,0
GALNT2,0,0,CD_1E_mineral_abs,brain_malform,4.9796389354091675,2.476171378510637,12.330439407177359,0
PPFIBP1,0,0,CD_1E_mineral_abs,brain_malform,4.91288571849613,2.365661766237655,11.622225906141306,0
WDR20,0,0,CD_1E_mineral_abs,brain_malform,6.637718548396849,1.698066611174344,11.271288241405324,0
PCDHGB1,0,0,CD_1E_mineral_abs,brain_malform,4.657907974935605,2.3905872951298095,11.135135626764876,0
POLR3D,0,0,CD_1E_mineral_abs,brain_malform,4.74314525676987,2.3031371939909144,10.924114257368275,0
ATRN,0,0,CD_1E_mineral_abs,brain_malform,4.637525807708956,2.289853491202069,10.619254661322048,0
MLLT11,0,0,CD_1E_mineral_abs,brain_malform,5.984239197718757,1.7223440711574602,10.306918902578976,0
KDELR2,0,0,CD_1E_mineral_abs,brain_malform,3.372761144869856,3.016575578810831,10.174188902776466,0
CTNND1,0,0,CD_1E_mineral_abs,brain_malform,2.3489494891284917,4.298917647349109,10.097940411546146,0
COPA,0,0,CD_1E_mineral_abs,brain_malform,3.296766502205449,2.9309468096898885,9.662647261931554,0
