Cluster,genes,Top pathway,p_value,recall,intersection_size,num_d1_seeds,num_d2_seeds,num_both_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C196,SGPP1 SMIM8 PDK4 RAB10 DTX3 FGFR1OP2 TANC1 LCOR SLC2A12 ERG28 LANCL1 TTC31 MED13 ACSL6 HAO2 CERS2 GTF2H2C ASPSCR1 CARNS1 CD46 PIGY ANKIB1 DYNC2H1 STAM2 PSEN2 SLC30A7 F11R COX19 HACD2 RNF13 SLC25A20 RPL28 SEC63 WWP2 SUDS3 PDCD6IP ARFIP1 PRKCI ATP13A2 HMGCLL1 EEF1AKNMT ACSL1 PEX5L CCNC OXSM ACSL3 NPEPPS ZHX1 CHPT1 TTC9C LAMTOR5 SNX5 CDK20 MROH6 GALC ARL6IP5 TMEM168 IFIT5 ACAP2 ZFAND3 SDHC TMEM53 MED12 ZNF112 ASAH2B KDSR TRAM1 TTC21A LPCAT2 CLCN3 COG5 SORBS1 TTC36 CRKL CAB39 PINK1 SERINC1 SH3YL1 CLN3 CPT1A ARHGAP5 CYB5B RANBP9 PEX19 MBOAT2 ITFG1 ISCU FKBPL MED21 LMBRD1 SERINC3 MED7 PNPLA8 MTCH2 TMEM9 CD164 MTCH1 GXYLT1 RNF146 TTC8 MED23 SH3GLB1 OXR1 TTC6 C15orf54 PRG2 FAM234B YIPF4 PLCH2 TMEM63A FNBP1L CFAP70 STRADA B3GAT3 PLD6 ZFP62 GTF3C3 CHMP1B PPFIA3 GPT2 TMEM222 TMEM246 YIPF5 PCYOX1 HSD17B4 FDX1 ELOVL1 NFE2 QPCTL HMGCR ST13 SCRN2 PCGF6 NSF ARFGAP2 BHMT2 DEDD MCCC1 UBE4A CIB1 NR1H2 CDC37L1 CREBL2 TBC1D10B MSMO1 RAB4A VAMP7 SPTSSA GPD1L AP2A2 GEMIN2 TCP11X2 USP46 SLC2A4 TTC17 RXRB AGPS FAM8A1 CLN5 STK38L RING1 PRKAB1 GOSR2 BCKDK PEX5 MMAA SYBU TMEM230 EHHADH AC138894.1 ACSL5 MBNL2 ENPP4 STAMBP ALDH4A1 TUBB4A STUB1 AKTIP VAMP4 PIGN RELCH CCDC71 TMEM14A UBC AGAP2 BIN3 ACSM3 PEX11B ABCB9 ACP2 TPD52,Fatty acid metabolism,7.111017041803168e-08,0.17543859649122806,10.0,4,19,19,0.020942408376963352,0.09947643979057591,0.0,0.8795811518324608
C197,PDK4 DTX3 FGFR1OP2 ERG28 SLC2A12 ACSL6 HAO2 CERS2 ASPSCR1 CARNS1 PIGY DYNC2H1 PSEN2 SLC30A7 COX19 HACD2 SLC25A20 RPL28 WWP2 SUDS3 ATP13A2 HMGCLL1 EEF1AKNMT ACSL1 OXSM ACSL3 ZHX1 CHPT1 LAMTOR5 SNX5 CDK20 MROH6 ZFAND3 SDHC TMEM53 ASAH2B KDSR LPCAT2 CAB39 PINK1 CLN3 CPT1A CYB5B MBOAT2 ISCU PNPLA8 MTCH1 GXYLT1 PRG2 FAM234B PLCH2 TMEM63A STRADA B3GAT3 PLD6 ZFP62 PPFIA3 GPT2 TMEM222 TMEM246 HSD17B4 FDX1 ELOVL1 NFE2 QPCTL HMGCR PCGF6 BHMT2 DEDD MCCC1 CIB1 NR1H2 CDC37L1 TBC1D10B MSMO1 SPTSSA GPD1L AP2A2 TCP11X2 RXRB SLC2A4 STK38L RING1 PRKAB1 MMAA BCKDK SYBU ACSL5 EHHADH AC138894.1 ALDH4A1 TUBB4A STUB1 CCDC71 TMEM14A UBC AGAP2 BIN3 ACSM3 PEX11B ABCB9 ACP2,Fatty acid metabolism,5.106839230815889e-10,0.17543859649122806,10.0,2,8,8,0.0196078431372549,0.0784313725490196,0.0,0.9019607843137255
C198,SGPP1 YIPF4 SMIM8 GEMIN2 RAB10 GALC ARL6IP5 LANCL1 USP46 CHMP1B TMEM168 MED13 ACAP2 AGPS FAM8A1 CLN5 STK38L YIPF5 MED12 GOSR2 GTF2H2C ZNF112 PCYOX1 TMEM230 TRAM1 CD46 MBNL2 CLCN3 COG5 ENPP4 STAM2 CAB39 STAMBP SERINC1 F11R RNF13 AKTIP VAMP4 RANBP9 ARHGAP5 RELCH NSF ARFGAP2 SEC63 NPEPPS PIGN WWP2 PDCD6IP MED23 ITFG1 ISCU UBE4A MED21 ARFIP1 LMBRD1 PRKCI SERINC3 MED7 MTCH2 CDC37L1 CREBL2 CD164 CCNC RNF146 RAB4A SH3GLB1 OXR1 VAMP7,Endocytosis,2.07861052100951e-06,0.04032258064516129,10.0,0,10,10,0.0,0.14705882352941177,0.0,0.8529411764705882
C231,EEF1AKNMT PEX19 TMEM246 AKTIP,C231,,,,1,0,0,0.25,0.0,0.0,0.75
C250,F11R PRG2 CARNS1 PRKCI,C250,,,,0,1,1,0.0,0.25,0.0,0.75
C203,SLC30A7 MED21 MED13 ACAP2 STK38L MED7 MED12 GXYLT1 CCNC FGFR1OP2 TMEM168 LCOR MED23 ZFP62 ANKIB1,positive regulation of transcription initiation by RNA polymerase II,9.314907283814657e-08,0.07936507936507936,5.0,0,1,1,0.0,0.06666666666666667,0.0,0.9333333333333333
C204,TTC6 TTC36 SCRN2 TTC9C CFAP70 TTC31 FKBPL PEX5 PEX5L TANC1 TTC8 IFIT5 TTC21A TTC17,C204,,,,1,1,1,0.07142857142857142,0.07142857142857142,0.0,0.8571428571428572
C215,MED13 PRG2 MED7 MED12 CCNC MED23 RXRB,positive regulation of transcription initiation by RNA polymerase II,4.923578948683483e-07,0.06349206349206349,4.0,0,1,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C223,TMEM9 RPL28 TMEM230 TRAM1 PIGY,C223,,,,0,1,1,0.0,0.2,0.0,0.8
C200,ZHX1 CHPT1 GPD1L PDK4 PLD6 DTX3 ERG28 SLC2A12 RXRB SLC2A4 GPT2 SDHC HAO2 MMAA SYBU ACSL5 KDSR HSD17B4 EHHADH CARNS1 LPCAT2 FDX1 ELOVL1 HMGCR ALDH4A1 MSMO1 HACD2 CPT1A SLC25A20 CYB5B TMEM14A BHMT2 MCCC1 MBOAT2 ACSM3 ISCU HMGCLL1 PNPLA8 ACSL1 OXSM ACSL6 ACSL3 SPTSSA,Fatty acid metabolism,3.3415182515481665e-13,0.17543859649122806,10.0,1,3,3,0.023255813953488372,0.06976744186046512,0.0,0.9069767441860466
