,d1_seeds,d2_seeds,d1_name,d2_name,z_d1,z_d2,z_both,sum_seeds
BIN3,0,1,CD_1F_perox,PD,6.58966701971116,13.33387834868284,87.86581839915601,1
TTC6,0,1,CD_1F_perox,PD,5.868630885286718,8.819397181167147,51.75778668700814,1
NPEPPS,0,1,CD_1F_perox,PD,2.07525966928883,22.339126759434052,46.35948881098437,1
ASPSCR1,0,1,CD_1F_perox,PD,2.9218317739517463,13.127063923754818,38.35507247112251,1
F11R,0,1,CD_1F_perox,PD,3.0732459766154148,11.534656397168975,35.44883636424081,1
MCCC1,0,1,CD_1F_perox,PD,2.760993845252298,12.460165528375915,34.40244033467075,1
TMEM230,0,1,CD_1F_perox,PD,3.075486314471868,11.067947366241976,34.03932065417215,1
MED13,0,1,CD_1F_perox,PD,1.657285506341553,17.738079811231074,29.39706258148297,1
CLCN3,0,1,CD_1F_perox,PD,3.292732146751061,8.465801432242799,27.87561652395704,1
SDHC,0,1,CD_1F_perox,PD,1.7336401133895971,15.768582219526724,27.337046667053496,1
VAMP4,0,1,CD_1F_perox,PD,1.743636076243777,14.283247159497458,24.90478503320622,1
MBNL2,0,1,CD_1F_perox,PD,1.8532013615037348,12.92605938815592,23.954590857008686,1
LMBRD1,0,1,CD_1F_perox,PD,1.6299909782887865,14.073777410198247,22.940130209067664,1
GALC,0,1,CD_1F_perox,PD,1.8405556714672229,12.249042455784746,22.545044562037415,1
ATP13A2,0,1,CD_1F_perox,PD,2.0181825120167614,11.047744418018146,22.296364581675014,1
RANBP9,0,1,CD_1F_perox,PD,1.8414293771376868,11.905987189074228,21.924034573786233,1
PEX11B,1,0,CD_1F_perox,PD,9.946458201632403,2.022604804506958,20.117754146449332,1
PINK1,0,1,CD_1F_perox,PD,1.855261044847088,10.768432120958959,19.978252628095262,1
TCP11X2,0,0,CD_1F_perox,PD,3.204918224440802,5.7625623375874655,18.46854105521026,0
SYBU,0,1,CD_1F_perox,PD,2.326686159262796,7.779701561841911,18.10092394713273,1
AC138894.1,0,0,CD_1F_perox,PD,4.5470053364261664,3.4495653625545293,15.685192111886309,0
HSD17B4,1,0,CD_1F_perox,PD,9.560107982745714,1.5988576691944218,15.2852519665398,1
PER3,0,0,CD_1F_perox,PD,5.65332037287973,2.698044845420517,15.25291189155895,0
PPFIA3,0,1,CD_1F_perox,PD,1.525085071061813,9.098700890766816,13.87629289456529,1
PEX5,1,0,CD_1F_perox,PD,7.910303626685581,1.678723268218568,13.279210756790809,1
TP53TG3C,0,0,CD_1F_perox,PD,2.319950929385105,5.723347875440519,13.277886222822497,0
PEX5L,0,0,CD_1F_perox,PD,4.3762681737341635,2.938444241246854,12.85942001326104,0
QPCTL,0,0,CD_1F_perox,PD,2.6587190347834455,4.823569466389624,12.82451595589032,0
PEX19,1,0,CD_1F_perox,PD,7.809286308583624,1.6010193228700187,12.50281827786666,1
SMIM8,0,0,CD_1F_perox,PD,4.981473474526846,2.298070209612264,11.447775791783842,0
GXYLT1,0,0,CD_1F_perox,PD,4.995941108576527,2.2805718628254956,11.393602720552842,0
GEMIN2,0,0,CD_1F_perox,PD,2.161341619166498,5.171108744644845,11.176532547036725,0
RELCH,0,0,CD_1F_perox,PD,4.028199691693031,2.6917926595331103,10.843078361232838,0
FAM234B,0,0,CD_1F_perox,PD,6.581200669114306,1.620776916897604,10.666658129971534,0
AWAT2,0,0,CD_1F_perox,PD,4.358124925264132,2.4227790866432772,10.558773925908735,0
PCGF6,0,0,CD_1F_perox,PD,2.751050417360888,3.8316741673733596,10.541128817343413,0
