,d1_seeds,d2_seeds,d1_name,d2_name,z_d1,z_d2,z_both,sum_seeds
SERAC1,1,0,CD_1G_mito,DLB,23.692432023691165,2.4147777686826277,57.211958136833786,1
MT-TP,1,0,CD_1G_mito,DLB,9.417985118989717,2.580571659491228,24.303785487574984,1
ATP6V1B1,0,0,CD_1G_mito,DLB,4.255172524453245,4.395019070966551,18.701564395224896,0
CMBL,0,0,CD_1G_mito,DLB,3.295761504270871,5.586865977204102,18.41297781718994,0
TYMP,1,0,CD_1G_mito,DLB,9.59000557590516,1.9193836012007532,18.40689943781615,1
APOE,0,1,CD_1G_mito,DLB,2.06970688562134,8.55737509556318,17.711258158131688,1
NCEH1,0,0,CD_1G_mito,DLB,3.7536456599948287,4.5189003537305235,16.962350700729676,0
TMOD2,0,0,CD_1G_mito,DLB,4.92218671933654,3.3717963871729153,16.59661139724945,0
VDAC1,0,0,CD_1G_mito,DLB,3.8657517804662738,3.8715066742512203,14.966283819073716,0
FABP2,0,0,CD_1G_mito,DLB,3.933283058503921,3.688506647437592,14.507940707545375,0
ATP6V1B2,0,0,CD_1G_mito,DLB,5.6396284174364455,2.461285091527262,13.880733345589809,0
TFEB,0,0,CD_1G_mito,DLB,2.508203246979219,5.300220968597437,13.294031443143432,0
PDXK,0,0,CD_1G_mito,DLB,2.646971668868474,5.014563234569216,13.273406813654173,0
MT-ND2,0,0,CD_1G_mito,DLB,4.357826376686144,3.018256266100301,13.153036768010123,0
MT-CO3,0,0,CD_1G_mito,DLB,3.8057799315383516,3.2637386620397275,12.421071101776626,0
NUDCD1,0,0,CD_1G_mito,DLB,2.9286484038876717,4.138870810870847,12.121297394154178,0
MT-ND5,0,0,CD_1G_mito,DLB,3.6949403903191365,3.2364828762562836,11.958611302055594,0
MT-ND4,0,0,CD_1G_mito,DLB,3.620390093194944,2.9792613581240484,10.78608830599082,0
ATF5,0,0,CD_1G_mito,DLB,2.926764461732551,3.492082651216857,10.220503401014282,0
E4F1,0,0,CD_1G_mito,DLB,1.6782831745126112,6.027268612430067,10.115463500509355,0
ATP6V1A,0,0,CD_1G_mito,DLB,3.187075025792071,3.167674950905032,10.09561772585655,0
GAS2,0,0,CD_1G_mito,DLB,5.303453319931725,1.8981434027824677,10.06671493119318,0
ABCA7,0,0,CD_1G_mito,DLB,2.6918631118441865,3.7094375801514854,9.985298187698346,0
C9orf163,0,0,CD_1G_mito,DLB,2.432462425661686,4.018060319094584,9.77378075023978,0
TYRP1,0,0,CD_1G_mito,DLB,3.167675207733417,3.066220164819563,9.7127895975512,0
HSP90B1,0,0,CD_1G_mito,DLB,2.7783624772670654,3.464701127333766,9.626195607129036,0
LAMTOR4,0,0,CD_1G_mito,DLB,1.914916582769478,4.912471378228403,9.406972904550003,0
