Cluster,genes,Top pathway,p_value,recall,intersection_size,num_d1_seeds,num_d2_seeds,num_both_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C143,HSPA6 PARP12 KIR2DS4 RIMBP2 VCY1B SECTM1 EDEM2 ATP5MD TUBA3C IFI6 C19orf18 HLA-DRB5 HSPA12B OTC RAB31 REEP6 MRPS12 APOE TYMP BCS1L PLAAT4 CHMP2B IFI27L1 TRIM14 MYO1F RNASEH2A C19orf66 TRAFD1 AOAH CTNNA2 GPIHBP1 ATP5F1A GK3P ISG15 HSPA1L YME1L1 HLA-DQB1 PON1 GMIP AC026464.4 TOM1 MFN2 IRF7 IMMT APP WARS RSAD2 NINJ1 TNFAIP8L2 LMBRD1 MOB1B HLA-DMA TTPA NXPE3 COX6C TAPBP TUBB2B NDUFB9 CHCHD6 RTP4 IFIT3 HLA-C SPAST PRRC2A SMIM11A COA4 TUT7 CTSC NOTCH3 SLITRK1 CCDC144NL IL15RA RICTOR PITRM1 GPD2 SPOPL GSDMD HSPA2 FKBP15 FAM53A NUCB1 COA3 LOC403312 HSPA1A BST2 DRAM1 CYCSP5 PILRA HLA-B ALDH18A1 USH1C EEF2 SEC11A TRAC COX19 TREX1 IL32 PLIN2 KRTAP9-7 NDUFA5 MICB LY6E IFI44 SAR1B B2M PTPRC TARP KATNAL2 IFI44L RNASEH1P1 TCN2 XAF1 DNAJA3 HSPA8 HLA-DMB CHCHD4 DHX58 RIMS1 RFX5 ERAL1 PSMB8 IFNA1 PRLR ISG20 MCM7 SAMHD1 DPH1 TGM2 IFI35 EPB41L3 SERTM1 MX1,Antigen processing and presentation,5.452266732108983e-16,0.21739130434782608,15.0,1,2,2,0.007575757575757576,0.015151515151515152,0.0,0.9772727272727273
C144,HSPA6 NOTCH3 SLITRK1 CCDC144NL RICTOR RIMBP2 PITRM1 VCY1B SAR1B GPD2 MFN2 IMMT SPOPL HSPA2 APP ATP5MD TUBA3C TARP FAM53A KATNAL2 C19orf18 RNASEH1P1 COA3 LMBRD1 LOC403312 HSPA1A HSPA12B OTC MOB1B DNAJA3 TTPA HSPA8 NXPE3 COX6C TUBB2B CHCHD4 RIMS1 ERAL1 MRPS12 NDUFB9 CHCHD6 ALDH18A1 USH1C BCS1L EEF2 CHMP2B DPH1 MCM7 SPAST RNASEH2A PRRC2A SEC11A SMIM11A COA4 TUT7 EPB41L3 SERTM1 PLIN2 CTNNA2 COX19 ATP5F1A GK3P KRTAP9-7 HSPA1L YME1L1 AC026464.4 PON1 NDUFA5,Mitochondrial protein import,4.739463743888174e-06,0.10606060606060606,7.0,0,1,1,0.0,0.014705882352941176,0.0,0.9852941176470589
C145,LY6E PARP12 IFI44 IL15RA KIR2DS4 TOM1 SAR1B B2M SECTM1 IRF7 PTPRC GSDMD FKBP15 WARS EDEM2 GMIP IFI6 IFI44L RSAD2 NUCB1 NINJ1 TNFAIP8L2 LMBRD1 TCN2 HLA-DRB5 BST2 DRAM1 XAF1 HLA-DMA HLA-DMB RAB31 CYCSP5 TAPBP DHX58 RFX5 APOE PSMB8 TYMP PILRA HLA-B IFNA1 RTP4 ISG20 IFIT3 PLAAT4 HLA-C SAMHD1 TGM2 TRIM14 IFI35 MYO1F C19orf66 IFI27L1 TRAFD1 TRAC EPB41L3 TREX1 IL32 PLIN2 AOAH MX1 CTSC GPIHBP1 ISG15 HLA-DQB1 MICB,Interferon alpha/beta signaling,7.085016168995973e-18,0.18421052631578946,14.0,1,1,1,0.015151515151515152,0.015151515151515152,0.0,0.9696969696969697
C147,CCDC144NL TOM1 VCY1B SPOPL FKBP15 APP TARP FAM53A C19orf18 NINJ1 LMBRD1 TCN2 LOC403312 DRAM1 OTC NXPE3 TTPA RAB31 APOE PILRA IFNA1 PRLR TGM2 SMIM11A EPB41L3 TUT7 SERTM1 PLIN2 GPIHBP1 PON1,C147,,,,0,1,1,0.0,0.03333333333333333,0.0,0.9666666666666667
C146,HSPA6 NOTCH3 SLITRK1 PITRM1 SAR1B GPD2 MFN2 IMMT HSPA2 ATP5MD TUBA3C KATNAL2 RNASEH1P1 COA3 LMBRD1 HSPA1A HSPA12B OTC DNAJA3 NXPE3 HSPA8 COX6C TUBB2B CHCHD4 ERAL1 MRPS12 NDUFB9 CHCHD6 ALDH18A1 USH1C BCS1L EEF2 CHMP2B DPH1 MCM7 SPAST RNASEH2A PRRC2A SEC11A COA4 COX19 GK3P CTNNA2 ATP5F1A KRTAP9-7 HSPA1L YME1L1 AC026464.4 NDUFA5,Mitochondrial protein import,6.578176178645293e-07,0.10606060606060606,7.0,0,1,1,0.0,0.02040816326530612,0.0,0.9795918367346939
C151,TOM1 NINJ1 AOAH PLIN2 GPIHBP1 LMBRD1 TCN2 TYMP TNFAIP8L2 APOE PILRA DRAM1 FKBP15 TGM2 MYO1F,C151,,,,1,1,1,0.06666666666666667,0.06666666666666667,0.0,0.8666666666666667
C148,SAR1B GPD2 MFN2 IMMT ATP5MD KATNAL2 COA3 LMBRD1 NXPE3 COX6C NDUFB9 CHMP2B SPAST PRRC2A SEC11A GK3P ATP5F1A YME1L1 AC026464.4 NDUFA5,mitochondrial inner membrane,9.347711283890251e-08,0.01556420233463035,8.0,0,1,1,0.0,0.05,0.0,0.95
C161,APOE IFNA1 GPIHBP1 PRLR OTC PON1 TTPA,lipid binding,5.882838615276736e-07,0.007001166861143524,6.0,0,1,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C155,SAR1B GPD2 LMBRD1 GK3P YME1L1 CHMP2B AC026464.4 SPAST NXPE3 KATNAL2,C155,,,,0,1,1,0.0,0.1,0.0,0.9
C157,SEC11A SAR1B NXPE3 YME1L1 CHMP2B AC026464.4 SPAST NDUFA5 KATNAL2,C157,,,,0,1,1,0.0,0.1111111111111111,0.0,0.8888888888888888
