,nervous system inclusion bodies:-log(OR_p),nervous system inclusion bodies:log_OR,nervous system inclusion bodies:num_genes,nervous system inclusion bodies:gene_ids,abnormal cholinergic neuron morphology:-log(OR_p),abnormal cholinergic neuron morphology:log_OR,abnormal cholinergic neuron morphology:num_genes,abnormal cholinergic neuron morphology:gene_ids,abnormal neuron mitochondrial morphology:-log(OR_p),abnormal neuron mitochondrial morphology:log_OR,abnormal neuron mitochondrial morphology:num_genes,abnormal neuron mitochondrial morphology:gene_ids,decreased oligodendrocyte number:-log(OR_p),decreased oligodendrocyte number:log_OR,decreased oligodendrocyte number:num_genes,decreased oligodendrocyte number:gene_ids,hypermyelination:-log(OR_p),hypermyelination:log_OR,hypermyelination:num_genes,hypermyelination:gene_ids,decreased oligodendrocyte progenitor number:-log(OR_p),decreased oligodendrocyte progenitor number:log_OR,decreased oligodendrocyte progenitor number:num_genes,decreased oligodendrocyte progenitor number:gene_ids,abnormal dopaminergic neuron morphology:-log(OR_p),abnormal dopaminergic neuron morphology:log_OR,abnormal dopaminergic neuron morphology:num_genes,abnormal dopaminergic neuron morphology:gene_ids,abnormal oligodendrocyte progenitor morphology:-log(OR_p),abnormal oligodendrocyte progenitor morphology:log_OR,abnormal oligodendrocyte progenitor morphology:num_genes,abnormal oligodendrocyte progenitor morphology:gene_ids,abnormal oligodendrocyte morphology:-log(OR_p),abnormal oligodendrocyte morphology:log_OR,abnormal oligodendrocyte morphology:num_genes,abnormal oligodendrocyte morphology:gene_ids,abnormal synaptic vesicle morphology:-log(OR_p),abnormal synaptic vesicle morphology:log_OR,abnormal synaptic vesicle morphology:num_genes,abnormal synaptic vesicle morphology:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C143,4.7250389811625935,2.2394434452367857,4,APOE APP IMMT PITRM1,4.287733181746571,3.0956043826438435,2,APP OTC,4.287733181746571,3.0956043826438435,2,IMMT MFN2,3.171884595598784,2.524523905523897,2,PRRC2A PTPRC,1.9364847732962431,2.657319223474466,1,EPB41L3,1.9364847732962431,2.657319223474466,1,PRRC2A,1.7902557483193735,1.7465475110218183,2,IMMT MFN2,1.5936862026040888,2.3206328082274617,1,PRRC2A,1.5875809094922404,1.6151436012901659,2,PRRC2A PTPRC,1.5614589433430812,1.5976981831535788,2,APOE B2M,CD_1G_mito-FTLD systems map,1,2,0.007575757575757576,0.015151515151515152,0.0,0.9772727272727273
C144,4.833276432052009,2.6167806868512438,3,APP IMMT PITRM1,6.036760020109208,3.7769052736476496,2,APP OTC,6.036760020109208,3.7769052736476496,2,IMMT MFN2,1.7714520501833586,2.4550285594318346,1,PRRC2A,2.794247459715417,3.3312445612987567,1,EPB41L3,2.794247459715417,3.3312445612987567,1,PRRC2A,3.0435884023149065,2.4278551821007657,2,IMMT MFN2,2.3908470075125625,2.9945588775049092,1,PRRC2A,0.913364026343465,1.5708222658051447,1,PRRC2A,-0.0,0.0,0,,Mitochondrial protein import,0,1,0.0,0.014705882352941176,0.0,0.9852941176470589
C145,0.8445037588475038,1.4869158546790295,1,APOE,-0.0,0.0,0,,-0.0,0.0,0,,1.8059629246604447,2.4854406951945514,1,PTPRC,2.8363027882605993,3.3616566172979496,1,EPB41L3,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,0.9389394596030137,1.6012345957766385,1,PTPRC,2.8081947754393544,2.309885962872549,2,APOE B2M,Interferon alpha/beta signaling,1,1,0.015151515151515152,0.015151515151515152,0.0,0.9696969696969697
C147,4.371868991037459,3.0397277985239057,2,APOE APP,8.500752155578972,4.636381308516016,2,APP OTC,-0.0,0.0,0,,-0.0,0.0,0,,4.044859553516794,4.170666829781734,1,EPB41L3,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.707581421530034,2.393101910403699,1,APOE,C147,0,1,0.0,0.03333333333333333,0.0,0.9666666666666667
C146,3.2353632633741722,2.5207695598391204,2,IMMT PITRM1,2.8397954742721323,3.329063954537192,1,OTC,6.991889949068892,4.117425828457234,2,IMMT MFN2,2.167091413004976,2.7895341773413547,1,PRRC2A,-0.0,0.0,0,,3.271397532627124,3.6657494221416727,1,PRRC2A,3.7743815215302527,2.76837774083001,2,IMMT MFN2,2.8397954742721323,3.329063954537192,1,PRRC2A,1.2112520662790882,1.905329727023478,1,PRRC2A,-0.0,0.0,0,,Mitochondrial protein import,0,1,0.0,0.02040816326530612,0.0,0.9795918367346939
C151,2.4302780308662606,3.0249709562815177,1,APOE,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,2.558161902136224,3.1221409017854533,1,APOE,C151,1,1,0.06666666666666667,0.06666666666666667,0.0,0.8666666666666667
C148,2.070207170597502,2.719322462165711,1,IMMT,-0.0,0.0,0,,9.76826693664887,5.0787464854695425,2,IMMT MFN2,3.420814162455802,3.7178419280164743,1,PRRC2A,-0.0,0.0,0,,4.7264304135898865,4.594056020247025,1,PRRC2A,6.0538508918845935,3.7297014486341915,2,IMMT MFN2,4.226745049892006,4.257370881772761,1,PRRC2A,2.2108645780212117,2.833640283970909,1,PRRC2A,-0.0,0.0,0,,mitochondrial inner membrane,0,1,0.0,0.05,0.0,0.95
C161,3.4339890611417556,3.872695619918904,1,APOE,5.9361372529814505,5.410742157070649,1,OTC,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,3.579421954105419,3.969865428845795,1,APOE,C161,0,1,0.0,0.14285714285714285,0.0,0.8571428571428572
C155,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C155,0,1,0.0,0.1,0.0,0.9
C157,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C157,0,1,0.0,0.1111111111111111,0.0,0.8888888888888888
