z_comb,z_12,observed_overlap,expected_overlap_mean,expected_overlap_std,empirical_p,obs_exp
2,1.0,223,308.14,15.9656005211204,0.9999999516224909,0.7236970208346856
2,1.5,103,154.04,9.917580350065231,0.9999998672452771,0.6686574915606336
2,2.0,39,61.35,7.188010851410841,0.9990624843461438,0.6356968215158924
3,1.0,153,217.26,13.733622974291961,0.9999985588062916,0.7042253521126761
3,1.5,93,145.08,8.545969810384307,0.999999999449728,0.641025641025641
3,2.0,39,60.82,6.954681876261488,0.9991478922428523,0.6412364353830977
4,1.0,109,148.02,11.235639723665049,0.9997425448077571,0.7363869747331441
4,1.5,75,116.55,10.43108335696729,0.9999660157221336,0.6435006435006435
4,2.0,39,60.5,7.942921376924236,0.9966033708043811,0.6446280991735537
5,1.0,69,104.61,10.30620686770841,0.9997250570299687,0.6595927731574419
5,1.5,57,88.33,9.679932851006768,0.9993951703490225,0.6453073700894374
5,2.0,38,56.59,6.842652994270571,0.9967040045515911,0.6714967308711786
9,1.0,29,35.69,5.514879871765114,0.8874507122712268,0.8125525357242925
9,1.5,23,29.87,5.285177385859438,0.9031758239823958,0.7700033478406427
9,2.0,19,23.02,4.315043452851895,0.8242346795612507,0.8253692441355344
12,1.0,16,23.04,4.703020306143702,0.9327917129148199,0.6944444444444444
12,1.5,11,17.83,4.28265104812428,0.9446222505465273,0.616937745372967
12,2.0,9,14.36,3.448245930904581,0.9399570915449974,0.6267409470752089
