,d1_seeds,d2_seeds,d1_name,d2_name,z_d1,z_d2,z_both,sum_seeds
POLG,1,1,CD_1G_mito,PD,18.57002934597997,12.146340861757096,225.55790624910495,2
LMBRD1,0,1,CD_1G_mito,PD,3.1999494975761182,14.073777410198247,45.035376952762,1
IRS2,0,1,CD_1G_mito,PD,3.0434254387787822,14.67744272705927,44.669702571750804,1
GAS2,0,0,CD_1G_mito,PD,5.303453319931725,5.7049969411798305,30.256184967900506,0
AC108488.2,0,0,CD_1G_mito,PD,8.387977685393144,3.45854852327553,29.010227837084557,0
RIMS1,0,1,CD_1G_mito,PD,2.3625184402778423,11.114206506651596,26.257517821020375,1
SLC22A3,0,0,CD_1G_mito,PD,5.646455761461046,4.022034635204056,22.71024063874382,0
PLA2G6,0,1,CD_1G_mito,PD,1.694173937928803,12.637164966319032,21.409555535244625,1
MCCC1,0,1,CD_1G_mito,PD,1.5210121406096255,12.460165528375915,18.952063042665316,1
ADARB1,0,1,CD_1G_mito,PD,2.0266253881144882,8.003568766338839,16.220235657382446,1
MGME1,0,0,CD_1G_mito,PD,5.446817582469342,2.9369122612338745,15.996825342658461,0
DNHD1,0,0,CD_1G_mito,PD,3.709417665316297,3.200377950191939,11.871538504130738,0
RIMBP2,0,0,CD_1G_mito,PD,3.563330922010831,3.034622946567967,10.813365782149258,0
MTERF2,0,0,CD_1G_mito,PD,4.0814983140689876,2.587207131201321,10.559681544145453,0
CAPN15,0,0,CD_1G_mito,PD,3.451299758940487,3.043869735071574,10.505306882898768,0
RNASEK,0,0,CD_1G_mito,PD,1.7498994224287525,5.892003593354223,10.31041368495869,0
HBE1,0,0,CD_1G_mito,PD,2.7714119547192917,3.6720154818402166,10.176667604286296,0
C5orf38,0,0,CD_1G_mito,PD,2.289924430673906,4.390296436092554,10.053447066908921,0
LPIN2,0,0,CD_1G_mito,PD,3.316985019777391,2.7903207287945118,9.255452057785728,0
SMIM20,0,0,CD_1G_mito,PD,4.788894410195567,1.929292720145291,9.239179123134784,0
PDK4,0,0,CD_1G_mito,PD,3.6805413157373446,2.505271967443375,9.220756983333926,0
PCDHB10,0,0,CD_1G_mito,PD,3.6830087301784116,2.4718605887467646,9.103884128138283,0
TYRP1,0,0,CD_1G_mito,PD,3.167675207733417,2.859309123427644,9.057362621527718,0
PLIN3,0,0,CD_1G_mito,PD,2.4606892587971094,3.5574572709994765,8.75379689537809,0
RBM24,0,0,CD_1G_mito,PD,5.213629177928023,1.6618890810790967,8.664473403593968,0
IRAK1BP1,0,0,CD_1G_mito,PD,2.14561312542531,3.920236902745335,8.411311753307055,0
SDHAF4,0,0,CD_1G_mito,PD,3.2437422253445405,2.563041704305225,8.313846601573895,0
DCAKD,0,0,CD_1G_mito,PD,4.2546910643076155,1.9396140968551594,8.252458766094733,0
GRID1,0,0,CD_1G_mito,PD,2.297298526788364,3.5479617032845194,8.150727194057062,0
PWWP3A,0,0,CD_1G_mito,PD,3.357655630439409,2.355596052587382,7.909280349010869,0
ATP6AP1,0,0,CD_1G_mito,PD,3.626340544893995,2.1718813614294725,7.875981439651265,0
OGDHL,0,0,CD_1G_mito,PD,3.2786458313057105,2.384760728199806,7.818785820173864,0
MCM3AP,0,0,CD_1G_mito,PD,4.059895831702707,1.9192046248266628,7.791770856518325,0
DNAH8,0,0,CD_1G_mito,PD,3.5867572669087155,2.1407220984577893,7.67825054307555,0
TFRC,0,0,CD_1G_mito,PD,2.236675256243633,3.388740369339567,7.5795117339357185,0
NEIL1,0,0,CD_1G_mito,PD,3.515797402806624,2.149927303587386,7.558708830175579,0
ACSM3,0,0,CD_1G_mito,PD,2.6811091144221275,2.6862530776575935,7.202137610152265,0
OSGEP,0,0,CD_1G_mito,PD,3.4154652445235376,2.0345780962435343,6.949030774988656,0
PCDHB4,0,0,CD_1G_mito,PD,3.9999898116573003,1.6507147094640406,6.602842019809003,0
SIMC1,0,0,CD_1G_mito,PD,3.4587870701955454,1.8800982191204072,6.502859410991336,0
WDR5,0,0,CD_1G_mito,PD,2.4160345357189943,2.6658455817644953,6.440774992436914,0
CHMP7,0,0,CD_1G_mito,PD,3.8234359758372074,1.6572018490332387,6.336205168817625,0
SLC30A7,0,0,CD_1G_mito,PD,3.437805684392029,1.814343236517895,6.237359491939451,0
SPAG9,0,0,CD_1G_mito,PD,2.630751147224011,2.344345144542475,6.167388678494156,0
DDTL,0,0,CD_1G_mito,PD,2.148406669421927,2.7136711873072055,5.830069277428919,0
RTN4,0,0,CD_1G_mito,PD,2.6180071440302646,2.155889280677355,5.644133538551583,0
P2RX4,0,0,CD_1G_mito,PD,2.5080965902167556,2.205751887721962,5.532238788459624,0
INSIG1,0,0,CD_1G_mito,PD,3.1534979573864286,1.7479401319252037,5.512125635659895,0
PCDHGB2,0,0,CD_1G_mito,PD,3.08431782460708,1.7581303820896526,5.422632875462371,0
TGM2,0,0,CD_1G_mito,PD,2.2441795143393044,2.4085681747407612,5.405259356642826,0
SLC2A5,0,0,CD_1G_mito,PD,2.8322422470640523,1.8858863711132217,5.341287053429182,0
ANOS1,0,0,CD_1G_mito,PD,2.2004411413493323,2.42306453023435,5.331810880471957,0
CMBL,0,0,CD_1G_mito,PD,3.295761504270871,1.6063478886458806,5.294139533865885,0
YRDC,0,0,CD_1G_mito,PD,3.3928983120611993,1.555319714997431,5.277041635730289,0
MT-CO1,0,0,CD_1G_mito,PD,3.443114540828291,1.5029805579999795,5.174934213831948,0
ACSL1,0,0,CD_1G_mito,PD,1.5808077697266194,3.228029652197688,5.1028943551020225,0
LURAP1L,0,0,CD_1G_mito,PD,1.626924538263661,3.1050099222201406,5.051616834012088,0
SLC2A4,0,0,CD_1G_mito,PD,1.977567938050107,2.512044880705338,4.9677394150257825,0
PMEL,0,0,CD_1G_mito,PD,2.6818847030737896,1.8451997875797417,4.948613084425115,0
TMEM70,0,0,CD_1G_mito,PD,3.291833735822917,1.5004826051579006,4.9393392596742345,0
METTL17,0,0,CD_1G_mito,PD,1.6443533772566097,2.9305907971398377,4.818926874634032,0
LAMP2,0,0,CD_1G_mito,PD,1.6810330013043153,2.865885641743681,4.817648341735324,0
TMC6,0,0,CD_1G_mito,PD,1.9304243967067716,2.4207262265180853,4.6730289654184345,0
NCKAP1L,0,0,CD_1G_mito,PD,1.5697705085829465,2.9682811844887866,4.659520264592153,0
COX19,0,0,CD_1G_mito,PD,2.8149357555710504,1.6440246517899304,4.627823775363721,0
KMT2E,0,0,CD_1G_mito,PD,1.840759491978033,2.4693161326694484,4.545417109905775,0
E4F1,0,0,CD_1G_mito,PD,1.6782831745126112,2.702386652642983,4.535370050158175,0
IFIT1,0,0,CD_1G_mito,PD,1.8394115967726374,2.414560398786796,4.441370398636396,0
PNPLA5,0,0,CD_1G_mito,PD,2.066267119123671,2.129505570757474,4.400127340846854,0
CDK11A,0,0,CD_1G_mito,PD,2.7943416110806685,1.573174040608182,4.395985683143352,0
INPP5A,0,0,CD_1G_mito,PD,1.8488940381683348,2.3461531193730147,4.337788515038809,0
FKBP15,0,0,CD_1G_mito,PD,2.5974857554972663,1.6244779179397515,4.219558251968362,0
ALDH1L1,0,0,CD_1G_mito,PD,2.3823168305208497,1.7336194050858336,4.130030686453524,0
PCDHB1,0,0,CD_1G_mito,PD,2.6823579571083056,1.536180197994709,4.12058517764332,0
ABCB4,0,0,CD_1G_mito,PD,2.4039415432359665,1.692797716229758,4.069386754339685,0
GPR155,0,0,CD_1G_mito,PD,1.9989703563493193,1.9685777714227297,3.935128609242243,0
CIB1,0,0,CD_1G_mito,PD,1.878372822071074,2.079464368308441,3.906009353895769,0
COQ3,0,0,CD_1G_mito,PD,2.192626880206,1.768034362651338,3.8766396686772064,0
MX1,0,0,CD_1G_mito,PD,1.9844313380978567,1.9450975108322097,3.859912456151572,0
RHAG,0,0,CD_1G_mito,PD,1.644336140973624,2.2456176054140093,3.6925501873889024,0
ZNF839,0,0,CD_1G_mito,PD,1.549837986612571,2.3778820897744235,3.6853319904180855,0
TUBB4A,0,0,CD_1G_mito,PD,1.667540123092423,2.196765084604703,3.6631939195868632,0
CD55,0,0,CD_1G_mito,PD,2.1544841756529562,1.6951392953792053,3.6521507874220003,0
