z_comb,z_12,observed_overlap,expected_overlap_mean,expected_overlap_std,empirical_p,obs_exp
2,1.0,187,270.01,15.083431307232448,0.999999981372114,0.6925669419651125
2,1.5,85,135.31,8.615909702405196,0.9999999973773599,0.6281871258591383
2,2.0,33,50.2,7.028513356322231,0.9928009482550687,0.6573705179282868
3,1.0,126,186.11,11.972380715630454,0.9999997426124448,0.6770189672774165
3,1.5,78,122.21,10.013286173879182,0.9999949526274754,0.6382456427460929
3,2.0,33,49.08,7.304354865421039,0.9861470758803703,0.6723716381418093
4,1.0,90,127.64,11.015915758574046,0.9996832774589935,0.7051081165778753
4,1.5,64,96.17,8.441628989715197,0.9999307623471678,0.6654881979827388
4,2.0,33,49.27,6.26395242638384,0.995303398420517,0.6697787700426222
5,1.0,61,88.56,9.604498945806595,0.9979443190780168,0.6887985546522132
5,1.5,49,73.63,7.607437150578373,0.9993973464050541,0.6654896102132284
5,2.0,31,46.23,5.688330159194349,0.9962903263512919,0.6705602422669262
9,1.0,12,26.3,4.4034077712608,0.9994178506759472,0.45627376425855515
9,1.5,12,24.34,4.530386296994992,0.9967735098228658,0.4930156121610518
9,2.0,11,20.72,4.404724736007915,0.9863332327222228,0.5308880308880309
12,1.0,6,14.3,3.345145736735546,0.9934530899387474,0.4195804195804196
12,1.5,6,12.23,3.3131706868195003,0.9699714374236935,0.49059689288634506
12,2.0,5,10.76,3.549985915465018,0.9476562885191289,0.4646840148698885
