,d1_seeds,d2_seeds,d1_name,d2_name,z_d1,z_d2,z_both,sum_seeds
SQSTM1,0,1,CD_1H_other_IEMs,FTLD,1.5488541615768638,16.378101161800952,25.367290143182274,1
ST8SIA3,0,0,CD_1H_other_IEMs,FTLD,5.336059090204398,3.95436788548622,21.10074070136109,0
HSPA4,0,0,CD_1H_other_IEMs,FTLD,4.615905169590687,3.0009749336213254,13.852215709914745,0
STH,0,0,CD_1H_other_IEMs,FTLD,4.340351881183633,3.031753311214526,13.158876187614675,0
HSPA1A,0,0,CD_1H_other_IEMs,FTLD,4.781857073972103,2.733048366857201,13.06904666656401,0
BEX4,0,0,CD_1H_other_IEMs,FTLD,5.50830837425195,2.20011974483349,12.118938014823376,0
CMAS,0,0,CD_1H_other_IEMs,FTLD,4.648600317690188,2.313553788038236,10.754786874067882,0
RHBDF2,0,0,CD_1H_other_IEMs,FTLD,4.234802659163331,2.4595960265664756,10.415903793771275,0
NOMO2,0,0,CD_1H_other_IEMs,FTLD,4.0587072211465145,2.5336417218706426,10.283309952354466,0
SGCG,0,0,CD_1H_other_IEMs,FTLD,3.3643876830420374,2.956827779502919,9.947914962236158,0
HSPA8,0,0,CD_1H_other_IEMs,FTLD,4.418415204834091,2.1910046553687987,9.680768283143777,0
STUB1,0,0,CD_1H_other_IEMs,FTLD,4.308816980193688,2.132071636880843,9.186706471981527,0
TNFAIP3,0,0,CD_1H_other_IEMs,FTLD,3.127028247029945,2.8620141243875032,8.949599010358398,0
ALDH5A1,0,0,CD_1H_other_IEMs,FTLD,2.5947614303298123,3.4243903611004702,8.885476031376678,0
MCEE,0,0,CD_1H_other_IEMs,FTLD,2.142384065101757,4.137481259127748,8.86407391921244,0
VASH2,0,0,CD_1H_other_IEMs,FTLD,2.208795338945928,3.9825709625674843,8.796684179140458,0
TLR1,0,0,CD_1H_other_IEMs,FTLD,3.390407562336177,2.511124079698652,8.513734069774781,0
IFIT3,0,0,CD_1H_other_IEMs,FTLD,3.8506442340557836,2.2017158486613133,8.478024437676922,0
EDEM2,0,0,CD_1H_other_IEMs,FTLD,2.009630043210618,4.164806925419739,8.36972112149515,0
PITRM1,0,0,CD_1H_other_IEMs,FTLD,2.823454136801387,2.9397279826543294,8.300187133696163,0
CNDP1,0,0,CD_1H_other_IEMs,FTLD,3.1537226838722283,2.566767867434297,8.094874047761886,0
ST3GAL1,0,0,CD_1H_other_IEMs,FTLD,5.083075029797898,1.5498888625012974,7.878201375942213,0
PEPD,0,0,CD_1H_other_IEMs,FTLD,3.241588153298497,2.349516487027341,7.616164810327331,0
OTC,0,0,CD_1H_other_IEMs,FTLD,2.454092534628883,2.9439362796637836,7.224692046346019,0
CASP1,0,0,CD_1H_other_IEMs,FTLD,2.717052649450442,2.5983044316149617,7.059729939998257,0
ST8SIA4,0,0,CD_1H_other_IEMs,FTLD,3.9626091631040334,1.7775036816826169,7.0435523764866925,0
ALDH18A1,0,0,CD_1H_other_IEMs,FTLD,1.8856546808564825,3.72003990420059,7.014710658328743,0
HLA-DPB1,0,0,CD_1H_other_IEMs,FTLD,3.010593028110684,2.2706358959937054,6.835960597856506,0
HLA-E,0,0,CD_1H_other_IEMs,FTLD,3.2574607362883667,2.0931960848607107,6.818504059786298,0
KCTD16,0,0,CD_1H_other_IEMs,FTLD,1.5766135718435048,4.273125392464339,6.737067487948379,0
NKX6-2,0,0,CD_1H_other_IEMs,FTLD,2.1577834692064224,3.0881933930737544,6.663652653287039,0
GUF1,0,0,CD_1H_other_IEMs,FTLD,1.644761928127273,3.8529353506134747,6.337161376224749,0
TRIM22,0,0,CD_1H_other_IEMs,FTLD,3.4479050734714045,1.8316993872875604,6.315525610503243,0
CTRC,0,0,CD_1H_other_IEMs,FTLD,3.9250777939617616,1.5711710642950458,6.166968654979752,0
DNAJA3,0,0,CD_1H_other_IEMs,FTLD,1.9804167469991734,3.1071994304962796,6.153549788421126,0
KHK,0,0,CD_1H_other_IEMs,FTLD,3.685121783295135,1.6445890186995762,6.060510817377779,0
CTSA,0,0,CD_1H_other_IEMs,FTLD,3.220627427371861,1.8776933743718076,6.047350781696263,0
FAM217B,0,0,CD_1H_other_IEMs,FTLD,2.075249602256297,2.9137078986580986,6.046671157781251,0
PLPP6,0,0,CD_1H_other_IEMs,FTLD,3.068330496187444,1.9213997118140986,5.895489331124965,0
TRIM3,0,0,CD_1H_other_IEMs,FTLD,2.438637085517226,2.4035054985624718,5.8612776440390135,0
IFIT1,0,0,CD_1H_other_IEMs,FTLD,3.7562246310954337,1.5147167896830624,5.689616514541321,0
MCCC1,0,0,CD_1H_other_IEMs,FTLD,3.002140434186518,1.8910052632289003,5.677063361999002,0
EPHA3,0,0,CD_1H_other_IEMs,FTLD,2.534807740522085,2.185970319627393,5.541014486743052,0
SYNDIG1L,0,0,CD_1H_other_IEMs,FTLD,3.4630245383432756,1.540346351028454,5.334257211159061,0
DUSP3,0,0,CD_1H_other_IEMs,FTLD,2.8457971977836864,1.84377715957662,5.24701587406071,0
HSPA6,0,0,CD_1H_other_IEMs,FTLD,1.755453742544551,2.9400162038795217,5.16106244824193,0
MYH2,0,0,CD_1H_other_IEMs,FTLD,2.5567497046774332,2.0079003211408706,5.133698553098644,0
CHCHD4,0,0,CD_1H_other_IEMs,FTLD,2.5472554870850206,2.0027871151855385,5.101610468619542,0
MRPL19,0,0,CD_1H_other_IEMs,FTLD,1.681965039435084,3.002459286664962,5.050031552497667,0
ERCC2,0,0,CD_1H_other_IEMs,FTLD,2.7612507916602196,1.716891475239089,4.740767945198616,0
EDIL3,0,0,CD_1H_other_IEMs,FTLD,2.9266981787984903,1.605940595800399,4.70010341698759,0
COA6,0,0,CD_1H_other_IEMs,FTLD,2.001125964306744,2.3060211861153763,4.614638869776914,0
STK26,0,0,CD_1H_other_IEMs,FTLD,1.920439273032091,2.377553328827505,4.565946786408522,0
DIRAS3,0,0,CD_1H_other_IEMs,FTLD,2.9380981707221254,1.5520640334641485,4.560116497564618,0
DIP2B,0,0,CD_1H_other_IEMs,FTLD,2.3387717292156927,1.9112404489283976,4.4699551296872455,0
COA3,0,0,CD_1H_other_IEMs,FTLD,1.5098620222615071,2.9473303656183742,4.450062186105305,0
PTK7,0,0,CD_1H_other_IEMs,FTLD,2.61420442762676,1.6943562905013734,4.429393716605944,0
CSK,0,0,CD_1H_other_IEMs,FTLD,2.048358270884045,2.151252350390548,4.406535544681221,0
CIAO2A,0,0,CD_1H_other_IEMs,FTLD,2.1922828909180354,1.9749062603331786,4.329553205695347,0
ABCC8,0,0,CD_1H_other_IEMs,FTLD,2.4346754750738424,1.7513086833973175,4.26386830075131,0
SPRN,0,0,CD_1H_other_IEMs,FTLD,2.4309332941720654,1.7396136572661844,4.2288847584448,0
FASTKD5,0,0,CD_1H_other_IEMs,FTLD,2.502583659633829,1.6857218512058778,4.218659959515518,0
GK3P,0,0,CD_1H_other_IEMs,FTLD,1.5304342715774544,2.7501845983123103,4.208976762421635,0
ABHD14A-ACY1,0,0,CD_1H_other_IEMs,FTLD,2.2388147064136623,1.8667985509595697,4.1794160497999995,0
PLPBP,0,0,CD_1H_other_IEMs,FTLD,2.2820358843338115,1.6587397206643946,3.785303565325991,0
TEK,0,0,CD_1H_other_IEMs,FTLD,1.994506330335788,1.787430040904898,3.5650405316171754,0
EPHA2,0,0,CD_1H_other_IEMs,FTLD,2.1879839716774874,1.6276693560899713,3.5613144623154738,0
NDUFA5,0,0,CD_1H_other_IEMs,FTLD,1.535183872594104,2.267907294595844,3.4816547032020653,0
TUBB2B,0,0,CD_1H_other_IEMs,FTLD,1.5564440855072372,2.181374204534673,3.3951869789260463,0
SLC46A3,0,0,CD_1H_other_IEMs,FTLD,1.5475515066922816,2.182513693762187,3.377552355158209,0
CTNS,0,0,CD_1H_other_IEMs,FTLD,2.154810948616152,1.5659662749035281,3.3743612743257736,0
ACTR1A,0,0,CD_1H_other_IEMs,FTLD,1.5566349701155784,2.165140125109646,3.370332833946093,0
TMEM246,0,0,CD_1H_other_IEMs,FTLD,1.539844058344272,2.124889238311905,3.271998068254273,0
MMGT1,0,0,CD_1H_other_IEMs,FTLD,1.9209700733432518,1.6799134473119992,3.2270634580932462,0
NDUFB10,0,0,CD_1H_other_IEMs,FTLD,1.57871234868613,1.98900670557439,3.1400694477098074,0
IMMT,0,0,CD_1H_other_IEMs,FTLD,1.9161675361127704,1.6067847628778167,3.078868800147128,0
GLMP,0,0,CD_1H_other_IEMs,FTLD,1.5836125621903463,1.9268239047869207,3.051342540749223,0
CHCHD3,0,0,CD_1H_other_IEMs,FTLD,1.616740162557408,1.884852146023343,3.047316164958459,0
