,OR_p,log_OR,log_OR_CI_lower,log_OR_CI_upper,num_genes_in_term,MP_description,MPO_term_type
MP:0010387,2.1972278754059737e-05,3.2647004115826697,1.7569412418832535,4.772459581282086,14,abnormal Bergmann glial cell morphology,brain
MP:0003244,8.162840047524281e-05,2.9768042636684733,1.495822371231309,4.457786156105637,18,loss of dopaminergic neurons,brain
MP:0000965,0.00029591206495338805,1.2062271008132495,0.5529367054497528,1.8595174961767462,501,abnormal sensory neuron morphology,brain
MP:0009937,0.0004143565442338256,1.3056438997481177,0.5808679504292158,2.0304198490670196,360,abnormal neuron differentiation,brain
MP:0002752,0.0004294995215897763,0.9516718551409813,0.42196317387152693,1.4813805364104358,1055,abnormal somatic nervous system morphology,brain
MP:0002882,0.0005001626883438604,0.8252711134165889,0.36056115724287235,1.2899810695903053,1681,abnormal neuron morphology,brain
MP:0008946,0.000681379268382099,1.1315408036245067,0.4786698244829821,1.7844117827660313,538,abnormal neuron number,brain
MP:0011448,0.0010533527982786136,2.4165459742385487,0.9707205077786036,3.8623714406984937,30,decreased dopaminergic neuron number,brain
MP:0002110,0.0016883715002766915,1.2352267055856103,0.4642547813712272,2.0061986297999934,335,abnormal digit morphology,neg_ctrl
MP:0000966,0.0024912467888555064,1.39827810592101,0.4921240332600473,2.304432178581973,202,decreased sensory neuron number,brain
MP:0014381,0.002766321379601743,2.193027439660268,0.7567223310384936,3.6293325482820427,37,abnormal miniature inhibitory postsynaptic current frequency,brain
MP:0008948,0.0038608613158179956,1.0661189538780764,0.34291739145535227,1.7893205163008006,453,decreased neuron number,brain
MP:0000968,0.006498058232046688,1.6158185227131643,0.45215445302965307,2.7794825923966755,97,abnormal sensory neuron innervation pattern,brain
MP:0000778,0.006942755026317963,1.2460287909667827,0.34137930000536165,2.1506782819282035,234,abnormal nervous system tract morphology,brain
MP:0011452,0.009109509557715521,2.7456135586942114,0.6821644059119683,4.809062711476455,11,decreased susceptibility to dopaminergic neuron neurotoxicity,brain
MP:0011975,0.009109509557715521,2.7456135586942114,0.6821644059119683,4.809062711476455,11,neuronal cytoplasmic inclusions,brain
MP:0020874,0.009109509557715521,2.7456135586942114,0.6821644059119683,4.809062711476455,11,abnormal nervous system dopamine level,brain
MP:0004191,0.011480483129375336,2.6502498700475376,0.5952802682769409,4.705219471818134,12,neuronal intranuclear inclusions,brain
MP:0014375,0.011480483129375336,2.6502498700475376,0.5952802682769409,4.705219471818134,12,increased miniature excitatory postsynaptic current frequency,brain
MP:0003243,0.011569894434131868,1.8355484863517173,0.4107517497220412,3.2603452229813934,52,abnormal dopaminergic neuron morphology,brain
MP:0003224,0.0127022412052972,0.9781051043792477,0.20882622019135688,1.7473839885671385,429,neuron degeneration,brain
MP:0011451,0.014161088135110305,2.563184981352208,0.5153084922937499,4.611061470410666,13,increased susceptibility to dopaminergic neuron neurotoxicity,brain
MP:0010149,0.017148833309329065,2.483088759109318,0.4412333799481214,4.524944138270515,14,abnormal synaptic dopamine release,brain
MP:0009823,0.017148833309329065,2.483088759109318,0.4412333799481214,4.524944138270515,14,abnormal sphingomyelin level,brain
MP:0009435,0.017621522400769214,1.721898016208728,0.29999291757100877,3.143803114846447,58,abnormal miniature inhibitory postsynaptic currents,brain
MP:0009939,0.022149920228878343,1.3535861548605919,0.19395898957729663,2.513213320143887,125,abnormal hippocampus neuron morphology,brain
MP:0003240,0.024025242551708105,2.339880877737743,0.3076963797732222,4.372065375702263,16,loss of hippocampal neurons,brain
MP:0002206,0.02510513703208778,0.6851731124547786,0.08559906495989122,1.284747159949666,995,abnormal CNS synaptic transmission,brain
MP:0006069,0.025430434891231334,0.8765144845743773,0.10779411945988215,1.6452348496888725,473,abnormal retina neuronal layer morphology,brain
MP:0009967,0.026386981106632536,1.3131509268836652,0.1540583688879007,2.4722434848794297,130,abnormal neuron proliferation,brain
MP:0014062,0.02827278808862246,1.5879374160021023,0.16905069990278432,3.0068241321014204,66,nervous system inclusion bodies,brain
MP:0010281,0.03141324904885801,1.5570584266494016,0.13881279816962588,2.975304055129177,68,increased nervous system tumor incidence,brain
MP:0011723,0.03141324904885801,1.5570584266494016,0.13881279816962588,2.975304055129177,68,ectopic neuron,brain
MP:0014551,0.04609416876118525,2.0519311608232655,0.03556076451098367,4.068301557135547,21,impaired neuronal migration,brain
MP:0003635,0.05188410071003045,0.5944545230729847,-0.0048525969980983685,1.1937616431440679,1083,abnormal synaptic transmission,brain
MP:0021009,0.05466217993982059,0.5875426676586457,-0.011745092813381874,1.1868304281306732,1090,abnormal synaptic physiology,brain
MP:0000952,0.05629397545187769,0.8782641487715352,-0.02356347941975312,1.7800917769628235,334,abnormal CNS glial cell morphology,brain
MP:0002888,0.05666591676784427,1.9565139031732448,-0.05552198633998362,3.9685497926864732,23,abnormal NMDA-mediated synaptic currents,brain
MP:0014383,0.06228319566948046,1.912008597379633,-0.09813980904490327,3.9221570038041693,24,decreased miniature inhibitory postsynaptic current frequency,brain
MP:0009808,0.06810724017801484,1.8693954368710255,-0.13902121869002348,3.8778120924320745,25,decreased oligodendrocyte number,brain
MP:0004811,0.06950386362336228,0.6679869858605301,-0.05330025233783464,1.389274224058895,663,abnormal neuron physiology,brain
MP:0008947,0.07082334718919989,1.3030416957037545,-0.11060981184698404,2.716693203254493,87,increased neuron number,brain
MP:0004183,0.08033400957734818,1.7892456284155518,-0.21610349738570367,3.7945947542168073,27,abnormal sympathetic nervous system physiology,brain
MP:0002885,0.08671646112974443,1.7514517457399634,-0.2525325266053371,3.755436018085264,28,abnormal AMPA-mediated synaptic currents,brain
MP:0000920,0.0931190660862241,0.989964157879573,-0.16554420642897738,2.1454725221881237,178,abnormal myelination,brain
MP:0008571,0.099970743405233,1.679885663767248,-0.3216489550923147,3.6814202826268105,30,abnormal synaptic bouton morphology,brain
MP:0014374,0.10682393055003143,1.6459305487931264,-0.3545007476041526,3.6463618451904054,31,abnormal miniature excitatory postsynaptic current frequency,brain
MP:0008236,0.10682393055003143,1.6459305487931264,-0.3545007476041526,3.6463618451904054,31,decreased susceptibility to neuronal excitotoxicity,brain
MP:0004948,0.1103259784466168,1.1498206970151195,-0.26156859063803783,2.5612099846682765,101,abnormal neuronal precursor proliferation,brain
MP:0008235,0.11381589245373201,1.6130871598025145,-0.3863114452149199,3.612485764819949,32,increased susceptibility to neuronal excitotoxicity,brain
MP:0003861,0.11850226266858292,0.46044897452163447,-0.11764888212559876,1.0385468311688677,1333,abnormal nervous system development,brain
MP:0004100,0.14300516147220438,1.4915120094298064,-0.504341884440868,3.487365903300481,36,abnormal spinal cord interneuron morphology,brain
MP:0003634,0.16434606669310858,0.638889406394977,-0.261583899946772,1.5393627127367262,421,abnormal glial cell morphology,brain
MP:0004562,0.17860908847108015,1.9488038866728967,-0.8909310167319391,4.788538790077732,11,abnormal inner hair cell synaptic ribbon morphology,brain
MP:0004793,0.17860908847108015,1.9488038866728967,-0.8909310167319391,4.788538790077732,11,abnormal synaptic vesicle clustering,brain
MP:0010050,0.17860908847108015,1.9488038866728967,-0.8909310167319391,4.788538790077732,11,hypermyelination,brain
MP:0014378,0.17860908847108015,1.9488038866728967,-0.8909310167319391,4.788538790077732,11,increased excitatory postsynaptic current frequency,brain
