,d1_seeds,d2_seeds,d1_name,d2_name,z_d1,z_d2,z_both,sum_seeds
RXYLT1,0,1,CD_1H_other_IEMs,brain_malform,1.6987074910906523,15.078538654011957,25.614026566270073,1
TUBB2B,0,1,CD_1H_other_IEMs,brain_malform,1.5564440855072372,14.930639445787985,23.238705458237764,1
B4GAT1,0,1,CD_1H_other_IEMs,brain_malform,2.3067420530714475,8.444811805099887,19.48000252109811,1
GYG2,0,0,CD_1H_other_IEMs,brain_malform,6.851480343932473,2.614423496123565,17.91267119440582,0
TCP11X2,0,0,CD_1H_other_IEMs,brain_malform,2.683989081740188,6.298175936141393,16.904235447482286,0
TUBG2,0,0,CD_1H_other_IEMs,brain_malform,5.6588810064397395,2.7531634957012083,15.579824613446805,0
UST,0,0,CD_1H_other_IEMs,brain_malform,5.414148747213706,2.565914419307455,13.892242338751041,0
CD200,0,0,CD_1H_other_IEMs,brain_malform,5.085744048009427,2.5597359563954054,13.01816190471365,0
GXYLT2,0,0,CD_1H_other_IEMs,brain_malform,3.5904872392221994,3.362154242815943,12.07177190512742,0
LHX1,0,0,CD_1H_other_IEMs,brain_malform,2.9391612379555063,3.876661088818262,11.394132004945025,0
CNTN3,0,0,CD_1H_other_IEMs,brain_malform,2.345828265558353,4.7470443958777375,11.135750921710374,0
LARGE2,0,0,CD_1H_other_IEMs,brain_malform,3.0999344253644905,3.583866511873026,11.109751176066151,0
PPP1R3D,0,0,CD_1H_other_IEMs,brain_malform,4.2672868657011715,2.5777190179627993,10.999866508820777,0
ST3GAL6,0,0,CD_1H_other_IEMs,brain_malform,5.227723158766813,2.0504077967374066,10.718964323920178,0
GYG1,0,0,CD_1H_other_IEMs,brain_malform,5.826799243959143,1.7918490299976522,10.440744573279243,0
GALNT6,0,0,CD_1H_other_IEMs,brain_malform,4.463316993360241,2.1829129606467985,9.743032512281172,0
MUC3B,0,0,CD_1H_other_IEMs,brain_malform,3.5899832844184947,2.6761637712925674,9.607383205306677,0
FUT4,0,0,CD_1H_other_IEMs,brain_malform,4.975520695431464,1.926088320033373,9.583292297554868,0
EVL,0,0,CD_1H_other_IEMs,brain_malform,4.789426114050612,1.9801232440109109,9.483653973904469,0
B4GALT6,0,0,CD_1H_other_IEMs,brain_malform,4.39825115349471,2.017635424479306,8.874067333047899,0
MUC21,0,0,CD_1H_other_IEMs,brain_malform,3.5776890589830117,2.3319681858392225,8.343057064373449,0
POMGNT1,0,0,CD_1H_other_IEMs,brain_malform,3.2220513969459827,2.57863794805614,8.308504002752208,0
EPHA8,0,0,CD_1H_other_IEMs,brain_malform,3.42039603717966,2.421782937509601,8.283456762367155,0
AC139530.2,0,0,CD_1H_other_IEMs,brain_malform,4.757080911961947,1.7196607343597423,8.180565254473194,0
MUC19,0,0,CD_1H_other_IEMs,brain_malform,3.397786496241836,2.387281656604678,8.111473375537214,0
MUC15,0,0,CD_1H_other_IEMs,brain_malform,3.5151392081892383,2.287439549239658,8.04066844589504,0
HCRTR1,0,0,CD_1H_other_IEMs,brain_malform,3.994030979901377,1.952277777763828,7.797457925761744,0
MUC3A,0,0,CD_1H_other_IEMs,brain_malform,3.0727045017385692,2.5138797579510928,7.724409649085787,0
ABL2,0,0,CD_1H_other_IEMs,brain_malform,2.8391469982834967,2.718123498134669,7.7171521706928825,0
CDH26,0,0,CD_1H_other_IEMs,brain_malform,1.5044190290511064,4.936839172699605,7.427074794774207,0
MYCBP2,0,0,CD_1H_other_IEMs,brain_malform,4.437029736635511,1.6598562022807537,7.3648313280585915,0
