,hypermyelination:-log(OR_p),hypermyelination:log_OR,hypermyelination:num_genes,hypermyelination:gene_ids,abnormal glial cell physiology:-log(OR_p),abnormal glial cell physiology:log_OR,abnormal glial cell physiology:num_genes,abnormal glial cell physiology:gene_ids,abnormal myelination:-log(OR_p),abnormal myelination:log_OR,abnormal myelination:num_genes,abnormal myelination:gene_ids,demyelination:-log(OR_p),demyelination:log_OR,demyelination:num_genes,demyelination:gene_ids,abnormal microglial cell morphology:-log(OR_p),abnormal microglial cell morphology:log_OR,abnormal microglial cell morphology:num_genes,abnormal microglial cell morphology:gene_ids,hippocampal neuron degeneration:-log(OR_p),hippocampal neuron degeneration:log_OR,hippocampal neuron degeneration:num_genes,hippocampal neuron degeneration:gene_ids,abnormal microglial cell physiology:-log(OR_p),abnormal microglial cell physiology:log_OR,abnormal microglial cell physiology:num_genes,abnormal microglial cell physiology:gene_ids,abnormal synaptic depression:-log(OR_p),abnormal synaptic depression:log_OR,abnormal synaptic depression:num_genes,abnormal synaptic depression:gene_ids,abnormal myelin sheath morphology:-log(OR_p),abnormal myelin sheath morphology:log_OR,abnormal myelin sheath morphology:num_genes,abnormal myelin sheath morphology:gene_ids,abnormal inhibitory postsynaptic currents:-log(OR_p),abnormal inhibitory postsynaptic currents:log_OR,abnormal inhibitory postsynaptic currents:num_genes,abnormal inhibitory postsynaptic currents:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C179,4.585736588084403,3.3060187721494483,2,CSF1R EPB41L3,3.531107888216324,1.6801264834178564,5,GFAP MYD88 PMP22 RHBDF2 TREM2,3.294921357786274,1.4722543527880703,6,CSF1R CXCL10 EPB41L3 GFAP MYD88 PMP22,3.2822287275374693,1.7989960942096257,4,CSF1R CXCL10 MYD88 PMP22,2.8232379924236,1.6406135299025504,4,CSF1R CTSD IL18 IL34,2.770850357368606,2.3243852079868255,2,CTSD GFAP,2.5941912679845767,1.8016442284605976,3,MYD88 RHBDF2 TREM2,2.3124419717616242,1.4502939439528522,4,B2M GFAP ST8SIA4 SYT1,2.193468870856961,1.6214134554848574,3,ABCA2 GPM6B PMP22,2.026363087094754,1.5421022899945172,3,CNTNAP4 GPR37 SYT1,CD_2_leukodys-AD systems map,2,2,0.012987012987012988,0.012987012987012988,0.0,0.974025974025974
C194,-0.0,0.0,0,,2.416318778754707,3.1024490119829577,1,TREM2,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,3.305441097712867,3.7498508211961044,1,TREM2,-0.0,0.0,0,,3.052769015627097,3.5748571950068886,1,ABCA2,-0.0,0.0,0,,C194,0,1,0.0,0.125,0.0,0.875
C180,4.044859553516794,4.170666829781734,1,EPB41L3,1.0001270783669738,1.679885663767248,1,GFAP,2.2222455250134168,2.022127940092247,2,EPB41L3 GFAP,-0.0,0.0,0,,-0.0,0.0,0,,2.7703290062948027,3.2535770567144473,1,GFAP,-0.0,0.0,0,,2.9948237359261745,2.4250384004454144,2,GFAP SYT1,4.025539085571594,2.8940116291666786,2,ABCA2 GPM6B,6.897262340205322,3.270194435390991,3,CNTNAP4 GPR37 SYT1,C180,1,0,0.03333333333333333,0.0,0.0,0.9666666666666667
C186,5.342316186381861,4.973864909767123,1,CSF1R,1.7657654210763636,2.483088759109318,1,TREM2,1.3522961590183018,2.0913756952543423,1,CSF1R,2.1747440729666474,2.8298005534564155,1,CSF1R,5.149140976877562,3.4599795709471497,2,CSF1R IL34,-0.0,0.0,0,,2.5609120852147518,3.130491544505915,1,TREM2,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,Semaphorin interactions,1,1,0.07142857142857142,0.07142857142857142,0.0,0.8571428571428572
C187,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,1.8585524649942375,2.5716067427284237,1,ST8SIA4,-0.0,0.0,0,,-0.0,0.0,0,,C187,0,1,0.0,0.07692307692307693,0.0,0.9230769230769231
C185,5.11118912800603,4.830657654846755,1,EPB41L3,1.6193322191292747,2.339880877737743,1,GFAP,3.455763854904402,2.7160269600088043,2,EPB41L3 GFAP,-0.0,0.0,0,,-0.0,0.0,0,,3.700825010422808,3.9135684772377966,1,GFAP,-0.0,0.0,0,,4.3754804959566345,3.1189350858319234,2,GFAP SYT1,2.166938106551378,2.8122900890913325,1,GPM6B,9.119706365072739,4.001829887124972,3,CNTNAP4 GPR37 SYT1,C185,1,0,0.0625,0.0,0.0,0.9375
C182,4.8145029724629245,4.6481764598989415,1,EPB41L3,1.4379755401686751,2.157398742862352,1,GFAP,3.102165533110633,2.5217098847133386,2,EPB41L3 GFAP,-0.0,0.0,0,,-0.0,0.0,0,,3.438364877567405,3.731087154766495,1,GFAP,-0.0,0.0,0,,1.4466182447136715,2.1658205214251005,1,GFAP,5.13825776622821,3.393590355060068,2,ABCA2 GPM6B,4.937468560876755,3.3153083692381164,2,CNTNAP4 GPR37,C182,1,0,0.05263157894736842,0.0,0.0,0.9473684210526316
C200,-0.0,0.0,0,,2.960207300033971,3.662225283509277,1,GFAP,2.4539223884024857,3.270513692651881,1,GFAP,-0.0,0.0,0,,-0.0,0.0,0,,5.39477302235078,5.23590990641942,1,GFAP,-0.0,0.0,0,,2.9715887741867753,3.670647021987274,1,GFAP,-0.0,0.0,0,,-0.0,0.0,0,,C200,1,0,0.2,0.0,0.0,0.8
C193,6.279920276471531,5.593223284089137,1,CSF1R,2.416318778754707,3.1024490119829577,1,TREM2,1.9420633554802498,2.7107369302842157,1,CSF1R,2.8767735035135726,3.449160206214879,1,CSF1R,6.350729587664168,4.153447418497176,2,CSF1R IL34,-0.0,0.0,0,,3.305441097712867,3.7498508211961044,1,TREM2,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C193,1,1,0.125,0.125,0.0,0.75
C191,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,C191,0,1,0.0,0.1111111111111111,0.0,0.8888888888888888
