,d1_seeds,d2_seeds,d1_name,d2_name,z_d1,z_d2,z_both,sum_seeds
TARDBP,0,1,CD_2_leukodys,ALS,2.1968652496664802,24.155190064868105,53.06569765259775,1
RPSA,0,1,CD_2_leukodys,ALS,2.2935719188665757,22.24765685911745,51.02660103265114,1
EIF2B2,1,0,CD_2_leukodys,ALS,15.813002582526988,3.171060447316544,50.143987042765694,1
RPSAP58,0,0,CD_2_leukodys,ALS,2.293571918866654,11.12901240535517,25.525190337641252,0
C9orf72,0,1,CD_2_leukodys,ALS,1.7373985764903734,14.104158834979108,24.504545482486826,1
CERS5,0,0,CD_2_leukodys,ALS,6.8166692884347695,3.2922797886932846,22.442382524520024,0
CERS3,0,0,CD_2_leukodys,ALS,6.487045606872076,3.1557536484596262,20.471517841610545,0
CERS4,0,0,CD_2_leukodys,ALS,5.9783909577142085,2.821405534130476,16.867465333290465,0
CYB561A3,0,0,CD_2_leukodys,ALS,4.557797980801204,3.4055341289567496,15.521736576508658,0
CEP104,0,0,CD_2_leukodys,ALS,4.034532756797962,3.30256993210777,13.32432657270482,0
HACD1,0,0,CD_2_leukodys,ALS,2.846388281503777,4.5524189845301155,12.957952050061845,0
LTBR,0,0,CD_2_leukodys,ALS,2.1165038749673952,5.718880638522872,12.10403303190967,0
LHFPL3,0,0,CD_2_leukodys,ALS,2.0118343709559667,5.94063554185459,11.951574768425688,0
NDRG3,0,0,CD_2_leukodys,ALS,5.583945496188025,2.1166706138159865,11.81937334093132,0
IST1,0,0,CD_2_leukodys,ALS,2.8676066641669817,3.966145656137148,11.373345714595812,0
CERS6,0,0,CD_2_leukodys,ALS,5.074992721487598,2.2183019795029644,11.257866400039074,0
HINT2,0,0,CD_2_leukodys,ALS,3.462286447419772,2.9969694178726467,10.376366598831988,0
TDRKH,0,0,CD_2_leukodys,ALS,5.595413605632399,1.7861248479838658,9.994107275767023,0
KDSR,0,0,CD_2_leukodys,ALS,4.769571674538298,2.0671675121145383,9.859503612307305,0
SPOCK3,0,0,CD_2_leukodys,ALS,2.879573803053799,3.3394286546514715,9.61613127110157,0
OSBPL11,0,0,CD_2_leukodys,ALS,2.690342881249994,3.562073291480322,9.58319852222482,0
DGKA,0,0,CD_2_leukodys,ALS,3.245763732943507,2.9480572041552233,9.568697155889856,0
SYT4,0,0,CD_2_leukodys,ALS,2.9594441151122113,3.2330472916611916,9.568022781186187,0
TMEM136,0,0,CD_2_leukodys,ALS,6.30972853397326,1.5153552528152827,9.561480277794853,0
BCAS1,0,0,CD_2_leukodys,ALS,3.187739094119531,2.8976292164630597,9.23688593358224,0
IKBKB,0,0,CD_2_leukodys,ALS,4.354711728078866,2.107450044593427,9.177337425531325,0
COPB2,0,0,CD_2_leukodys,ALS,2.4532916672349714,3.7331464730284485,9.158497134848316,0
