,z
UBE2Q1,0.4124073974756838
RNF14,-1.7147490373649996
UBE2Q2,-1.2405150932006337
TMCO1,-0.5357649036481469
UBAC1,-0.8293161223497427
RAB4A,-1.3576448645055939
ZNF706,-0.8380298311218687
MIB2,-0.7374034082219367
RNF114,1.8870570197115817
RNF115,-0.7016050626278093
RNF111,-2.16891699193826
EEF1AKNMT,2.6995998457788333
UNKL,0.6709420805746116
MMAB,-0.03395497636145518
UBE4A,-1.5985223258178207
DDX41,4.6551506551045785
ATMIN,-1.4105879421405148
TSG101,0.01394902222211586
FBXW11,-0.5276697430219642
UBE2D4,0.24235965060538653
RPS27A,0.3526904403019758
UBE2D2,-0.24975733041393203
ATP6V1H,-0.9230848773025159
UBE2D1,-0.2434220535898488
MFSD11,-0.7936143293804958
CCT3,1.330370789700213
LNX1,-1.0368208383863249
MRFAP1L1,-0.3400113015376831
GTF2B,0.23886362193610203
FBXL13,-0.6046943043755287
FBXL12,-0.8144685859625395
FBXL15,-0.4974802132418849
FBXL14,-0.7627205673379215
FBXL16,-0.51531022483315
FBXL19,-0.848187364634485
FBXL18,-0.9115293596001713
CCDC51,2.0407124682845734
PPP1R11,-0.48389797115793426
AKTIP,-1.396580982892469
RNF41,0.775640094979603
ANAPC1,-0.26604236342479043
ANAPC2,0.7748256284443125
ANAPC5,0.27724233868073134
ANAPC4,-0.9598822570634143
ANAPC7,0.88258881271815
ZNRF1,-0.5109683271815845
LRR1,-0.24361051892636695
ZNRF2,-0.8889182947297206
FBXO30,-0.8292998174667481
FBXO5,-0.5946542148667358
FBXO32,-0.9658531775213347
EMC7,0.17428263860645296
KLHL25,-0.7830102157964255
KLHL21,-0.9652932161144111
KLHL20,-1.586983541995395
KLHL22,-0.821124983316019
MKRN1,-1.0957360540205985
SPSB2,-0.8534126809644526
SPSB1,-0.9858644550460242
TRIM50,-0.5959872712306437
SPSB4,-0.9576757086939461
ARF1,1.3986373068679054
CDC34,-1.120306041543482
AREL1,-0.7443136851986416
LONRF1,-0.8674908448125632
CIAO2B,0.9974125276070047
RNF25,-0.4727682658660985
UBE2V1,-0.9262862444139109
UBE2V2,-0.06691037296763196
RNF26,1.9648089985283261
PSMD8,0.7687788575922907
LMO7,-0.9625030855167737
MGRN1,0.26726074381099096
DHX8,1.4908655321920445
SPCS1,-0.33830630764148173
ITCH,0.37877732427382094
PSMD4,1.6587079899835115
FLAD1,2.9969423721934185
CBLL2,-1.036649408367682
ARIH2,0.7185882343538783
TRIP12,-0.3365669246576423
MEX3C,0.03715296103210721
E2F6,0.32452899956157555
SNW1,0.33717292474945953
PRCC,0.06455241330009445
C3AR1,0.5705461049055572
BTRC,-1.2834885357148793
TRIM11,-0.4434917148006165
HUWE1,-1.1734446363978612
UFC1,1.964593115351512
LRRC41,-0.9648992786549869
USP25,-0.3788400051440939
MOAP1,-1.2246696450854038
ASB2,-0.9958993710883874
ASB1,-1.1400016730480071
ASB6,-0.9674422842073823
ASB7,0.6324611898740763
ASB4,-0.3980610377632127
ASB5,-0.9897001023531593
ASB8,-1.201070289146269
ASB9,-1.2776285882132992
PIP4K2C,-1.026680031966046
ZMPSTE24,3.662468145909744
MRPL34,-0.1413366982844175
UBE2R2,-0.9135416985425142
IMPA1,-1.6942254474472584
RNF19B,-0.8175379302241326
RNF19A,-0.9787275545427928
RFX5,1.070099352559099
TRAIP,0.3113035622533829
UBA52,-0.23978180809534005
KAT7,-1.2301304096247623
EXOSC7,1.3717208668703822
ADAR,15.043401416194534
STK24,-1.8922429042652928
GPR161,-0.7147166198173154
