,OR_p,log_OR,log_OR_CI_lower,log_OR_CI_upper,num_genes_in_term,MP_description,MPO_term_type
MP:0000778,5.313638598174564e-13,2.248896587880541,1.6381525448922716,2.8596406308688103,221,abnormal nervous system tract morphology,brain
MP:0002882,4.9801114475700156e-08,1.165292240002847,0.746377560259153,1.5842069197465407,1654,abnormal neuron morphology,brain
MP:0004101,2.5457739608676997e-07,2.7438462533741266,1.7004770748808475,3.7872154318674056,44,abnormal brain interneuron morphology,brain
MP:0002945,7.315907520252068e-07,2.3315726298672974,1.4089000174498547,3.25424524228474,81,abnormal inhibitory postsynaptic currents,brain
MP:0009939,9.988470227625685e-07,2.0973256660238544,1.2570158129186058,2.937635519129103,122,abnormal hippocampus neuron morphology,brain
MP:0002206,1.2018784663344318e-06,1.2212639911111847,0.7282728670398355,1.7142551151825338,966,abnormal CNS synaptic transmission,brain
MP:0003635,7.004454495173009e-06,1.1294834950447221,0.6368339320812109,1.6221330580082334,1052,abnormal synaptic transmission,brain
MP:0021009,7.99427178130561e-06,1.1223335848100717,0.6297093384207995,1.614957831199344,1059,abnormal synaptic physiology,brain
MP:0020393,1.1449748400471305e-05,3.4220709021855438,1.8934871657437364,4.950654638627351,12,increased neuronal precursor proliferation,brain
MP:0003861,2.883760204857151e-05,1.0086403955589116,0.5359758789998663,1.481304912117957,1315,abnormal nervous system development,brain
MP:0004859,5.02917706752087e-05,2.1133597598832976,1.0916931752857348,3.1350263444808606,79,abnormal synaptic plasticity,brain
MP:0003240,5.0688258377566257e-05,3.0853845786442253,1.593133823232975,4.577635334055476,16,loss of hippocampal neurons,brain
MP:0009967,7.715150193927414e-05,1.8394432028573453,0.9274348263957677,2.751451579318923,129,abnormal neuron proliferation,brain
MP:0020394,0.00020590751766647454,2.779735255973855,1.3118781445685017,4.247592367379209,21,decreased neuronal precursor proliferation,brain
MP:0001900,0.00024495886874956093,2.2043294029599645,1.026296033025487,3.382362772894442,54,impaired synaptic plasticity,brain
MP:0021010,0.0003097669980751395,2.1657558490147073,0.9889294914261895,3.3425822066032254,56,impaired synaptic physiology,brain
MP:0004948,0.0003208119572862397,1.8653712865713024,0.8492027040488599,2.8815398690937446,100,abnormal neuronal precursor proliferation,brain
MP:0008917,0.000325675188936068,2.6795447081042827,1.2182613376229645,4.140828078585601,23,abnormal oligodendrocyte physiology,brain
MP:0002885,0.0008538031221137909,2.4657028343409735,1.0165061777049322,3.9148994909770147,28,abnormal AMPA-mediated synaptic currents,brain
MP:0003203,0.001061253534013219,1.515527312984199,0.6081988342272078,2.42285579174119,176,increased neuron apoptosis,brain
MP:0003871,0.0013311918612598699,1.91573514199753,0.7457214120734035,3.0857488719216564,71,abnormal myelin sheath morphology,brain
