,OR_p,log_OR,log_OR_CI_lower,log_OR_CI_upper,num_genes_in_term,MP_description,MPO_term_type
MP:0011975,4.2532687271685914e-08,3.73434931319262,2.398730565825905,5.069968060559336,11,neuronal cytoplasmic inclusions,brain
MP:0002882,1.061127381310366e-05,0.8715853399206512,0.48372225858526435,1.2594484212560382,1681,abnormal neuron morphology,brain
MP:0000136,0.00013333203201959949,1.7781101204276766,0.8658509619023304,2.690369278953023,100,abnormal microglial cell morphology,brain
MP:0000952,0.00013459271944841317,1.2627438574930494,0.6144993264337525,1.9109883885523464,334,abnormal CNS glial cell morphology,brain
MP:0009823,0.00014467057731399555,2.9172343377142873,1.4126005237870596,4.421868151641515,14,abnormal sphingomyelin level,brain
MP:0003871,0.0004364559061186247,1.8273738176947578,0.8090092500086088,2.8457383853809066,76,abnormal myelin sheath morphology,brain
MP:0014377,0.001252476463548329,2.405979391198331,0.9445162971850103,3.867442485211652,22,abnormal excitatory postsynaptic current frequency,brain
MP:0003634,0.0019772872482335417,1.0201355008279833,0.3738288919523779,1.6664421097035889,421,abnormal glial cell morphology,brain
MP:0002912,0.004416456279866106,1.467640914422999,0.45719108375268624,2.4780907450933114,107,abnormal excitatory postsynaptic potential,brain
MP:0014062,0.0051415326669267125,1.667701440468175,0.49951000396281,2.83589287697354,66,nervous system inclusion bodies,brain
MP:0002752,0.005425178621174169,0.6987965735526558,0.20624237948270718,1.1913507676226045,1055,abnormal somatic nervous system morphology,brain
MP:0014378,0.02244936430266971,2.400581280322463,0.33938228091062017,4.461780279734306,11,increased excitatory postsynaptic current frequency,brain
MP:0020874,0.02244936430266971,2.400581280322463,0.33938228091062017,4.461780279734306,11,abnormal nervous system dopamine level,brain
MP:0000938,0.024240962147743496,1.6392762184507657,0.2133947575109818,3.0651576793905493,45,motor neuron degeneration,brain
MP:0014379,0.027731605126139897,2.3052174510103596,0.2525072977452343,4.357927604275485,12,decreased excitatory postsynaptic current frequency,brain
MP:0011451,0.03356299008093525,2.2181524216345263,0.17254321564897435,4.263761627620078,13,increased susceptibility to dopaminergic neuron neurotoxicity,brain
MP:0010149,0.039918180736749666,2.138056058696055,0.09847465589746163,4.177637461494648,14,abnormal synaptic dopamine release,brain
MP:0003243,0.04019140632831777,1.4880770554298337,0.06658806738992462,2.909566043469743,52,abnormal dopaminergic neuron morphology,brain
MP:0001081,0.056844558105559294,0.9748951578080742,-0.02838929753746866,1.9781796131536171,172,abnormal cranial ganglia morphology,brain
MP:0003244,0.07001689306257768,1.8695774222481223,-0.1528873305850036,3.892042175081248,18,loss of dopaminergic neurons,brain
MP:0011731,0.07856752598193315,1.8123653387449394,-0.20699344575119039,3.8317241232410693,19,decreased myelin sheath thickness,brain
MP:0014376,0.07856752598193315,1.8123653387449394,-0.20699344575119039,3.8317241232410693,19,decreased miniature excitatory postsynaptic current frequency,brain
MP:0002110,0.08969951460396092,0.7116385125297278,-0.11028150059611119,1.5335585256555668,335,abnormal digit morphology,neg_ctrl
MP:0013438,0.09670435120202932,1.70689747511857,-0.3071701714024284,3.7209651216395683,21,dysmyelination,brain
MP:0020394,0.10623802753071143,1.6580536326432114,-0.3537421237162155,3.6698493890026382,22,decreased neuronal precursor proliferation,brain
MP:0003224,0.11232027955512792,0.6178687865963131,-0.14479810758943867,1.3805356807820648,429,neuron degeneration,brain
MP:0000966,0.11340250426194154,0.8089675867465242,-0.1925889603980837,1.8105241338911322,202,decreased sensory neuron number,brain
MP:0002888,0.11604867674557102,1.6114799358208796,-0.398248237451162,3.621208109092921,23,abnormal NMDA-mediated synaptic currents,brain
MP:0004980,0.11604867674557102,1.6114799358208796,-0.398248237451162,3.621208109092921,23,increased neuronal precursor cell number,brain
MP:0004979,0.12416718775752195,1.1084032953997003,-0.3045456583770456,2.521352249176446,75,abnormal neuronal precursor cell number,brain
MP:0002910,0.13842658149043066,0.8722649720803481,-0.2815690447601009,2.026098988920797,142,abnormal excitatory postsynaptic currents,brain
MP:0003861,0.1387488353142823,0.3808484804728085,-0.12335028556332805,0.8850472465089451,1333,abnormal nervous system development,brain
MP:0004859,0.14313364615545018,1.0548419714903439,-0.35713931115322506,2.466823254133913,79,abnormal synaptic plasticity,brain
MP:0000811,0.14691375730216732,1.483485503456487,-0.5210229030887978,3.487993910001772,26,hippocampal neuron degeneration,brain
MP:0008946,0.15114545873825558,0.5237397794982552,-0.19135119227099884,1.2388307512675092,538,abnormal neuron number,brain
MP:0006069,0.18426464063768233,0.5162716796552846,-0.2458318515694652,1.2783752108800344,473,abnormal retina neuronal layer morphology,brain
MP:0008571,0.19065515750510775,1.3348507101722156,-0.6643640708489962,3.334065491193427,30,abnormal synaptic bouton morphology,brain
MP:0011448,0.19065515750510775,1.3348507101722156,-0.6643640708489962,3.334065491193427,30,decreased dopaminergic neuron number,brain
MP:0014374,0.20193435168403617,1.300895454245829,-0.6972147233530379,3.299005631844696,31,abnormal miniature excitatory postsynaptic current frequency,brain
MP:0008235,0.21332026563138284,1.2680519242878319,-0.7290243616918075,3.2651282102674712,32,increased susceptibility to neuronal excitotoxicity,brain
MP:0000937,0.2381375112002987,0.6932914598849678,-0.45859315471636264,1.8451760744862982,169,abnormal motor neuron morphology,brain
MP:0000965,0.24032137947707743,0.4563807946369849,-0.3054163415264356,1.2181779308004055,501,abnormal sensory neuron morphology,brain
MP:0004562,0.2673454291523878,1.6061705483232256,-1.2319527902647827,4.444293886911234,11,abnormal inner hair cell synaptic ribbon morphology,brain
MP:0010050,0.2673454291523878,1.6061705483232256,-1.2319527902647827,4.444293886911234,11,hypermyelination,brain
MP:0014372,0.2673454291523878,1.6061705483232256,-1.2319527902647827,4.444293886911234,11,decreased miniature excitatory postsynaptic current amplitude,brain
MP:0010160,0.2673454291523878,1.6061705483232256,-1.2319527902647827,4.444293886911234,11,increased oligodendrocyte number,brain
MP:0014373,0.2673454291523878,1.6061705483232256,-1.2319527902647827,4.444293886911234,11,increased miniature excitatory postsynaptic current amplitude,brain
MP:0005192,0.2673454291523878,1.6061705483232256,-1.2319527902647827,4.444293886911234,11,increased motor neuron number,brain
MP:0011452,0.2673454291523878,1.6061705483232256,-1.2319527902647827,4.444293886911234,11,decreased susceptibility to dopaminergic neuron neurotoxicity,brain
MP:0000954,0.2673454291523878,1.6061705483232256,-1.2319527902647827,4.444293886911234,11,decreased oligodendrocyte progenitor number,brain
MP:0006277,0.2673454291523878,1.6061705483232256,-1.2319527902647827,4.444293886911234,11,abnormal parasympathetic nervous system physiology,brain
MP:0021105,0.2673454291523878,1.6061705483232256,-1.2319527902647827,4.444293886911234,11,abnormal ventral interneuron 3 morphology,brain
MP:0004793,0.2673454291523878,1.6061705483232256,-1.2319527902647827,4.444293886911234,11,abnormal synaptic vesicle clustering,brain
MP:0003407,0.2673454291523878,1.6061705483232256,-1.2319527902647827,4.444293886911234,11,abnormal central nervous system regeneration,brain
MP:0003247,0.2673454291523878,1.6061705483232256,-1.2319527902647827,4.444293886911234,11,abnormal glutaminergic neuron morphology,brain
