,neuron degeneration:-log(OR_p),neuron degeneration:log_OR,neuron degeneration:num_genes,neuron degeneration:gene_ids,nervous system inclusion bodies:-log(OR_p),nervous system inclusion bodies:log_OR,nervous system inclusion bodies:num_genes,nervous system inclusion bodies:gene_ids,abnormal sphingomyelin level:-log(OR_p),abnormal sphingomyelin level:log_OR,abnormal sphingomyelin level:num_genes,abnormal sphingomyelin level:gene_ids,abnormal synaptic transmission:-log(OR_p),abnormal synaptic transmission:log_OR,abnormal synaptic transmission:num_genes,abnormal synaptic transmission:gene_ids,abnormal synaptic physiology:-log(OR_p),abnormal synaptic physiology:log_OR,abnormal synaptic physiology:num_genes,abnormal synaptic physiology:gene_ids,abnormal microglial cell morphology:-log(OR_p),abnormal microglial cell morphology:log_OR,abnormal microglial cell morphology:num_genes,abnormal microglial cell morphology:gene_ids,abnormal CNS synaptic transmission:-log(OR_p),abnormal CNS synaptic transmission:log_OR,abnormal CNS synaptic transmission:num_genes,abnormal CNS synaptic transmission:gene_ids,loss of dopaminergic neurons:-log(OR_p),loss of dopaminergic neurons:log_OR,loss of dopaminergic neurons:num_genes,loss of dopaminergic neurons:gene_ids,dysmyelination:-log(OR_p),dysmyelination:log_OR,dysmyelination:num_genes,dysmyelination:gene_ids,abnormal miniature excitatory postsynaptic currents:-log(OR_p),abnormal miniature excitatory postsynaptic currents:log_OR,abnormal miniature excitatory postsynaptic currents:num_genes,abnormal miniature excitatory postsynaptic currents:gene_ids,gprofiler_name,num_d1_seeds,num_d2_seeds,frac_d1_seeds,frac_d2_seeds,frac_both_seeds,frac_no_seeds
C235,7.067510933700879,1.342482834318007,18,AP1G1 ATP8A2 CASP3 CERS1 CLN8 CTSD DCTN1 ELOVL4 GRID1 GRN PARK7 PDCL PLP1 POLG PRNP PRSS56 STUB1 TUBB4A,6.053910419596685,2.1311495228002286,6,ATP13A2 GRN LRRK2 PRNP STUB1 TMEM175,5.734938883555412,3.1235477076832714,3,CERS4 ELOVL1 SPTLC2,5.6121985822597615,0.9359804871414443,30,AAK1 ADAP1 ATP1A2 ATP9A BCAS1 CCKBR CGN CLTB ELOVL4 FMR1 GDNF GRID1 GRN HIP1R HOMER1 KBTBD8 LRRK2 MAPK3 NRN1 NRXN1 PARK7 PIP5K1C PRNP PTPRA SBF1 STXBP5 TMEM175 TMEM222 VAMP2 ZBTB21,5.537830599556557,0.9289556674740567,30,AAK1 ADAP1 ATP1A2 ATP9A BCAS1 CCKBR CGN CLTB ELOVL4 FMR1 GDNF GRID1 GRN HIP1R HOMER1 KBTBD8 LRRK2 MAPK3 NRN1 NRXN1 PARK7 PIP5K1C PRNP PTPRA SBF1 STXBP5 TMEM175 TMEM222 VAMP2 ZBTB21,5.479662581923404,1.8498189897451587,7,ACP2 CERS6 CTSD GRN LRRK2 PLP1 PRNP,5.4337427610799995,0.9469260804473283,28,AAK1 ADAP1 ATP9A BCAS1 CCKBR CGN CLTB ELOVL4 FMR1 GRID1 GRN HIP1R HOMER1 KBTBD8 LRRK2 MAPK3 NRN1 NRXN1 PARK7 PIP5K1C PRNP PTPRA SBF1 STXBP5 TMEM175 TMEM222 VAMP2 ZBTB21,5.011719353717639,2.813177505711951,3,GRN PARK7 TMEM175,4.562308801744928,2.6306944632494993,3,BCAS1 PLP1 TUBB4A,3.978839091447914,1.528494637651768,7,ATP9A FMR1 HOMER1 NRN1 NRXN1 PIP5K1C VAMP2,CD_3_NBIA-PD systems map,0,18,0.0,0.07964601769911504,0.004424778761061947,0.915929203539823
C236,3.4562200474503326,1.329621823476101,8,ATP8A2 CTSD DCTN1 GRN PLP1 PRSS56 STUB1 TUBB4A,8.263153439927843,2.7787710390574967,5,ATP13A2 GRN LRRK2 STUB1 TMEM175,-0.0,0.0,0,,7.794838458059916,1.4237428448409588,20,AAK1 ADAP1 ATP1A2 ATP9A BCAS1 CCKBR CLTB GRN HIP1R LRRK2 MAPK3 NRN1 NRXN1 PIP5K1C PTPRA SBF1 STXBP5 TMEM175 TMEM222 VAMP2,7.725899658667772,1.4167827737856005,20,AAK1 ADAP1 ATP1A2 ATP9A BCAS1 CCKBR CLTB GRN HIP1R LRRK2 MAPK3 NRN1 NRXN1 PIP5K1C PTPRA SBF1 STXBP5 TMEM175 TMEM222 VAMP2,6.159727780558714,2.3339441724807797,5,ACP2 CTSD GRN LRRK2 PLP1,7.776774391218775,1.450329947671058,19,AAK1 ADAP1 ATP9A BCAS1 CCKBR CLTB GRN HIP1R LRRK2 MAPK3 NRN1 NRXN1 PIP5K1C PTPRA SBF1 STXBP5 TMEM175 TMEM222 VAMP2,4.55714875978009,3.172083663361441,2,GRN TMEM175,7.399675245581769,3.4699153012639545,3,BCAS1 PLP1 TUBB4A,4.807289011422037,2.0184056510934676,5,ATP9A NRN1 NRXN1 PIP5K1C VAMP2,Ion transport by P-type ATPases,0,11,0.0,0.11,0.01,0.88
C238,1.6307419677110477,1.1806439672531983,4,CERS1 CLN8 ELOVL4 POLG,-0.0,0.0,0,,11.097481776406479,4.550788661682204,3,CERS4 ELOVL1 SPTLC2,0.6529106654951666,-1.2316722544634864,1,ELOVL4,0.6579404480167046,-1.2385169015901596,1,ELOVL4,0.6359788297304059,1.2138802728315259,1,CERS6,0.5884485777911389,-1.1418782524466486,1,ELOVL4,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,ceramide biosynthetic process,0,4,0.0,0.07017543859649122,0.0,0.9298245614035088
C239,1.0117000600580932,0.9899752408051992,3,AP1G1 CASP3 PDCL,-0.0,0.0,0,,-0.0,0.0,0,,0.23948001470197108,-0.40367321265260614,2,FMR1 GDNF,0.24437680425358718,-0.4105236492884803,2,FMR1 GDNF,-0.0,0.0,0,,0.510194746253502,-1.0282119574132782,1,FMR1,-0.0,0.0,0,,-0.0,0.0,0,,0.5045868542737799,1.0229340065343013,1,FMR1,C239,0,1,0.0,0.0196078431372549,0.0,0.9803921568627451
C272,1.3025238422911496,2.150783676407803,1,PARK7,-0.0,0.0,0,,-0.0,0.0,0,,1.8190875641108082,2.1043935912933263,2,NRN1 PARK7,1.8096455760440229,2.09754415932251,2,NRN1 PARK7,-0.0,0.0,0,,1.9452261994268647,2.1942549715679815,2,NRN1 PARK7,5.8250912046122005,5.398801305126279,1,PARK7,-0.0,0.0,0,,2.609471718926864,3.3279309993978217,1,NRN1,C272,0,2,0.0,0.3333333333333333,0.0,0.6666666666666667
C251,2.2564252710024437,2.1528508757310387,2,GRID1 POLG,-0.0,0.0,0,,-0.0,0.0,0,,0.15300934890683826,0.3983260350935449,1,GRID1,0.1500146634386363,0.3914823934267382,1,GRID1,-0.0,0.0,0,,0.1935294502225299,0.4881074645368688,1,GRID1,-0.0,0.0,0,,-0.0,0.0,0,,-0.0,0.0,0,,acyl-CoA metabolic process,0,2,0.0,0.16666666666666666,0.0,0.8333333333333334
C252,0.7821834493055984,1.4573645128179216,1,AP1G1,2.8363027882605993,3.3616566172979496,1,TMEM175,-0.0,0.0,0,,6.06388399985228,2.9835130755025103,6,AAK1 CLTB HIP1R KBTBD8 TMEM175 ZBTB21,6.038844233112221,2.9766397261946898,6,AAK1 CLTB HIP1R KBTBD8 TMEM175 ZBTB21,-0.0,0.0,0,,6.397314893736357,3.0737039261960435,6,AAK1 CLTB HIP1R KBTBD8 TMEM175 ZBTB21,4.90762505041087,4.705388089288487,1,TMEM175,-0.0,0.0,0,,-0.0,0.0,0,,presynaptic endocytosis,0,3,0.0,0.2727272727272727,0.0,0.7272727272727273
C237,2.553318809771466,1.4061432322598666,5,CTSD DCTN1 GRN PRSS56 STUB1,8.235409754264131,3.1064547323532024,4,ATP13A2 GRN STUB1 TMEM175,-0.0,0.0,0,,6.1108176538962935,1.5637407792234832,13,AAK1 ADAP1 CLTB GRN HIP1R MAPK3 PIP5K1C PTPRA SBF1 STXBP5 TMEM175 TMEM222 VAMP2,6.062551604823474,1.5568242921744098,13,AAK1 ADAP1 CLTB GRN HIP1R MAPK3 PIP5K1C PTPRA SBF1 STXBP5 TMEM175 TMEM222 VAMP2,4.031416995419326,2.3509735162809395,3,ACP2 CTSD GRN,6.762174540006359,1.6545250684046469,13,AAK1 ADAP1 CLTB GRN HIP1R MAPK3 PIP5K1C PTPRA SBF1 STXBP5 TMEM175 TMEM222 VAMP2,6.0210605711706595,3.733942442891445,2,GRN TMEM175,-0.0,0.0,0,,1.5791965184822527,1.6099211468927503,2,PIP5K1C VAMP2,presynaptic endocytosis,0,7,0.0,0.1206896551724138,0.017241379310344827,0.8620689655172413
C242,0.1395078227734686,0.35766355167823605,1,ATP8A2,1.5655648855634143,2.2619767508621695,1,ATP13A2,-0.0,0.0,0,,1.72762538578306,1.1504198174003086,5,ATP1A2 ATP9A CCKBR NRN1 NRXN1,1.7113165808300264,1.1435519901689428,5,ATP1A2 ATP9A CCKBR NRN1 NRXN1,-0.0,0.0,0,,1.1657122561254052,0.9785843312023808,4,ATP9A CCKBR NRN1 NRXN1,-0.0,0.0,0,,-0.0,0.0,0,,5.02157666885265,2.7175825456785354,3,ATP9A NRN1 NRXN1,Ion transport by P-type ATPases,0,1,0.0,0.03225806451612903,0.03225806451612903,0.935483870967742
C248,0.6018800807712559,1.194837023017497,1,PLP1,-0.0,0.0,0,,-0.0,0.0,0,,0.7248052616287032,1.005330064533064,2,ADAP1 BCAS1,0.7178862953937143,0.9984804543280354,2,ADAP1 BCAS1,1.9891092810372402,2.676583856752778,1,PLP1,0.8182687025782416,1.0951936735192564,2,ADAP1 BCAS1,-0.0,0.0,0,,9.81101836024589,5.104721971872804,2,BCAS1 PLP1,-0.0,0.0,0,,C248,0,2,0.0,0.14285714285714285,0.0,0.8571428571428572
